#,Title,Notes,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Bosch, C. VS Gargano, J.",Georgetown University vs Butler University,,,00:00:02.9,,"Bosch, C.","Gargano, J.",B1,4-0, - ,0,0-0,Strike Swinging,Fastball,0,,,,
2,"Bosch, C. VS Gargano, J.",Georgetown University vs Butler University,,,00:00:03.1,,"Bosch, C.","Gargano, J.",B1,4-0, - ,0,0-1,Ball,Fastball,0,,,,
3,"Bosch, C. VS Gargano, J.",Georgetown University vs Butler University,,,00:00:02.9,,"Bosch, C.","Gargano, J.",B1,4-0, - ,0,1-1,Strike Taken,Slider,0,,,,
4,"Bosch, C. VS Gargano, J.",Georgetown University vs Butler University,,,00:00:07.6,,"Bosch, C.","Gargano, J.",B1,4-0, - ,0,1-2,BIP,Fastball,0,Ground Ball,Groundout,,
5,"Bosch, C. VS Jones, S.",Georgetown University vs Butler University,,,00:00:02.8,,"Bosch, C.","Jones, S.",B1,4-0, - ,1,0-0,Ball,Slider,0,,,,
6,"Bosch, C. VS Jones, S.",Georgetown University vs Butler University,,,00:00:03.1,,"Bosch, C.","Jones, S.",B1,4-0, - ,1,1-0,Strike Swinging,Slider,0,,,,
7,"Bosch, C. VS Jones, S.",Georgetown University vs Butler University,,,00:00:03.1,,"Bosch, C.","Jones, S.",B1,4-0, - ,1,1-1,Foul,Fastball,0,,,,
8,"Bosch, C. VS Jones, S.",Georgetown University vs Butler University,,,00:00:05.1,,"Bosch, C.","Jones, S.",B1,4-0, - ,1,1-2,Foul,Fastball,0,,,,
9,"Bosch, C. VS Jones, S.",Georgetown University vs Butler University,,,00:00:02.8,,"Bosch, C.","Jones, S.",B1,4-0, - ,1,1-2,Ball,Slider,0,,,,
10,"Bosch, C. VS Jones, S.",Georgetown University vs Butler University,,,00:00:03.1,,"Bosch, C.","Jones, S.",B1,4-0, - ,1,2-2,Ball,Slider,0,,,,
11,"Bosch, C. VS Jones, S.",Georgetown University vs Butler University,,,00:00:06.7,,"Bosch, C.","Jones, S.",B1,4-0, - ,1,3-2,BIP,Fastball,0,Ground Ball,Groundout,,
12,"Bosch, C. VS Holt, T.",Georgetown University vs Butler University,,,00:00:03.5,,"Bosch, C.","Holt, T.",B1,4-0, - ,2,0-0,Foul,Fastball,0,,,,
13,"Bosch, C. VS Holt, T.",Georgetown University vs Butler University,,,00:00:02.9,,"Bosch, C.","Holt, T.",B1,4-0, - ,2,0-1,Strike Taken,Fastball,0,,,,
14,"Bosch, C. VS Holt, T.",Georgetown University vs Butler University,,,00:00:06.1,,"Bosch, C.","Holt, T.",B1,4-0, - ,2,0-2,Strike Swinging,Slider,0,,,Strikeout,
15,"Bosch, C. VS Mccargar, R.",Georgetown University vs Butler University,,,00:00:02.8,,"Bosch, C.","Mccargar, R.",B2,5-0, - ,0,0-0,Ball,Fastball,0,,,,
16,"Bosch, C. VS Mccargar, R.",Georgetown University vs Butler University,,,00:00:09.3,,"Bosch, C.","Mccargar, R.",B2,5-0, - ,0,1-0,BIP,Fastball,0,Popup,Popout,,
17,"Bosch, C. VS O'halloran, R.",Georgetown University vs Butler University,,,00:00:02.6,,"Bosch, C.","O'halloran, R.",B2,5-0, - ,1,0-0,Strike Taken,Slider,0,,,,
18,"Bosch, C. VS O'halloran, R.",Georgetown University vs Butler University,,,00:00:02.8,,"Bosch, C.","O'halloran, R.",B2,5-0, - ,1,0-1,Ball,Fastball,0,,,,
19,"Bosch, C. VS O'halloran, R.",Georgetown University vs Butler University,,,00:00:02.8,,"Bosch, C.","O'halloran, R.",B2,5-0, - ,1,1-1,Strike Swinging,Fastball,0,,,,
20,"Bosch, C. VS O'halloran, R.",Georgetown University vs Butler University,,,00:00:03.0,,"Bosch, C.","O'halloran, R.",B2,5-0, - ,1,1-2,Ball,Fastball,0,,,,
21,"Bosch, C. VS O'halloran, R.",Georgetown University vs Butler University,,,00:00:03.0,,"Bosch, C.","O'halloran, R.",B2,5-0, - ,1,2-2,Strike Swinging,Fastball,0,,,Strikeout,
22,"Bosch, C. VS All, K.",Georgetown University vs Butler University,,,00:00:02.8,,"Bosch, C.","All, K.",B2,5-0, - ,2,0-0,Ball,Fastball,0,,,,
23,"Bosch, C. VS All, K.",Georgetown University vs Butler University,,,00:00:03.0,,"Bosch, C.","All, K.",B2,5-0, - ,2,1-0,Strike Taken,Fastball,0,,,,
24,"Bosch, C. VS All, K.",Georgetown University vs Butler University,,,00:00:03.3,,"Bosch, C.","All, K.",B2,5-0, - ,2,1-1,Strike Swinging,Slider,0,,,,
25,"Bosch, C. VS All, K.",Georgetown University vs Butler University,,,00:00:02.9,,"Bosch, C.","All, K.",B2,5-0, - ,2,1-2,Strike Swinging,Slider,0,,,Strikeout,
26,"Bosch, C. VS Wurch, B.",Georgetown University vs Butler University,,,00:00:02.5,,"Bosch, C.","Wurch, B.",B3,5-0, - ,0,0-0,Ball,Fastball,0,,,,
27,"Bosch, C. VS Wurch, B.",Georgetown University vs Butler University,,,00:00:02.9,,"Bosch, C.","Wurch, B.",B3,5-0, - ,0,1-0,Strike Swinging,Slider,0,,,,
28,"Bosch, C. VS Wurch, B.",Georgetown University vs Butler University,,,00:00:03.3,,"Bosch, C.","Wurch, B.",B3,5-0, - ,0,1-1,Ball,Slider,0,,,,
29,"Bosch, C. VS Wurch, B.",Georgetown University vs Butler University,,,00:00:03.7,,"Bosch, C.","Wurch, B.",B3,5-0, - ,0,2-1,Foul,Fastball,0,,,,
30,"Bosch, C. VS Wurch, B.",Georgetown University vs Butler University,,,00:00:03.1,,"Bosch, C.","Wurch, B.",B3,5-0, - ,0,2-2,Ball,Fastball,0,,,,
31,"Bosch, C. VS Wurch, B.",Georgetown University vs Butler University,,,00:00:02.7,,"Bosch, C.","Wurch, B.",B3,5-0, - ,0,3-2,Ball,Fastball,0,,,Walk,
32,"Bosch, C. VS Milano, D.",Georgetown University vs Butler University,,,00:00:02.7,,"Bosch, C.","Milano, D.",B3,5-0,1B,0,0-0,Strike Taken,Fastball,0,,,,
33,"Bosch, C. VS Milano, D.",Georgetown University vs Butler University,,,00:00:02.7,,"Bosch, C.","Milano, D.",B3,5-0,1B,0,0-1,Strike Swinging,Fastball,0,,,,
34,"Bosch, C. VS Milano, D.",Georgetown University vs Butler University,,,00:00:11.3,,"Bosch, C.","Milano, D.",B3,5-0,1B,0,0-2,BIP,Fastball,0,Line Drive,Double,,
35,"Bosch, C. VS Ortega, N.",Georgetown University vs Butler University,,,00:00:02.4,,"Bosch, C.","Ortega, N.",B3,5-0,2B-3B,0,0-0,Ball,Fastball,0,,,,
36,"Bosch, C. VS Ortega, N.",Georgetown University vs Butler University,,,00:00:02.7,,"Bosch, C.","Ortega, N.",B3,5-0,2B-3B,0,1-0,Ball,Fastball,0,,,,
37,"Bosch, C. VS Ortega, N.",Georgetown University vs Butler University,,,00:00:02.7,,"Bosch, C.","Ortega, N.",B3,5-0,2B-3B,0,2-0,Strike Swinging,Slider,0,,,,
38,"Bosch, C. VS Ortega, N.",Georgetown University vs Butler University,,,00:00:08.4,,"Bosch, C.","Ortega, N.",B3,5-0,2B-3B,0,2-1,BIP,Fastball,0,Line Drive,Single,,
39,"Bosch, C. VS Gargano, J.",Georgetown University vs Butler University,,,00:00:02.9,,"Bosch, C.","Gargano, J.",B3,5-1,1B-3B,0,0-0,Ball,Slider,0,,,,
