#,Title,Notes,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Jensen, C. VS Gale, W.",Georgetown University vs Seton Hall University,,,00:00:07.2,,"Jensen, C.","Gale, W.",B1,0-0, - ,0,0-0,Strike Taken,Fastball,90,,,,
2,"Jensen, C. VS Gale, W.",Georgetown University vs Seton Hall University,,,00:00:07.1,,"Jensen, C.","Gale, W.",B1,0-0, - ,0,0-1,Strike Taken,Fastball,88,,,,
3,"Jensen, C. VS Gale, W.",Georgetown University vs Seton Hall University,,,00:00:10.4,,"Jensen, C.","Gale, W.",B1,0-0, - ,0,0-2,BIP,Fastball,89,Ground Ball,Groundout,,
4,"Jensen, C. VS Murray, O.",Georgetown University vs Seton Hall University,,,00:00:10.9,,"Jensen, C.","Murray, O.",B1,0-0, - ,1,0-0,BIP,Fastball,90,Ground Ball,Groundout,,
5,"Jensen, C. VS Viera, M.",Georgetown University vs Seton Hall University,,,00:00:07.3,,"Jensen, C.","Viera, M.",B1,0-0, - ,2,0-0,Strike Taken,Fastball,91,,,,
6,"Jensen, C. VS Viera, M.",Georgetown University vs Seton Hall University,,,00:00:05.9,,"Jensen, C.","Viera, M.",B1,0-0, - ,2,0-1,Foul,Fastball,91,,,,
7,"Jensen, C. VS Viera, M.",Georgetown University vs Seton Hall University,,,00:00:06.8,,"Jensen, C.","Viera, M.",B1,0-0, - ,2,0-2,Ball,Fastball,87,,,,
8,"Jensen, C. VS Viera, M.",Georgetown University vs Seton Hall University,,,00:00:06.8,,"Jensen, C.","Viera, M.",B1,0-0, - ,2,1-2,Ball,Slider,80,,,,
9,"Jensen, C. VS Viera, M.",Georgetown University vs Seton Hall University,,,00:00:13.6,,"Jensen, C.","Viera, M.",B1,0-0, - ,2,2-2,BIP,Slider,80,Ground Ball,Double,,
10,"Jensen, C. VS D'amico, P.",Georgetown University vs Seton Hall University,,,00:00:07.2,,"Jensen, C.","D'amico, P.",B1,0-0,2B,2,0-0,Strike Taken,Fastball,88,,,,
11,"Jensen, C. VS D'amico, P.",Georgetown University vs Seton Hall University,,,00:00:10.6,,"Jensen, C.","D'amico, P.",B1,0-0,2B,2,0-1,BIP,Fastball,88,Ground Ball,Groundout,,
12,"Jensen, C. VS Hernandez, J.",Georgetown University vs Seton Hall University,,,00:00:07.5,,"Jensen, C.","Hernandez, J.",B2,2-0, - ,0,0-0,Strike Taken,Fastball,89,,,,
13,"Jensen, C. VS Hernandez, J.",Georgetown University vs Seton Hall University,,,00:00:06.9,,"Jensen, C.","Hernandez, J.",B2,2-0, - ,0,0-1,Ball,Slider,81,,,,
14,"Jensen, C. VS Hernandez, J.",Georgetown University vs Seton Hall University,,,00:00:06.8,,"Jensen, C.","Hernandez, J.",B2,2-0, - ,0,1-1,Ball,Slider,82,,,,
15,"Jensen, C. VS Hernandez, J.",Georgetown University vs Seton Hall University,,,00:00:07.2,,"Jensen, C.","Hernandez, J.",B2,2-0, - ,0,2-1,Foul,Fastball,89,,,,
16,"Jensen, C. VS Hernandez, J.",Georgetown University vs Seton Hall University,,,00:00:07.1,,"Jensen, C.","Hernandez, J.",B2,2-0, - ,0,2-2,Foul,Changeup,82,,,,
17,"Jensen, C. VS Hernandez, J.",Georgetown University vs Seton Hall University,,,00:00:08.4,,"Jensen, C.","Hernandez, J.",B2,2-0, - ,0,2-2,BIP,Fastball,89,Ground Ball,Groundout,,
18,"Jensen, C. VS Clyde, A.",Georgetown University vs Seton Hall University,,,00:00:06.9,,"Jensen, C.","Clyde, A.",B2,2-0, - ,1,0-0,Ball,Fastball,0,,,,
19,"Jensen, C. VS Clyde, A.",Georgetown University vs Seton Hall University,,,00:00:10.8,,"Jensen, C.","Clyde, A.",B2,2-0, - ,1,1-0,BIP,Fastball,90,Line Drive,Single,,
20,"Jensen, C. VS Mcnelly, M.",Georgetown University vs Seton Hall University,,,00:00:20.3,,"Jensen, C.","Mcnelly, M.",B2,2-0,1B,1,0-0,BIP,Fastball,90,Fly Ball,Triple,,
21,"Jensen, C. VS Luders, J.",Georgetown University vs Seton Hall University,,,00:00:07.2,,"Jensen, C.","Luders, J.",B2,2-1,3B,1,0-0,Ball,Slider,80,,,Hit By Pitch,
22,"Jensen, C. VS Hack, D.",Georgetown University vs Seton Hall University,,,00:00:06.9,,"Jensen, C.","Hack, D.",B2,2-1,1B-3B,1,0-0,Ball,Fastball,87,,,,
23,"Jensen, C. VS Hack, D.",Georgetown University vs Seton Hall University,,,00:00:13.1,,"Jensen, C.","Hack, D.",B2,2-1,1B-3B,1,1-0,BIP,Fastball,88,Line Drive,Single,,
24,"Jensen, C. VS Gale, W.",Georgetown University vs Seton Hall University,,,00:00:06.9,,"Jensen, C.","Gale, W.",B2,2-2,1B-2B,1,0-0,Ball,Changeup,80,,,,
25,"Jensen, C. VS Gale, W.",Georgetown University vs Seton Hall University,,,00:00:10.3,,"Jensen, C.","Gale, W.",B2,2-2,1B-2B,1,1-0,Foul,Fastball,0,,,,
26,"Jensen, C. VS Gale, W.",Georgetown University vs Seton Hall University,,,00:00:14.2,,"Jensen, C.","Gale, W.",B2,2-2,1B-2B,1,1-1,BIP,Changeup,78,Fly Ball,Flyout,,
27,"Jensen, C. VS Murray, O.",Georgetown University vs Seton Hall University,,,00:00:07.5,,"Jensen, C.","Murray, O.",B2,2-2,1B-2B,2,0-0,Strike Swinging,Changeup,78,,,,
28,"Jensen, C. VS Murray, O.",Georgetown University vs Seton Hall University,,,00:00:07.7,,"Jensen, C.","Murray, O.",B2,2-2,1B-2B,2,0-1,Ball,Changeup,79,,,,
29,"Jensen, C. VS Murray, O.",Georgetown University vs Seton Hall University,,,00:00:07.2,,"Jensen, C.","Murray, O.",B2,2-2,1B-2B,2,1-1,Foul,Slider,81,,,,
