#,Title,Notes,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.8,,"Bloss, J.","Urban, J.",T1,0-0,-,0,0-0,Strike Swinging,Fastball,0,"","",""
2,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.9,,"Bloss, J.","Urban, J.",T1,0-0,-,0,0-1,Ball,Fastball,0,"","",""
3,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Urban, J.",T1,0-0,-,0,1-1,Foul,Fastball,0,"","",""
4,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.5,,"Bloss, J.","Urban, J.",T1,0-0,-,0,1-2,Strike Swinging,Slider,0,"","",Strikeout
5,"Bloss, J. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:05.0,,"Bloss, J.","Dorighi, C.",T1,0-0,-,1,0-0,Strike Taken,Fastball,0,"","",""
6,"Bloss, J. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:09.0,,"Bloss, J.","Dorighi, C.",T1,0-0,-,1,0-1,BIP,Fastball,0,Ground Ball,Single,""
7,"Bloss, J. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Carter, X.",T1,0-0,1B,1,0-0,Ball,Curveball,0,"","",""
8,"Bloss, J. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.4,,"Bloss, J.","Carter, X.",T1,0-0,1B,1,1-0,Foul,Fastball,0,"","",""
9,"Bloss, J. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Carter, X.",T1,0-0,1B,1,1-1,Foul,Changeup,0,"","",""
10,"Bloss, J. VS Carter, X.",Butler University vs Georgetown University,,,00:00:09.1,,"Bloss, J.","Carter, X.",T1,0-0,1B,1,1-2,BIP,Fastball,0,Ground Ball,Groundout,""
11,"Bloss, J. VS Jones, S.",Butler University vs Georgetown University,,,00:00:05.5,,"Bloss, J.","Jones, S.",T1,0-0,2B,2,0-0,Ball,Fastball,0,"","",""
12,"Bloss, J. VS Jones, S.",Butler University vs Georgetown University,,,00:00:11.7,,"Bloss, J.","Jones, S.",T1,0-0,2B,2,1-0,BIP,Slider,0,Line Drive,Single,""
13,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:05.1,,"Bloss, J.","All, K.",T1,1-0,1B,2,0-0,Strike Swinging,Fastball,0,"","",""
14,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:07.1,,"Bloss, J.","All, K.",T1,1-0,1B,2,0-1,Strike Swinging,Fastball,0,"","",""
15,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:04.9,,"Bloss, J.","All, K.",T1,1-0,2B,2,0-2,Foul,Fastball,0,"","",""
16,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","All, K.",T1,1-0,2B,2,0-2,Foul,Fastball,0,"","",""
17,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","All, K.",T1,1-0,2B,2,0-2,Ball,Curveball,0,"","",""
18,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:05.5,,"Bloss, J.","All, K.",T1,1-0,2B,2,1-2,Strike Taken,Curveball,0,"","",Strikeout
19,"Bloss, J. VS Gray, G.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Gray, G.",T2,1-0,-,0,0-0,Strike Swinging,Fastball,0,"","",""
20,"Bloss, J. VS Gray, G.",Butler University vs Georgetown University,,,00:00:06.1,,"Bloss, J.","Gray, G.",T2,1-0,-,0,0-1,Strike Taken,Fastball,0,"","",""
21,"Bloss, J. VS Gray, G.",Butler University vs Georgetown University,,,00:00:11.1,,"Bloss, J.","Gray, G.",T2,1-0,-,0,0-2,BIP,Fastball,0,Ground Ball,Groundout,""
22,"Bloss, J. VS O'halloran, R.",Butler University vs Georgetown University,,,00:00:05.0,,"Bloss, J.","O'halloran, R.",T2,1-0,-,1,0-0,Strike Swinging,Fastball,0,"","",""
23,"Bloss, J. VS O'halloran, R.",Butler University vs Georgetown University,,,00:00:05.1,,"Bloss, J.","O'halloran, R.",T2,1-0,-,1,0-1,Strike Swinging,Fastball,0,"","",""
24,"Bloss, J. VS O'halloran, R.",Butler University vs Georgetown University,,,00:00:04.9,,"Bloss, J.","O'halloran, R.",T2,1-0,-,1,0-2,Ball,Fastball,0,"","",""
25,"Bloss, J. VS O'halloran, R.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","O'halloran, R.",T2,1-0,-,1,1-2,Strike Taken,Fastball,0,"","",Strikeout
26,"Bloss, J. VS Galdoni, L.",Butler University vs Georgetown University,,,00:00:04.8,,"Bloss, J.","Galdoni, L.",T2,1-0,-,2,0-0,Strike Swinging,Fastball,0,"","",""
27,"Bloss, J. VS Galdoni, L.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Galdoni, L.",T2,1-0,-,2,0-1,Ball,Fastball,0,"","",""
28,"Bloss, J. VS Galdoni, L.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Galdoni, L.",T2,1-0,-,2,1-1,Strike Taken,Fastball,0,"","",""
29,"Bloss, J. VS Galdoni, L.",Butler University vs Georgetown University,,,00:00:05.4,,"Bloss, J.","Galdoni, L.",T2,1-0,-,2,1-2,Strike Swinging,Fastball,0,"","",Strikeout
30,"Bloss, J. VS Defries, J.",Butler University vs Georgetown University,,,00:00:05.1,,"Bloss, J.","Defries, J.",T3,1-0,-,0,0-0,Ball,Fastball,0,"","",""
31,"Bloss, J. VS Defries, J.",Butler University vs Georgetown University,,,00:00:04.9,,"Bloss, J.","Defries, J.",T3,1-0,-,0,1-0,Strike Taken,Fastball,0,"","",""
32,"Bloss, J. VS Defries, J.",Butler University vs Georgetown University,,,00:00:05.1,,"Bloss, J.","Defries, J.",T3,1-0,-,0,1-1,Strike Taken,Slider,0,"","",""
33,"Bloss, J. VS Defries, J.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Defries, J.",T3,1-0,-,0,1-2,Ball,Fastball,0,"","",""
34,"Bloss, J. VS Defries, J.",Butler University vs Georgetown University,,,00:00:05.4,,"Bloss, J.","Defries, J.",T3,1-0,-,0,2-2,Strike Taken,Curveball,0,"","",Strikeout
35,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.0,,"Bloss, J.","Urban, J.",T3,1-0,-,1,0-0,Ball,Slider,0,"","",""
36,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:04.8,,"Bloss, J.","Urban, J.",T3,1-0,-,1,1-0,Strike Swinging,Fastball,0,"","",""
37,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:04.8,,"Bloss, J.","Urban, J.",T3,1-0,-,1,1-1,Ball,Fastball,0,"","",""
38,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Urban, J.",T3,1-0,-,1,2-1,Ball,Slider,0,"","",""
39,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.0,,"Bloss, J.","Urban, J.",T3,1-0,-,1,3-1,Strike Taken,Fastball,0,"","",""
40,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Urban, J.",T3,1-0,-,1,3-2,Foul,Fastball,0,"","",""
41,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Urban, J.",T3,1-0,-,1,3-2,Foul,Fastball,0,"","",""
42,"Bloss, J. VS Urban, J.",Butler University vs Georgetown University,,,00:00:13.4,,"Bloss, J.","Urban, J.",T3,1-0,-,1,3-2,BIP,Slider,0,Line Drive,Double,""
43,"Bloss, J. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:04.9,,"Bloss, J.","Dorighi, C.",T3,1-0,2B,1,0-0,Strike Taken,Fastball,0,"","",""
44,"Bloss, J. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:05.0,,"Bloss, J.","Dorighi, C.",T3,1-0,2B,1,0-1,Strike Swinging,Fastball,0,"","",""
45,"Bloss, J. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Dorighi, C.",T3,1-0,2B,1,0-2,Foul,Fastball,0,"","",""
46,"Bloss, J. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:05.1,,"Bloss, J.","Dorighi, C.",T3,1-0,2B,1,0-2,Ball,Curveball,0,"","",""
47,"Bloss, J. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Dorighi, C.",T3,1-0,2B,1,1-2,Foul,Fastball,0,"","",""
48,"Bloss, J. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:13.4,,"Bloss, J.","Dorighi, C.",T3,1-0,2B,1,1-2,BIP,Changeup,0,Line Drive,Single,""
49,"Bloss, J. VS Carter, X.",Butler University vs Georgetown University,,,00:00:04.9,,"Bloss, J.","Carter, X.",T3,1-0,1B-3B,1,0-0,Strike Taken,Fastball,0,"","",""
50,"Bloss, J. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Carter, X.",T3,1-0,1B-3B,1,0-1,Strike Taken,Curveball,0,"","",""
51,"Bloss, J. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Carter, X.",T3,1-0,1B-3B,1,0-2,Strike Swinging,Fastball,0,"","",Strikeout
52,"Bloss, J. VS Jones, S.",Butler University vs Georgetown University,,,00:00:07.4,,"Bloss, J.","Jones, S.",T3,1-0,1B-3B,2,0-0,Strike Taken,Curveball,0,"","",""
53,"Bloss, J. VS Jones, S.",Butler University vs Georgetown University,,,00:00:10.9,,"Bloss, J.","Jones, S.",T3,1-0,2B-3B,2,1-1,Ball,Fastball,0,"","",""
54,"Bloss, J. VS Jones, S.",Butler University vs Georgetown University,,,00:00:05.3,,"Bloss, J.","Jones, S.",T3,2-0,3B,2,2-1,Ball,Curveball,0,"","",""
55,"Bloss, J. VS Jones, S.",Butler University vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Jones, S.",T3,2-0,3B,2,3-1,Ball,Fastball,0,"","",Walk
56,"Bloss, J. VS All, K.",Butler University vs Georgetown University,,,00:00:04.9,,"Bloss, J.","All, K.",T3,2-0,1B-3B,2,0-0,Strike Taken,Fastball,0,"","",""
