outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,294,"Bowker, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:02.4,,"Bowker, C.","Smith, D.",B1,0,0,-,0,0,1,Ball,Fastball,0,"","",,B,0,1,Georgetown University,University of Connecticut,0,1,1
1,295,"Bowker, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:02.5,,"Bowker, C.","Smith, D.",B1,0,0,-,0,1,1,Ball,Fastball,0,"","",,B,0,1,Georgetown University,University of Connecticut,0,1,1
1,296,"Bowker, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:03.5,,"Bowker, C.","Smith, D.",B1,0,0,-,0,2,1,Foul,Fastball,0,"","",,B,0,1,Georgetown University,University of Connecticut,0,1,1
1,297,"Bowker, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Bowker, C.","Smith, D.",B1,0,0,-,0,2,2,Ball,Changeup,0,"","",,B,0,1,Georgetown University,University of Connecticut,0,1,1
1,298,"Bowker, C. VS Tammaro, P.",Georgetown University vs University of Connecticut,,,00:00:03.9,,"Bowker, C.","Tammaro, P.",B1,0,0,-,1,0,1,Foul Bunt,Changeup,0,"","",,B,0,1,Georgetown University,University of Connecticut,0,2,2
1,299,"Bowker, C. VS Freeberger, D.",Georgetown University vs University of Connecticut,,,00:00:03.5,,"Bowker, C.","Freeberger, D.",B1,0,0,-,2,0,0,Foul,Slider,0,"","",,B,0,1,Georgetown University,University of Connecticut,0,3,3
1,300,"Bowker, C. VS Freeberger, D.",Georgetown University vs University of Connecticut,,,00:00:03.4,,"Bowker, C.","Freeberger, D.",B1,0,0,-,2,2,2,Strike Taken,Fastball,0,"","",Strikeout,B,0,1,Georgetown University,University of Connecticut,0,3,3
1,301,"Bowker, C. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:02.1,,"Bowker, C.","Huber, B.",B2,0,0,-,0,0,0,Ball,Slider,0,"","",,B,0,2,Georgetown University,University of Connecticut,0,4,4
1,302,"Bowker, C. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:02.2,,"Bowker, C.","Huber, B.",B2,0,0,-,0,1,0,Strike Swinging,Fastball,0,"","",,B,0,2,Georgetown University,University of Connecticut,0,4,4
1,303,"Bowker, C. VS Broadhurst, L.",Georgetown University vs University of Connecticut,,,00:00:02.2,,"Bowker, C.","Broadhurst, L.",B2,0,0,-,2,0,0,Ball,Fastball,0,"","",,B,0,2,Georgetown University,University of Connecticut,0,5,5
1,304,"Bowker, C. VS Broadhurst, L.",Georgetown University vs University of Connecticut,,,00:00:07.9,,"Bowker, C.","Broadhurst, L.",B2,0,0,-,2,1,0,BIP,Fastball,0,Fly Ball,Flyout,,B,0,2,Georgetown University,University of Connecticut,0,5,5
1,305,"Bowker, C. VS Morton, K.",Georgetown University vs University of Connecticut,,,00:00:05.3,,"Bowker, C.","Morton, K.",B3,0,0,-,0,0,2,Ball,Fastball,0,"","",Hit By Pitch,B,0,3,Georgetown University,University of Connecticut,0,6,6
1,306,"Bowker, C. VS Garbowski, M.",Georgetown University vs University of Connecticut,,,00:00:08.3,,"Bowker, C.","Garbowski, M.",B3,0,0,1B,0,0,1,BIP,Changeup,0,Line Drive,Single,,B,0,3,Georgetown University,University of Connecticut,0,7,7
