outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,260,"Bowker, C. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:04.9,,"Bowker, C.","Tucker, J.",B1,0,0,-,0,0,0,Strike Taken,Fastball,91,"","",,B,0,1,Georgetown University,St. John's University (NY),0,1,1
1,261,"Bowker, C. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:05.1,,"Bowker, C.","Tucker, J.",B1,0,0,-,0,0,1,Foul,Fastball,91,"","",,B,0,1,Georgetown University,St. John's University (NY),0,1,1
1,262,"Bowker, C. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:12.8,,"Bowker, C.","Tucker, J.",B1,0,0,-,0,0,2,Foul,Cutter,85,"","",,B,0,1,Georgetown University,St. John's University (NY),0,1,1
1,263,"Bowker, C. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:05.7,,"Bowker, C.","Tucker, J.",B1,0,0,-,0,0,2,Strike Taken,Slider,78,"","",Strikeout,B,0,1,Georgetown University,St. John's University (NY),0,1,1
1,264,"Bowker, C. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:04.9,,"Bowker, C.","Scavelli, G.",B1,0,0,-,1,0,0,Strike Taken,Slider,78,"","",,B,0,1,Georgetown University,St. John's University (NY),0,2,2
1,265,"Bowker, C. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:05.5,,"Bowker, C.","Scavelli, G.",B1,0,0,-,1,0,1,Foul,Fastball,91,"","",,B,0,1,Georgetown University,St. John's University (NY),0,2,2
1,266,"Bowker, C. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:04.9,,"Bowker, C.","Scavelli, G.",B1,0,0,-,1,0,2,Ball,Fastball,90,"","",,B,0,1,Georgetown University,St. John's University (NY),0,2,2
1,267,"Bowker, C. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:12.9,,"Bowker, C.","Scavelli, G.",B1,0,0,-,1,1,2,BIP,Slider,79,Ground Ball,Single,,B,0,1,Georgetown University,St. John's University (NY),0,2,2
1,268,"Bowker, C. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:06.3,,"Bowker, C.","Mayberry, B.",B1,0,0,1B,1,0,0,Foul,Fastball,90,"","",,B,0,1,Georgetown University,St. John's University (NY),0,3,3
1,269,"Bowker, C. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:05.4,,"Bowker, C.","Mayberry, B.",B1,0,0,1B,1,0,1,Strike Taken,Cutter,83,"","",,B,0,1,Georgetown University,St. John's University (NY),0,3,3
1,270,"Bowker, C. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:06.2,,"Bowker, C.","Mayberry, B.",B1,0,0,1B,1,0,2,Strike Swinging,Cutter,84,"","",Strikeout,B,0,1,Georgetown University,St. John's University (NY),0,3,3
1,271,"Bowker, C. VS Keenan, J.",Georgetown University vs St. John's University (NY),,,00:00:05.3,,"Bowker, C.","Keenan, J.",B1,0,0,1B,2,0,0,Strike Swinging,Fastball,90,"","",,B,0,1,Georgetown University,St. John's University (NY),0,4,4
1,272,"Bowker, C. VS Keenan, J.",Georgetown University vs St. John's University (NY),,,00:00:06.5,,"Bowker, C.","Keenan, J.",B1,0,0,1B,2,0,1,Foul,Fastball,90,"","",,B,0,1,Georgetown University,St. John's University (NY),0,4,4
1,273,"Bowker, C. VS Keenan, J.",Georgetown University vs St. John's University (NY),,,00:00:06.2,,"Bowker, C.","Keenan, J.",B1,0,0,1B,2,0,2,Foul,Slider,79,"","",,B,0,1,Georgetown University,St. John's University (NY),0,4,4
1,274,"Bowker, C. VS Keenan, J.",Georgetown University vs St. John's University (NY),,,00:00:15.6,,"Bowker, C.","Keenan, J.",B1,0,0,1B,2,0,2,BIP,Slider,79,Line Drive,Single,,B,0,1,Georgetown University,St. John's University (NY),0,4,4
1,275,"Bowker, C. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:05.5,,"Bowker, C.","Higgins, M.",B1,0,0,2B-3B,2,0,0,Strike Swinging,Fastball,90,"","",,B,0,1,Georgetown University,St. John's University (NY),0,5,5
1,276,"Bowker, C. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:05.7,,"Bowker, C.","Higgins, M.",B1,0,0,2B-3B,2,0,1,Strike Swinging,Fastball,91,"","",,B,0,1,Georgetown University,St. John's University (NY),0,5,5
1,277,"Bowker, C. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:13.1,,"Bowker, C.","Higgins, M.",B1,0,0,2B-3B,2,0,2,BIP,Fastball,91,Fly Ball,Flyout,,B,0,1,Georgetown University,St. John's University (NY),0,5,5
1,278,"Bowker, C. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:05.4,,"Bowker, C.","Beauchamp, B.",B2,1,0,-,0,0,0,Ball,Slider,79,"","",,B,0,2,Georgetown University,St. John's University (NY),1,6,6
1,279,"Bowker, C. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:10.5,,"Bowker, C.","Beauchamp, B.",B2,1,0,-,0,1,0,BIP,Fastball,89,Fly Ball,Flyout,,B,0,2,Georgetown University,St. John's University (NY),1,6,6
1,280,"Bowker, C. VS Orbon, P.",Georgetown University vs St. John's University (NY),,,00:00:05.1,,"Bowker, C.","Orbon, P.",B2,1,0,-,1,0,0,Ball,Fastball,91,"","",,B,0,2,Georgetown University,St. John's University (NY),1,7,7
1,281,"Bowker, C. VS Orbon, P.",Georgetown University vs St. John's University (NY),,,00:00:05.1,,"Bowker, C.","Orbon, P.",B2,1,0,-,1,1,0,Strike Taken,Fastball,89,"","",,B,0,2,Georgetown University,St. John's University (NY),1,7,7
1,282,"Bowker, C. VS Orbon, P.",Georgetown University vs St. John's University (NY),,,00:00:11.2,,"Bowker, C.","Orbon, P.",B2,1,0,-,1,1,1,BIP,Fastball,91,Fly Ball,Single,,B,0,2,Georgetown University,St. John's University (NY),1,7,7
1,283,"Bowker, C. VS Orbon, L.",Georgetown University vs St. John's University (NY),,,00:00:06.3,,"Bowker, C.","Orbon, L.",B2,1,0,1B,1,0,0,Foul,Fastball,90,"","",,B,0,2,Georgetown University,St. John's University (NY),1,8,8
1,284,"Bowker, C. VS Orbon, L.",Georgetown University vs St. John's University (NY),,,00:00:05.9,,"Bowker, C.","Orbon, L.",B2,1,0,1B,1,0,1,Strike Swinging,Fastball,91,"","",,B,0,2,Georgetown University,St. John's University (NY),1,8,8
1,285,"Bowker, C. VS Orbon, L.",Georgetown University vs St. John's University (NY),,,00:00:05.7,,"Bowker, C.","Orbon, L.",B2,1,0,1B,1,0,2,Strike Taken,Fastball,92,"","",Strikeout,B,0,2,Georgetown University,St. John's University (NY),1,8,8
1,286,"Bowker, C. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:06.9,,"Bowker, C.","Brienza, A.",B2,1,0,1B,2,0,0,Strike Swinging,Fastball,90,"","",,B,0,2,Georgetown University,St. John's University (NY),1,9,9
1,287,"Bowker, C. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:08.3,,"Bowker, C.","Brienza, A.",B2,1,0,1B,2,0,1,Strike Taken,Fastball,90,"","",,B,0,2,Georgetown University,St. John's University (NY),1,9,9
1,288,"Bowker, C. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:05.2,,"Bowker, C.","Brienza, A.",B3,1,0,-,0,0,0,Ball,Fastball,91,"","",,B,0,3,Georgetown University,St. John's University (NY),1,9,9
1,289,"Bowker, C. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:05.4,,"Bowker, C.","Brienza, A.",B3,1,0,-,0,1,0,Foul,Fastball,90,"","",,B,0,3,Georgetown University,St. John's University (NY),1,9,9
1,290,"Bowker, C. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:06.8,,"Bowker, C.","Brienza, A.",B3,1,0,-,0,1,1,Ball,Changeup,81,"","",,B,0,3,Georgetown University,St. John's University (NY),1,9,9
1,291,"Bowker, C. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:05.6,,"Bowker, C.","Brienza, A.",B3,1,0,-,0,2,1,Ball,Fastball,90,"","",,B,0,3,Georgetown University,St. John's University (NY),1,9,9
1,292,"Bowker, C. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:11.3,,"Bowker, C.","Brienza, A.",B3,1,0,-,0,3,1,BIP,Fastball,90,Ground Ball,Groundout,,B,0,3,Georgetown University,St. John's University (NY),1,9,9
1,293,"Bowker, C. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:06.3,,"Bowker, C.","Tucker, J.",B3,1,0,-,1,0,0,Ball,Fastball,90,"","",Hit By Pitch,B,0,3,Georgetown University,St. John's University (NY),1,10,1
1,294,"Bowker, C. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:05.1,,"Bowker, C.","Scavelli, G.",B3,1,0,1B,1,0,0,Strike Taken,Cutter,86,"","",,B,0,3,Georgetown University,St. John's University (NY),1,11,2
1,295,"Bowker, C. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:10.3,,"Bowker, C.","Scavelli, G.",B3,1,0,1B,1,0,1,BIP,Changeup,83,Ground Ball,Grounded Into Double Play,,B,0,3,Georgetown University,St. John's University (NY),1,11,2
1,296,"Bowker, C. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:05.3,,"Bowker, C.","Mayberry, B.",B4,1,0,-,0,0,0,Ball,Slider,78,"","",,B,0,4,Georgetown University,St. John's University (NY),1,12,3
1,297,"Bowker, C. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:05.3,,"Bowker, C.","Mayberry, B.",B4,1,0,-,0,1,0,Ball,Cutter,85,"","",,B,0,4,Georgetown University,St. John's University (NY),1,12,3
1,298,"Bowker, C. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:05.4,,"Bowker, C.","Mayberry, B.",B4,1,0,-,0,2,0,Ball,Fastball,90,"","",,B,0,4,Georgetown University,St. John's University (NY),1,12,3
1,299,"Bowker, C. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:05.2,,"Bowker, C.","Mayberry, B.",B4,1,0,-,0,3,0,Strike Swinging,Fastball,89,"","",,B,0,4,Georgetown University,St. John's University (NY),1,12,3
