outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id
1,1,"Catlett, E. VS Krumbach, J.",Georgetown University vs Xavier University,,,00:00:02.3,,"Catlett, E.","Krumbach, J.",B7,1,1,1B-2B,2,0,0,Ball,Slider,77,"","",,,B,0,7,Georgetown University,Xavier University,1,1
1,2,"Catlett, E. VS Krumbach, J.",Georgetown University vs Xavier University,,,00:00:06.2,,"Catlett, E.","Krumbach, J.",B7,1,1,1B-2B,2,1,0,BIP,Fastball,0,Ground Ball,Groundout,,,B,0,7,Georgetown University,Xavier University,1,1
1,3,"Catlett, E. VS Schultz, G.",Georgetown University vs Xavier University,,,00:00:07.0,,"Catlett, E.","Schultz, G.",B8,1,1, - ,0,0,0,BIP,Fastball,87,Bunt Ground Ball,Fielder's Choice - Safe,,,B,0,8,Georgetown University,Xavier University,1,2
1,4,"Catlett, E. VS Kelly, J.",Georgetown University vs Xavier University,,,00:00:02.4,,"Catlett, E.","Kelly, J.",B8,1,1,1B-2B-3B,0,0,0,Strike Taken,Fastball,86,"","",,,B,0,8,Georgetown University,Xavier University,1,3
1,5,"Catlett, E. VS Kelly, J.",Georgetown University vs Xavier University,,,00:00:02.5,,"Catlett, E.","Kelly, J.",B8,1,1,1B-2B-3B,0,0,1,Ball,Fastball,89,"","",,,B,0,8,Georgetown University,Xavier University,1,3
1,6,"Catlett, E. VS Kelly, J.",Georgetown University vs Xavier University,,,00:00:02.3,,"Catlett, E.","Kelly, J.",B8,1,1,1B-2B-3B,0,1,1,Ball,Fastball,88,"","",,,B,0,8,Georgetown University,Xavier University,1,3
1,7,"Catlett, E. VS Kelly, J.",Georgetown University vs Xavier University,,,00:00:02.5,,"Catlett, E.","Kelly, J.",B8,1,1,1B-2B-3B,0,2,1,Ball,Fastball,88,"","",,,B,0,8,Georgetown University,Xavier University,1,3
1,8,"Catlett, E. VS Kelly, J.",Georgetown University vs Xavier University,,,00:00:02.9,,"Catlett, E.","Kelly, J.",B8,1,1,1B-2B-3B,0,3,1,Foul,Fastball,86,"","",,,B,0,8,Georgetown University,Xavier University,1,3
1,9,"Catlett, E. VS Kelly, J.",Georgetown University vs Xavier University,,,00:00:02.8,,"Catlett, E.","Kelly, J.",B8,1,1,1B-2B-3B,0,3,2,Strike Swinging,Fastball,86,"","",Strikeout,,B,0,8,Georgetown University,Xavier University,1,3
1,10,"Catlett, E. VS Rivero, E.",Georgetown University vs Xavier University,,,00:00:02.6,,"Catlett, E.","Rivero, E.",B8,1,1,1B-2B-3B,1,0,0,Ball,Fastball,88,"","",,,B,0,8,Georgetown University,Xavier University,1,4
1,11,"Catlett, E. VS Rivero, E.",Georgetown University vs Xavier University,,,00:00:02.5,,"Catlett, E.","Rivero, E.",B8,1,1,1B-2B-3B,1,1,0,Strike Swinging,Fastball,86,"","",,,B,0,8,Georgetown University,Xavier University,1,4
1,12,"Catlett, E. VS Rivero, E.",Georgetown University vs Xavier University,,,00:00:02.7,,"Catlett, E.","Rivero, E.",B8,1,1,1B-2B-3B,1,1,1,Strike Swinging,Fastball,85,"","",,,B,0,8,Georgetown University,Xavier University,1,4
1,13,"Catlett, E. VS Rivero, E.",Georgetown University vs Xavier University,,,00:00:02.2,,"Catlett, E.","Rivero, E.",B8,1,1,1B-2B-3B,1,1,2,Ball,Fastball,87,"","",,,B,0,8,Georgetown University,Xavier University,1,4
1,14,"Catlett, E. VS Rivero, E.",Georgetown University vs Xavier University,,,00:00:02.2,,"Catlett, E.","Rivero, E.",B8,1,1,1B-2B-3B,1,2,2,Ball,Slider,75,"","",,,B,0,8,Georgetown University,Xavier University,1,4
1,15,"Catlett, E. VS Rivero, E.",Georgetown University vs Xavier University,,,00:00:09.4,,"Catlett, E.","Rivero, E.",B8,1,1,1B-2B-3B,1,3,2,BIP,Fastball,0,Fly Ball,Sacrifice Fly,,,B,0,8,Georgetown University,Xavier University,1,4
2,16,"Catlett, E. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:04.9,,"Catlett, E.","Walker, A.",B1,0,0, - ,0,0,0,BIP,Fastball,88,Ground Ball,Groundout,,,B,0,1,Georgetown University,Xavier University,0,1
2,17,"Catlett, E. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:02.5,,"Catlett, E.","Housinger, J.",B1,0,0, - ,1,0,0,Ball,Fastball,88,"","",,,B,0,1,Georgetown University,Xavier University,0,2
2,18,"Catlett, E. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:02.6,,"Catlett, E.","Housinger, J.",B1,0,0, - ,1,1,0,Ball,Fastball,89,"","",,,B,0,1,Georgetown University,Xavier University,0,2
2,19,"Catlett, E. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:02.5,,"Catlett, E.","Housinger, J.",B1,0,0, - ,1,2,0,Strike Taken,Fastball,87,"","",,,B,0,1,Georgetown University,Xavier University,0,2
2,20,"Catlett, E. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:02.5,,"Catlett, E.","Housinger, J.",B1,0,0, - ,1,2,1,Strike Taken,Fastball,89,"","",,,B,0,1,Georgetown University,Xavier University,0,2
2,21,"Catlett, E. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:03.3,,"Catlett, E.","Housinger, J.",B1,0,0, - ,1,2,2,Ball,Fastball,89,"","",,,B,0,1,Georgetown University,Xavier University,0,2
