outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,1,"Catlett, E. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Catlett, E.","Smith, D.",B1,1,0,-,0,0,0,Strike Taken,Fastball,0,"","",,B,0,1,Georgetown University,University of Connecticut,1,1,1
1,2,"Catlett, E. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:06.9,,"Catlett, E.","Smith, D.",B1,1,0,-,0,0,1,BIP,Fastball,0,Ground Ball,Single,,B,0,1,Georgetown University,University of Connecticut,1,1,1
1,3,"Catlett, E. VS Tammaro, P.",Georgetown University vs University of Connecticut,,,00:00:07.8,,"Catlett, E.","Tammaro, P.",B1,1,0,1B,0,0,0,BIP,Changeup,0,Bunt Ground Ball,Single,,B,0,1,Georgetown University,University of Connecticut,1,2,2
1,4,"Catlett, E. VS Freeberger, D.",Georgetown University vs University of Connecticut,,,00:00:06.0,,"Catlett, E.","Freeberger, D.",B1,1,0,1B-2B,0,0,0,BIP,Fastball,0,Line Drive,Lineout,,B,0,1,Georgetown University,University of Connecticut,1,3,3
1,5,"Catlett, E. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:02.4,,"Catlett, E.","Huber, B.",B1,1,0,1B-2B,1,0,0,Foul,Slider,0,"","",,B,0,1,Georgetown University,University of Connecticut,1,4,4
1,6,"Catlett, E. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:07.8,,"Catlett, E.","Huber, B.",B1,1,0,1B-2B,1,0,1,BIP,Fastball,0,Ground Ball,Fielder's Choice - Out,,B,0,1,Georgetown University,University of Connecticut,1,4,4
1,7,"Catlett, E. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Catlett, E.","Studley, J.",B1,1,0,1B-3B,2,0,0,Ball,Changeup,0,"","",,B,0,1,Georgetown University,University of Connecticut,1,5,5
1,8,"Catlett, E. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:06.3,,"Catlett, E.","Studley, J.",B1,1,0,1B-3B,2,1,0,BIP,Changeup,0,Ground Ball,Groundout,,B,0,1,Georgetown University,University of Connecticut,1,5,5
1,9,"Catlett, E. VS Broadhurst, L.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Catlett, E.","Broadhurst, L.",B2,1,0,-,0,0,0,Ball,Fastball,0,"","",,B,0,2,Georgetown University,University of Connecticut,1,6,6
1,10,"Catlett, E. VS Broadhurst, L.",Georgetown University vs University of Connecticut,,,00:00:03.3,,"Catlett, E.","Broadhurst, L.",B2,1,0,-,0,1,0,Strike Swinging,Fastball,0,"","",,B,0,2,Georgetown University,University of Connecticut,1,6,6
1,11,"Catlett, E. VS Broadhurst, L.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Catlett, E.","Broadhurst, L.",B2,1,0,-,0,1,1,Ball,Slider,0,"","",,B,0,2,Georgetown University,University of Connecticut,1,6,6
1,12,"Catlett, E. VS Broadhurst, L.",Georgetown University vs University of Connecticut,,,00:00:02.5,,"Catlett, E.","Broadhurst, L.",B2,1,0,-,0,2,1,Ball,Fastball,0,"","",,B,0,2,Georgetown University,University of Connecticut,1,6,6
1,13,"Catlett, E. VS Broadhurst, L.",Georgetown University vs University of Connecticut,,,00:00:02.1,,"Catlett, E.","Broadhurst, L.",B2,1,0,-,0,3,1,Ball,Fastball,0,"","",Walk,B,0,2,Georgetown University,University of Connecticut,1,6,6
1,14,"Catlett, E. VS Padilla, B.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Catlett, E.","Padilla, B.",B2,1,0,1B,0,0,0,Strike Taken,Fastball,0,"","",,B,0,2,Georgetown University,University of Connecticut,1,7,7
1,15,"Catlett, E. VS Padilla, B.",Georgetown University vs University of Connecticut,,,00:00:02.4,,"Catlett, E.","Padilla, B.",B2,1,0,1B,0,0,1,Strike Taken,Slider,0,"","",,B,0,2,Georgetown University,University of Connecticut,1,7,7
1,16,"Catlett, E. VS Padilla, B.",Georgetown University vs University of Connecticut,,,00:00:03.2,,"Catlett, E.","Padilla, B.",B2,1,0,1B,0,0,2,Foul,Changeup,0,"","",,B,0,2,Georgetown University,University of Connecticut,1,7,7
1,17,"Catlett, E. VS Padilla, B.",Georgetown University vs University of Connecticut,,,00:00:02.9,,"Catlett, E.","Padilla, B.",B2,1,0,1B,0,0,2,Ball,Slider,0,"","",,B,0,2,Georgetown University,University of Connecticut,1,7,7
1,18,"Catlett, E. VS Padilla, B.",Georgetown University vs University of Connecticut,,,00:00:06.6,,"Catlett, E.","Padilla, B.",B2,1,0,1B,0,1,2,BIP,Slider,0,Ground Ball,Grounded Into Double Play,,B,0,2,Georgetown University,University of Connecticut,1,7,7
1,19,"Catlett, E. VS Hyde, R.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Catlett, E.","Hyde, R.",B2,1,0,-,2,0,0,Strike Taken,Fastball,0,"","",,B,0,2,Georgetown University,University of Connecticut,1,8,8
1,20,"Catlett, E. VS Hyde, R.",Georgetown University vs University of Connecticut,,,00:00:02.4,,"Catlett, E.","Hyde, R.",B2,1,0,-,2,0,1,Ball,Fastball,0,"","",,B,0,2,Georgetown University,University of Connecticut,1,8,8
1,21,"Catlett, E. VS Hyde, R.",Georgetown University vs University of Connecticut,,,00:00:02.4,,"Catlett, E.","Hyde, R.",B2,1,0,-,2,1,1,Ball,Slider,0,"","",,B,0,2,Georgetown University,University of Connecticut,1,8,8
1,22,"Catlett, E. VS Hyde, R.",Georgetown University vs University of Connecticut,,,00:00:03.6,,"Catlett, E.","Hyde, R.",B2,1,0,-,2,2,1,Foul,Fastball,0,"","",,B,0,2,Georgetown University,University of Connecticut,1,8,8
1,23,"Catlett, E. VS Hyde, R.",Georgetown University vs University of Connecticut,,,00:00:03.1,,"Catlett, E.","Hyde, R.",B2,1,0,-,2,2,2,Strike Taken,Fastball,0,"","",Strikeout,B,0,2,Georgetown University,University of Connecticut,1,8,8
1,24,"Catlett, E. VS Morton, K.",Georgetown University vs University of Connecticut,,,00:00:03.6,,"Catlett, E.","Morton, K.",B3,1,0,-,0,0,0,Foul Bunt,Slider,0,"","",,B,0,3,Georgetown University,University of Connecticut,1,9,9
1,25,"Catlett, E. VS Morton, K.",Georgetown University vs University of Connecticut,,,00:00:02.6,,"Catlett, E.","Morton, K.",B3,1,0,-,0,0,1,Strike Swinging,Slider,0,"","",,B,0,3,Georgetown University,University of Connecticut,1,9,9
1,26,"Catlett, E. VS Morton, K.",Georgetown University vs University of Connecticut,,,00:00:02.1,,"Catlett, E.","Morton, K.",B3,1,0,-,0,0,2,Ball,Changeup,0,"","",,B,0,3,Georgetown University,University of Connecticut,1,9,9
1,27,"Catlett, E. VS Morton, K.",Georgetown University vs University of Connecticut,,,00:00:03.4,,"Catlett, E.","Morton, K.",B3,1,0,-,0,1,2,Strike Swinging,Slider,0,"","",Strikeout,B,0,3,Georgetown University,University of Connecticut,1,9,9
1,28,"Catlett, E. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:02.7,,"Catlett, E.","Smith, D.",B3,1,0,-,1,0,0,Ball,Fastball,0,"","",,B,0,3,Georgetown University,University of Connecticut,1,10,1
