outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,149,"Catlett, E. VS Mccormick, M.",Georgetown University vs Xavier University,,,00:00:04.2,,"Catlett, E.","Mccormick, M.",B9,6,5,1B-2B,1,0,0,Ball,Fastball,91,"","",,B,0,9,Georgetown University,Xavier University,6,1,1
1,150,"Catlett, E. VS Mccormick, M.",Georgetown University vs Xavier University,,,00:00:05.2,,"Catlett, E.","Mccormick, M.",B9,6,5,1B-2B,1,1,0,Ball,Fastball,90,"","",Hit By Pitch,B,0,9,Georgetown University,Xavier University,6,1,1
2,382,"Catlett, E. VS Helmin, A.",Georgetown University vs Xavier University,,,00:00:05.1,,"Catlett, E.","Helmin, A.",B6,2,2,1B-2B-3B,1,0,0,Foul,Fastball,89,"","",,B,0,6,Georgetown University,Xavier University,2,1,1
2,383,"Catlett, E. VS Helmin, A.",Georgetown University vs Xavier University,,,00:00:04.4,,"Catlett, E.","Helmin, A.",B6,2,2,1B-2B-3B,1,0,1,Strike Taken,Changeup,86,"","",,B,0,6,Georgetown University,Xavier University,2,1,1
2,384,"Catlett, E. VS Helmin, A.",Georgetown University vs Xavier University,,,00:00:11.5,,"Catlett, E.","Helmin, A.",B6,2,2,1B-2B-3B,1,0,2,BIP,Fastball,88,Ground Ball,Grounded Into Double Play,,B,0,6,Georgetown University,Xavier University,2,1,1
2,385,"Catlett, E. VS Stephenson, G.",Georgetown University vs Xavier University,,,00:00:04.8,,"Catlett, E.","Stephenson, G.",B7,2,2,-,0,0,0,Foul,Fastball,89,"","",,B,0,7,Georgetown University,Xavier University,2,2,2
2,386,"Catlett, E. VS Stephenson, G.",Georgetown University vs Xavier University,,,00:00:04.4,,"Catlett, E.","Stephenson, G.",B7,2,2,-,0,0,1,Ball,Fastball,90,"","",,B,0,7,Georgetown University,Xavier University,2,2,2
2,387,"Catlett, E. VS Stephenson, G.",Georgetown University vs Xavier University,,,00:00:04.4,,"Catlett, E.","Stephenson, G.",B7,2,2,-,0,1,1,Ball,Changeup,85,"","",,B,0,7,Georgetown University,Xavier University,2,2,2
2,388,"Catlett, E. VS Stephenson, G.",Georgetown University vs Xavier University,,,00:00:04.5,,"Catlett, E.","Stephenson, G.",B7,2,2,-,0,2,1,Ball,Fastball,87,"","",,B,0,7,Georgetown University,Xavier University,2,2,2
2,389,"Catlett, E. VS Stephenson, G.",Georgetown University vs Xavier University,,,00:00:04.5,,"Catlett, E.","Stephenson, G.",B7,2,2,-,0,3,1,Strike Taken,Fastball,90,"","",,B,0,7,Georgetown University,Xavier University,2,2,2
2,390,"Catlett, E. VS Stephenson, G.",Georgetown University vs Xavier University,,,00:00:04.7,,"Catlett, E.","Stephenson, G.",B7,2,2,-,0,3,2,Foul,Fastball,90,"","",,B,0,7,Georgetown University,Xavier University,2,2,2
2,391,"Catlett, E. VS Stephenson, G.",Georgetown University vs Xavier University,,,00:00:04.6,,"Catlett, E.","Stephenson, G.",B7,2,2,-,0,3,2,Ball,Fastball,90,"","",Walk,B,0,7,Georgetown University,Xavier University,2,2,2
2,392,"Catlett, E. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:09.4,,"Catlett, E.","Housinger, J.",B7,2,2,1B,0,0,0,BIP,Fastball,89,Bunt Ground Ball,Sacrifice Bunt,,B,0,7,Georgetown University,Xavier University,2,3,3
2,393,"Catlett, E. VS Deprey, M.",Georgetown University vs Xavier University,,,00:00:10.6,,"Catlett, E.","Deprey, M.",B7,2,2,2B,1,0,0,Ball,Slider,79,"","",,B,0,7,Georgetown University,Xavier University,2,4,4
2,394,"Catlett, E. VS Deprey, M.",Georgetown University vs Xavier University,,,00:00:04.5,,"Catlett, E.","Deprey, M.",B7,2,2,3B,1,1,0,Foul,Fastball,90,"","",,B,0,7,Georgetown University,Xavier University,2,4,4
2,395,"Catlett, E. VS Deprey, M.",Georgetown University vs Xavier University,,,00:00:04.2,,"Catlett, E.","Deprey, M.",B7,2,2,3B,1,1,1,Ball,Slider,81,"","",,B,0,7,Georgetown University,Xavier University,2,4,4
2,396,"Catlett, E. VS Deprey, M.",Georgetown University vs Xavier University,,,00:00:04.5,,"Catlett, E.","Deprey, M.",B7,2,2,3B,1,2,1,Ball,Changeup,86,"","",,B,0,7,Georgetown University,Xavier University,2,4,4
2,397,"Catlett, E. VS Deprey, M.",Georgetown University vs Xavier University,,,00:00:04.6,,"Catlett, E.","Deprey, M.",B7,2,2,3B,1,3,1,Ball,Changeup,85,"","",Walk,B,0,7,Georgetown University,Xavier University,2,4,4
2,398,"Catlett, E. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:04.4,,"Catlett, E.","Walker, A.",B7,2,2,1B-3B,1,0,0,Strike Taken,Slider,80,"","",,B,0,7,Georgetown University,Xavier University,2,5,5
2,399,"Catlett, E. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:10.7,,"Catlett, E.","Walker, A.",B7,2,2,1B-3B,1,0,1,BIP,Slider,77,Ground Ball,Fielder's Choice - Out,,B,0,7,Georgetown University,Xavier University,2,5,5
3,615,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.9,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,0,0,Strike Taken,Slider,81,"","",,B,0,9,Georgetown University,George Washington University,17,1,1
3,616,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.8,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,0,1,Foul,Fastball,91,"","",,B,0,9,Georgetown University,George Washington University,17,1,1
3,617,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.8,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,0,2,Foul,Slider,81,"","",,B,0,9,Georgetown University,George Washington University,17,1,1
3,618,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.9,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,0,2,Ball,Fastball,92,"","",,B,0,9,Georgetown University,George Washington University,17,1,1
3,619,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.9,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,1,2,Foul,Fastball,91,"","",,B,0,9,Georgetown University,George Washington University,17,1,1
3,620,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.3,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,1,2,Ball,Slider,81,"","",,B,0,9,Georgetown University,George Washington University,17,1,1
3,621,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.9,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,2,2,Foul,Fastball,91,"","",,B,0,9,Georgetown University,George Washington University,17,1,1
3,622,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:10.6,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,2,2,BIP,Slider,79,Ground Ball,Groundout,,B,0,9,Georgetown University,George Washington University,17,1,1
3,623,"Catlett, E. VS Bloom, P.",Georgetown University vs George Washington University,,,00:00:05.8,,"Catlett, E.","Bloom, P.",B9,17,1,-,1,0,0,Strike Swinging,Fastball,91,"","",,B,0,9,Georgetown University,George Washington University,17,2,2
3,624,"Catlett, E. VS Bloom, P.",Georgetown University vs George Washington University,,,00:00:05.9,,"Catlett, E.","Bloom, P.",B9,17,1,-,1,0,1,Strike Taken,Fastball,92,"","",,B,0,9,Georgetown University,George Washington University,17,2,2
3,625,"Catlett, E. VS Bloom, P.",Georgetown University vs George Washington University,,,00:00:05.9,,"Catlett, E.","Bloom, P.",B9,17,1,-,1,0,2,Ball,Fastball,92,"","",,B,0,9,Georgetown University,George Washington University,17,2,2
3,626,"Catlett, E. VS Bloom, P.",Georgetown University vs George Washington University,,,00:00:06.2,,"Catlett, E.","Bloom, P.",B9,17,1,-,1,1,2,Ball,Changeup,88,"","",,B,0,9,Georgetown University,George Washington University,17,2,2
3,627,"Catlett, E. VS Bloom, P.",Georgetown University vs George Washington University,,,00:00:14.5,,"Catlett, E.","Bloom, P.",B9,17,1,-,1,2,2,BIP,Fastball,91,Popup,Popout,,B,0,9,Georgetown University,George Washington University,17,2,2
3,628,"Catlett, E. VS Wacker, R.",Georgetown University vs George Washington University,,,00:00:05.6,,"Catlett, E.","Wacker, R.",B9,17,1,-,2,0,0,Strike Swinging,Fastball,91,"","",,B,0,9,Georgetown University,George Washington University,17,3,3
3,629,"Catlett, E. VS Wacker, R.",Georgetown University vs George Washington University,,,00:00:05.7,,"Catlett, E.","Wacker, R.",B9,17,1,-,2,0,1,Ball,Changeup,86,"","",,B,0,9,Georgetown University,George Washington University,17,3,3
3,630,"Catlett, E. VS Wacker, R.",Georgetown University vs George Washington University,,,00:00:05.6,,"Catlett, E.","Wacker, R.",B9,17,1,-,2,1,1,Ball,Slider,78,"","",,B,0,9,Georgetown University,George Washington University,17,3,3
3,631,"Catlett, E. VS Wacker, R.",Georgetown University vs George Washington University,,,00:00:12.1,,"Catlett, E.","Wacker, R.",B9,17,1,-,2,2,1,BIP,Fastball,90,Fly Ball,Flyout,,B,0,9,Georgetown University,George Washington University,17,3,3
4,783,"Catlett, E. VS O'halloran, R.",Butler University vs Georgetown University,,,00:00:05.6,,"Catlett, E.","O'halloran, R.",T5,6,4,1B-2B-3B,1,0,0,Ball,Slider,76,"","",,T,1,5,Butler University,Georgetown University,4,1,1
4,784,"Catlett, E. VS O'halloran, R.",Butler University vs Georgetown University,,,00:00:05.6,,"Catlett, E.","O'halloran, R.",T5,6,4,1B-2B-3B,1,1,0,Foul,Changeup,84,"","",,T,1,5,Butler University,Georgetown University,4,1,1
4,785,"Catlett, E. VS O'halloran, R.",Butler University vs Georgetown University,,,00:00:05.7,,"Catlett, E.","O'halloran, R.",T5,6,4,1B-2B-3B,1,1,1,Ball,Changeup,86,"","",,T,1,5,Butler University,Georgetown University,4,1,1
4,786,"Catlett, E. VS O'halloran, R.",Butler University vs Georgetown University,,,00:00:11.9,,"Catlett, E.","O'halloran, R.",T5,6,4,1B-2B-3B,1,2,1,BIP,Fastball,91,Ground Ball,Field Error,,T,1,5,Butler University,Georgetown University,4,1,1
4,787,"Catlett, E. VS Wurch, B.",Butler University vs Georgetown University,,,00:00:05.6,,"Catlett, E.","Wurch, B.",T5,7,4,1B-2B-3B,1,0,0,Ball,Fastball,92,"","",,T,1,5,Butler University,Georgetown University,4,2,2
