outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id
1,1,"Catlett, E. VS Kailher, B.",Georgetown University vs Penn State University,,,00:00:06.3,,"Catlett, E.","Kailher, B.",B6,1,5, - ,0,0,0,Foul,Fastball,90,"","",,,B,0,6,Georgetown University,Penn State University,1,1
1,2,"Catlett, E. VS Kailher, B.",Georgetown University vs Penn State University,,,00:00:05.1,,"Catlett, E.","Kailher, B.",B6,1,5, - ,0,0,1,Ball,Fastball,90,"","",,,B,0,6,Georgetown University,Penn State University,1,1
1,3,"Catlett, E. VS Kailher, B.",Georgetown University vs Penn State University,,,00:00:05.1,,"Catlett, E.","Kailher, B.",B6,1,5, - ,0,1,1,Ball,Changeup,85,"","",,,B,0,6,Georgetown University,Penn State University,1,1
1,4,"Catlett, E. VS Kailher, B.",Georgetown University vs Penn State University,,,00:00:05.2,,"Catlett, E.","Kailher, B.",B6,1,5, - ,0,2,1,Ball,Fastball,88,"","",,,B,0,6,Georgetown University,Penn State University,1,1
1,5,"Catlett, E. VS Kailher, B.",Georgetown University vs Penn State University,,,00:00:05.4,,"Catlett, E.","Kailher, B.",B6,1,5, - ,0,3,1,Ball,Fastball,90,"","",Walk,,B,0,6,Georgetown University,Penn State University,1,1
1,6,"Catlett, E. VS Bramley, T.",Georgetown University vs Penn State University,,,00:00:05.2,,"Catlett, E.","Bramley, T.",B6,1,5,1B,0,0,0,Strike Taken,Fastball,88,"","",,,B,0,6,Georgetown University,Penn State University,1,2
1,7,"Catlett, E. VS Bramley, T.",Georgetown University vs Penn State University,,,00:00:05.4,,"Catlett, E.","Bramley, T.",B6,1,5,1B,0,0,1,Ball,Slider,77,"","",,,B,0,6,Georgetown University,Penn State University,1,2
1,8,"Catlett, E. VS Bramley, T.",Georgetown University vs Penn State University,,,00:00:05.3,,"Catlett, E.","Bramley, T.",B6,1,5,1B,0,1,1,Ball,Slider,76,"","",,,B,0,6,Georgetown University,Penn State University,1,2
1,9,"Catlett, E. VS Bramley, T.",Georgetown University vs Penn State University,,,00:00:10.7,,"Catlett, E.","Bramley, T.",B6,1,5,1B,0,2,1,BIP,Fastball,88,Fly Ball,Flyout,,,B,0,6,Georgetown University,Penn State University,1,2
1,10,"Catlett, E. VS Harry, J.",Georgetown University vs Penn State University,,,00:00:06.3,,"Catlett, E.","Harry, J.",B6,1,5,1B,1,0,0,Ball,Slider,78,"","",,,B,0,6,Georgetown University,Penn State University,1,3
1,11,"Catlett, E. VS Harry, J.",Georgetown University vs Penn State University,,,00:00:05.3,,"Catlett, E.","Harry, J.",B6,1,5,2B,1,1,0,Strike Taken,Fastball,89,"","",,,B,0,6,Georgetown University,Penn State University,1,3
1,12,"Catlett, E. VS Harry, J.",Georgetown University vs Penn State University,,,00:00:05.2,,"Catlett, E.","Harry, J.",B6,1,5,2B,1,1,1,Strike Taken,Fastball,90,"","",,,B,0,6,Georgetown University,Penn State University,1,3
1,13,"Catlett, E. VS Harry, J.",Georgetown University vs Penn State University,,,00:00:05.4,,"Catlett, E.","Harry, J.",B6,1,5, - ,1,1,2,Strike Swinging,Slider,80,"","",Strikeout,,B,0,6,Georgetown University,Penn State University,1,3
1,14,"Catlett, E. VS Hannon, K.",Georgetown University vs Penn State University,,,00:00:05.4,,"Catlett, E.","Hannon, K.",B6,1,5, - ,2,0,0,Strike Swinging,Slider,80,"","",,,B,0,6,Georgetown University,Penn State University,1,4
1,15,"Catlett, E. VS Hannon, K.",Georgetown University vs Penn State University,,,00:00:05.3,,"Catlett, E.","Hannon, K.",B6,1,5, - ,2,0,1,Ball,Slider,79,"","",,,B,0,6,Georgetown University,Penn State University,1,4
1,16,"Catlett, E. VS Hannon, K.",Georgetown University vs Penn State University,,,00:00:05.3,,"Catlett, E.","Hannon, K.",B6,1,5, - ,2,1,1,Ball,Fastball,90,"","",,,B,0,6,Georgetown University,Penn State University,1,4
1,17,"Catlett, E. VS Hannon, K.",Georgetown University vs Penn State University,,,00:00:09.1,,"Catlett, E.","Hannon, K.",B6,1,5, - ,2,2,1,BIP,Slider,79,Ground Ball,Groundout,,,B,0,6,Georgetown University,Penn State University,1,4
2,18,"Catlett, E. VS Hamberg, J.",Coppin State University vs Georgetown University,,,00:00:05.9,,"Catlett, E.","Hamberg, J.",T6,0,6, - ,0,0,0,Foul,Fastball,90,"","",,,T,1,6,Coppin State University,Georgetown University,6,1
2,19,"Catlett, E. VS Hamberg, J.",Coppin State University vs Georgetown University,,,00:00:05.1,,"Catlett, E.","Hamberg, J.",T6,0,6, - ,0,0,1,Strike Taken,Fastball,88,"","",,,T,1,6,Coppin State University,Georgetown University,6,1
2,20,"Catlett, E. VS Hamberg, J.",Coppin State University vs Georgetown University,,,00:00:07.8,,"Catlett, E.","Hamberg, J.",T6,0,6, - ,0,0,2,BIP,Slider,76,Line Drive,Lineout,,,T,1,6,Coppin State University,Georgetown University,6,1
2,21,"Catlett, E. VS Sarabia, S.",Coppin State University vs Georgetown University,,,00:00:05.2,,"Catlett, E.","Sarabia, S.",T6,0,6, - ,1,0,0,Ball,Fastball,89,"","",,,T,1,6,Coppin State University,Georgetown University,6,2
