outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,194,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.9,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,0,0,Strike Taken,Slider,81,"","",,B,0,9,Georgetown University,George Washington University,17,1,1
1,195,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.8,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,0,1,Foul,Fastball,91,"","",,B,0,9,Georgetown University,George Washington University,17,1,1
1,196,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.8,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,0,2,Foul,Slider,81,"","",,B,0,9,Georgetown University,George Washington University,17,1,1
1,197,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.9,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,0,2,Ball,Fastball,92,"","",,B,0,9,Georgetown University,George Washington University,17,1,1
1,198,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.9,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,1,2,Foul,Fastball,91,"","",,B,0,9,Georgetown University,George Washington University,17,1,1
1,199,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.3,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,1,2,Ball,Slider,81,"","",,B,0,9,Georgetown University,George Washington University,17,1,1
1,200,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.9,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,2,2,Foul,Fastball,91,"","",,B,0,9,Georgetown University,George Washington University,17,1,1
1,201,"Catlett, E. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:10.6,,"Catlett, E.","Kohn, M.",B9,17,1,-,0,2,2,BIP,Slider,79,Ground Ball,Groundout,,B,0,9,Georgetown University,George Washington University,17,1,1
1,202,"Catlett, E. VS Bloom, P.",Georgetown University vs George Washington University,,,00:00:05.8,,"Catlett, E.","Bloom, P.",B9,17,1,-,1,0,0,Strike Swinging,Fastball,91,"","",,B,0,9,Georgetown University,George Washington University,17,2,2
1,203,"Catlett, E. VS Bloom, P.",Georgetown University vs George Washington University,,,00:00:05.9,,"Catlett, E.","Bloom, P.",B9,17,1,-,1,0,1,Strike Taken,Fastball,92,"","",,B,0,9,Georgetown University,George Washington University,17,2,2
1,204,"Catlett, E. VS Bloom, P.",Georgetown University vs George Washington University,,,00:00:05.9,,"Catlett, E.","Bloom, P.",B9,17,1,-,1,0,2,Ball,Fastball,92,"","",,B,0,9,Georgetown University,George Washington University,17,2,2
