outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,7053,"Citron, A. VS Borgogno, T.",Long Beach State University vs Georgetown University,,,00:00:02.0,,"Citron, A.","Borgogno, T.",T9,18,3,-,0,0,0,Ball,Fastball,85,"","",,T,1,9,Long Beach State University,Georgetown University,3,1,1
1,7054,"Citron, A. VS Borgogno, T.",Long Beach State University vs Georgetown University,,,00:00:01.5,,"Citron, A.","Borgogno, T.",T9,18,3,-,0,1,0,Ball,Fastball,86,"","",,T,1,9,Long Beach State University,Georgetown University,3,1,1
1,7055,"Citron, A. VS Borgogno, T.",Long Beach State University vs Georgetown University,,,00:00:01.6,,"Citron, A.","Borgogno, T.",T9,18,3,-,0,2,0,Ball,Fastball,87,"","",,T,1,9,Long Beach State University,Georgetown University,3,1,1
1,7056,"Citron, A. VS Borgogno, T.",Long Beach State University vs Georgetown University,,,00:00:01.3,,"Citron, A.","Borgogno, T.",T9,18,3,-,0,3,0,Strike Taken,Fastball,88,"","",,T,1,9,Long Beach State University,Georgetown University,3,1,1
1,7057,"Citron, A. VS Borgogno, T.",Long Beach State University vs Georgetown University,,,00:00:01.6,,"Citron, A.","Borgogno, T.",T9,18,3,-,0,3,1,Ball,Fastball,88,"","",Walk,T,1,9,Long Beach State University,Georgetown University,3,1,1
1,7058,"Citron, A. VS Santander, C.",Long Beach State University vs Georgetown University,,,00:00:01.7,,"Citron, A.","Santander, C.",T9,18,3,1B,0,0,0,Ball,Fastball,88,"","",,T,1,9,Long Beach State University,Georgetown University,3,2,2
1,7059,"Citron, A. VS Santander, C.",Long Beach State University vs Georgetown University,,,00:00:01.7,,"Citron, A.","Santander, C.",T9,18,3,1B,0,1,0,Ball,Fastball,89,"","",,T,1,9,Long Beach State University,Georgetown University,3,2,2
1,7060,"Citron, A. VS Santander, C.",Long Beach State University vs Georgetown University,,,00:00:02.7,,"Citron, A.","Santander, C.",T9,18,3,1B,0,2,0,Foul,Fastball,88,"","",,T,1,9,Long Beach State University,Georgetown University,3,2,2
1,7061,"Citron, A. VS Santander, C.",Long Beach State University vs Georgetown University,,,00:00:07.3,,"Citron, A.","Santander, C.",T9,18,3,1B,0,2,1,BIP,Fastball,87,Popup,Popout,,T,1,9,Long Beach State University,Georgetown University,3,2,2
1,7062,"Citron, A. VS Martinez, B.",Long Beach State University vs Georgetown University,,,00:00:01.5,,"Citron, A.","Martinez, B.",T9,18,3,1B,1,0,0,Strike Taken,Fastball,87,"","",,T,1,9,Long Beach State University,Georgetown University,3,3,3
1,7063,"Citron, A. VS Martinez, B.",Long Beach State University vs Georgetown University,,,00:00:01.8,,"Citron, A.","Martinez, B.",T9,18,3,1B,1,0,1,Foul,Changeup,84,"","",,T,1,9,Long Beach State University,Georgetown University,3,3,3
1,7064,"Citron, A. VS Martinez, B.",Long Beach State University vs Georgetown University,,,00:00:01.7,,"Citron, A.","Martinez, B.",T9,18,3,1B,1,0,2,Ball,Slider,79,"","",,T,1,9,Long Beach State University,Georgetown University,3,3,3
1,7065,"Citron, A. VS Martinez, B.",Long Beach State University vs Georgetown University,,,00:00:06.1,,"Citron, A.","Martinez, B.",T9,18,3,2B,1,1,2,Ball,Fastball,86,"","",,T,1,9,Long Beach State University,Georgetown University,3,3,3
1,7066,"Citron, A. VS Martinez, B.",Long Beach State University vs Georgetown University,,,00:00:02.2,,"Citron, A.","Martinez, B.",T9,18,3,3B,1,2,2,Strike Swinging,Fastball,86,"","",Strikeout,T,1,9,Long Beach State University,Georgetown University,3,3,3
1,7067,"Citron, A. VS Pyle, A.",Long Beach State University vs Georgetown University,,,00:00:01.4,,"Citron, A.","Pyle, A.",T9,18,3,3B,2,0,0,Strike Taken,Fastball,87,"","",,T,1,9,Long Beach State University,Georgetown University,3,4,4
1,7068,"Citron, A. VS Pyle, A.",Long Beach State University vs Georgetown University,,,00:00:01.6,,"Citron, A.","Pyle, A.",T9,18,3,3B,2,0,1,Ball,Fastball,88,"","",,T,1,9,Long Beach State University,Georgetown University,3,4,4
1,7069,"Citron, A. VS Pyle, A.",Long Beach State University vs Georgetown University,,,00:00:01.7,,"Citron, A.","Pyle, A.",T9,18,3,3B,2,1,1,Ball,Fastball,86,"","",,T,1,9,Long Beach State University,Georgetown University,3,4,4
1,7070,"Citron, A. VS Pyle, A.",Long Beach State University vs Georgetown University,,,00:00:02.1,,"Citron, A.","Pyle, A.",T9,18,3,3B,2,2,1,Foul,Fastball,88,"","",,T,1,9,Long Beach State University,Georgetown University,3,4,4
1,7071,"Citron, A. VS Pyle, A.",Long Beach State University vs Georgetown University,,,00:00:01.8,,"Citron, A.","Pyle, A.",T9,18,3,3B,2,2,2,Ball,Fastball,87,"","",,T,1,9,Long Beach State University,Georgetown University,3,4,4
1,7072,"Citron, A. VS Pyle, A.",Long Beach State University vs Georgetown University,,,00:00:03.6,,"Citron, A.","Pyle, A.",T9,18,3,3B,2,3,2,Foul,Fastball,87,"","",,T,1,9,Long Beach State University,Georgetown University,3,4,4
1,7073,"Citron, A. VS Pyle, A.",Long Beach State University vs Georgetown University,,,00:00:03.4,,"Citron, A.","Pyle, A.",T9,18,3,3B,2,3,2,Strike Swinging,Fastball,86,"","",Strikeout,T,1,9,Long Beach State University,Georgetown University,3,4,4
