outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,264,"Davis, N. VS Orr, J.",Northeastern University vs University of Maryland-College Park,,,00:00:02.2,,"Davis, N.","Orr, J.",B7,2,5,-,0,0,0,Strike Taken,Fastball,89,"","",,B,0,7,Northeastern University,University of Maryland-College Park,2,1,1
1,265,"Davis, N. VS Orr, J.",Northeastern University vs University of Maryland-College Park,,,00:00:00.9,,"Davis, N.","Orr, J.",B7,2,5,-,0,0,1,BIP,Fastball,91,Line Drive,Lineout,,B,0,7,Northeastern University,University of Maryland-College Park,2,1,1
1,266,"Davis, N. VS Lambros, E.",Northeastern University vs University of Maryland-College Park,,,00:00:02.3,,"Davis, N.","Lambros, E.",B7,2,5,-,1,0,0,Strike Taken,Slider,85,"","",,B,0,7,Northeastern University,University of Maryland-College Park,2,2,2
1,267,"Davis, N. VS Lambros, E.",Northeastern University vs University of Maryland-College Park,,,00:00:04.9,,"Davis, N.","Lambros, E.",B7,2,5,-,1,0,1,BIP,Fastball,90,Fly Ball,Flyout,,B,0,7,Northeastern University,University of Maryland-College Park,2,2,2
1,268,"Davis, N. VS Keister, K.",Northeastern University vs University of Maryland-College Park,,,00:00:02.8,,"Davis, N.","Keister, K.",B7,2,5,-,2,0,0,Ball,Slider,83,"","",,B,0,7,Northeastern University,University of Maryland-College Park,2,3,3
1,269,"Davis, N. VS Keister, K.",Northeastern University vs University of Maryland-College Park,,,00:00:03.0,,"Davis, N.","Keister, K.",B7,2,5,-,2,1,0,Strike Taken,Fastball,91,"","",,B,0,7,Northeastern University,University of Maryland-College Park,2,3,3
1,270,"Davis, N. VS Keister, K.",Northeastern University vs University of Maryland-College Park,,,00:00:04.1,,"Davis, N.","Keister, K.",B7,2,5,-,2,1,1,Ball,Slider,86,"","",,B,0,7,Northeastern University,University of Maryland-College Park,2,3,3
1,271,"Davis, N. VS Keister, K.",Northeastern University vs University of Maryland-College Park,,,00:00:03.2,,"Davis, N.","Keister, K.",B7,2,5,-,2,2,1,BIP,Slider,86,Line Drive,Lineout,,B,0,7,Northeastern University,University of Maryland-College Park,2,3,3
1,272,"Davis, N. VS Shliger, L.",Northeastern University vs University of Maryland-College Park,,,00:00:02.6,,"Davis, N.","Shliger, L.",B8,2,5,-,0,0,0,Strike Taken,Fastball,89,"","",,B,0,8,Northeastern University,University of Maryland-College Park,2,4,4
1,273,"Davis, N. VS Shliger, L.",Northeastern University vs University of Maryland-College Park,,,00:00:02.3,,"Davis, N.","Shliger, L.",B8,2,5,-,0,0,1,Ball,Slider,79,"","",,B,0,8,Northeastern University,University of Maryland-College Park,2,4,4
