outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,458,"Davis, N. VS Stevenson, J.",Georgetown University vs Ohio State University,,,00:00:02.2,,"Davis, N.","Stevenson, J.",B7,6,5,-,0,0,0,Strike Taken,Fastball,86,"","",,B,0,7,Georgetown University,Ohio State University,6,1,1
1,459,"Davis, N. VS Stevenson, J.",Georgetown University vs Ohio State University,,,00:00:02.6,,"Davis, N.","Stevenson, J.",B7,6,5,-,0,0,1,Foul,Fastball,87,"","",,B,0,7,Georgetown University,Ohio State University,6,1,1
1,460,"Davis, N. VS Stevenson, J.",Georgetown University vs Ohio State University,,,00:00:02.2,,"Davis, N.","Stevenson, J.",B7,6,5,-,0,0,2,Ball,Fastball,88,"","",,B,0,7,Georgetown University,Ohio State University,6,1,1
1,461,"Davis, N. VS Stevenson, J.",Georgetown University vs Ohio State University,,,00:00:02.4,,"Davis, N.","Stevenson, J.",B7,6,5,-,0,1,2,Foul,Slider,82,"","",,B,0,7,Georgetown University,Ohio State University,6,1,1
1,462,"Davis, N. VS Stevenson, J.",Georgetown University vs Ohio State University,,,00:00:02.5,,"Davis, N.","Stevenson, J.",B7,6,5,-,0,1,2,Ball,Slider,80,"","",,B,0,7,Georgetown University,Ohio State University,6,1,1
1,463,"Davis, N. VS Stevenson, J.",Georgetown University vs Ohio State University,,,00:00:02.8,,"Davis, N.","Stevenson, J.",B7,6,5,-,0,2,2,Ball,Slider,80,"","",,B,0,7,Georgetown University,Ohio State University,6,1,1
1,464,"Davis, N. VS Stevenson, J.",Georgetown University vs Ohio State University,,,00:00:05.8,,"Davis, N.","Stevenson, J.",B7,6,5,-,0,3,2,BIP,Fastball,88,Ground Ball,Groundout,,B,0,7,Georgetown University,Ohio State University,6,1,1
1,465,"Davis, N. VS Lipsey, T.",Georgetown University vs Ohio State University,,,00:00:03.5,,"Davis, N.","Lipsey, T.",B7,6,5,-,1,0,0,Ball,Slider,77,"","",Hit By Pitch,B,0,7,Georgetown University,Ohio State University,6,2,2
1,466,"Davis, N. VS Thomas, H.",Georgetown University vs Ohio State University,,,00:00:02.9,,"Davis, N.","Thomas, H.",B7,6,5,1B,1,0,0,Ball,Fastball,87,"","",,B,0,7,Georgetown University,Ohio State University,6,3,3
1,467,"Davis, N. VS Thomas, H.",Georgetown University vs Ohio State University,,,00:00:06.4,,"Davis, N.","Thomas, H.",B7,6,5,1B,1,1,0,Ball,Fastball,88,"","",,B,0,7,Georgetown University,Ohio State University,6,3,3
