outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,128,"Davis, N. VS Aude, M.",Georgetown University vs St. John's University (NY),,,00:00:04.8,,"Davis, N.","Aude, M.",B9,3,0,-,0,0,0,Ball,Fastball,90,"","",,B,0,9,Georgetown University,St. John's University (NY),3,1,1
1,129,"Davis, N. VS Aude, M.",Georgetown University vs St. John's University (NY),,,00:00:04.9,,"Davis, N.","Aude, M.",B9,3,0,-,0,1,0,Ball,Cutter,84,"","",,B,0,9,Georgetown University,St. John's University (NY),3,1,1
1,130,"Davis, N. VS Aude, M.",Georgetown University vs St. John's University (NY),,,00:00:05.0,,"Davis, N.","Aude, M.",B9,3,0,-,0,2,0,Strike Taken,Cutter,83,"","",,B,0,9,Georgetown University,St. John's University (NY),3,1,1
1,131,"Davis, N. VS Aude, M.",Georgetown University vs St. John's University (NY),,,00:00:05.5,,"Davis, N.","Aude, M.",B9,3,0,-,0,2,1,Ball,Cutter,85,"","",,B,0,9,Georgetown University,St. John's University (NY),3,1,1
1,132,"Davis, N. VS Aude, M.",Georgetown University vs St. John's University (NY),,,00:00:05.0,,"Davis, N.","Aude, M.",B9,3,0,-,0,3,1,Foul,Cutter,85,"","",,B,0,9,Georgetown University,St. John's University (NY),3,1,1
1,133,"Davis, N. VS Aude, M.",Georgetown University vs St. John's University (NY),,,00:00:07.8,,"Davis, N.","Aude, M.",B9,3,0,-,0,3,2,Ball,Cutter,85,"","",Walk,B,0,9,Georgetown University,St. John's University (NY),3,1,1
1,134,"Davis, N. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:05.1,,"Davis, N.","Higgins, M.",B9,3,0,1B,0,0,0,Ball,Cutter,86,"","",,B,0,9,Georgetown University,St. John's University (NY),3,2,2
1,135,"Davis, N. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:10.5,,"Davis, N.","Higgins, M.",B9,3,0,1B,0,1,0,BIP,Fastball,92,Ground Ball,Grounded Into Double Play,,B,0,9,Georgetown University,St. John's University (NY),3,2,2
1,136,"Davis, N. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:04.7,,"Davis, N.","Scavelli, G.",B9,3,0,-,2,0,0,Ball,Cutter,85,"","",,B,0,9,Georgetown University,St. John's University (NY),3,3,3
1,137,"Davis, N. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:06.4,,"Davis, N.","Scavelli, G.",B9,3,0,-,2,1,0,Foul,Cutter,85,"","",,B,0,9,Georgetown University,St. John's University (NY),3,3,3
1,138,"Davis, N. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:05.7,,"Davis, N.","Scavelli, G.",B9,3,0,-,2,1,1,Strike Swinging,Fastball,91,"","",,B,0,9,Georgetown University,St. John's University (NY),3,3,3
1,139,"Davis, N. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:07.1,,"Davis, N.","Scavelli, G.",B9,3,0,-,2,1,2,Strike Swinging,Fastball,92,"","",Strikeout,B,0,9,Georgetown University,St. John's University (NY),3,3,3
2,376,"Davis, N. VS Keenan, J.",Georgetown University vs St. John's University (NY),,,00:00:09.8,,"Davis, N.","Keenan, J.",B9,1,0,-,0,0,0,BIP,Slider,85,Ground Ball,Groundout,,B,0,9,Georgetown University,St. John's University (NY),1,1,1
2,377,"Davis, N. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:05.6,,"Davis, N.","Higgins, M.",B9,1,0,-,1,0,0,Strike Swinging,Slider,86,"","",,B,0,9,Georgetown University,St. John's University (NY),1,2,2
2,378,"Davis, N. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:04.8,,"Davis, N.","Higgins, M.",B9,1,0,-,1,0,1,Strike Taken,Slider,86,"","",,B,0,9,Georgetown University,St. John's University (NY),1,2,2
2,379,"Davis, N. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:05.9,,"Davis, N.","Higgins, M.",B9,1,0,-,1,0,2,Strike Taken,Slider,86,"","",Strikeout,B,0,9,Georgetown University,St. John's University (NY),1,2,2
2,380,"Davis, N. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:04.8,,"Davis, N.","Beauchamp, B.",B9,1,0,-,2,0,0,Strike Taken,Slider,85,"","",,B,0,9,Georgetown University,St. John's University (NY),1,3,3
2,381,"Davis, N. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:05.2,,"Davis, N.","Beauchamp, B.",B9,1,0,-,2,0,1,Ball,Slider,86,"","",,B,0,9,Georgetown University,St. John's University (NY),1,3,3
2,382,"Davis, N. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:05.2,,"Davis, N.","Beauchamp, B.",B9,1,0,-,2,1,1,Strike Taken,Slider,85,"","",,B,0,9,Georgetown University,St. John's University (NY),1,3,3
2,383,"Davis, N. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:05.1,,"Davis, N.","Beauchamp, B.",B9,1,0,-,2,1,2,Ball,Slider,86,"","",,B,0,9,Georgetown University,St. John's University (NY),1,3,3
2,384,"Davis, N. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:05.3,,"Davis, N.","Beauchamp, B.",B9,1,0,-,2,2,2,Foul,Slider,87,"","",,B,0,9,Georgetown University,St. John's University (NY),1,3,3
2,385,"Davis, N. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:05.9,,"Davis, N.","Beauchamp, B.",B9,1,0,-,2,2,2,Foul,Fastball,92,"","",,B,0,9,Georgetown University,St. John's University (NY),1,3,3
2,386,"Davis, N. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:08.4,,"Davis, N.","Beauchamp, B.",B9,1,0,-,2,2,2,Ball,Slider,86,"","",,B,0,9,Georgetown University,St. John's University (NY),1,3,3
2,387,"Davis, N. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:06.4,,"Davis, N.","Beauchamp, B.",B9,1,0,-,2,3,2,Strike Taken,Slider,85,"","",Strikeout,B,0,9,Georgetown University,St. John's University (NY),1,3,3
3,498,"Davis, N. VS Wang, N.",Georgetown University vs Boston College,,,00:00:08.4,,"Davis, N.","Wang, N.",B8,4,3,1B,2,0,0,Ball,Fastball,92,"","",,B,0,8,Georgetown University,Boston College,4,1,1
3,499,"Davis, N. VS Wang, N.",Georgetown University vs Boston College,,,00:00:05.6,,"Davis, N.","Wang, N.",B8,4,3,2B,2,1,0,Strike Taken,Slider,84,"","",,B,0,8,Georgetown University,Boston College,4,1,1
3,500,"Davis, N. VS Wang, N.",Georgetown University vs Boston College,,,00:00:05.5,,"Davis, N.","Wang, N.",B8,4,3,2B,2,1,1,Ball,Slider,85,"","",,B,0,8,Georgetown University,Boston College,4,1,1
3,501,"Davis, N. VS Wang, N.",Georgetown University vs Boston College,,,00:00:05.6,,"Davis, N.","Wang, N.",B8,4,3,2B,2,2,1,Ball,Slider,85,"","",,B,0,8,Georgetown University,Boston College,4,1,1
3,502,"Davis, N. VS Wang, N.",Georgetown University vs Boston College,,,00:00:06.1,,"Davis, N.","Wang, N.",B8,4,3,2B,2,3,1,Strike Swinging,Slider,85,"","",,B,0,8,Georgetown University,Boston College,4,1,1
3,503,"Davis, N. VS Wang, N.",Georgetown University vs Boston College,,,00:00:06.1,,"Davis, N.","Wang, N.",B8,4,3,2B,2,3,2,Foul,Slider,86,"","",,B,0,8,Georgetown University,Boston College,4,1,1
3,504,"Davis, N. VS Wang, N.",Georgetown University vs Boston College,,,00:00:10.7,,"Davis, N.","Wang, N.",B8,4,3,2B,2,3,2,BIP,Slider,87,Fly Ball,Flyout,,B,0,8,Georgetown University,Boston College,4,1,1
3,505,"Davis, N. VS Wolff, K.",Georgetown University vs Boston College,,,00:00:09.4,,"Davis, N.","Wolff, K.",B9,4,3,-,0,0,0,BIP,Slider,85,Fly Ball,Flyout,,B,0,9,Georgetown University,Boston College,4,2,2
3,506,"Davis, N. VS Magpoc, A.",Georgetown University vs Boston College,,,00:00:05.4,,"Davis, N.","Magpoc, A.",B9,4,3,-,1,0,0,Strike Swinging,Fastball,92,"","",,B,0,9,Georgetown University,Boston College,4,3,3
3,507,"Davis, N. VS Magpoc, A.",Georgetown University vs Boston College,,,00:00:05.3,,"Davis, N.","Magpoc, A.",B9,4,3,-,1,0,1,Ball,Fastball,92,"","",,B,0,9,Georgetown University,Boston College,4,3,3
3,508,"Davis, N. VS Magpoc, A.",Georgetown University vs Boston College,,,00:00:05.7,,"Davis, N.","Magpoc, A.",B9,4,3,-,1,1,1,Ball,Fastball,92,"","",,B,0,9,Georgetown University,Boston College,4,3,3
3,509,"Davis, N. VS Magpoc, A.",Georgetown University vs Boston College,,,00:00:05.4,,"Davis, N.","Magpoc, A.",B9,4,3,-,1,2,1,Strike Taken,Slider,85,"","",,B,0,9,Georgetown University,Boston College,4,3,3
3,510,"Davis, N. VS Magpoc, A.",Georgetown University vs Boston College,,,00:00:11.6,,"Davis, N.","Magpoc, A.",B9,4,3,-,1,2,2,BIP,Fastball,92,Line Drive,Single,,B,0,9,Georgetown University,Boston College,4,3,3
3,511,"Davis, N. VS Landwehr, P.",Georgetown University vs Boston College,,,00:00:05.5,,"Davis, N.","Landwehr, P.",B9,4,3,1B,1,0,0,Ball,Slider,84,"","",,B,0,9,Georgetown University,Boston College,4,4,4
3,512,"Davis, N. VS Landwehr, P.",Georgetown University vs Boston College,,,00:00:05.7,,"Davis, N.","Landwehr, P.",B9,4,3,1B,1,1,0,Strike Swinging,Slider,86,"","",,B,0,9,Georgetown University,Boston College,4,4,4
3,513,"Davis, N. VS Landwehr, P.",Georgetown University vs Boston College,,,00:00:08.1,,"Davis, N.","Landwehr, P.",B9,4,3,1B,1,1,1,Ball,Slider,86,"","",,B,0,9,Georgetown University,Boston College,4,4,4
