outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id
1,1,"Fenton, A. VS Selden, J.",Davidson College vs Virginia Commonwealth University,,,00:00:02.6,,"Fenton, A.","Selden, J.",B7,3,10,-,0,0,0,Foul,Fastball,89,"","",,,B,0,7,Davidson College,Virginia Commonwealth University,3,1
1,2,"Fenton, A. VS Selden, J.",Davidson College vs Virginia Commonwealth University,,,00:00:02.4,,"Fenton, A.","Selden, J.",B7,3,10,-,0,0,1,Ball,Fastball,85,"","",,,B,0,7,Davidson College,Virginia Commonwealth University,3,1
1,3,"Fenton, A. VS Selden, J.",Davidson College vs Virginia Commonwealth University,,,00:00:02.3,,"Fenton, A.","Selden, J.",B7,3,10,-,0,1,1,Ball,Slider,80,"","",,,B,0,7,Davidson College,Virginia Commonwealth University,3,1
1,4,"Fenton, A. VS Selden, J.",Davidson College vs Virginia Commonwealth University,,,00:00:02.4,,"Fenton, A.","Selden, J.",B7,3,10,-,0,2,1,Foul,Fastball,89,"","",,,B,0,7,Davidson College,Virginia Commonwealth University,3,1
1,5,"Fenton, A. VS Selden, J.",Davidson College vs Virginia Commonwealth University,,,00:00:02.6,,"Fenton, A.","Selden, J.",B7,3,10,-,0,2,2,Strike Taken,Slider,80,"","",Strikeout,,B,0,7,Davidson College,Virginia Commonwealth University,3,1
1,6,"Fenton, A. VS Benzin, C.",Davidson College vs Virginia Commonwealth University,,,00:00:01.9,,"Fenton, A.","Benzin, C.",B7,3,10,-,1,0,0,Strike Taken,Slider,80,"","",,,B,0,7,Davidson College,Virginia Commonwealth University,3,2
1,7,"Fenton, A. VS Benzin, C.",Davidson College vs Virginia Commonwealth University,,,00:00:02.4,,"Fenton, A.","Benzin, C.",B7,3,10,-,1,0,1,Ball,Fastball,89,"","",,,B,0,7,Davidson College,Virginia Commonwealth University,3,2
1,8,"Fenton, A. VS Benzin, C.",Davidson College vs Virginia Commonwealth University,,,00:00:07.5,,"Fenton, A.","Benzin, C.",B7,3,10,-,1,1,1,BIP,Slider,80,Line Drive,Lineout,,,B,0,7,Davidson College,Virginia Commonwealth University,3,2
1,9,"Fenton, A. VS O'malley, M.",Davidson College vs Virginia Commonwealth University,,,00:00:01.9,,"Fenton, A.","O'malley, M.",B7,3,10,-,2,0,0,Strike Taken,Fastball,89,"","",,,B,0,7,Davidson College,Virginia Commonwealth University,3,3
1,10,"Fenton, A. VS O'malley, M.",Davidson College vs Virginia Commonwealth University,,,00:00:02.5,,"Fenton, A.","O'malley, M.",B7,3,10,-,2,0,1,Ball,Fastball,85,"","",,,B,0,7,Davidson College,Virginia Commonwealth University,3,3
