outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,491,"Fenton, A. VS Hegemann, J.",Georgetown University vs University of Cincinnati,,,00:00:05.2,,"Fenton, A.","Hegemann, J.",B4,1,4,2B-3B,1,0,0,Strike Taken,Fastball,82,"","",,B,0,4,Georgetown University,University of Cincinnati,1,1,1
1,492,"Fenton, A. VS Hegemann, J.",Georgetown University vs University of Cincinnati,,,00:00:13.6,,"Fenton, A.","Hegemann, J.",B4,1,4,2B-3B,1,0,1,BIP,Fastball,83,Fly Ball,Sacrifice Fly,,B,0,4,Georgetown University,University of Cincinnati,1,1,1
1,493,"Fenton, A. VS Cross, K.",Georgetown University vs University of Cincinnati,,,00:00:05.8,,"Fenton, A.","Cross, K.",B4,1,5,3B,2,0,0,Ball,Fastball,84,"","",,B,0,4,Georgetown University,University of Cincinnati,1,2,2
1,494,"Fenton, A. VS Cross, K.",Georgetown University vs University of Cincinnati,,,00:00:05.1,,"Fenton, A.","Cross, K.",B4,1,5,3B,2,1,0,Strike Taken,Slider,76,"","",,B,0,4,Georgetown University,University of Cincinnati,1,2,2
1,495,"Fenton, A. VS Cross, K.",Georgetown University vs University of Cincinnati,,,00:00:05.2,,"Fenton, A.","Cross, K.",B4,1,5,3B,2,1,1,Strike Taken,Slider,76,"","",,B,0,4,Georgetown University,University of Cincinnati,1,2,2
1,496,"Fenton, A. VS Cross, K.",Georgetown University vs University of Cincinnati,,,00:00:05.6,,"Fenton, A.","Cross, K.",B4,1,5,3B,2,1,2,Ball,Slider,76,"","",,B,0,4,Georgetown University,University of Cincinnati,1,2,2
1,497,"Fenton, A. VS Cross, K.",Georgetown University vs University of Cincinnati,,,00:00:05.5,,"Fenton, A.","Cross, K.",B4,1,5,3B,2,2,2,Foul,Fastball,82,"","",,B,0,4,Georgetown University,University of Cincinnati,1,2,2
1,498,"Fenton, A. VS Cross, K.",Georgetown University vs University of Cincinnati,,,00:00:08.8,,"Fenton, A.","Cross, K.",B4,1,5,3B,2,2,2,Ball,Slider,77,"","",,B,0,4,Georgetown University,University of Cincinnati,1,2,2
1,499,"Fenton, A. VS Cross, K.",Georgetown University vs University of Cincinnati,,,00:00:06.8,,"Fenton, A.","Cross, K.",B4,1,6,-,2,3,2,Strike Swinging,Slider,77,"","",Strikeout,B,0,4,Georgetown University,University of Cincinnati,1,2,2
2,802,"Fenton, A. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:05.3,,"Fenton, A.","Dorighi, C.",T5,10,4,1B-2B,2,0,0,Ball,Slider,73,"","",,T,1,5,Butler University,Georgetown University,4,1,1
2,803,"Fenton, A. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:13.5,,"Fenton, A.","Dorighi, C.",T5,10,4,1B-2B,2,1,0,BIP,Fastball,82,Line Drive,Single,,T,1,5,Butler University,Georgetown University,4,1,1
2,804,"Fenton, A. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.8,,"Fenton, A.","Carter, X.",T5,11,4,1B-2B,2,0,0,Ball,Slider,75,"","",,T,1,5,Butler University,Georgetown University,4,2,2
2,805,"Fenton, A. VS Carter, X.",Butler University vs Georgetown University,,,00:00:06.3,,"Fenton, A.","Carter, X.",T5,11,4,1B-2B,2,1,0,Strike Swinging,Fastball,82,"","",,T,1,5,Butler University,Georgetown University,4,2,2
2,806,"Fenton, A. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.3,,"Fenton, A.","Carter, X.",T5,11,4,1B-2B,2,1,1,Ball,Fastball,81,"","",,T,1,5,Butler University,Georgetown University,4,2,2
2,807,"Fenton, A. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.6,,"Fenton, A.","Carter, X.",T5,11,4,1B-2B,2,2,1,Strike Taken,Fastball,81,"","",,T,1,5,Butler University,Georgetown University,4,2,2
2,808,"Fenton, A. VS Carter, X.",Butler University vs Georgetown University,,,00:00:14.1,,"Fenton, A.","Carter, X.",T5,11,4,1B-2B,2,2,2,BIP,Fastball,81,Line Drive,Single,,T,1,5,Butler University,Georgetown University,4,2,2
2,809,"Fenton, A. VS Jones, S.",Butler University vs Georgetown University,,,00:00:05.2,,"Fenton, A.","Jones, S.",T5,12,4,1B-3B,2,0,0,Ball,Fastball,80,"","",,T,1,5,Butler University,Georgetown University,4,3,3
2,810,"Fenton, A. VS Jones, S.",Butler University vs Georgetown University,,,00:00:05.7,,"Fenton, A.","Jones, S.",T5,12,4,1B-3B,2,1,0,Ball,Fastball,82,"","",Hit By Pitch,T,1,5,Butler University,Georgetown University,4,3,3
2,811,"Fenton, A. VS All, K.",Butler University vs Georgetown University,,,00:00:05.5,,"Fenton, A.","All, K.",T5,12,4,1B-2B-3B,2,0,0,Ball,Fastball,81,"","",,T,1,5,Butler University,Georgetown University,4,4,4
2,812,"Fenton, A. VS All, K.",Butler University vs Georgetown University,,,00:00:05.2,,"Fenton, A.","All, K.",T5,12,4,1B-2B-3B,2,1,0,Ball,Slider,74,"","",,T,1,5,Butler University,Georgetown University,4,4,4
2,813,"Fenton, A. VS All, K.",Butler University vs Georgetown University,,,00:00:05.7,,"Fenton, A.","All, K.",T5,12,4,1B-2B-3B,2,2,0,Strike Taken,Fastball,82,"","",,T,1,5,Butler University,Georgetown University,4,4,4
2,814,"Fenton, A. VS All, K.",Butler University vs Georgetown University,,,00:00:06.1,,"Fenton, A.","All, K.",T5,12,4,1B-2B-3B,2,2,1,Ball,Fastball,84,"","",,T,1,5,Butler University,Georgetown University,4,4,4
3,1263,"Fenton, A. VS Heckelman, B.",Georgetown University vs Towson University,,,00:00:04.9,,"Fenton, A.","Heckelman, B.",B7,1,7,-,0,0,0,Strike Taken,Fastball,84,"","",,B,0,7,Georgetown University,Towson University,1,1,1
3,1264,"Fenton, A. VS Heckelman, B.",Georgetown University vs Towson University,,,00:00:05.1,,"Fenton, A.","Heckelman, B.",B7,1,7,-,0,0,1,Ball,Fastball,82,"","",,B,0,7,Georgetown University,Towson University,1,1,1
3,1265,"Fenton, A. VS Heckelman, B.",Georgetown University vs Towson University,,,00:00:05.8,,"Fenton, A.","Heckelman, B.",B7,1,7,-,0,1,1,Ball,Fastball,82,"","",,B,0,7,Georgetown University,Towson University,1,1,1
3,1266,"Fenton, A. VS Heckelman, B.",Georgetown University vs Towson University,,,00:00:05.0,,"Fenton, A.","Heckelman, B.",B7,1,7,-,0,2,1,Ball,Fastball,84,"","",,B,0,7,Georgetown University,Towson University,1,1,1
3,1267,"Fenton, A. VS Heckelman, B.",Georgetown University vs Towson University,,,00:00:05.5,,"Fenton, A.","Heckelman, B.",B7,1,7,-,0,3,1,Foul,Fastball,83,"","",,B,0,7,Georgetown University,Towson University,1,1,1
3,1268,"Fenton, A. VS Heckelman, B.",Georgetown University vs Towson University,,,00:00:04.9,,"Fenton, A.","Heckelman, B.",B7,1,7,-,0,3,2,Ball,Fastball,83,"","",Hit By Pitch,B,0,7,Georgetown University,Towson University,1,1,1
3,1269,"Fenton, A. VS Peyton, J.",Georgetown University vs Towson University,,,00:00:05.0,,"Fenton, A.","Peyton, J.",B7,1,7,1B,0,0,0,Strike Taken,Slider,75,"","",,B,0,7,Georgetown University,Towson University,1,2,2
3,1270,"Fenton, A. VS Peyton, J.",Georgetown University vs Towson University,,,00:00:09.9,,"Fenton, A.","Peyton, J.",B7,1,7,1B,0,0,1,BIP,Changeup,82,Ground Ball,Grounded Into Double Play,,B,0,7,Georgetown University,Towson University,1,2,2
3,1271,"Fenton, A. VS Moses, J.",Georgetown University vs Towson University,,,00:00:04.9,,"Fenton, A.","Moses, J.",B7,1,7,-,2,0,0,Strike Taken,Slider,75,"","",,B,0,7,Georgetown University,Towson University,1,3,3
3,1272,"Fenton, A. VS Moses, J.",Georgetown University vs Towson University,,,00:00:04.9,,"Fenton, A.","Moses, J.",B7,1,7,-,2,0,1,Ball,Changeup,82,"","",,B,0,7,Georgetown University,Towson University,1,3,3
3,1273,"Fenton, A. VS Moses, J.",Georgetown University vs Towson University,,,00:00:04.9,,"Fenton, A.","Moses, J.",B7,1,7,-,2,1,1,Ball,Slider,76,"","",,B,0,7,Georgetown University,Towson University,1,3,3
3,1274,"Fenton, A. VS Moses, J.",Georgetown University vs Towson University,,,00:00:04.9,,"Fenton, A.","Moses, J.",B7,1,7,-,2,2,1,Strike Taken,Fastball,83,"","",,B,0,7,Georgetown University,Towson University,1,3,3
3,1275,"Fenton, A. VS Moses, J.",Georgetown University vs Towson University,,,00:00:05.3,,"Fenton, A.","Moses, J.",B7,1,7,-,2,2,2,Ball,Changeup,83,"","",,B,0,7,Georgetown University,Towson University,1,3,3
3,1276,"Fenton, A. VS Moses, J.",Georgetown University vs Towson University,,,00:00:05.4,,"Fenton, A.","Moses, J.",B7,1,7,-,2,3,2,Ball,Changeup,83,"","",Walk,B,0,7,Georgetown University,Towson University,1,3,3
3,1277,"Fenton, A. VS Bishop, C.",Georgetown University vs Towson University,,,00:00:04.9,,"Fenton, A.","Bishop, C.",B7,1,7,1B,2,0,0,Strike Taken,Slider,76,"","",,B,0,7,Georgetown University,Towson University,1,4,4
3,1278,"Fenton, A. VS Bishop, C.",Georgetown University vs Towson University,,,00:00:05.8,,"Fenton, A.","Bishop, C.",B7,1,7,1B,2,0,1,Ball,Fastball,83,"","",,B,0,7,Georgetown University,Towson University,1,4,4
3,1279,"Fenton, A. VS Bishop, C.",Georgetown University vs Towson University,,,00:00:11.6,,"Fenton, A.","Bishop, C.",B7,1,7,1B,2,1,1,BIP,Fastball,82,Popup,Popout,,B,0,7,Georgetown University,Towson University,1,4,4
