outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id
1,1,"Fenton, A. VS Smith, J.",Georgetown University vs George Mason University,,,00:00:05.2,,"Fenton, A.","Smith, J.",B7,16,6,-,0,0,0,Ball,Fastball,86,"","",,,B,0,7,Georgetown University,George Mason University,16,1
1,2,"Fenton, A. VS Smith, J.",Georgetown University vs George Mason University,,,00:00:09.7,,"Fenton, A.","Smith, J.",B7,16,6,-,0,1,0,BIP,Fastball,84,Ground Ball,Field Error,,,B,0,7,Georgetown University,George Mason University,16,1
1,3,"Fenton, A. VS Trotta, M.",Georgetown University vs George Mason University,,,00:00:05.1,,"Fenton, A.","Trotta, M.",B7,16,6,1B,0,0,0,Strike Taken,Fastball,85,"","",,,B,0,7,Georgetown University,George Mason University,16,2
1,4,"Fenton, A. VS Trotta, M.",Georgetown University vs George Mason University,,,00:00:11.2,,"Fenton, A.","Trotta, M.",B7,16,6,1B,0,0,1,BIP,Fastball,85,Ground Ball,Single,,,B,0,7,Georgetown University,George Mason University,16,2
1,5,"Fenton, A. VS Archibald, R.",Georgetown University vs George Mason University,,,00:00:05.2,,"Fenton, A.","Archibald, R.",B7,16,6,1B-2B,0,0,0,Strike Taken,Fastball,83,"","",,,B,0,7,Georgetown University,George Mason University,16,3
1,6,"Fenton, A. VS Archibald, R.",Georgetown University vs George Mason University,,,00:00:05.3,,"Fenton, A.","Archibald, R.",B7,16,6,1B-2B,0,0,1,Ball,Changeup,80,"","",,,B,0,7,Georgetown University,George Mason University,16,3
1,7,"Fenton, A. VS Archibald, R.",Georgetown University vs George Mason University,,,00:00:05.4,,"Fenton, A.","Archibald, R.",B7,16,6,1B-2B,0,1,1,Ball,Fastball,84,"","",,,B,0,7,Georgetown University,George Mason University,16,3
1,8,"Fenton, A. VS Archibald, R.",Georgetown University vs George Mason University,,,00:00:05.1,,"Fenton, A.","Archibald, R.",B7,16,6,1B-2B,0,2,1,Strike Taken,Fastball,85,"","",,,B,0,7,Georgetown University,George Mason University,16,3
1,9,"Fenton, A. VS Archibald, R.",Georgetown University vs George Mason University,,,00:00:09.9,,"Fenton, A.","Archibald, R.",B7,16,6,1B-2B,0,2,2,BIP,Changeup,81,Ground Ball,Groundout,,,B,0,7,Georgetown University,George Mason University,16,3
1,10,"Fenton, A. VS Powell, B.",Georgetown University vs George Mason University,,,00:00:05.4,,"Fenton, A.","Powell, B.",B7,16,6,2B-3B,1,0,0,Ball,Changeup,79,"","",,,B,0,7,Georgetown University,George Mason University,16,4
1,11,"Fenton, A. VS Powell, B.",Georgetown University vs George Mason University,,,00:00:05.8,,"Fenton, A.","Powell, B.",B7,16,6,2B-3B,1,1,0,Ball,Fastball,84,"","",,,B,0,7,Georgetown University,George Mason University,16,4
1,12,"Fenton, A. VS Powell, B.",Georgetown University vs George Mason University,,,00:00:05.8,,"Fenton, A.","Powell, B.",B7,16,6,2B-3B,1,2,0,Ball,Fastball,84,"","",,,B,0,7,Georgetown University,George Mason University,16,4
1,13,"Fenton, A. VS Powell, B.",Georgetown University vs George Mason University,,,00:00:06.1,,"Fenton, A.","Powell, B.",B7,16,6,2B-3B,1,3,0,Ball,Fastball,84,"","",Walk,,B,0,7,Georgetown University,George Mason University,16,4
1,14,"Fenton, A. VS Woody, R.",Georgetown University vs George Mason University,,,00:00:06.7,,"Fenton, A.","Woody, R.",B7,16,6,1B-2B-3B,1,0,0,Foul,Changeup,82,"","",,,B,0,7,Georgetown University,George Mason University,16,5
1,15,"Fenton, A. VS Woody, R.",Georgetown University vs George Mason University,,,00:00:05.9,,"Fenton, A.","Woody, R.",B7,16,6,1B-2B-3B,1,0,1,Ball,Changeup,80,"","",,,B,0,7,Georgetown University,George Mason University,16,5
1,16,"Fenton, A. VS Woody, R.",Georgetown University vs George Mason University,,,00:00:10.9,,"Fenton, A.","Woody, R.",B7,16,6,1B-2B-3B,1,1,1,BIP,Changeup,81,Fly Ball,Flyout,,,B,0,7,Georgetown University,George Mason University,16,5
1,17,"Fenton, A. VS Shealor, B.",Georgetown University vs George Mason University,,,00:00:05.7,,"Fenton, A.","Shealor, B.",B7,16,6,1B-2B-3B,2,0,0,Ball,Slider,76,"","",,,B,0,7,Georgetown University,George Mason University,16,6
1,18,"Fenton, A. VS Shealor, B.",Georgetown University vs George Mason University,,,00:00:05.2,,"Fenton, A.","Shealor, B.",B7,16,6,1B-2B-3B,2,1,0,Strike Taken,Fastball,83,"","",,,B,0,7,Georgetown University,George Mason University,16,6
1,19,"Fenton, A. VS Shealor, B.",Georgetown University vs George Mason University,,,00:00:05.3,,"Fenton, A.","Shealor, B.",B7,16,6,1B-2B-3B,2,1,1,Ball,Slider,76,"","",,,B,0,7,Georgetown University,George Mason University,16,6
1,20,"Fenton, A. VS Shealor, B.",Georgetown University vs George Mason University,,,00:00:05.2,,"Fenton, A.","Shealor, B.",B7,16,6,1B-2B-3B,2,2,1,Strike Taken,Fastball,83,"","",,,B,0,7,Georgetown University,George Mason University,16,6
1,21,"Fenton, A. VS Shealor, B.",Georgetown University vs George Mason University,,,00:00:05.3,,"Fenton, A.","Shealor, B.",B7,16,6,1B-2B-3B,2,2,2,Ball,Slider,76,"","",,,B,0,7,Georgetown University,George Mason University,16,6
1,22,"Fenton, A. VS Shealor, B.",Georgetown University vs George Mason University,,,00:00:09.8,,"Fenton, A.","Shealor, B.",B7,16,6,1B-2B-3B,2,3,2,BIP,Fastball,0,Ground Ball,Groundout,,,B,0,7,Georgetown University,George Mason University,16,6
1,23,"Fenton, A. VS Wood, D.",Georgetown University vs George Mason University,,,00:00:05.2,,"Fenton, A.","Wood, D.",B8,16,6,-,0,0,0,Ball,Fastball,84,"","",,,B,0,8,Georgetown University,George Mason University,16,7
1,24,"Fenton, A. VS Wood, D.",Georgetown University vs George Mason University,,,00:00:05.6,,"Fenton, A.","Wood, D.",B8,16,6,-,0,1,0,Ball,Fastball,84,"","",,,B,0,8,Georgetown University,George Mason University,16,7
1,25,"Fenton, A. VS Wood, D.",Georgetown University vs George Mason University,,,00:00:05.3,,"Fenton, A.","Wood, D.",B8,16,6,-,0,2,0,Ball,Fastball,84,"","",,,B,0,8,Georgetown University,George Mason University,16,7
1,26,"Fenton, A. VS Wood, D.",Georgetown University vs George Mason University,,,00:00:05.2,,"Fenton, A.","Wood, D.",B8,16,6,-,0,3,0,Strike Taken,Fastball,85,"","",,,B,0,8,Georgetown University,George Mason University,16,7
1,27,"Fenton, A. VS Wood, D.",Georgetown University vs George Mason University,,,00:00:06.0,,"Fenton, A.","Wood, D.",B8,16,6,-,0,3,1,Ball,Fastball,81,"","",Walk,,B,0,8,Georgetown University,George Mason University,16,7
1,28,"Fenton, A. VS Trimble, S.",Georgetown University vs George Mason University,,,00:00:05.8,,"Fenton, A.","Trimble, S.",B8,16,6,1B,0,0,0,Ball,Slider,75,"","",,,B,0,8,Georgetown University,George Mason University,16,8
1,29,"Fenton, A. VS Trimble, S.",Georgetown University vs George Mason University,,,00:00:05.2,,"Fenton, A.","Trimble, S.",B8,16,6,1B,0,1,0,Strike Taken,Fastball,82,"","",,,B,0,8,Georgetown University,George Mason University,16,8
1,30,"Fenton, A. VS Trimble, S.",Georgetown University vs George Mason University,,,00:00:07.7,,"Fenton, A.","Trimble, S.",B8,16,6,1B,0,1,1,Ball,Slider,73,"","",,,B,0,8,Georgetown University,George Mason University,16,8
1,31,"Fenton, A. VS Trimble, S.",Georgetown University vs George Mason University,,,00:00:05.2,,"Fenton, A.","Trimble, S.",B8,16,6,1B,0,2,1,Strike Taken,Changeup,79,"","",,,B,0,8,Georgetown University,George Mason University,16,8
1,32,"Fenton, A. VS Trimble, S.",Georgetown University vs George Mason University,,,00:00:09.1,,"Fenton, A.","Trimble, S.",B8,16,6,1B,0,2,2,Strike Swinging,Slider,76,"","",Strikeout,,B,0,8,Georgetown University,George Mason University,16,8
1,33,"Fenton, A. VS Stallings, B.",Georgetown University vs George Mason University,,,00:00:14.2,,"Fenton, A.","Stallings, B.",B8,16,6,2B,1,0,0,BIP,Slider,73,Line Drive,Single,,,B,0,8,Georgetown University,George Mason University,16,9
1,34,"Fenton, A. VS Smith, J.",Georgetown University vs George Mason University,,,00:00:05.5,,"Fenton, A.","Smith, J.",B8,16,7,1B,1,0,0,Ball,Fastball,83,"","",,,B,0,8,Georgetown University,George Mason University,16,10
1,35,"Fenton, A. VS Smith, J.",Georgetown University vs George Mason University,,,00:00:12.1,,"Fenton, A.","Smith, J.",B8,16,7,1B,1,1,0,BIP,Slider,75,Line Drive,Single,,,B,0,8,Georgetown University,George Mason University,16,10
1,36,"Fenton, A. VS Trotta, M.",Georgetown University vs George Mason University,,,00:00:05.8,,"Fenton, A.","Trotta, M.",B8,16,7,1B-2B,1,0,0,Foul,Fastball,0,"","",,,B,0,8,Georgetown University,George Mason University,16,11
