outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,2748,"Franco, J. VS Hacopian, E.",Georgetown University vs University of Maryland-College Park,,,00:00:03.0,,"Franco, J.","Hacopian, E.",B1,1,0,-,0,0,0,Foul,Fastball,86,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,1,1
1,2749,"Franco, J. VS Hacopian, E.",Georgetown University vs University of Maryland-College Park,,,00:00:04.1,,"Franco, J.","Hacopian, E.",B1,1,0,-,0,0,1,Ball,Curveball,76,"","",Hit By Pitch,B,0,1,Georgetown University,University of Maryland-College Park,1,1,1
1,2750,"Franco, J. VS Hojnar, S.",Georgetown University vs University of Maryland-College Park,,,00:00:03.2,,"Franco, J.","Hojnar, S.",B1,1,0,1B,0,0,0,Ball,Fastball,87,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,2,2
1,2751,"Franco, J. VS Hojnar, S.",Georgetown University vs University of Maryland-College Park,,,00:00:02.4,,"Franco, J.","Hojnar, S.",B1,1,0,1B,0,1,0,Ball,Fastball,86,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,2,2
1,2752,"Franco, J. VS Hojnar, S.",Georgetown University vs University of Maryland-College Park,,,00:00:03.3,,"Franco, J.","Hojnar, S.",B1,1,0,1B,0,2,0,Ball,Fastball,87,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,2,2
1,2753,"Franco, J. VS Hojnar, S.",Georgetown University vs University of Maryland-College Park,,,00:00:04.2,,"Franco, J.","Hojnar, S.",B1,1,0,1B,0,3,0,Ball,Fastball,86,"","",Walk,B,0,1,Georgetown University,University of Maryland-College Park,1,2,2
1,2754,"Franco, J. VS Hacopian, C.",Georgetown University vs University of Maryland-College Park,,,00:00:02.1,,"Franco, J.","Hacopian, C.",B1,1,0,1B-2B,0,0,0,Ball,Fastball,88,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,3,3
1,2755,"Franco, J. VS Hacopian, C.",Georgetown University vs University of Maryland-College Park,,,00:00:02.5,,"Franco, J.","Hacopian, C.",B1,1,0,1B-2B,0,1,0,Ball,Fastball,85,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,3,3
1,2756,"Franco, J. VS Hacopian, C.",Georgetown University vs University of Maryland-College Park,,,00:00:02.4,,"Franco, J.","Hacopian, C.",B1,1,0,1B-2B,0,2,0,Ball,Fastball,86,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,3,3
1,2757,"Franco, J. VS Hacopian, C.",Georgetown University vs University of Maryland-College Park,,,00:00:04.7,,"Franco, J.","Hacopian, C.",B1,1,0,1B-2B,0,3,0,Ball,Fastball,86,"","",Hit By Pitch,B,0,1,Georgetown University,University of Maryland-College Park,1,3,3
