outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,6687,"Franco, J. VS Hacopian, E.",Georgetown University vs University of Maryland-College Park,,,00:00:06.0,,"Franco, J.","Hacopian, E.",B1,1,0,-,0,0,0,Foul,Fastball,86,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,1,1
1,6688,"Franco, J. VS Hacopian, E.",Georgetown University vs University of Maryland-College Park,,,00:00:07.1,,"Franco, J.","Hacopian, E.",B1,1,0,-,0,0,1,Ball,Curveball,76,"","",Hit By Pitch,B,0,1,Georgetown University,University of Maryland-College Park,1,1,1
1,6689,"Franco, J. VS Hojnar, S.",Georgetown University vs University of Maryland-College Park,,,00:00:06.2,,"Franco, J.","Hojnar, S.",B1,1,0,1B,0,0,0,Ball,Fastball,87,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,2,2
1,6690,"Franco, J. VS Hojnar, S.",Georgetown University vs University of Maryland-College Park,,,00:00:05.4,,"Franco, J.","Hojnar, S.",B1,1,0,1B,0,1,0,Ball,Fastball,86,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,2,2
1,6691,"Franco, J. VS Hojnar, S.",Georgetown University vs University of Maryland-College Park,,,00:00:06.3,,"Franco, J.","Hojnar, S.",B1,1,0,1B,0,2,0,Ball,Fastball,87,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,2,2
1,6692,"Franco, J. VS Hojnar, S.",Georgetown University vs University of Maryland-College Park,,,00:00:07.2,,"Franco, J.","Hojnar, S.",B1,1,0,1B,0,3,0,Ball,Fastball,86,"","",Walk,B,0,1,Georgetown University,University of Maryland-College Park,1,2,2
1,6693,"Franco, J. VS Hacopian, C.",Georgetown University vs University of Maryland-College Park,,,00:00:05.1,,"Franco, J.","Hacopian, C.",B1,1,0,1B-2B,0,0,0,Ball,Fastball,88,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,3,3
1,6694,"Franco, J. VS Hacopian, C.",Georgetown University vs University of Maryland-College Park,,,00:00:05.5,,"Franco, J.","Hacopian, C.",B1,1,0,1B-2B,0,1,0,Ball,Fastball,85,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,3,3
1,6695,"Franco, J. VS Hacopian, C.",Georgetown University vs University of Maryland-College Park,,,00:00:05.4,,"Franco, J.","Hacopian, C.",B1,1,0,1B-2B,0,2,0,Ball,Fastball,86,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,3,3
1,6696,"Franco, J. VS Hacopian, C.",Georgetown University vs University of Maryland-College Park,,,00:00:07.7,,"Franco, J.","Hacopian, C.",B1,1,0,1B-2B,0,3,0,Ball,Fastball,86,"","",Hit By Pitch,B,0,1,Georgetown University,University of Maryland-College Park,1,3,3
1,6697,"Franco, J. VS Keister, K.",Georgetown University vs University of Maryland-College Park,,,00:00:06.2,,"Franco, J.","Keister, K.",B1,1,0,1B-2B-3B,0,0,0,Ball,Fastball,87,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,4,4
1,6698,"Franco, J. VS Keister, K.",Georgetown University vs University of Maryland-College Park,,,00:00:05.1,,"Franco, J.","Keister, K.",B1,1,0,1B-2B-3B,0,1,0,Ball,Fastball,87,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,4,4
1,6699,"Franco, J. VS Keister, K.",Georgetown University vs University of Maryland-College Park,,,00:00:05.2,,"Franco, J.","Keister, K.",B1,1,0,1B-2B-3B,0,2,0,Ball,Fastball,86,"","",,B,0,1,Georgetown University,University of Maryland-College Park,1,4,4
1,6700,"Franco, J. VS Keister, K.",Georgetown University vs University of Maryland-College Park,,,00:00:06.5,,"Franco, J.","Keister, K.",B1,1,0,1B-2B-3B,0,3,0,Ball,Fastball,86,"","",Walk,B,0,1,Georgetown University,University of Maryland-College Park,1,4,4
2,7288,"Franco, J. VS Burden, J.",University of California vs Georgetown University,,,00:00:14.5,,"Franco, J.","Burden, J.",T9,9,3,-,0,0,0,BIP,Fastball,89,Fly Ball,Double,,T,1,9,University of California,Georgetown University,3,1,1
