outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id
1,1,"Frye, C. VS Teel, K.",Georgetown University vs University of Virginia,,,00:00:02.3,,"Frye, C.","Teel, K.",B5,4,3, - ,0,0,0,Strike Taken,Fastball,0,"","",,,B,0,5,Georgetown University,University of Virginia,4,1
1,2,"Frye, C. VS Teel, K.",Georgetown University vs University of Virginia,,,00:00:02.8,,"Frye, C.","Teel, K.",B5,4,3, - ,0,0,1,Strike Swinging,Curveball,78,"","",,,B,0,5,Georgetown University,University of Virginia,4,1
1,3,"Frye, C. VS Teel, K.",Georgetown University vs University of Virginia,,,00:00:02.3,,"Frye, C.","Teel, K.",B5,4,3, - ,0,0,2,Ball,Fastball,0,"","",,,B,0,5,Georgetown University,University of Virginia,4,1
1,4,"Frye, C. VS Teel, K.",Georgetown University vs University of Virginia,,,00:00:05.7,,"Frye, C.","Teel, K.",B5,4,3, - ,0,1,2,BIP,Curveball,78,Fly Ball,Flyout,,,B,0,5,Georgetown University,University of Virginia,4,1
1,5,"Frye, C. VS Gelof, J.",Georgetown University vs University of Virginia,,,00:00:01.9,,"Frye, C.","Gelof, J.",B5,4,3, - ,1,0,0,Ball,Fastball,86,"","",,,B,0,5,Georgetown University,University of Virginia,4,2
1,6,"Frye, C. VS Gelof, J.",Georgetown University vs University of Virginia,,,00:00:02.5,,"Frye, C.","Gelof, J.",B5,4,3, - ,1,1,0,Foul,Fastball,0,"","",,,B,0,5,Georgetown University,University of Virginia,4,2
1,7,"Frye, C. VS Gelof, J.",Georgetown University vs University of Virginia,,,00:00:02.6,,"Frye, C.","Gelof, J.",B5,4,3, - ,1,1,1,Ball,Curveball,0,"","",,,B,0,5,Georgetown University,University of Virginia,4,2
1,8,"Frye, C. VS Gelof, J.",Georgetown University vs University of Virginia,,,00:00:07.8,,"Frye, C.","Gelof, J.",B5,4,3, - ,1,2,1,BIP,Fastball,89,Fly Ball,Flyout,,,B,0,5,Georgetown University,University of Virginia,4,2
1,9,"Frye, C. VS Tappen, A.",Georgetown University vs University of Virginia,,,00:00:02.4,,"Frye, C.","Tappen, A.",B5,4,3, - ,2,0,0,Ball,Fastball,0,"","",,,B,0,5,Georgetown University,University of Virginia,4,3
1,10,"Frye, C. VS Tappen, A.",Georgetown University vs University of Virginia,,,00:00:08.6,,"Frye, C.","Tappen, A.",B5,4,3, - ,2,1,0,BIP,Curveball,76,Fly Ball,Flyout,,,B,0,5,Georgetown University,University of Virginia,4,3
2,11,"Frye, C. VS Morgan, T.",Virginia Military Institute vs Georgetown University,,,00:00:02.6,,"Frye, C.","Morgan, T.",T7,2,6, - ,0,0,0,Ball,Fastball,0,"","",,,T,1,7,Virginia Military Institute,Georgetown University,6,1
2,12,"Frye, C. VS Morgan, T.",Virginia Military Institute vs Georgetown University,,,00:00:02.1,,"Frye, C.","Morgan, T.",T7,2,6, - ,0,1,0,Ball,Fastball,0,"","",,,T,1,7,Virginia Military Institute,Georgetown University,6,1
2,13,"Frye, C. VS Morgan, T.",Virginia Military Institute vs Georgetown University,,,00:00:01.9,,"Frye, C.","Morgan, T.",T7,2,6, - ,0,2,0,Strike Swinging,Fastball,0,"","",,,T,1,7,Virginia Military Institute,Georgetown University,6,1
