outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,244,"Frye, C. VS Hernandez, J.",Georgetown University vs Seton Hall University,,,00:00:02.9,,"Frye, C.","Hernandez, J.",B7,3,1,-,0,0,0,Ball,Fastball,91,"","",,B,0,7,Georgetown University,Seton Hall University,3,1,1
1,245,"Frye, C. VS Hernandez, J.",Georgetown University vs Seton Hall University,,,00:00:03.1,,"Frye, C.","Hernandez, J.",B7,3,1,-,0,1,0,Ball,Fastball,90,"","",,B,0,7,Georgetown University,Seton Hall University,3,1,1
1,246,"Frye, C. VS Hernandez, J.",Georgetown University vs Seton Hall University,,,00:00:04.4,,"Frye, C.","Hernandez, J.",B7,3,1,-,0,2,0,Foul,Fastball,90,"","",,B,0,7,Georgetown University,Seton Hall University,3,1,1
1,247,"Frye, C. VS Hernandez, J.",Georgetown University vs Seton Hall University,,,00:00:04.9,,"Frye, C.","Hernandez, J.",B7,3,1,-,0,2,1,Strike Swinging,Fastball,90,"","",,B,0,7,Georgetown University,Seton Hall University,3,1,1
1,248,"Frye, C. VS Hernandez, J.",Georgetown University vs Seton Hall University,,,00:00:08.0,,"Frye, C.","Hernandez, J.",B7,3,1,-,0,2,2,BIP,Fastball,91,Ground Ball,Groundout,,B,0,7,Georgetown University,Seton Hall University,3,1,1
1,249,"Frye, C. VS D'amico, P.",Georgetown University vs Seton Hall University,,,00:00:07.8,,"Frye, C.","D'amico, P.",B7,3,1,-,1,0,0,BIP,Fastball,90,Ground Ball,Single,,B,0,7,Georgetown University,Seton Hall University,3,2,2
1,250,"Frye, C. VS Mcnelly, M.",Georgetown University vs Seton Hall University,,,00:00:11.4,,"Frye, C.","Mcnelly, M.",B7,3,1,1B,1,0,0,BIP,Curveball,76,Line Drive,Double,,B,0,7,Georgetown University,Seton Hall University,3,3,3
1,251,"Frye, C. VS Murray, O.",Georgetown University vs Seton Hall University,,,00:00:03.9,,"Frye, C.","Murray, O.",B7,3,1,2B-3B,1,0,0,Strike Swinging,Changeup,84,"","",,B,0,7,Georgetown University,Seton Hall University,3,4,4
1,252,"Frye, C. VS Murray, O.",Georgetown University vs Seton Hall University,,,00:00:02.8,,"Frye, C.","Murray, O.",B7,3,1,2B-3B,1,0,1,Strike Taken,Changeup,84,"","",,B,0,7,Georgetown University,Seton Hall University,3,4,4
1,253,"Frye, C. VS Murray, O.",Georgetown University vs Seton Hall University,,,00:00:03.1,,"Frye, C.","Murray, O.",B7,3,1,2B-3B,1,0,2,Ball,Fastball,91,"","",,B,0,7,Georgetown University,Seton Hall University,3,4,4
1,254,"Frye, C. VS Murray, O.",Georgetown University vs Seton Hall University,,,00:00:07.3,,"Frye, C.","Murray, O.",B7,3,1,2B-3B,1,1,2,BIP,Fastball,90,Ground Ball,Groundout,,B,0,7,Georgetown University,Seton Hall University,3,4,4
1,255,"Frye, C. VS Luders, J.",Georgetown University vs Seton Hall University,,,00:00:04.0,,"Frye, C.","Luders, J.",B7,3,2,3B,2,0,0,Strike Swinging,Curveball,76,"","",,B,0,7,Georgetown University,Seton Hall University,3,5,5
1,256,"Frye, C. VS Luders, J.",Georgetown University vs Seton Hall University,,,00:00:04.2,,"Frye, C.","Luders, J.",B7,3,2,3B,2,0,1,Foul,Curveball,77,"","",,B,0,7,Georgetown University,Seton Hall University,3,5,5
1,257,"Frye, C. VS Luders, J.",Georgetown University vs Seton Hall University,,,00:00:03.2,,"Frye, C.","Luders, J.",B7,3,2,3B,2,0,2,Ball,Fastball,92,"","",,B,0,7,Georgetown University,Seton Hall University,3,5,5
1,258,"Frye, C. VS Luders, J.",Georgetown University vs Seton Hall University,,,00:00:05.8,,"Frye, C.","Luders, J.",B7,3,2,3B,2,1,2,Foul,Fastball,91,"","",,B,0,7,Georgetown University,Seton Hall University,3,5,5
