outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,30,"Frye, C. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:02.0,,"Frye, C.","Russell, D.",T2,2,0,-,0,0,0,Ball,Fastball,89,"","",,T,1,2,University of Maryland-College Park,Georgetown University,0,1,1
1,31,"Frye, C. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Frye, C.","Russell, D.",T2,2,0,-,0,1,0,Ball,Fastball,89,"","",,T,1,2,University of Maryland-College Park,Georgetown University,0,1,1
1,32,"Frye, C. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:12.9,,"Frye, C.","Russell, D.",T2,2,0,-,0,2,0,BIP,Fastball,87,Fly Ball,Home Run,,T,1,2,University of Maryland-College Park,Georgetown University,0,1,1
1,33,"Frye, C. VS Lambros, E.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Frye, C.","Lambros, E.",T2,3,0,-,0,0,0,Strike Taken,Fastball,89,"","",,T,1,2,University of Maryland-College Park,Georgetown University,0,2,2
1,34,"Frye, C. VS Lambros, E.",University of Maryland-College Park vs Georgetown University,,,00:00:02.0,,"Frye, C.","Lambros, E.",T2,3,0,-,0,0,1,Ball,Curveball,75,"","",,T,1,2,University of Maryland-College Park,Georgetown University,0,2,2
1,35,"Frye, C. VS Lambros, E.",University of Maryland-College Park vs Georgetown University,,,00:00:01.9,,"Frye, C.","Lambros, E.",T2,3,0,-,0,1,1,Ball,Curveball,78,"","",,T,1,2,University of Maryland-College Park,Georgetown University,0,2,2
1,36,"Frye, C. VS Lambros, E.",University of Maryland-College Park vs Georgetown University,,,00:00:02.1,,"Frye, C.","Lambros, E.",T2,3,0,-,0,2,1,Strike Taken,Fastball,90,"","",,T,1,2,University of Maryland-College Park,Georgetown University,0,2,2
1,37,"Frye, C. VS Lambros, E.",University of Maryland-College Park vs Georgetown University,,,00:00:07.8,,"Frye, C.","Lambros, E.",T2,3,0,-,0,2,2,BIP,Curveball,78,Fly Ball,Flyout,,T,1,2,University of Maryland-College Park,Georgetown University,0,2,2
1,38,"Frye, C. VS Martin, B.",University of Maryland-College Park vs Georgetown University,,,00:00:01.9,,"Frye, C.","Martin, B.",T2,3,0,-,1,0,0,Ball,Fastball,89,"","",,T,1,2,University of Maryland-College Park,Georgetown University,0,3,3
1,39,"Frye, C. VS Martin, B.",University of Maryland-College Park vs Georgetown University,,,00:00:05.6,,"Frye, C.","Martin, B.",T2,3,0,-,1,1,0,BIP,Changeup,84,Bunt Ground Ball,Bunt Groundout,,T,1,2,University of Maryland-College Park,Georgetown University,0,3,3
1,40,"Frye, C. VS Hacopian, C.",University of Maryland-College Park vs Georgetown University,,,00:00:02.0,,"Frye, C.","Hacopian, C.",T2,3,0,-,2,0,0,Ball,Curveball,77,"","",,T,1,2,University of Maryland-College Park,Georgetown University,0,4,4
1,41,"Frye, C. VS Hacopian, C.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Frye, C.","Hacopian, C.",T2,3,0,-,2,1,0,Ball,Changeup,83,"","",,T,1,2,University of Maryland-College Park,Georgetown University,0,4,4
1,42,"Frye, C. VS Hacopian, C.",University of Maryland-College Park vs Georgetown University,,,00:00:02.1,,"Frye, C.","Hacopian, C.",T2,3,0,-,2,2,0,Ball,Fastball,90,"","",,T,1,2,University of Maryland-College Park,Georgetown University,0,4,4
1,43,"Frye, C. VS Hacopian, C.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Frye, C.","Hacopian, C.",T2,3,0,-,2,3,0,Strike Taken,Fastball,89,"","",,T,1,2,University of Maryland-College Park,Georgetown University,0,4,4
1,44,"Frye, C. VS Hacopian, C.",University of Maryland-College Park vs Georgetown University,,,00:00:07.1,,"Frye, C.","Hacopian, C.",T2,3,0,-,2,3,1,BIP,Fastball,89,Ground Ball,Groundout,,T,1,2,University of Maryland-College Park,Georgetown University,0,4,4
1,45,"Frye, C. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:02.0,,"Frye, C.","Hacopian, E.",T3,3,1,-,0,0,0,Ball,Changeup,82,"","",,T,1,3,University of Maryland-College Park,Georgetown University,1,5,5
1,46,"Frye, C. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:07.5,,"Frye, C.","Hacopian, E.",T3,3,1,-,0,1,0,BIP,Fastball,87,Line Drive,Single,,T,1,3,University of Maryland-College Park,Georgetown University,1,5,5
1,47,"Frye, C. VS Keister, K.",University of Maryland-College Park vs Georgetown University,,,00:00:02.1,,"Frye, C.","Keister, K.",T3,3,1,1B,0,0,0,Ball,Curveball,77,"","",,T,1,3,University of Maryland-College Park,Georgetown University,1,6,6
1,48,"Frye, C. VS Keister, K.",University of Maryland-College Park vs Georgetown University,,,00:00:05.3,,"Frye, C.","Keister, K.",T3,3,1,1B,0,1,0,BIP,Changeup,81,Line Drive,Lined Into Double Play,,T,1,3,University of Maryland-College Park,Georgetown University,1,6,6
1,49,"Frye, C. VS Hojnar, S.",University of Maryland-College Park vs Georgetown University,,,00:00:02.4,,"Frye, C.","Hojnar, S.",T3,3,1,-,2,0,0,Strike Swinging,Fastball,89,"","",,T,1,3,University of Maryland-College Park,Georgetown University,1,7,7
1,50,"Frye, C. VS Hojnar, S.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Frye, C.","Hojnar, S.",T3,3,1,-,2,0,1,Strike Taken,Fastball,89,"","",,T,1,3,University of Maryland-College Park,Georgetown University,1,7,7
1,51,"Frye, C. VS Hojnar, S.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Frye, C.","Hojnar, S.",T3,3,1,-,2,0,2,Foul,Fastball,89,"","",,T,1,3,University of Maryland-College Park,Georgetown University,1,7,7
1,52,"Frye, C. VS Hojnar, S.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Frye, C.","Hojnar, S.",T3,3,1,-,2,0,2,Ball,Curveball,78,"","",,T,1,3,University of Maryland-College Park,Georgetown University,1,7,7
1,53,"Frye, C. VS Hojnar, S.",University of Maryland-College Park vs Georgetown University,,,00:00:02.3,,"Frye, C.","Hojnar, S.",T3,3,1,-,2,1,2,Ball,Changeup,86,"","",,T,1,3,University of Maryland-College Park,Georgetown University,1,7,7
1,54,"Frye, C. VS Hojnar, S.",University of Maryland-College Park vs Georgetown University,,,00:00:02.4,,"Frye, C.","Hojnar, S.",T3,3,1,-,2,2,2,Ball,Changeup,84,"","",,T,1,3,University of Maryland-College Park,Georgetown University,1,7,7
1,55,"Frye, C. VS Hojnar, S.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Frye, C.","Hojnar, S.",T3,3,1,-,2,3,2,Ball,Fastball,91,"","",Walk,T,1,3,University of Maryland-College Park,Georgetown University,1,7,7
1,56,"Frye, C. VS Orr, J.",University of Maryland-College Park vs Georgetown University,,,00:00:10.0,,"Frye, C.","Orr, J.",T3,3,1,1B,2,0,0,Ball,Fastball,89,"","",,T,1,3,University of Maryland-College Park,Georgetown University,1,8,8
1,57,"Frye, C. VS Orr, J.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Frye, C.","Orr, J.",T3,3,1,3B,2,1,0,Ball,Curveball,77,"","",,T,1,3,University of Maryland-College Park,Georgetown University,1,8,8
1,58,"Frye, C. VS Orr, J.",University of Maryland-College Park vs Georgetown University,,,00:00:01.9,,"Frye, C.","Orr, J.",T3,3,1,3B,2,2,0,Ball,Fastball,89,"","",,T,1,3,University of Maryland-College Park,Georgetown University,1,8,8
1,59,"Frye, C. VS Orr, J.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Frye, C.","Orr, J.",T3,3,1,3B,2,3,0,Strike Taken,Fastball,89,"","",,T,1,3,University of Maryland-College Park,Georgetown University,1,8,8
