outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,79,"Frye, C. VS Gates, S.",Georgetown University vs George Washington University,,,00:00:05.6,,"Frye, C.","Gates, S.",B1,9,0,-,0,0,0,Ball,Fastball,88,"","",,B,0,1,Georgetown University,George Washington University,9,1,1
1,80,"Frye, C. VS Gates, S.",Georgetown University vs George Washington University,,,00:00:05.5,,"Frye, C.","Gates, S.",B1,9,0,-,0,1,0,Foul,Fastball,88,"","",,B,0,1,Georgetown University,George Washington University,9,1,1
1,81,"Frye, C. VS Gates, S.",Georgetown University vs George Washington University,,,00:00:06.3,,"Frye, C.","Gates, S.",B1,9,0,-,0,1,1,Foul,Fastball,89,"","",,B,0,1,Georgetown University,George Washington University,9,1,1
1,82,"Frye, C. VS Gates, S.",Georgetown University vs George Washington University,,,00:00:10.2,,"Frye, C.","Gates, S.",B1,9,0,-,0,1,2,BIP,Fastball,90,Fly Ball,Flyout,,B,0,1,Georgetown University,George Washington University,9,1,1
1,83,"Frye, C. VS DiTomaso, S.",Georgetown University vs George Washington University,,,00:00:05.9,,"Frye, C.","DiTomaso, S.",B1,9,0,-,1,0,0,Strike Taken,Fastball,89,"","",,B,0,1,Georgetown University,George Washington University,9,2,2
1,84,"Frye, C. VS DiTomaso, S.",Georgetown University vs George Washington University,,,00:00:05.9,,"Frye, C.","DiTomaso, S.",B1,9,0,-,1,0,1,Ball,Changeup,82,"","",,B,0,1,Georgetown University,George Washington University,9,2,2
1,85,"Frye, C. VS DiTomaso, S.",Georgetown University vs George Washington University,,,00:00:06.1,,"Frye, C.","DiTomaso, S.",B1,9,0,-,1,1,1,Foul,Fastball,89,"","",,B,0,1,Georgetown University,George Washington University,9,2,2
1,86,"Frye, C. VS DiTomaso, S.",Georgetown University vs George Washington University,,,00:00:10.7,,"Frye, C.","DiTomaso, S.",B1,9,0,-,1,1,2,BIP,Fastball,90,Ground Ball,Single,,B,0,1,Georgetown University,George Washington University,9,2,2
1,87,"Frye, C. VS Micheletti Jr., E.",Georgetown University vs George Washington University,,,00:00:06.7,,"Frye, C.","Micheletti Jr., E.",B1,9,0,1B,1,0,0,Ball,Curveball,75,"","",,B,0,1,Georgetown University,George Washington University,9,3,3
1,88,"Frye, C. VS Micheletti Jr., E.",Georgetown University vs George Washington University,,,00:00:05.3,,"Frye, C.","Micheletti Jr., E.",B1,9,0,2B,1,1,0,Strike Taken,Changeup,82,"","",,B,0,1,Georgetown University,George Washington University,9,3,3
1,89,"Frye, C. VS Micheletti Jr., E.",Georgetown University vs George Washington University,,,00:00:12.4,,"Frye, C.","Micheletti Jr., E.",B1,9,0,2B,1,1,1,BIP,Fastball,89,Ground Ball,Groundout,,B,0,1,Georgetown University,George Washington University,9,3,3
1,90,"Frye, C. VS Young, B.",Georgetown University vs George Washington University,,,00:00:05.8,,"Frye, C.","Young, B.",B1,9,0,3B,2,0,0,Strike Taken,Curveball,74,"","",,B,0,1,Georgetown University,George Washington University,9,4,4
1,91,"Frye, C. VS Young, B.",Georgetown University vs George Washington University,,,00:00:10.9,,"Frye, C.","Young, B.",B1,9,0,3B,2,0,1,BIP,Curveball,75,Popup,Popout,,B,0,1,Georgetown University,George Washington University,9,4,4
1,92,"Frye, C. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.8,,"Frye, C.","Kohn, M.",B2,9,0,-,0,0,0,Foul,Fastball,88,"","",,B,0,2,Georgetown University,George Washington University,9,5,5
1,93,"Frye, C. VS Kohn, M.",Georgetown University vs George Washington University,,,00:00:05.9,,"Frye, C.","Kohn, M.",B2,9,0,-,0,0,1,Ball,Curveball,75,"","",,B,0,2,Georgetown University,George Washington University,9,5,5
