outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,422,"Garner, C. VS Hegemann, J.",Georgetown University vs University of Cincinnati,,,00:00:10.2,,"Garner, C.","Hegemann, J.",B1,1,0,-,0,0,0,BIP,Cutter,83,Line Drive,Single,,B,0,1,Georgetown University,University of Cincinnati,1,1,1
1,423,"Garner, C. VS Cross, K.",Georgetown University vs University of Cincinnati,,,00:00:05.4,,"Garner, C.","Cross, K.",B1,1,0,1B,0,0,0,Foul,Cutter,84,"","",,B,0,1,Georgetown University,University of Cincinnati,1,2,2
1,424,"Garner, C. VS Cross, K.",Georgetown University vs University of Cincinnati,,,00:00:06.3,,"Garner, C.","Cross, K.",B1,1,0,1B,0,0,1,Ball,Slider,79,"","",,B,0,1,Georgetown University,University of Cincinnati,1,2,2
1,425,"Garner, C. VS Cross, K.",Georgetown University vs University of Cincinnati,,,00:00:15.8,,"Garner, C.","Cross, K.",B1,1,0,1B,0,1,1,BIP,Cutter,84,Line Drive,Triple,,B,0,1,Georgetown University,University of Cincinnati,1,2,2
1,426,"Garner, C. VS Nicholson, R.",Georgetown University vs University of Cincinnati,,,00:00:05.4,,"Garner, C.","Nicholson, R.",B1,1,1,3B,0,0,0,Ball,Changeup,82,"","",,B,0,1,Georgetown University,University of Cincinnati,1,3,3
1,427,"Garner, C. VS Nicholson, R.",Georgetown University vs University of Cincinnati,,,00:00:05.8,,"Garner, C.","Nicholson, R.",B1,1,1,3B,0,1,0,Ball,Changeup,82,"","",,B,0,1,Georgetown University,University of Cincinnati,1,3,3
1,428,"Garner, C. VS Nicholson, R.",Georgetown University vs University of Cincinnati,,,00:00:06.2,,"Garner, C.","Nicholson, R.",B1,1,1,3B,0,2,0,Ball,Cutter,81,"","",,B,0,1,Georgetown University,University of Cincinnati,1,3,3
1,429,"Garner, C. VS Nicholson, R.",Georgetown University vs University of Cincinnati,,,00:00:06.7,,"Garner, C.","Nicholson, R.",B1,1,1,3B,0,3,0,Ball,Fastball,88,"","",Walk,B,0,1,Georgetown University,University of Cincinnati,1,3,3
1,430,"Garner, C. VS O'connor, T.",Georgetown University vs University of Cincinnati,,,00:00:05.9,,"Garner, C.","O'connor, T.",B1,1,1,1B-3B,0,0,0,Ball,Cutter,81,"","",,B,0,1,Georgetown University,University of Cincinnati,1,4,4
1,431,"Garner, C. VS O'connor, T.",Georgetown University vs University of Cincinnati,,,00:00:05.5,,"Garner, C.","O'connor, T.",B1,1,1,1B-3B,0,1,0,Foul,Cutter,83,"","",,B,0,1,Georgetown University,University of Cincinnati,1,4,4
1,432,"Garner, C. VS O'connor, T.",Georgetown University vs University of Cincinnati,,,00:00:05.5,,"Garner, C.","O'connor, T.",B1,1,1,1B-3B,0,1,1,Strike Taken,Cutter,83,"","",,B,0,1,Georgetown University,University of Cincinnati,1,4,4
1,433,"Garner, C. VS O'connor, T.",Georgetown University vs University of Cincinnati,,,00:00:07.9,,"Garner, C.","O'connor, T.",B1,1,1,1B-3B,0,1,2,Foul,Fastball,88,"","",,B,0,1,Georgetown University,University of Cincinnati,1,4,4
1,434,"Garner, C. VS O'connor, T.",Georgetown University vs University of Cincinnati,,,00:00:10.2,,"Garner, C.","O'connor, T.",B1,1,1,1B-3B,0,1,2,Strike Swinging,Slider,80,"","",Strikeout,B,0,1,Georgetown University,University of Cincinnati,1,4,4
1,435,"Garner, C. VS Jones, A.",Georgetown University vs University of Cincinnati,,,00:00:05.3,,"Garner, C.","Jones, A.",B1,1,1,3B,2,0,0,Ball,Slider,81,"","",,B,0,1,Georgetown University,University of Cincinnati,1,5,5
1,436,"Garner, C. VS Jones, A.",Georgetown University vs University of Cincinnati,,,00:00:05.6,,"Garner, C.","Jones, A.",B1,1,1,3B,2,1,0,Foul,Cutter,84,"","",,B,0,1,Georgetown University,University of Cincinnati,1,5,5
1,437,"Garner, C. VS Jones, A.",Georgetown University vs University of Cincinnati,,,00:00:05.7,,"Garner, C.","Jones, A.",B1,1,1,3B,2,1,1,Foul,Slider,80,"","",,B,0,1,Georgetown University,University of Cincinnati,1,5,5
1,438,"Garner, C. VS Jones, A.",Georgetown University vs University of Cincinnati,,,00:00:05.2,,"Garner, C.","Jones, A.",B1,1,1,3B,2,1,2,Ball,Cutter,86,"","",,B,0,1,Georgetown University,University of Cincinnati,1,5,5
1,439,"Garner, C. VS Jones, A.",Georgetown University vs University of Cincinnati,,,00:00:07.0,,"Garner, C.","Jones, A.",B1,1,1,3B,2,2,2,Ball,Slider,81,"","",,B,0,1,Georgetown University,University of Cincinnati,1,5,5
1,440,"Garner, C. VS Jones, A.",Georgetown University vs University of Cincinnati,,,00:00:05.8,,"Garner, C.","Jones, A.",B1,1,1,3B,2,3,2,Ball,Cutter,84,"","",Walk,B,0,1,Georgetown University,University of Cincinnati,1,5,5
1,441,"Garner, C. VS Guidry, K.",Georgetown University vs University of Cincinnati,,,00:00:05.2,,"Garner, C.","Guidry, K.",B1,1,2,2B,2,0,0,Ball,Slider,80,"","",,B,0,1,Georgetown University,University of Cincinnati,1,6,6
1,442,"Garner, C. VS Guidry, K.",Georgetown University vs University of Cincinnati,,,00:00:05.9,,"Garner, C.","Guidry, K.",B1,1,2,2B,2,1,0,Ball,Cutter,84,"","",,B,0,1,Georgetown University,University of Cincinnati,1,6,6
1,443,"Garner, C. VS Guidry, K.",Georgetown University vs University of Cincinnati,,,00:00:05.3,,"Garner, C.","Guidry, K.",B1,1,2,2B,2,2,0,Ball,Cutter,83,"","",,B,0,1,Georgetown University,University of Cincinnati,1,6,6
1,444,"Garner, C. VS Guidry, K.",Georgetown University vs University of Cincinnati,,,00:00:05.7,,"Garner, C.","Guidry, K.",B1,1,2,2B,2,3,0,Ball,Fastball,87,"","",Walk,B,0,1,Georgetown University,University of Cincinnati,1,6,6
1,445,"Garner, C. VS Harting, C.",Georgetown University vs University of Cincinnati,,,00:00:05.0,,"Garner, C.","Harting, C.",B1,1,2,1B-2B,2,0,0,Strike Taken,Cutter,84,"","",,B,0,1,Georgetown University,University of Cincinnati,1,7,7
1,446,"Garner, C. VS Harting, C.",Georgetown University vs University of Cincinnati,,,00:00:05.1,,"Garner, C.","Harting, C.",B1,1,2,1B-2B,2,0,1,Ball,Slider,80,"","",,B,0,1,Georgetown University,University of Cincinnati,1,7,7
1,447,"Garner, C. VS Harting, C.",Georgetown University vs University of Cincinnati,,,00:00:05.3,,"Garner, C.","Harting, C.",B1,1,2,1B-2B,2,1,1,Ball,Cutter,84,"","",,B,0,1,Georgetown University,University of Cincinnati,1,7,7
1,448,"Garner, C. VS Harting, C.",Georgetown University vs University of Cincinnati,,,00:00:07.4,,"Garner, C.","Harting, C.",B1,1,2,1B-2B,2,2,1,BIP,Cutter,83,Ground Ball,Groundout,,B,0,1,Georgetown University,University of Cincinnati,1,7,7
1,449,"Garner, C. VS Springer, S.",Georgetown University vs University of Cincinnati,,,00:00:05.2,,"Garner, C.","Springer, S.",B2,1,2,-,0,0,0,Ball,Cutter,82,"","",,B,0,2,Georgetown University,University of Cincinnati,1,8,8
1,450,"Garner, C. VS Springer, S.",Georgetown University vs University of Cincinnati,,,00:00:05.3,,"Garner, C.","Springer, S.",B2,1,2,-,0,1,0,Ball,Cutter,83,"","",,B,0,2,Georgetown University,University of Cincinnati,1,8,8
1,451,"Garner, C. VS Springer, S.",Georgetown University vs University of Cincinnati,,,00:00:08.1,,"Garner, C.","Springer, S.",B2,1,2,-,0,2,0,BIP,Cutter,83,Ground Ball,Groundout,,B,0,2,Georgetown University,University of Cincinnati,1,8,8
1,452,"Garner, C. VS Hugus, G.",Georgetown University vs University of Cincinnati,,,00:00:07.9,,"Garner, C.","Hugus, G.",B2,1,2,-,1,0,0,Ball,Slider,80,"","",,B,0,2,Georgetown University,University of Cincinnati,1,9,9
1,453,"Garner, C. VS Hugus, G.",Georgetown University vs University of Cincinnati,,,00:00:05.3,,"Garner, C.","Hugus, G.",B2,1,2,-,1,1,0,Ball,Changeup,81,"","",,B,0,2,Georgetown University,University of Cincinnati,1,9,9
1,454,"Garner, C. VS Hugus, G.",Georgetown University vs University of Cincinnati,,,00:00:05.1,,"Garner, C.","Hugus, G.",B2,1,2,-,1,2,0,Strike Taken,Cutter,83,"","",,B,0,2,Georgetown University,University of Cincinnati,1,9,9
1,455,"Garner, C. VS Hugus, G.",Georgetown University vs University of Cincinnati,,,00:00:06.3,,"Garner, C.","Hugus, G.",B2,1,2,-,1,2,1,Foul,Cutter,83,"","",,B,0,2,Georgetown University,University of Cincinnati,1,9,9
1,456,"Garner, C. VS Hugus, G.",Georgetown University vs University of Cincinnati,,,00:00:08.2,,"Garner, C.","Hugus, G.",B2,1,2,-,1,2,2,BIP,Changeup,80,Ground Ball,Groundout,,B,0,2,Georgetown University,University of Cincinnati,1,9,9
1,457,"Garner, C. VS Hegemann, J.",Georgetown University vs University of Cincinnati,,,00:00:05.2,,"Garner, C.","Hegemann, J.",B2,1,2,-,2,0,0,Ball,Changeup,81,"","",,B,0,2,Georgetown University,University of Cincinnati,1,10,1
1,458,"Garner, C. VS Hegemann, J.",Georgetown University vs University of Cincinnati,,,00:00:05.8,,"Garner, C.","Hegemann, J.",B2,1,2,-,2,1,0,Ball,Cutter,83,"","",,B,0,2,Georgetown University,University of Cincinnati,1,10,1
1,459,"Garner, C. VS Hegemann, J.",Georgetown University vs University of Cincinnati,,,00:00:06.2,,"Garner, C.","Hegemann, J.",B2,1,2,-,2,2,0,Ball,Fastball,87,"","",,B,0,2,Georgetown University,University of Cincinnati,1,10,1
1,460,"Garner, C. VS Hegemann, J.",Georgetown University vs University of Cincinnati,,,00:00:05.3,,"Garner, C.","Hegemann, J.",B2,1,2,-,2,3,0,Ball,Fastball,86,"","",Walk,B,0,2,Georgetown University,University of Cincinnati,1,10,1
1,461,"Garner, C. VS Cross, K.",Georgetown University vs University of Cincinnati,,,00:00:07.6,,"Garner, C.","Cross, K.",B2,1,2,1B,2,0,0,Ball,Fastball,87,"","",,B,0,2,Georgetown University,University of Cincinnati,1,11,2
1,462,"Garner, C. VS Cross, K.",Georgetown University vs University of Cincinnati,,,00:00:05.2,,"Garner, C.","Cross, K.",B3,1,2,-,0,0,0,Ball,Changeup,80,"","",,B,0,3,Georgetown University,University of Cincinnati,1,11,2
