outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,556,"Garner, C. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,00:00:05.4,,"Garner, C.","Shliger, L.",B1,3,0, - ,0,0,0,Ball,Slider,0,"","",,B,0,1,Georgetown University,University of Maryland-College Park,3,1,1
1,557,"Garner, C. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,00:00:05.5,,"Garner, C.","Shliger, L.",B1,3,0, - ,0,1,0,Ball,Slider,0,"","",,B,0,1,Georgetown University,University of Maryland-College Park,3,1,1
1,558,"Garner, C. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,00:00:05.4,,"Garner, C.","Shliger, L.",B1,3,0, - ,0,2,0,Strike Taken,Fastball,0,"","",,B,0,1,Georgetown University,University of Maryland-College Park,3,1,1
1,559,"Garner, C. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,00:00:05.2,,"Garner, C.","Shliger, L.",B1,3,0, - ,0,2,1,Foul,Fastball,0,"","",,B,0,1,Georgetown University,University of Maryland-College Park,3,1,1
1,560,"Garner, C. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,00:00:05.4,,"Garner, C.","Shliger, L.",B1,3,0, - ,0,2,2,Ball,Fastball,0,"","",,B,0,1,Georgetown University,University of Maryland-College Park,3,1,1
1,561,"Garner, C. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,00:00:05.8,,"Garner, C.","Shliger, L.",B1,3,0, - ,0,3,2,Strike Taken,Slider,0,"","",Strikeout,B,0,1,Georgetown University,University of Maryland-College Park,3,1,1
1,562,"Garner, C. VS Lorusso, N.",Georgetown University vs University of Maryland-College Park,,,00:00:15.4,,"Garner, C.","Lorusso, N.",B1,3,0, - ,1,0,0,BIP,Slider,0,Line Drive,Double,,B,0,1,Georgetown University,University of Maryland-College Park,3,2,2
1,563,"Garner, C. VS Shaw, M.",Georgetown University vs University of Maryland-College Park,,,00:00:05.4,,"Garner, C.","Shaw, M.",B1,3,0,2B,1,0,0,Strike Taken,Fastball,0,"","",,B,0,1,Georgetown University,University of Maryland-College Park,3,3,3
1,564,"Garner, C. VS Shaw, M.",Georgetown University vs University of Maryland-College Park,,,00:00:05.2,,"Garner, C.","Shaw, M.",B1,3,0,2B,1,0,1,Strike Taken,Fastball,0,"","",,B,0,1,Georgetown University,University of Maryland-College Park,3,3,3
1,565,"Garner, C. VS Shaw, M.",Georgetown University vs University of Maryland-College Park,,,00:00:05.4,,"Garner, C.","Shaw, M.",B1,3,0,2B,1,0,2,Ball,Slider,0,"","",,B,0,1,Georgetown University,University of Maryland-College Park,3,3,3
1,566,"Garner, C. VS Shaw, M.",Georgetown University vs University of Maryland-College Park,,,00:00:05.3,,"Garner, C.","Shaw, M.",B1,3,0,2B,1,1,2,Foul,Slider,0,"","",,B,0,1,Georgetown University,University of Maryland-College Park,3,3,3
1,567,"Garner, C. VS Shaw, M.",Georgetown University vs University of Maryland-College Park,,,00:00:12.2,,"Garner, C.","Shaw, M.",B1,3,0,2B,1,1,2,BIP,Fastball,0,Line Drive,Lineout,,B,0,1,Georgetown University,University of Maryland-College Park,3,3,3
1,568,"Garner, C. VS Petrutz, I.",Georgetown University vs University of Maryland-College Park,,,00:00:05.3,,"Garner, C.","Petrutz, I.",B1,3,0,2B,2,0,0,Ball,Slider,0,"","",,B,0,1,Georgetown University,University of Maryland-College Park,3,4,4
1,569,"Garner, C. VS Petrutz, I.",Georgetown University vs University of Maryland-College Park,,,00:00:14.6,,"Garner, C.","Petrutz, I.",B1,3,0,2B,2,1,0,BIP,Fastball,0,Fly Ball,Home Run,,B,0,1,Georgetown University,University of Maryland-College Park,3,4,4
1,570,"Garner, C. VS Zmarzlak, B.",Georgetown University vs University of Maryland-College Park,,,00:00:05.4,,"Garner, C.","Zmarzlak, B.",B1,3,2, - ,2,0,0,Strike Taken,Slider,0,"","",,B,0,1,Georgetown University,University of Maryland-College Park,3,5,5
1,571,"Garner, C. VS Zmarzlak, B.",Georgetown University vs University of Maryland-College Park,,,00:00:05.5,,"Garner, C.","Zmarzlak, B.",B1,3,2, - ,2,0,1,Strike Taken,Slider,0,"","",,B,0,1,Georgetown University,University of Maryland-College Park,3,5,5
1,572,"Garner, C. VS Zmarzlak, B.",Georgetown University vs University of Maryland-College Park,,,00:00:05.2,,"Garner, C.","Zmarzlak, B.",B1,3,2, - ,2,0,2,Ball,Slider,0,"","",,B,0,1,Georgetown University,University of Maryland-College Park,3,5,5
1,573,"Garner, C. VS Zmarzlak, B.",Georgetown University vs University of Maryland-College Park,,,00:00:13.4,,"Garner, C.","Zmarzlak, B.",B1,3,2, - ,2,1,2,BIP,Slider,0,Line Drive,Single,,B,0,1,Georgetown University,University of Maryland-College Park,3,5,5
1,574,"Garner, C. VS Hacopian, E.",Georgetown University vs University of Maryland-College Park,,,00:00:05.2,,"Garner, C.","Hacopian, E.",B1,3,2,1B,2,0,0,Foul,Slider,0,"","",,B,0,1,Georgetown University,University of Maryland-College Park,3,6,6
1,575,"Garner, C. VS Hacopian, E.",Georgetown University vs University of Maryland-College Park,,,00:00:09.9,,"Garner, C.","Hacopian, E.",B1,3,2,1B,2,0,1,BIP,Slider,0,Ground Ball,Groundout,,B,0,1,Georgetown University,University of Maryland-College Park,3,6,6
1,576,"Garner, C. VS Martin, Z.",Georgetown University vs University of Maryland-College Park,,,00:00:05.2,,"Garner, C.","Martin, Z.",B2,3,2, - ,0,0,0,Foul,Slider,0,"","",,B,0,2,Georgetown University,University of Maryland-College Park,3,7,7
1,577,"Garner, C. VS Martin, Z.",Georgetown University vs University of Maryland-College Park,,,00:00:13.2,,"Garner, C.","Martin, Z.",B2,3,2, - ,0,0,1,BIP,Slider,0,Fly Ball,Flyout,,B,0,2,Georgetown University,University of Maryland-College Park,3,7,7
1,578,"Garner, C. VS Lambros, E.",Georgetown University vs University of Maryland-College Park,,,00:00:05.5,,"Garner, C.","Lambros, E.",B2,3,2, - ,1,0,0,Ball,Slider,0,"","",,B,0,2,Georgetown University,University of Maryland-College Park,3,8,8
1,579,"Garner, C. VS Lambros, E.",Georgetown University vs University of Maryland-College Park,,,00:00:05.4,,"Garner, C.","Lambros, E.",B2,3,2, - ,1,1,0,Strike Taken,Slider,0,"","",,B,0,2,Georgetown University,University of Maryland-College Park,3,8,8
1,580,"Garner, C. VS Lambros, E.",Georgetown University vs University of Maryland-College Park,,,00:00:05.3,,"Garner, C.","Lambros, E.",B2,3,2, - ,1,1,1,Strike Taken,Slider,0,"","",,B,0,2,Georgetown University,University of Maryland-College Park,3,8,8
1,581,"Garner, C. VS Lambros, E.",Georgetown University vs University of Maryland-College Park,,,00:00:05.2,,"Garner, C.","Lambros, E.",B2,3,2, - ,1,1,2,Foul,Slider,0,"","",,B,0,2,Georgetown University,University of Maryland-College Park,3,8,8
1,582,"Garner, C. VS Lambros, E.",Georgetown University vs University of Maryland-College Park,,,00:00:11.4,,"Garner, C.","Lambros, E.",B2,3,2, - ,1,1,2,BIP,Slider,0,Ground Ball,Single,,B,0,2,Georgetown University,University of Maryland-College Park,3,8,8
1,583,"Garner, C. VS Keister, K.",Georgetown University vs University of Maryland-College Park,,,00:00:10.8,,"Garner, C.","Keister, K.",B2,3,2,1B,1,0,0,BIP,Slider,0,Ground Ball,Grounded Into Double Play,,B,0,2,Georgetown University,University of Maryland-College Park,3,9,9
1,584,"Garner, C. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,00:00:05.2,,"Garner, C.","Shliger, L.",B3,3,2, - ,0,0,0,Ball,Fastball,0,"","",,B,0,3,Georgetown University,University of Maryland-College Park,3,10,1
1,585,"Garner, C. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,00:00:05.2,,"Garner, C.","Shliger, L.",B3,3,2, - ,0,1,0,Foul,Slider,0,"","",,B,0,3,Georgetown University,University of Maryland-College Park,3,10,1
1,586,"Garner, C. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,00:00:04.9,,"Garner, C.","Shliger, L.",B3,3,2, - ,0,1,1,Ball,Fastball,0,"","",,B,0,3,Georgetown University,University of Maryland-College Park,3,10,1
1,587,"Garner, C. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,00:00:05.2,,"Garner, C.","Shliger, L.",B3,3,2, - ,0,2,1,Ball,Slider,0,"","",,B,0,3,Georgetown University,University of Maryland-College Park,3,10,1
1,588,"Garner, C. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,00:00:05.2,,"Garner, C.","Shliger, L.",B3,3,2, - ,0,3,1,Strike Taken,Unknown,0,"","",,B,0,3,Georgetown University,University of Maryland-College Park,3,10,1
