outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id
1,1,"Guarino, C. VS Burch, N.",Georgetown University vs U.S. Naval Academy,,,00:00:05.5,,"Guarino, C.","Burch, N.",B6,9,7,1B-2B,2,0,0,Ball,Changeup,0,"","",,,B,0,6,Georgetown University,U.S. Naval Academy,9,1
1,2,"Guarino, C. VS Burch, N.",Georgetown University vs U.S. Naval Academy,,,00:00:08.1,,"Guarino, C.","Burch, N.",B6,9,7,1B-2B,2,1,0,Strike Taken,Fastball,0,"","",,,B,0,6,Georgetown University,U.S. Naval Academy,9,1
1,3,"Guarino, C. VS Burch, N.",Georgetown University vs U.S. Naval Academy,,,00:00:05.8,,"Guarino, C.","Burch, N.",B6,9,7,1B-2B,2,1,1,Strike Swinging,Fastball,0,"","",,,B,0,6,Georgetown University,U.S. Naval Academy,9,1
1,4,"Guarino, C. VS Burch, N.",Georgetown University vs U.S. Naval Academy,,,00:00:09.8,,"Guarino, C.","Burch, N.",B6,9,7,1B-2B,2,1,2,BIP,Changeup,0,Ground Ball,Groundout,,,B,0,6,Georgetown University,U.S. Naval Academy,9,1
1,5,"Guarino, C. VS Smith, C.",Georgetown University vs U.S. Naval Academy,,,00:00:05.4,,"Guarino, C.","Smith, C.",B7,10,7, - ,0,0,0,Strike Taken,Fastball,0,"","",,,B,0,7,Georgetown University,U.S. Naval Academy,10,2
1,6,"Guarino, C. VS Smith, C.",Georgetown University vs U.S. Naval Academy,,,00:00:10.0,,"Guarino, C.","Smith, C.",B7,10,7, - ,0,0,1,BIP,Fastball,0,Ground Ball,Groundout,,,B,0,7,Georgetown University,U.S. Naval Academy,10,2
1,7,"Guarino, C. VS Smith, A.",Georgetown University vs U.S. Naval Academy,,,00:00:05.4,,"Guarino, C.","Smith, A.",B7,10,7, - ,1,0,0,Strike Taken,Fastball,0,"","",,,B,0,7,Georgetown University,U.S. Naval Academy,10,3
1,8,"Guarino, C. VS Smith, A.",Georgetown University vs U.S. Naval Academy,,,00:00:06.1,,"Guarino, C.","Smith, A.",B7,10,7, - ,1,0,1,Foul,Fastball,0,"","",,,B,0,7,Georgetown University,U.S. Naval Academy,10,3
1,9,"Guarino, C. VS Smith, A.",Georgetown University vs U.S. Naval Academy,,,00:00:10.9,,"Guarino, C.","Smith, A.",B7,10,7, - ,1,0,2,BIP,Changeup,0,Ground Ball,Groundout,,,B,0,7,Georgetown University,U.S. Naval Academy,10,3
1,10,"Guarino, C. VS Keller, L.",Georgetown University vs U.S. Naval Academy,,,00:00:09.7,,"Guarino, C.","Keller, L.",B7,10,7, - ,2,0,0,BIP,Fastball,0,Line Drive,Single,,,B,0,7,Georgetown University,U.S. Naval Academy,10,4
2,11,"Guarino, C. VS Caffrey, K.",American International College vs University of New Haven,,,00:00:08.9,,"Guarino, C.","Caffrey, K.",T4,2,2, - ,0,0,0,Foul,Curveball,0,"","",,,T,1,4,American International College,University of New Haven,2,1
