#,Title,Notes,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Head, A. VS Demartino, T.",Georgetown University vs Xavier University,,,00:00:02.2,,"Head, A.","Demartino, T.",B8,8-10, - ,0,0-0,Foul,Fastball,0,,,,
2,"Head, A. VS Demartino, T.",Georgetown University vs Xavier University,,,00:00:01.7,,"Head, A.","Demartino, T.",B8,8-10, - ,0,0-1,Ball,Fastball,0,,,,
3,"Head, A. VS Demartino, T.",Georgetown University vs Xavier University,,,00:00:01.8,,"Head, A.","Demartino, T.",B8,8-10, - ,0,1-1,Ball,Fastball,0,,,,
4,"Head, A. VS Demartino, T.",Georgetown University vs Xavier University,,,00:00:01.9,,"Head, A.","Demartino, T.",B8,8-10, - ,0,2-1,Ball,Curveball,0,,,,
5,"Head, A. VS Demartino, T.",Georgetown University vs Xavier University,,,00:00:01.7,,"Head, A.","Demartino, T.",B8,8-10, - ,0,3-1,Strike Taken,Fastball,0,,,,
6,"Head, A. VS Demartino, T.",Georgetown University vs Xavier University,,,00:00:01.9,,"Head, A.","Demartino, T.",B8,8-10, - ,0,3-2,Foul,Slider,0,,,,
7,"Head, A. VS Demartino, T.",Georgetown University vs Xavier University,,,00:00:01.6,,"Head, A.","Demartino, T.",B8,8-10, - ,0,3-2,Ball,Fastball,0,,,Walk,
8,"Head, A. VS Schultz, G.",Georgetown University vs Xavier University,,,00:00:02.3,,"Head, A.","Schultz, G.",B8,8-10,1B,0,0-0,Foul,Fastball,0,,,,
9,"Head, A. VS Schultz, G.",Georgetown University vs Xavier University,,,00:00:07.1,,"Head, A.","Schultz, G.",B8,8-10,1B,0,0-1,BIP,Unknown,0,Fly Ball,Flyout,,
10,"Head, A. VS Flamm, L.",Georgetown University vs Xavier University,,,00:00:02.9,,"Head, A.","Flamm, L.",B8,8-10,1B,1,0-0,Foul,Fastball,0,,,,
11,"Head, A. VS Flamm, L.",Georgetown University vs Xavier University,,,00:00:03.1,,"Head, A.","Flamm, L.",B8,8-10,1B,1,0-1,Foul,Fastball,0,,,,
