outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,2635,"Head, A. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:04.4,,"Head, A.","Huber, B.",B7,1,6,1B-2B,0,0,0,Ball,Changeup,77,"","",,B,0,7,Georgetown University,University of Connecticut,1,1,1
1,2636,"Head, A. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:04.6,,"Head, A.","Huber, B.",B7,1,6,2B-3B,0,1,0,Foul,Changeup,79,"","",,B,0,7,Georgetown University,University of Connecticut,1,1,1
1,2637,"Head, A. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Head, A.","Huber, B.",B7,1,6,2B-3B,0,1,1,Ball,Curveball,70,"","",,B,0,7,Georgetown University,University of Connecticut,1,1,1
1,2638,"Head, A. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Head, A.","Huber, B.",B7,1,6,2B-3B,0,2,1,Ball,Changeup,78,"","",,B,0,7,Georgetown University,University of Connecticut,1,1,1
1,2639,"Head, A. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:13.5,,"Head, A.","Huber, B.",B7,1,6,2B-3B,0,3,1,BIP,Changeup,78,Fly Ball,Double,,B,0,7,Georgetown University,University of Connecticut,1,1,1
1,2640,"Head, A. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:05.7,,"Head, A.","Studley, J.",B7,1,8,2B,0,0,0,Ball,Fastball,87,"","",,B,0,7,Georgetown University,University of Connecticut,1,2,2
1,2641,"Head, A. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:03.1,,"Head, A.","Studley, J.",B7,1,8,3B,0,1,0,Foul,Fastball,87,"","",,B,0,7,Georgetown University,University of Connecticut,1,2,2
1,2642,"Head, A. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:02.5,,"Head, A.","Studley, J.",B7,1,8,3B,0,1,1,Strike Taken,Fastball,86,"","",,B,0,7,Georgetown University,University of Connecticut,1,2,2
1,2643,"Head, A. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:02.8,,"Head, A.","Studley, J.",B7,1,8,3B,0,1,2,Ball,Changeup,81,"","",,B,0,7,Georgetown University,University of Connecticut,1,2,2
1,2644,"Head, A. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:03.2,,"Head, A.","Studley, J.",B7,1,8,3B,0,2,2,Ball,Changeup,80,"","",,B,0,7,Georgetown University,University of Connecticut,1,2,2
1,2645,"Head, A. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:03.0,,"Head, A.","Studley, J.",B7,1,8,3B,0,3,2,Strike Swinging,Fastball,88,"","",Strikeout,B,0,7,Georgetown University,University of Connecticut,1,2,2
