outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,1439,"Head, A. VS Bardatsos, S.",George Mason University vs Georgetown University,,,00:00:05.5,,"Head, A.","Bardatsos, S.",T9,11,2,-,0,0,0,Ball,Fastball,0,"","",,T,1,9,George Mason University,Georgetown University,2,1,1
1,1440,"Head, A. VS Bardatsos, S.",George Mason University vs Georgetown University,,,00:00:05.3,,"Head, A.","Bardatsos, S.",T9,11,2,-,0,1,0,Strike Taken,Changeup,0,"","",,T,1,9,George Mason University,Georgetown University,2,1,1
1,1441,"Head, A. VS Bardatsos, S.",George Mason University vs Georgetown University,,,00:00:05.3,,"Head, A.","Bardatsos, S.",T9,11,2,-,0,1,1,Ball,Curveball,0,"","",,T,1,9,George Mason University,Georgetown University,2,1,1
1,1442,"Head, A. VS Bardatsos, S.",George Mason University vs Georgetown University,,,00:00:05.2,,"Head, A.","Bardatsos, S.",T9,11,2,-,0,2,1,Strike Taken,Changeup,0,"","",,T,1,9,George Mason University,Georgetown University,2,1,1
1,1443,"Head, A. VS Bardatsos, S.",George Mason University vs Georgetown University,,,00:00:05.2,,"Head, A.","Bardatsos, S.",T9,11,2,-,0,2,2,Ball,Curveball,0,"","",,T,1,9,George Mason University,Georgetown University,2,1,1
1,1444,"Head, A. VS Bardatsos, S.",George Mason University vs Georgetown University,,,00:00:10.4,,"Head, A.","Bardatsos, S.",T9,11,2,-,0,3,2,BIP,Fastball,0,Fly Ball,Home Run,,T,1,9,George Mason University,Georgetown University,2,1,1
1,1445,"Head, A. VS Woody, R.",George Mason University vs Georgetown University,,,00:00:05.4,,"Head, A.","Woody, R.",T9,12,2,-,0,0,0,Ball,Curveball,0,"","",,T,1,9,George Mason University,Georgetown University,2,2,2
1,1446,"Head, A. VS Woody, R.",George Mason University vs Georgetown University,,,00:00:05.4,,"Head, A.","Woody, R.",T9,12,2,-,0,1,0,Ball,Changeup,0,"","",,T,1,9,George Mason University,Georgetown University,2,2,2
1,1447,"Head, A. VS Woody, R.",George Mason University vs Georgetown University,,,00:00:05.1,,"Head, A.","Woody, R.",T9,12,2,-,0,2,0,Ball,Fastball,0,"","",,T,1,9,George Mason University,Georgetown University,2,2,2
1,1448,"Head, A. VS Woody, R.",George Mason University vs Georgetown University,,,00:00:05.3,,"Head, A.","Woody, R.",T9,12,2,-,0,3,0,Ball,Fastball,0,"","",Walk,T,1,9,George Mason University,Georgetown University,2,2,2
