outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,410,"Head, A. VS Lozano, T.",Creighton University vs Georgetown University,,,00:00:05.5,,"Head, A.","Lozano, T.",T9,15,11,1B-2B,1,0,0,Strike Swinging,Slider,77,"","",,T,1,9,Creighton University,Georgetown University,11,1,1
1,411,"Head, A. VS Lozano, T.",Creighton University vs Georgetown University,,,00:00:05.2,,"Head, A.","Lozano, T.",T9,15,11,1B-2B,1,0,1,Ball,Changeup,78,"","",,T,1,9,Creighton University,Georgetown University,11,1,1
1,412,"Head, A. VS Lozano, T.",Creighton University vs Georgetown University,,,00:00:05.9,,"Head, A.","Lozano, T.",T9,15,11,1B-2B,1,1,1,Foul,Changeup,78,"","",,T,1,9,Creighton University,Georgetown University,11,1,1
1,413,"Head, A. VS Lozano, T.",Creighton University vs Georgetown University,,,00:00:05.9,,"Head, A.","Lozano, T.",T9,15,11,1B-2B,1,1,2,Strike Taken,Curveball,69,"","",Strikeout,T,1,9,Creighton University,Georgetown University,11,1,1
1,414,"Head, A. VS Gbur, B.",Creighton University vs Georgetown University,,,00:00:05.2,,"Head, A.","Gbur, B.",T9,15,11,1B-2B,2,0,0,Ball,Fastball,85,"","",,T,1,9,Creighton University,Georgetown University,11,2,2
1,415,"Head, A. VS Gbur, B.",Creighton University vs Georgetown University,,,00:00:05.3,,"Head, A.","Gbur, B.",T9,15,11,1B-2B,2,1,0,Strike Swinging,Slider,79,"","",,T,1,9,Creighton University,Georgetown University,11,2,2
1,416,"Head, A. VS Gbur, B.",Creighton University vs Georgetown University,,,00:00:05.1,,"Head, A.","Gbur, B.",T9,15,11,1B-2B,2,1,1,Ball,Curveball,69,"","",,T,1,9,Creighton University,Georgetown University,11,2,2
1,417,"Head, A. VS Gbur, B.",Creighton University vs Georgetown University,,,00:00:05.0,,"Head, A.","Gbur, B.",T9,15,11,1B-2B,2,2,1,Ball,Slider,78,"","",,T,1,9,Creighton University,Georgetown University,11,2,2
1,418,"Head, A. VS Gbur, B.",Creighton University vs Georgetown University,,,00:00:05.4,,"Head, A.","Gbur, B.",T9,15,11,1B-2B,2,3,1,Foul,Fastball,85,"","",,T,1,9,Creighton University,Georgetown University,11,2,2
1,419,"Head, A. VS Gbur, B.",Creighton University vs Georgetown University,,,00:00:05.4,,"Head, A.","Gbur, B.",T9,15,11,1B-2B,2,3,2,Ball,Changeup,78,"","",Walk,T,1,9,Creighton University,Georgetown University,11,2,2
1,420,"Head, A. VS Hayes, S.",Creighton University vs Georgetown University,,,00:00:05.2,,"Head, A.","Hayes, S.",T9,15,11,1B-2B-3B,2,0,0,Ball,Unknown,0,"","",,T,1,9,Creighton University,Georgetown University,11,3,3
1,421,"Head, A. VS Hayes, S.",Creighton University vs Georgetown University,,,00:00:08.0,,"Head, A.","Hayes, S.",T9,15,11,1B-2B-3B,2,1,0,BIP,Unknown,0,Ground Ball,Fielder's Choice - Out,,T,1,9,Creighton University,Georgetown University,11,3,3
2,1601,"Head, A. VS Lorusso, N.",Georgetown University vs University of Maryland-College Park,,,00:00:04.8,,"Head, A.","Lorusso, N.",B8,7,10, - ,0,0,0,Ball,Fastball,85,"","",,B,0,8,Georgetown University,University of Maryland-College Park,7,1,1
2,1602,"Head, A. VS Lorusso, N.",Georgetown University vs University of Maryland-College Park,,,00:00:04.9,,"Head, A.","Lorusso, N.",B8,7,10, - ,0,1,0,Ball,Fastball,85,"","",,B,0,8,Georgetown University,University of Maryland-College Park,7,1,1
2,1603,"Head, A. VS Lorusso, N.",Georgetown University vs University of Maryland-College Park,,,00:00:04.7,,"Head, A.","Lorusso, N.",B8,7,10, - ,0,2,0,Ball,Fastball,86,"","",,B,0,8,Georgetown University,University of Maryland-College Park,7,1,1
