outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,gtown_score,pa_id
1,1,"Jensen, C. VS Diggs, K.",University of Arkansas vs Stanford University,,,00:00:05.3,,"Jensen, C.","Diggs, K.",T9,11,2, - ,0,0,0,Ball,Fastball,89,"","",,,T,1,9,2,1
1,2,"Jensen, C. VS Diggs, K.",University of Arkansas vs Stanford University,,,00:00:05.1,,"Jensen, C.","Diggs, K.",T9,11,2, - ,0,1,0,Ball,Fastball,89,"","",,,T,1,9,2,1
1,3,"Jensen, C. VS Diggs, K.",University of Arkansas vs Stanford University,,,00:00:05.1,,"Jensen, C.","Diggs, K.",T9,11,2, - ,0,2,0,Ball,Fastball,88,"","",,,T,1,9,2,1
1,4,"Jensen, C. VS Diggs, K.",University of Arkansas vs Stanford University,,,00:00:05.2,,"Jensen, C.","Diggs, K.",T9,11,2, - ,0,3,0,Strike Taken,Fastball,88,"","",,,T,1,9,2,1
1,5,"Jensen, C. VS Diggs, K.",University of Arkansas vs Stanford University,,,00:00:05.5,,"Jensen, C.","Diggs, K.",T9,11,2, - ,0,3,1,Ball,Fastball,89,"","",Walk,,T,1,9,2,1
1,6,"Jensen, C. VS Wallace, C.",University of Arkansas vs Stanford University,,,00:00:09.6,,"Jensen, C.","Wallace, C.",T9,11,2,1B,0,0,0,BIP,Slider,80,Fly Ball,Home Run,,,T,1,9,2,2
1,7,"Jensen, C. VS Turner, M.",University of Arkansas vs Stanford University,,,00:00:04.9,,"Jensen, C.","Turner, M.",T9,13,2, - ,0,0,0,Ball,Fastball,87,"","",,,T,1,9,2,3
1,8,"Jensen, C. VS Turner, M.",University of Arkansas vs Stanford University,,,00:00:05.3,,"Jensen, C.","Turner, M.",T9,13,2, - ,0,1,0,Strike Taken,Fastball,87,"","",,,T,1,9,2,3
1,9,"Jensen, C. VS Turner, M.",University of Arkansas vs Stanford University,,,00:00:05.2,,"Jensen, C.","Turner, M.",T9,13,2, - ,0,1,1,Strike Taken,Fastball,86,"","",,,T,1,9,2,3
1,10,"Jensen, C. VS Turner, M.",University of Arkansas vs Stanford University,,,00:00:05.5,,"Jensen, C.","Turner, M.",T9,13,2, - ,0,1,2,Foul,Changeup,80,"","",,,T,1,9,2,3
