X.,Title,Notes,Tags,Text.Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners.On.Base,Outs,Count,Pitch.Result,Pitch.Type,Velocity..MPH.,BIP.Type,BIP.Result,Non.BIP.Result
"Jensen, C. VS Diggs, K.",University of Arkansas vs Stanford University,,,00:00:05.3,,"Jensen, C.","Diggs, K.",T9,11-2, - ,0,0-0,Ball,Fastball,89,"","","",
"Jensen, C. VS Diggs, K.",University of Arkansas vs Stanford University,,,00:00:05.1,,"Jensen, C.","Diggs, K.",T9,11-2, - ,0,1-0,Ball,Fastball,89,"","","",
"Jensen, C. VS Diggs, K.",University of Arkansas vs Stanford University,,,00:00:05.1,,"Jensen, C.","Diggs, K.",T9,11-2, - ,0,2-0,Ball,Fastball,88,"","","",
"Jensen, C. VS Diggs, K.",University of Arkansas vs Stanford University,,,00:00:05.2,,"Jensen, C.","Diggs, K.",T9,11-2, - ,0,3-0,Strike Taken,Fastball,88,"","","",
"Jensen, C. VS Diggs, K.",University of Arkansas vs Stanford University,,,00:00:05.5,,"Jensen, C.","Diggs, K.",T9,11-2, - ,0,3-1,Ball,Fastball,89,"","",Walk,
"Jensen, C. VS Wallace, C.",University of Arkansas vs Stanford University,,,00:00:09.6,,"Jensen, C.","Wallace, C.",T9,11-2,1B,0,0-0,BIP,Slider,80,Fly Ball,Home Run,"",
"Jensen, C. VS Turner, M.",University of Arkansas vs Stanford University,,,00:00:04.9,,"Jensen, C.","Turner, M.",T9,13-2, - ,0,0-0,Ball,Fastball,87,"","","",
"Jensen, C. VS Turner, M.",University of Arkansas vs Stanford University,,,00:00:05.3,,"Jensen, C.","Turner, M.",T9,13-2, - ,0,1-0,Strike Taken,Fastball,87,"","","",
"Jensen, C. VS Turner, M.",University of Arkansas vs Stanford University,,,00:00:05.2,,"Jensen, C.","Turner, M.",T9,13-2, - ,0,1-1,Strike Taken,Fastball,86,"","","",
"Jensen, C. VS Turner, M.",University of Arkansas vs Stanford University,,,00:00:05.5,,"Jensen, C.","Turner, M.",T9,13-2, - ,0,1-2,Foul,Changeup,80,"","","",
"Jensen, C. VS Turner, M.",University of Arkansas vs Stanford University,,,00:00:08.6,,"Jensen, C.","Turner, M.",T9,13-2, - ,0,1-2,BIP,Fastball,88,Ground Ball,Single,"",
"Jensen, C. VS Lanzilli, C.",University of Arkansas vs Stanford University,,,00:00:09.8,,"Jensen, C.","Lanzilli, C.",T9,13-2,1B,0,0-0,BIP,Fastball,88,Line Drive,Single,"",
"Jensen, C. VS Moore, R.",University of Arkansas vs Stanford University,,,00:00:05.3,,"Jensen, C.","Moore, R.",T9,13-2,1B-2B,0,0-0,Ball,Fastball,88,"","","",
"Jensen, C. VS Moore, R.",University of Arkansas vs Stanford University,,,00:00:05.5,,"Jensen, C.","Moore, R.",T9,13-2,1B-2B,0,1-0,Ball,Changeup,80,"","","",
"Jensen, C. VS Moore, R.",University of Arkansas vs Stanford University,,,00:00:05.3,,"Jensen, C.","Moore, R.",T9,13-2,1B-2B,0,2-0,Ball,Fastball,88,"","","",
"Jensen, C. VS Moore, R.",University of Arkansas vs Stanford University,,,00:00:05.4,,"Jensen, C.","Moore, R.",T9,13-2,1B-2B,0,3-0,Strike Taken,Fastball,87,"","","",
"Jensen, C. VS Moore, R.",University of Arkansas vs Stanford University,,,00:00:08.0,,"Jensen, C.","Moore, R.",T9,13-2,1B-2B,0,3-1,BIP,Fastball,89,Ground Ball,Groundout,"",
"Jensen, C. VS Battles, J.",University of Arkansas vs Stanford University,,,00:00:10.0,,"Jensen, C.","Battles, J.",T9,13-2,2B-3B,1,0-0,BIP,Slider,0,Popup,Popout,"",
"Jensen, C. VS Stovall, P.",University of Arkansas vs Stanford University,,,00:00:05.2,,"Jensen, C.","Stovall, P.",T9,13-2,2B-3B,2,0-0,Strike Taken,Changeup,80,"","","",
