outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,58,"Jensen, C. VS Morton, K.",Georgetown University vs University of Connecticut,,,00:00:02.9,,"Jensen, C.","Morton, K.",B4,1,5,-,0,0,0,Ball,Fastball,0,"","",Hit By Pitch,B,0,4,Georgetown University,University of Connecticut,1,1,1
1,59,"Jensen, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:02.4,,"Jensen, C.","Smith, D.",B4,1,5,1B,0,0,0,Ball,Fastball,0,"","",,B,0,4,Georgetown University,University of Connecticut,1,2,2
1,60,"Jensen, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:02.7,,"Jensen, C.","Smith, D.",B4,1,5,1B,0,1,0,Foul Bunt,Fastball,0,"","",,B,0,4,Georgetown University,University of Connecticut,1,2,2
1,61,"Jensen, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:02.6,,"Jensen, C.","Smith, D.",B4,1,5,1B,0,1,1,Ball,Fastball,0,"","",,B,0,4,Georgetown University,University of Connecticut,1,2,2
1,62,"Jensen, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:02.6,,"Jensen, C.","Smith, D.",B4,1,5,1B,0,2,1,Strike Swinging,Fastball,0,"","",,B,0,4,Georgetown University,University of Connecticut,1,2,2
1,63,"Jensen, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:02.6,,"Jensen, C.","Smith, D.",B4,1,5,1B,0,2,2,Ball,Fastball,0,"","",,B,0,4,Georgetown University,University of Connecticut,1,2,2
1,64,"Jensen, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:04.6,,"Jensen, C.","Smith, D.",B4,1,5,1B,0,3,2,Foul,Fastball,0,"","",,B,0,4,Georgetown University,University of Connecticut,1,2,2
1,65,"Jensen, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:02.6,,"Jensen, C.","Smith, D.",B4,1,5,1B,0,3,2,Ball,Fastball,0,"","",Walk,B,0,4,Georgetown University,University of Connecticut,1,2,2
1,66,"Jensen, C. VS Tammaro, P.",Georgetown University vs University of Connecticut,,,00:00:02.7,,"Jensen, C.","Tammaro, P.",B4,1,5,1B-2B,0,0,0,Foul Bunt,Fastball,0,"","",,B,0,4,Georgetown University,University of Connecticut,1,3,3
1,67,"Jensen, C. VS Tammaro, P.",Georgetown University vs University of Connecticut,,,00:00:07.4,,"Jensen, C.","Tammaro, P.",B4,1,5,1B-2B,0,0,1,BIP,Slider,0,Ground Ball,Single,,B,0,4,Georgetown University,University of Connecticut,1,3,3
1,68,"Jensen, C. VS Freeberger, D.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Jensen, C.","Freeberger, D.",B4,1,5,1B-2B-3B,0,0,0,Strike Taken,Slider,0,"","",,B,0,4,Georgetown University,University of Connecticut,1,4,4
