outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,2177,"Jensen, C. VS Padilla, B.",Georgetown University vs University of Connecticut,,,00:00:05.5,,"Jensen, C.","Padilla, B.",B4,0,1,1B,0,0,0,Strike Taken,Fastball,87,"","",,B,0,4,Georgetown University,University of Connecticut,0,1,1
1,2178,"Jensen, C. VS Padilla, B.",Georgetown University vs University of Connecticut,,,00:00:07.6,,"Jensen, C.","Padilla, B.",B4,0,1,1B,0,0,1,Strike Swinging,Fastball,88,"","",,B,0,4,Georgetown University,University of Connecticut,0,1,1
1,2179,"Jensen, C. VS Padilla, B.",Georgetown University vs University of Connecticut,,,00:00:09.5,,"Jensen, C.","Padilla, B.",B4,0,1,1B,0,0,2,BIP,Fastball,87,Ground Ball,Groundout,,B,0,4,Georgetown University,University of Connecticut,0,1,1
1,2180,"Jensen, C. VS Tammaro, P.",Georgetown University vs University of Connecticut,,,00:00:05.2,,"Jensen, C.","Tammaro, P.",B4,0,1,2B,1,0,0,Ball,Slider,82,"","",,B,0,4,Georgetown University,University of Connecticut,0,2,2
1,2181,"Jensen, C. VS Tammaro, P.",Georgetown University vs University of Connecticut,,,00:00:05.0,,"Jensen, C.","Tammaro, P.",B4,0,1,3B,1,1,0,Ball,Slider,81,"","",,B,0,4,Georgetown University,University of Connecticut,0,2,2
1,2182,"Jensen, C. VS Tammaro, P.",Georgetown University vs University of Connecticut,,,00:00:10.9,,"Jensen, C.","Tammaro, P.",B4,0,1,3B,1,2,0,BIP,Fastball,89,Ground Ball,Single,,B,0,4,Georgetown University,University of Connecticut,0,2,2
1,2183,"Jensen, C. VS Garbowski, M.",Georgetown University vs University of Connecticut,,,00:00:06.1,,"Jensen, C.","Garbowski, M.",B4,0,2,1B,1,0,0,Foul,Fastball,88,"","",,B,0,4,Georgetown University,University of Connecticut,0,3,3
1,2184,"Jensen, C. VS Garbowski, M.",Georgetown University vs University of Connecticut,,,00:00:05.9,,"Jensen, C.","Garbowski, M.",B4,0,2,1B,1,0,1,Ball,Fastball,88,"","",,B,0,4,Georgetown University,University of Connecticut,0,3,3
1,2185,"Jensen, C. VS Garbowski, M.",Georgetown University vs University of Connecticut,,,00:00:07.8,,"Jensen, C.","Garbowski, M.",B4,0,2,1B,1,1,1,Foul,Changeup,79,"","",,B,0,4,Georgetown University,University of Connecticut,0,3,3
1,2186,"Jensen, C. VS Garbowski, M.",Georgetown University vs University of Connecticut,,,00:00:05.9,,"Jensen, C.","Garbowski, M.",B4,0,2,1B,1,1,2,Foul,Fastball,87,"","",,B,0,4,Georgetown University,University of Connecticut,0,3,3
1,2187,"Jensen, C. VS Garbowski, M.",Georgetown University vs University of Connecticut,,,00:00:05.9,,"Jensen, C.","Garbowski, M.",B4,0,2,1B,1,1,2,Foul,Changeup,80,"","",,B,0,4,Georgetown University,University of Connecticut,0,3,3
1,2188,"Jensen, C. VS Garbowski, M.",Georgetown University vs University of Connecticut,,,00:00:10.6,,"Jensen, C.","Garbowski, M.",B4,0,2,1B,1,1,2,BIP,Slider,77,Fly Ball,Flyout,,B,0,4,Georgetown University,University of Connecticut,0,3,3
1,2189,"Jensen, C. VS Morton, K.",Georgetown University vs University of Connecticut,,,00:00:07.1,,"Jensen, C.","Morton, K.",B4,0,2,1B,2,0,0,Ball,Fastball,88,"","",,B,0,4,Georgetown University,University of Connecticut,0,4,4
1,2190,"Jensen, C. VS Morton, K.",Georgetown University vs University of Connecticut,,,00:00:05.6,,"Jensen, C.","Morton, K.",B4,0,2,1B,2,1,0,Foul,Fastball,87,"","",,B,0,4,Georgetown University,University of Connecticut,0,4,4
1,2191,"Jensen, C. VS Morton, K.",Georgetown University vs University of Connecticut,,,00:00:05.2,,"Jensen, C.","Morton, K.",B4,0,2,1B,2,1,1,Ball,Fastball,87,"","",,B,0,4,Georgetown University,University of Connecticut,0,4,4
1,2192,"Jensen, C. VS Morton, K.",Georgetown University vs University of Connecticut,,,00:00:05.3,,"Jensen, C.","Morton, K.",B4,0,2,1B,2,2,1,Foul,Fastball,87,"","",,B,0,4,Georgetown University,University of Connecticut,0,4,4
1,2193,"Jensen, C. VS Morton, K.",Georgetown University vs University of Connecticut,,,00:00:17.9,,"Jensen, C.","Morton, K.",B4,0,2,1B,2,2,2,BIP,Changeup,79,Fly Ball,Home Run,,B,0,4,Georgetown University,University of Connecticut,0,4,4
1,2194,"Jensen, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:04.8,,"Jensen, C.","Smith, D.",B4,0,4,-,2,0,0,Ball,Fastball,87,"","",,B,0,4,Georgetown University,University of Connecticut,0,5,5
1,2195,"Jensen, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:05.5,,"Jensen, C.","Smith, D.",B4,0,4,-,2,1,0,Strike Taken,Fastball,87,"","",,B,0,4,Georgetown University,University of Connecticut,0,5,5
1,2196,"Jensen, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:04.7,,"Jensen, C.","Smith, D.",B4,0,4,-,2,1,1,Ball,Fastball,87,"","",,B,0,4,Georgetown University,University of Connecticut,0,5,5
1,2197,"Jensen, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:05.9,,"Jensen, C.","Smith, D.",B4,0,4,-,2,2,1,Strike Swinging,Fastball,87,"","",,B,0,4,Georgetown University,University of Connecticut,0,5,5
1,2198,"Jensen, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:04.9,,"Jensen, C.","Smith, D.",B4,0,4,-,2,2,2,Ball,Fastball,87,"","",,B,0,4,Georgetown University,University of Connecticut,0,5,5
1,2199,"Jensen, C. VS Smith, D.",Georgetown University vs University of Connecticut,,,00:00:05.8,,"Jensen, C.","Smith, D.",B4,0,4,-,2,3,2,Ball,Changeup,76,"","",Walk,B,0,4,Georgetown University,University of Connecticut,0,5,5
1,2200,"Jensen, C. VS Freeberger, D.",Georgetown University vs University of Connecticut,,,00:00:05.3,,"Jensen, C.","Freeberger, D.",B4,0,4,1B,2,0,0,Ball,Slider,78,"","",,B,0,4,Georgetown University,University of Connecticut,0,6,6
1,2201,"Jensen, C. VS Freeberger, D.",Georgetown University vs University of Connecticut,,,00:00:07.3,,"Jensen, C.","Freeberger, D.",B4,0,4,1B,2,1,0,Foul,Fastball,88,"","",,B,0,4,Georgetown University,University of Connecticut,0,6,6
1,2202,"Jensen, C. VS Freeberger, D.",Georgetown University vs University of Connecticut,,,00:00:05.6,,"Jensen, C.","Freeberger, D.",B4,0,4,1B,2,1,1,Ball,Changeup,78,"","",,B,0,4,Georgetown University,University of Connecticut,0,6,6
