outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,215,"Jensen, C. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:05.5,,"Jensen, C.","Tucker, J.",B5,4,4,1B-2B,1,0,0,Ball,Slider,78,"","",,B,0,5,Georgetown University,St. John's University (NY),4,1,1
1,216,"Jensen, C. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:05.3,,"Jensen, C.","Tucker, J.",B5,4,4,1B-2B,1,1,0,Strike Taken,Slider,76,"","",,B,0,5,Georgetown University,St. John's University (NY),4,1,1
1,217,"Jensen, C. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:10.8,,"Jensen, C.","Tucker, J.",B5,4,4,1B-2B,1,1,1,BIP,Fastball,86,Fly Ball,Flyout,,B,0,5,Georgetown University,St. John's University (NY),4,1,1
1,218,"Jensen, C. VS Orbon, P.",Georgetown University vs St. John's University (NY),,,00:00:05.2,,"Jensen, C.","Orbon, P.",B5,4,4,1B-2B,2,0,0,Strike Taken,Slider,77,"","",,B,0,5,Georgetown University,St. John's University (NY),4,2,2
1,219,"Jensen, C. VS Orbon, P.",Georgetown University vs St. John's University (NY),,,00:00:05.6,,"Jensen, C.","Orbon, P.",B5,4,4,1B-2B,2,0,1,Foul,Slider,77,"","",,B,0,5,Georgetown University,St. John's University (NY),4,2,2
1,220,"Jensen, C. VS Orbon, P.",Georgetown University vs St. John's University (NY),,,00:00:05.9,,"Jensen, C.","Orbon, P.",B5,4,4,1B-2B,2,0,2,Ball,Slider,77,"","",,B,0,5,Georgetown University,St. John's University (NY),4,2,2
1,221,"Jensen, C. VS Orbon, P.",Georgetown University vs St. John's University (NY),,,00:00:05.9,,"Jensen, C.","Orbon, P.",B5,4,4,1B-2B,2,1,2,Strike Taken,Fastball,87,"","",Strikeout,B,0,5,Georgetown University,St. John's University (NY),4,2,2
1,222,"Jensen, C. VS Orbon, L.",Georgetown University vs St. John's University (NY),,,00:00:09.2,,"Jensen, C.","Orbon, L.",B6,4,4,-,0,0,0,BIP,Fastball,87,Bunt Ground Ball,Bunt Groundout,,B,0,6,Georgetown University,St. John's University (NY),4,3,3
1,223,"Jensen, C. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:05.2,,"Jensen, C.","Brienza, A.",B6,4,4,-,1,0,0,Ball,Slider,77,"","",,B,0,6,Georgetown University,St. John's University (NY),4,4,4
1,224,"Jensen, C. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:05.2,,"Jensen, C.","Brienza, A.",B6,4,4,-,1,1,0,Strike Taken,Fastball,86,"","",,B,0,6,Georgetown University,St. John's University (NY),4,4,4
1,225,"Jensen, C. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:05.6,,"Jensen, C.","Brienza, A.",B6,4,4,-,1,1,1,Ball,Fastball,87,"","",,B,0,6,Georgetown University,St. John's University (NY),4,4,4
1,226,"Jensen, C. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:05.2,,"Jensen, C.","Brienza, A.",B6,4,4,-,1,2,1,Strike Taken,Slider,77,"","",,B,0,6,Georgetown University,St. John's University (NY),4,4,4
1,227,"Jensen, C. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:11.2,,"Jensen, C.","Brienza, A.",B6,4,4,-,1,2,2,BIP,Changeup,82,Fly Ball,Flyout,,B,0,6,Georgetown University,St. John's University (NY),4,4,4
1,228,"Jensen, C. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:06.5,,"Jensen, C.","Scavelli, G.",B6,4,4,-,2,0,0,Foul,Slider,78,"","",,B,0,6,Georgetown University,St. John's University (NY),4,5,5
1,229,"Jensen, C. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:05.3,,"Jensen, C.","Scavelli, G.",B6,4,4,-,2,0,1,Strike Taken,Slider,78,"","",,B,0,6,Georgetown University,St. John's University (NY),4,5,5
1,230,"Jensen, C. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:05.5,,"Jensen, C.","Scavelli, G.",B6,4,4,-,2,0,2,Ball,Changeup,83,"","",,B,0,6,Georgetown University,St. John's University (NY),4,5,5
1,231,"Jensen, C. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:11.5,,"Jensen, C.","Scavelli, G.",B6,4,4,-,2,1,2,BIP,Changeup,81,Ground Ball,Groundout,,B,0,6,Georgetown University,St. John's University (NY),4,5,5
1,232,"Jensen, C. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:11.2,,"Jensen, C.","Beauchamp, B.",B7,4,4,-,0,0,0,BIP,Slider,77,Ground Ball,Single,,B,0,7,Georgetown University,St. John's University (NY),4,6,6
1,233,"Jensen, C. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:06.3,,"Jensen, C.","Mayberry, B.",B7,4,4,1B,0,0,0,Ball,Slider,76,"","",,B,0,7,Georgetown University,St. John's University (NY),4,7,7
1,234,"Jensen, C. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:06.0,,"Jensen, C.","Mayberry, B.",B7,4,4,1B,0,1,0,Ball,Slider,75,"","",,B,0,7,Georgetown University,St. John's University (NY),4,7,7
1,235,"Jensen, C. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:06.6,,"Jensen, C.","Mayberry, B.",B7,4,4,1B,0,2,0,Strike Swinging,Fastball,87,"","",,B,0,7,Georgetown University,St. John's University (NY),4,7,7
1,236,"Jensen, C. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:11.8,,"Jensen, C.","Mayberry, B.",B7,4,4,1B,0,2,1,BIP,Fastball,85,Line Drive,Single,,B,0,7,Georgetown University,St. John's University (NY),4,7,7
2,790,"Jensen, C. VS Wachsmann, I.",Xavier University vs Georgetown University,,,00:00:05.3,,"Jensen, C.","Wachsmann, I.",T9,3,5,1B,1,0,0,Ball,Fastball,86,"","",,T,1,9,Xavier University,Georgetown University,5,1,1
2,791,"Jensen, C. VS Wachsmann, I.",Xavier University vs Georgetown University,,,00:00:17.3,,"Jensen, C.","Wachsmann, I.",T9,3,5,1B,1,1,0,BIP,Changeup,0,Line Drive,Home Run,,T,1,9,Xavier University,Georgetown University,5,1,1
2,792,"Jensen, C. VS Cushing, J.",Xavier University vs Georgetown University,,,00:00:05.1,,"Jensen, C.","Cushing, J.",T9,5,5,-,1,0,0,Foul,Fastball,87,"","",,T,1,9,Xavier University,Georgetown University,5,2,2
2,793,"Jensen, C. VS Cushing, J.",Xavier University vs Georgetown University,,,00:00:05.2,,"Jensen, C.","Cushing, J.",T9,5,5,-,1,0,1,Foul,Slider,77,"","",,T,1,9,Xavier University,Georgetown University,5,2,2
2,794,"Jensen, C. VS Cushing, J.",Xavier University vs Georgetown University,,,00:00:05.6,,"Jensen, C.","Cushing, J.",T9,5,5,-,1,0,2,Ball,Slider,77,"","",,T,1,9,Xavier University,Georgetown University,5,2,2
2,795,"Jensen, C. VS Cushing, J.",Xavier University vs Georgetown University,,,00:00:08.4,,"Jensen, C.","Cushing, J.",T9,5,5,-,1,1,2,Strike Swinging,Fastball,87,"","",Strikeout,T,1,9,Xavier University,Georgetown University,5,2,2
2,796,"Jensen, C. VS Mccormick, M.",Xavier University vs Georgetown University,,,00:00:05.1,,"Jensen, C.","Mccormick, M.",T9,5,5,-,2,0,0,Ball,Fastball,88,"","",,T,1,9,Xavier University,Georgetown University,5,3,3
2,797,"Jensen, C. VS Mccormick, M.",Xavier University vs Georgetown University,,,00:00:08.9,,"Jensen, C.","Mccormick, M.",T9,5,5,-,2,1,0,BIP,Slider,78,Line Drive,Lineout,,T,1,9,Xavier University,Georgetown University,5,3,3
2,798,"Jensen, C. VS Misch, C.",Xavier University vs Georgetown University,,,00:00:05.2,,"Jensen, C.","Misch, C.",T10,5,5,-,0,0,0,Foul,Slider,0,"","",,T,1,10,Xavier University,Georgetown University,5,4,4
2,799,"Jensen, C. VS Misch, C.",Xavier University vs Georgetown University,,,00:00:05.2,,"Jensen, C.","Misch, C.",T10,5,5,-,0,0,1,Ball,Fastball,0,"","",,T,1,10,Xavier University,Georgetown University,5,4,4
2,800,"Jensen, C. VS Misch, C.",Xavier University vs Georgetown University,,,00:00:05.5,,"Jensen, C.","Misch, C.",T10,5,5,-,0,1,1,Strike Swinging,Slider,0,"","",,T,1,10,Xavier University,Georgetown University,5,4,4
2,801,"Jensen, C. VS Misch, C.",Xavier University vs Georgetown University,,,00:00:04.9,,"Jensen, C.","Misch, C.",T10,5,5,-,0,1,2,Ball,Slider,0,"","",,T,1,10,Xavier University,Georgetown University,5,4,4
2,802,"Jensen, C. VS Misch, C.",Xavier University vs Georgetown University,,,00:00:05.8,,"Jensen, C.","Misch, C.",T10,5,5,-,0,2,2,Strike Swinging,Slider,0,"","",Strikeout,T,1,10,Xavier University,Georgetown University,5,4,4
2,803,"Jensen, C. VS Hendrickson, C.",Xavier University vs Georgetown University,,,00:00:05.1,,"Jensen, C.","Hendrickson, C.",T10,5,5,-,1,0,0,Ball,Fastball,0,"","",,T,1,10,Xavier University,Georgetown University,5,5,5
2,804,"Jensen, C. VS Hendrickson, C.",Xavier University vs Georgetown University,,,00:00:05.0,,"Jensen, C.","Hendrickson, C.",T10,5,5,-,1,1,0,Strike Taken,Slider,0,"","",,T,1,10,Xavier University,Georgetown University,5,5,5
2,805,"Jensen, C. VS Hendrickson, C.",Xavier University vs Georgetown University,,,00:00:09.4,,"Jensen, C.","Hendrickson, C.",T10,5,5,-,1,1,1,BIP,Slider,0,Ground Ball,Single,,T,1,10,Xavier University,Georgetown University,5,5,5
3,931,"Jensen, C. VS Wachsmann, I.",Xavier University vs Georgetown University,,,00:00:05.5,,"Jensen, C.","Wachsmann, I.",T6,4,6,1B-2B-3B,2,0,0,Strike Swinging,Slider,76,"","",,T,1,6,Xavier University,Georgetown University,6,1,1
3,932,"Jensen, C. VS Wachsmann, I.",Xavier University vs Georgetown University,,,00:00:04.9,,"Jensen, C.","Wachsmann, I.",T6,4,6,1B-2B-3B,2,0,1,Strike Taken,Slider,77,"","",,T,1,6,Xavier University,Georgetown University,6,1,1
