outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id
1,1,"Jensen, C. VS Kelley, T.",Georgetown University vs Penn State University,,,00:00:05.2,,"Jensen, C.","Kelley, T.",B8,1,6, - ,0,0,0,Strike Taken,Slider,81,"","",,,B,0,8,Georgetown University,Penn State University,1,1
1,2,"Jensen, C. VS Kelley, T.",Georgetown University vs Penn State University,,,00:00:09.7,,"Jensen, C.","Kelley, T.",B8,1,6, - ,0,0,1,BIP,Slider,80,Ground Ball,Groundout,,,B,0,8,Georgetown University,Penn State University,1,1
1,3,"Jensen, C. VS Kailher, B.",Georgetown University vs Penn State University,,,00:00:04.9,,"Jensen, C.","Kailher, B.",B8,1,6, - ,1,0,0,Strike Taken,Fastball,89,"","",,,B,0,8,Georgetown University,Penn State University,1,2
1,4,"Jensen, C. VS Kailher, B.",Georgetown University vs Penn State University,,,00:00:05.1,,"Jensen, C.","Kailher, B.",B8,1,6, - ,1,0,1,Strike Taken,Fastball,91,"","",,,B,0,8,Georgetown University,Penn State University,1,2
1,5,"Jensen, C. VS Kailher, B.",Georgetown University vs Penn State University,,,00:00:07.9,,"Jensen, C.","Kailher, B.",B8,1,6, - ,1,0,2,BIP,Changeup,80,Popup,Popout,,,B,0,8,Georgetown University,Penn State University,1,2
1,6,"Jensen, C. VS Marsh, B.",Georgetown University vs Penn State University,,,00:00:05.1,,"Jensen, C.","Marsh, B.",B8,1,6, - ,2,0,0,Ball,Fastball,90,"","",,,B,0,8,Georgetown University,Penn State University,1,3
1,7,"Jensen, C. VS Marsh, B.",Georgetown University vs Penn State University,,,00:00:05.0,,"Jensen, C.","Marsh, B.",B8,1,6, - ,2,1,0,Strike Taken,Changeup,80,"","",,,B,0,8,Georgetown University,Penn State University,1,3
1,8,"Jensen, C. VS Marsh, B.",Georgetown University vs Penn State University,,,00:00:08.9,,"Jensen, C.","Marsh, B.",B8,1,6, - ,2,1,1,BIP,Slider,81,Ground Ball,Groundout,,,B,0,8,Georgetown University,Penn State University,1,3
2,9,"Jensen, C. VS Kellogg, D.",University of Hartford vs Georgetown University,,,00:00:04.7,,"Jensen, C.","Kellogg, D.",T1,0,0, - ,0,0,0,Foul,Fastball,90,"","",,,T,1,1,University of Hartford,Georgetown University,0,1
2,10,"Jensen, C. VS Kellogg, D.",University of Hartford vs Georgetown University,,,00:00:05.1,,"Jensen, C.","Kellogg, D.",T1,0,0, - ,0,0,1,Ball,Fastball,89,"","",,,T,1,1,University of Hartford,Georgetown University,0,1
2,11,"Jensen, C. VS Kellogg, D.",University of Hartford vs Georgetown University,,,00:00:05.8,,"Jensen, C.","Kellogg, D.",T1,0,0, - ,0,1,1,Ball,Fastball,89,"","",,,T,1,1,University of Hartford,Georgetown University,0,1
2,12,"Jensen, C. VS Kellogg, D.",University of Hartford vs Georgetown University,,,00:00:07.2,,"Jensen, C.","Kellogg, D.",T1,0,0, - ,0,2,1,Foul,Fastball,90,"","",,,T,1,1,University of Hartford,Georgetown University,0,1
2,13,"Jensen, C. VS Kellogg, D.",University of Hartford vs Georgetown University,,,00:00:06.9,,"Jensen, C.","Kellogg, D.",T1,0,0, - ,0,2,2,Foul,Slider,83,"","",,,T,1,1,University of Hartford,Georgetown University,0,1
