outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,4327,"Jergins, A. VS Whooley, J.",Georgetown University vs Villanova University,,,00:00:17.1,,"Jergins, A.","Whooley, J.",B8,3,9,1B-2B-3B,0,0,0,BIP,Slider,83,Line Drive,Double,,B,0,8,Georgetown University,Villanova University,3,1,1
1,4328,"Jergins, A. VS Solari, S.",Georgetown University vs Villanova University,,,00:00:02.0,,"Jergins, A.","Solari, S.",B8,3,12,2B,0,0,0,Strike Taken,Fastball,84,"","",,B,0,8,Georgetown University,Villanova University,3,2,2
1,4329,"Jergins, A. VS Solari, S.",Georgetown University vs Villanova University,,,00:00:08.0,,"Jergins, A.","Solari, S.",B8,3,12,2B,0,0,1,BIP,Changeup,72,Fly Ball,Flyout,,B,0,8,Georgetown University,Villanova University,3,2,2
1,4330,"Jergins, A. VS Grober, S.",Georgetown University vs Villanova University,,,00:00:05.7,,"Jergins, A.","Grober, S.",B8,3,12,2B,1,0,0,Ball,Changeup,72,"","",,B,0,8,Georgetown University,Villanova University,3,3,3
1,4331,"Jergins, A. VS Grober, S.",Georgetown University vs Villanova University,,,00:00:11.4,,"Jergins, A.","Grober, S.",B8,3,12,2B,1,1,0,BIP,Fastball,84,Line Drive,Single,,B,0,8,Georgetown University,Villanova University,3,3,3
1,4332,"Jergins, A. VS Reiner, W.",Georgetown University vs Villanova University,,,00:00:02.6,,"Jergins, A.","Reiner, W.",B8,3,13,1B,1,0,0,Ball,Curveball,71,"","",,B,0,8,Georgetown University,Villanova University,3,4,4
1,4333,"Jergins, A. VS Reiner, W.",Georgetown University vs Villanova University,,,00:00:02.0,,"Jergins, A.","Reiner, W.",B8,3,13,1B,1,1,0,Strike Taken,Fastball,86,"","",,B,0,8,Georgetown University,Villanova University,3,4,4
1,4334,"Jergins, A. VS Reiner, W.",Georgetown University vs Villanova University,,,00:00:02.5,,"Jergins, A.","Reiner, W.",B8,3,13,1B,1,1,1,Ball,Changeup,71,"","",,B,0,8,Georgetown University,Villanova University,3,4,4
1,4335,"Jergins, A. VS Reiner, W.",Georgetown University vs Villanova University,,,00:00:02.8,,"Jergins, A.","Reiner, W.",B8,3,13,1B,1,2,1,Foul,Fastball,86,"","",,B,0,8,Georgetown University,Villanova University,3,4,4
1,4336,"Jergins, A. VS Reiner, W.",Georgetown University vs Villanova University,,,00:00:03.4,,"Jergins, A.","Reiner, W.",B8,3,13,1B,1,2,2,Ball,Curveball,71,"","",,B,0,8,Georgetown University,Villanova University,3,4,4
1,4337,"Jergins, A. VS Reiner, W.",Georgetown University vs Villanova University,,,00:00:02.5,,"Jergins, A.","Reiner, W.",B8,3,13,1B,1,3,2,Foul,Fastball,87,"","",,B,0,8,Georgetown University,Villanova University,3,4,4
1,4338,"Jergins, A. VS Reiner, W.",Georgetown University vs Villanova University,,,00:00:02.4,,"Jergins, A.","Reiner, W.",B8,3,13,1B,1,3,2,Ball,Curveball,67,"","",Hit By Pitch,B,0,8,Georgetown University,Villanova University,3,4,4
1,4339,"Jergins, A. VS Whooley, M.",Georgetown University vs Villanova University,,,00:00:02.1,,"Jergins, A.","Whooley, M.",B8,3,13,1B-2B,1,0,0,Ball,Changeup,74,"","",,B,0,8,Georgetown University,Villanova University,3,5,5
1,4340,"Jergins, A. VS Whooley, M.",Georgetown University vs Villanova University,,,00:00:02.1,,"Jergins, A.","Whooley, M.",B8,3,13,1B-2B,1,1,0,Ball,Fastball,87,"","",,B,0,8,Georgetown University,Villanova University,3,5,5
1,4341,"Jergins, A. VS Whooley, M.",Georgetown University vs Villanova University,,,00:00:02.0,,"Jergins, A.","Whooley, M.",B8,3,13,1B-2B,1,2,0,Ball,Fastball,84,"","",,B,0,8,Georgetown University,Villanova University,3,5,5
1,4342,"Jergins, A. VS Whooley, M.",Georgetown University vs Villanova University,,,00:00:03.2,,"Jergins, A.","Whooley, M.",B8,3,13,1B-2B,1,3,0,Ball,Fastball,82,"","",Walk,B,0,8,Georgetown University,Villanova University,3,5,5
1,4343,"Jergins, A. VS Cooke, P.",Georgetown University vs Villanova University,,,00:00:02.0,,"Jergins, A.","Cooke, P.",B8,3,13,1B-2B-3B,1,0,0,Strike Taken,Fastball,83,"","",,B,0,8,Georgetown University,Villanova University,3,6,6
1,4344,"Jergins, A. VS Cooke, P.",Georgetown University vs Villanova University,,,00:00:02.1,,"Jergins, A.","Cooke, P.",B8,3,13,1B-2B-3B,1,0,1,Ball,Fastball,84,"","",,B,0,8,Georgetown University,Villanova University,3,6,6
1,4345,"Jergins, A. VS Cooke, P.",Georgetown University vs Villanova University,,,00:00:01.9,,"Jergins, A.","Cooke, P.",B8,3,13,1B-2B-3B,1,1,1,Ball,Fastball,83,"","",,B,0,8,Georgetown University,Villanova University,3,6,6
1,4346,"Jergins, A. VS Cooke, P.",Georgetown University vs Villanova University,,,00:00:02.8,,"Jergins, A.","Cooke, P.",B8,3,13,1B-2B-3B,1,2,1,Ball,Fastball,86,"","",,B,0,8,Georgetown University,Villanova University,3,6,6
1,4347,"Jergins, A. VS Cooke, P.",Georgetown University vs Villanova University,,,00:00:02.1,,"Jergins, A.","Cooke, P.",B8,3,13,1B-2B-3B,1,3,1,Ball,Fastball,80,"","",Walk,B,0,8,Georgetown University,Villanova University,3,6,6
2,4743,"Jergins, A. VS Woods, M.",Georgetown University vs University of Maryland-College Park,,,00:00:01.6,,"Jergins, A.","Woods, M.",B6,7,9,-,0,0,0,Strike Taken,Fastball,83,"","",,B,0,6,Georgetown University,University of Maryland-College Park,7,1,1
2,4744,"Jergins, A. VS Woods, M.",Georgetown University vs University of Maryland-College Park,,,00:00:02.1,,"Jergins, A.","Woods, M.",B6,7,9,-,0,0,1,Foul,Fastball,82,"","",,B,0,6,Georgetown University,University of Maryland-College Park,7,1,1
2,4745,"Jergins, A. VS Woods, M.",Georgetown University vs University of Maryland-College Park,,,00:00:02.1,,"Jergins, A.","Woods, M.",B6,7,9,-,0,0,2,Ball,Slider,75,"","",,B,0,6,Georgetown University,University of Maryland-College Park,7,1,1
2,4746,"Jergins, A. VS Woods, M.",Georgetown University vs University of Maryland-College Park,,,00:00:06.2,,"Jergins, A.","Woods, M.",B6,7,9,-,0,1,2,BIP,Fastball,85,Fly Ball,Flyout,,B,0,6,Georgetown University,University of Maryland-College Park,7,1,1
2,4747,"Jergins, A. VS Petrutz, I.",Georgetown University vs University of Maryland-College Park,,,00:00:01.9,,"Jergins, A.","Petrutz, I.",B6,7,9,-,1,0,0,Ball,Fastball,85,"","",,B,0,6,Georgetown University,University of Maryland-College Park,7,2,2
2,4748,"Jergins, A. VS Petrutz, I.",Georgetown University vs University of Maryland-College Park,,,00:00:02.1,,"Jergins, A.","Petrutz, I.",B6,7,9,-,1,1,0,Strike Taken,Slider,71,"","",,B,0,6,Georgetown University,University of Maryland-College Park,7,2,2
