outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,132,"Jergins, A. VS Calarco, A.",University of Maryland-College Park vs Georgetown University,,,00:00:02.3,,"Jergins, A.","Calarco, A.",T7,11,3,-,0,0,0,Strike Taken,Fastball,88,"","",,T,1,7,University of Maryland-College Park,Georgetown University,3,1,1
1,133,"Jergins, A. VS Calarco, A.",University of Maryland-College Park vs Georgetown University,,,00:00:07.1,,"Jergins, A.","Calarco, A.",T7,11,3,-,0,0,1,BIP,Changeup,74,Ground Ball,Double,,T,1,7,University of Maryland-College Park,Georgetown University,3,1,1
1,134,"Jergins, A. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:02.8,,"Jergins, A.","Russell, D.",T7,11,3,2B,0,0,0,Strike Swinging,Fastball,86,"","",,T,1,7,University of Maryland-College Park,Georgetown University,3,2,2
1,135,"Jergins, A. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:02.1,,"Jergins, A.","Russell, D.",T7,11,3,2B,0,0,1,Ball,Fastball,88,"","",,T,1,7,University of Maryland-College Park,Georgetown University,3,2,2
1,136,"Jergins, A. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:02.1,,"Jergins, A.","Russell, D.",T7,11,3,2B,0,1,1,Strike Taken,Fastball,88,"","",,T,1,7,University of Maryland-College Park,Georgetown University,3,2,2
1,137,"Jergins, A. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:02.1,,"Jergins, A.","Russell, D.",T7,11,3,2B,0,1,2,Ball,Changeup,75,"","",,T,1,7,University of Maryland-College Park,Georgetown University,3,2,2
1,138,"Jergins, A. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Jergins, A.","Russell, D.",T7,11,3,2B,0,2,2,Strike Taken,Fastball,89,"","",Strikeout,T,1,7,University of Maryland-College Park,Georgetown University,3,2,2
1,139,"Jergins, A. VS Lambros, E.",University of Maryland-College Park vs Georgetown University,,,00:00:10.4,,"Jergins, A.","Lambros, E.",T7,11,3,2B,1,0,0,BIP,Fastball,89,Fly Ball,Flyout,,T,1,7,University of Maryland-College Park,Georgetown University,3,3,3
1,140,"Jergins, A. VS Martin, B.",University of Maryland-College Park vs Georgetown University,,,00:00:02.5,,"Jergins, A.","Martin, B.",T7,11,3,2B,2,0,0,Ball,Fastball,88,"","",,T,1,7,University of Maryland-College Park,Georgetown University,3,4,4
1,141,"Jergins, A. VS Martin, B.",University of Maryland-College Park vs Georgetown University,,,00:00:03.0,,"Jergins, A.","Martin, B.",T7,11,3,2B,2,1,0,Ball,Fastball,88,"","",Hit By Pitch,T,1,7,University of Maryland-College Park,Georgetown University,3,4,4
