outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,1415,"Jergins, A. VS Blanchard, E.",George Mason University vs Georgetown University,,,00:00:05.2,,"Jergins, A.","Blanchard, E.",T8,8,2,-,0,0,0,Ball,Fastball,0,"","",Hit By Pitch,T,1,8,George Mason University,Georgetown University,2,1,1
1,1416,"Jergins, A. VS Trimble, S.",George Mason University vs Georgetown University,,,00:00:10.2,,"Jergins, A.","Trimble, S.",T8,8,2,1B,0,0,0,BIP,Fastball,0,Fly Ball,Flyout,,T,1,8,George Mason University,Georgetown University,2,2,2
1,1417,"Jergins, A. VS Smith, J.",George Mason University vs Georgetown University,,,00:00:05.2,,"Jergins, A.","Smith, J.",T8,8,2,1B,1,0,0,Ball,Fastball,0,"","",,T,1,8,George Mason University,Georgetown University,2,3,3
1,1418,"Jergins, A. VS Smith, J.",George Mason University vs Georgetown University,,,00:00:05.3,,"Jergins, A.","Smith, J.",T8,8,2,2B,1,2,0,Ball,Fastball,0,"","",,T,1,8,George Mason University,Georgetown University,2,3,3
1,1419,"Jergins, A. VS Smith, J.",George Mason University vs Georgetown University,,,00:00:05.2,,"Jergins, A.","Smith, J.",T8,8,2,2B,1,3,0,Strike Taken,Fastball,0,"","",,T,1,8,George Mason University,Georgetown University,2,3,3
1,1420,"Jergins, A. VS Smith, J.",George Mason University vs Georgetown University,,,00:00:05.0,,"Jergins, A.","Smith, J.",T8,8,2,2B,1,3,1,Foul,Fastball,0,"","",,T,1,8,George Mason University,Georgetown University,2,3,3
1,1421,"Jergins, A. VS Smith, J.",George Mason University vs Georgetown University,,,00:00:05.5,,"Jergins, A.","Smith, J.",T8,8,2,2B,1,3,2,Ball,Fastball,0,"","",Hit By Pitch,T,1,8,George Mason University,Georgetown University,2,3,3
1,1422,"Jergins, A. VS Pracht, C.",George Mason University vs Georgetown University,,,00:00:05.6,,"Jergins, A.","Pracht, C.",T8,8,2,1B-2B,1,0,0,Ball,Changeup,0,"","",,T,1,8,George Mason University,Georgetown University,2,4,4
1,1423,"Jergins, A. VS Pracht, C.",George Mason University vs Georgetown University,,,00:00:05.2,,"Jergins, A.","Pracht, C.",T8,8,2,1B-2B,1,1,0,Ball,Fastball,0,"","",,T,1,8,George Mason University,Georgetown University,2,4,4
1,1424,"Jergins, A. VS Pracht, C.",George Mason University vs Georgetown University,,,00:00:05.2,,"Jergins, A.","Pracht, C.",T8,8,2,1B-2B,1,2,0,Ball,Fastball,0,"","",,T,1,8,George Mason University,Georgetown University,2,4,4
