outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,3540,"Jergins, A. VS Woods, M.",Georgetown University vs University of Maryland-College Park,,,00:00:04.6,,"Jergins, A.","Woods, M.",B6,7,9,-,0,0,0,Strike Taken,Fastball,83,"","",,B,0,6,Georgetown University,University of Maryland-College Park,7,1,1
1,3541,"Jergins, A. VS Woods, M.",Georgetown University vs University of Maryland-College Park,,,00:00:05.1,,"Jergins, A.","Woods, M.",B6,7,9,-,0,0,1,Foul,Fastball,82,"","",,B,0,6,Georgetown University,University of Maryland-College Park,7,1,1
1,3542,"Jergins, A. VS Woods, M.",Georgetown University vs University of Maryland-College Park,,,00:00:05.1,,"Jergins, A.","Woods, M.",B6,7,9,-,0,0,2,Ball,Slider,75,"","",,B,0,6,Georgetown University,University of Maryland-College Park,7,1,1
1,3543,"Jergins, A. VS Woods, M.",Georgetown University vs University of Maryland-College Park,,,00:00:09.2,,"Jergins, A.","Woods, M.",B6,7,9,-,0,1,2,BIP,Fastball,85,Fly Ball,Flyout,,B,0,6,Georgetown University,University of Maryland-College Park,7,1,1
1,3544,"Jergins, A. VS Petrutz, I.",Georgetown University vs University of Maryland-College Park,,,00:00:04.9,,"Jergins, A.","Petrutz, I.",B6,7,9,-,1,0,0,Ball,Fastball,85,"","",,B,0,6,Georgetown University,University of Maryland-College Park,7,2,2
1,3545,"Jergins, A. VS Petrutz, I.",Georgetown University vs University of Maryland-College Park,,,00:00:05.1,,"Jergins, A.","Petrutz, I.",B6,7,9,-,1,1,0,Strike Taken,Slider,71,"","",,B,0,6,Georgetown University,University of Maryland-College Park,7,2,2
1,3546,"Jergins, A. VS Petrutz, I.",Georgetown University vs University of Maryland-College Park,,,00:00:04.9,,"Jergins, A.","Petrutz, I.",B6,7,9,-,1,1,1,Strike Taken,Fastball,86,"","",,B,0,6,Georgetown University,University of Maryland-College Park,7,2,2
1,3547,"Jergins, A. VS Petrutz, I.",Georgetown University vs University of Maryland-College Park,,,00:00:04.9,,"Jergins, A.","Petrutz, I.",B6,7,9,-,1,1,2,Ball,Slider,74,"","",,B,0,6,Georgetown University,University of Maryland-College Park,7,2,2
1,3548,"Jergins, A. VS Petrutz, I.",Georgetown University vs University of Maryland-College Park,,,00:00:05.5,,"Jergins, A.","Petrutz, I.",B6,7,9,-,1,2,2,Foul,Slider,73,"","",,B,0,6,Georgetown University,University of Maryland-College Park,7,2,2
1,3549,"Jergins, A. VS Petrutz, I.",Georgetown University vs University of Maryland-College Park,,,00:00:09.1,,"Jergins, A.","Petrutz, I.",B6,7,9,-,1,2,2,BIP,Fastball,86,Ground Ball,Groundout,,B,0,6,Georgetown University,University of Maryland-College Park,7,2,2
1,3550,"Jergins, A. VS Keister, K.",Georgetown University vs University of Maryland-College Park,,,00:00:04.8,,"Jergins, A.","Keister, K.",B6,7,9,-,2,0,0,Strike Taken,Fastball,86,"","",,B,0,6,Georgetown University,University of Maryland-College Park,7,3,3
1,3551,"Jergins, A. VS Keister, K.",Georgetown University vs University of Maryland-College Park,,,00:00:04.7,,"Jergins, A.","Keister, K.",B6,7,9,-,2,0,1,Ball,Changeup,76,"","",,B,0,6,Georgetown University,University of Maryland-College Park,7,3,3
1,3552,"Jergins, A. VS Keister, K.",Georgetown University vs University of Maryland-College Park,,,00:00:10.0,,"Jergins, A.","Keister, K.",B6,7,9,-,2,1,1,BIP,Changeup,73,Ground Ball,Groundout,,B,0,6,Georgetown University,University of Maryland-College Park,7,3,3
2,4616,"Jergins, A. VS Hankins, J.",Coppin State University vs Georgetown University,,,00:00:05.1,,"Jergins, A.","Hankins, J.",T7,0,6,-,2,0,0,Strike Taken,Fastball,82,"","",,T,1,7,Coppin State University,Georgetown University,6,1,1
2,4617,"Jergins, A. VS Hankins, J.",Coppin State University vs Georgetown University,,,00:00:05.2,,"Jergins, A.","Hankins, J.",T7,0,6,-,2,0,1,Strike Swinging,Changeup,69,"","",,T,1,7,Coppin State University,Georgetown University,6,1,1
2,4618,"Jergins, A. VS Hankins, J.",Coppin State University vs Georgetown University,,,00:00:05.0,,"Jergins, A.","Hankins, J.",T7,0,6,-,2,0,2,Strike Swinging,Changeup,74,"","",Strikeout,T,1,7,Coppin State University,Georgetown University,6,1,1
3,5830,"Jergins, A. VS Castillo, R.",Long Beach State University vs Georgetown University,,,00:00:09.4,,"Jergins, A.","Castillo, R.",T8,18,3,-,0,0,0,BIP,Fastball,82,Line Drive,Lineout,,T,1,8,Long Beach State University,Georgetown University,3,1,1
3,5831,"Jergins, A. VS Briseno, A.",Long Beach State University vs Georgetown University,,,00:00:05.9,,"Jergins, A.","Briseno, A.",T8,18,3,-,1,0,0,Foul,Fastball,84,"","",,T,1,8,Long Beach State University,Georgetown University,3,2,2
3,5832,"Jergins, A. VS Briseno, A.",Long Beach State University vs Georgetown University,,,00:00:10.1,,"Jergins, A.","Briseno, A.",T8,18,3,-,1,0,1,BIP,Fastball,83,Line Drive,Single,,T,1,8,Long Beach State University,Georgetown University,3,2,2
3,5833,"Jergins, A. VS White, T.",Long Beach State University vs Georgetown University,,,00:00:04.4,,"Jergins, A.","White, T.",T8,18,3,1B,1,0,0,Strike Taken,Changeup,74,"","",,T,1,8,Long Beach State University,Georgetown University,3,3,3
3,5834,"Jergins, A. VS White, T.",Long Beach State University vs Georgetown University,,,00:00:04.6,,"Jergins, A.","White, T.",T8,18,3,1B,1,0,1,Strike Taken,Changeup,75,"","",,T,1,8,Long Beach State University,Georgetown University,3,3,3
