outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,106,"Keenan, R. VS Dorighi, B.",University of Iowa vs Northwestern University,,,00:00:06.3,,"Keenan, R.","Dorighi, B.",T8,3,0,1B-2B-3B,1,0,0,Strike Taken,Slider,75,"","",,T,1,8,University of Iowa,Northwestern University,0,1,1
1,107,"Keenan, R. VS Dorighi, B.",University of Iowa vs Northwestern University,,,00:00:05.9,,"Keenan, R.","Dorighi, B.",T8,3,0,1B-2B-3B,1,0,1,Ball,Fastball,84,"","",,T,1,8,University of Iowa,Northwestern University,0,1,1
1,108,"Keenan, R. VS Dorighi, B.",University of Iowa vs Northwestern University,,,00:00:06.1,,"Keenan, R.","Dorighi, B.",T8,3,0,1B-2B-3B,1,1,1,Ball,Fastball,85,"","",,T,1,8,University of Iowa,Northwestern University,0,1,1
1,109,"Keenan, R. VS Dorighi, B.",University of Iowa vs Northwestern University,,,00:00:06.2,,"Keenan, R.","Dorighi, B.",T8,3,0,1B-2B-3B,1,2,1,Strike Taken,Fastball,85,"","",,T,1,8,University of Iowa,Northwestern University,0,1,1
1,110,"Keenan, R. VS Dorighi, B.",University of Iowa vs Northwestern University,,,00:00:06.9,,"Keenan, R.","Dorighi, B.",T8,3,0,1B-2B-3B,1,2,2,Foul,Slider,75,"","",,T,1,8,University of Iowa,Northwestern University,0,1,1
1,111,"Keenan, R. VS Dorighi, B.",University of Iowa vs Northwestern University,,,00:00:12.3,,"Keenan, R.","Dorighi, B.",T8,3,0,1B-2B-3B,1,2,2,Strike Swinging,Fastball,86,"","",Catcher Interference,T,1,8,University of Iowa,Northwestern University,0,1,1
1,112,"Keenan, R. VS Tello, R.",University of Iowa vs Northwestern University,,,00:00:05.9,,"Keenan, R.","Tello, R.",T8,4,0,1B-2B-3B,1,0,0,Ball,Fastball,87,"","",,T,1,8,University of Iowa,Northwestern University,0,2,2
1,113,"Keenan, R. VS Tello, R.",University of Iowa vs Northwestern University,,,00:00:13.4,,"Keenan, R.","Tello, R.",T8,4,0,1B-2B-3B,1,1,0,BIP,Fastball,86,Ground Ball,Single,,T,1,8,University of Iowa,Northwestern University,0,2,2
2,457,"Keenan, R. VS Mulflur, W.",University of Iowa vs Northwestern University,,,00:00:10.8,,"Keenan, R.","Mulflur, W.",T8,15,3,-,0,0,0,BIP,Fastball,85,Ground Ball,Groundout,,T,1,8,University of Iowa,Northwestern University,3,1,1
2,458,"Keenan, R. VS Guerin, B.",University of Iowa vs Northwestern University,,,00:00:04.8,,"Keenan, R.","Guerin, B.",T8,15,3,-,1,0,0,Ball,Fastball,86,"","",,T,1,8,University of Iowa,Northwestern University,3,2,2
2,459,"Keenan, R. VS Guerin, B.",University of Iowa vs Northwestern University,,,00:00:05.1,,"Keenan, R.","Guerin, B.",T8,15,3,-,1,1,0,Strike Taken,Fastball,86,"","",,T,1,8,University of Iowa,Northwestern University,3,2,2
2,460,"Keenan, R. VS Guerin, B.",University of Iowa vs Northwestern University,,,00:00:05.3,,"Keenan, R.","Guerin, B.",T8,15,3,-,1,1,1,Ball,Changeup,79,"","",,T,1,8,University of Iowa,Northwestern University,3,2,2
2,461,"Keenan, R. VS Guerin, B.",University of Iowa vs Northwestern University,,,00:00:06.2,,"Keenan, R.","Guerin, B.",T8,15,3,-,1,2,1,Ball,Fastball,86,"","",,T,1,8,University of Iowa,Northwestern University,3,2,2
2,462,"Keenan, R. VS Guerin, B.",University of Iowa vs Northwestern University,,,00:00:05.1,,"Keenan, R.","Guerin, B.",T8,15,3,-,1,3,1,Ball,Fastball,86,"","",Walk,T,1,8,University of Iowa,Northwestern University,3,2,2
2,463,"Keenan, R. VS Tello, R.",University of Iowa vs Northwestern University,,,00:00:05.6,,"Keenan, R.","Tello, R.",T8,15,3,1B,1,0,0,Foul,Changeup,77,"","",,T,1,8,University of Iowa,Northwestern University,3,3,3
2,464,"Keenan, R. VS Tello, R.",University of Iowa vs Northwestern University,,,00:00:07.6,,"Keenan, R.","Tello, R.",T8,15,3,1B,1,0,1,Foul,Fastball,86,"","",,T,1,8,University of Iowa,Northwestern University,3,3,3
2,465,"Keenan, R. VS Tello, R.",University of Iowa vs Northwestern University,,,00:00:08.8,,"Keenan, R.","Tello, R.",T8,15,3,1B,1,0,2,Foul,Fastball,85,"","",,T,1,8,University of Iowa,Northwestern University,3,3,3
2,466,"Keenan, R. VS Tello, R.",University of Iowa vs Northwestern University,,,00:00:07.4,,"Keenan, R.","Tello, R.",T8,15,3,1B,1,0,2,Ball,Changeup,79,"","",,T,1,8,University of Iowa,Northwestern University,3,3,3
2,467,"Keenan, R. VS Tello, R.",University of Iowa vs Northwestern University,,,00:00:12.1,,"Keenan, R.","Tello, R.",T8,15,3,1B,1,1,2,BIP,Fastball,85,Fly Ball,Flyout,,T,1,8,University of Iowa,Northwestern University,3,3,3
2,468,"Keenan, R. VS Mitchell, G.",University of Iowa vs Northwestern University,,,00:00:05.1,,"Keenan, R.","Mitchell, G.",T8,15,3,1B,2,0,0,Strike Taken,Fastball,86,"","",,T,1,8,University of Iowa,Northwestern University,3,4,4
2,469,"Keenan, R. VS Mitchell, G.",University of Iowa vs Northwestern University,,,00:00:05.1,,"Keenan, R.","Mitchell, G.",T8,15,3,1B,2,0,1,Ball,Fastball,85,"","",,T,1,8,University of Iowa,Northwestern University,3,4,4
2,470,"Keenan, R. VS Mitchell, G.",University of Iowa vs Northwestern University,,,00:00:07.0,,"Keenan, R.","Mitchell, G.",T8,15,3,1B,2,1,1,Ball,Changeup,79,"","",,T,1,8,University of Iowa,Northwestern University,3,4,4
2,471,"Keenan, R. VS Mitchell, G.",University of Iowa vs Northwestern University,,,00:00:05.3,,"Keenan, R.","Mitchell, G.",T8,15,3,1B,2,2,1,Foul,Fastball,86,"","",,T,1,8,University of Iowa,Northwestern University,3,4,4
2,472,"Keenan, R. VS Mitchell, G.",University of Iowa vs Northwestern University,,,00:00:09.9,,"Keenan, R.","Mitchell, G.",T8,15,3,1B,2,2,2,BIP,Curveball,74,Ground Ball,Groundout,,T,1,8,University of Iowa,Northwestern University,3,4,4
3,806,"Keenan, R. VS Kilinski, T.",Northwestern University vs University of Michigan,,,00:00:04.9,,"Keenan, R.","Kilinski, T.",B8,5,14,-,0,0,0,Strike Taken,Curveball,76,"","",,B,0,8,Northwestern University,University of Michigan,5,1,1
3,807,"Keenan, R. VS Kilinski, T.",Northwestern University vs University of Michigan,,,00:00:04.9,,"Keenan, R.","Kilinski, T.",B8,5,14,-,0,0,1,Ball,Fastball,87,"","",,B,0,8,Northwestern University,University of Michigan,5,1,1
3,808,"Keenan, R. VS Kilinski, T.",Northwestern University vs University of Michigan,,,00:00:05.0,,"Keenan, R.","Kilinski, T.",B8,5,14,-,0,1,1,Ball,Fastball,87,"","",,B,0,8,Northwestern University,University of Michigan,5,1,1
3,809,"Keenan, R. VS Kilinski, T.",Northwestern University vs University of Michigan,,,00:00:05.2,,"Keenan, R.","Kilinski, T.",B8,5,14,-,0,2,1,Ball,Fastball,86,"","",,B,0,8,Northwestern University,University of Michigan,5,1,1
3,810,"Keenan, R. VS Kilinski, T.",Northwestern University vs University of Michigan,,,00:00:11.5,,"Keenan, R.","Kilinski, T.",B8,5,14,-,0,3,1,BIP,Fastball,86,Fly Ball,Home Run,,B,0,8,Northwestern University,University of Michigan,5,1,1
3,811,"Keenan, R. VS Voit, M.",Northwestern University vs University of Michigan,,,00:00:04.7,,"Keenan, R.","Voit, M.",B8,5,15,-,0,0,0,Ball,Changeup,79,"","",,B,0,8,Northwestern University,University of Michigan,5,2,2
3,812,"Keenan, R. VS Voit, M.",Northwestern University vs University of Michigan,,,00:00:05.1,,"Keenan, R.","Voit, M.",B8,5,15,-,0,1,0,Strike Taken,Fastball,86,"","",,B,0,8,Northwestern University,University of Michigan,5,2,2
3,813,"Keenan, R. VS Voit, M.",Northwestern University vs University of Michigan,,,00:00:04.9,,"Keenan, R.","Voit, M.",B8,5,15,-,0,1,1,Ball,Fastball,85,"","",,B,0,8,Northwestern University,University of Michigan,5,2,2
3,814,"Keenan, R. VS Voit, M.",Northwestern University vs University of Michigan,,,00:00:04.9,,"Keenan, R.","Voit, M.",B8,5,15,-,0,2,1,Strike Swinging,Fastball,86,"","",,B,0,8,Northwestern University,University of Michigan,5,2,2
3,815,"Keenan, R. VS Voit, M.",Northwestern University vs University of Michigan,,,00:00:05.3,,"Keenan, R.","Voit, M.",B8,5,15,-,0,2,2,Strike Taken,Changeup,80,"","",Strikeout,B,0,8,Northwestern University,University of Michigan,5,2,2
3,816,"Keenan, R. VS Stanton, D.",Northwestern University vs University of Michigan,,,00:00:04.9,,"Keenan, R.","Stanton, D.",B8,5,15,-,1,0,0,Strike Swinging,Fastball,86,"","",,B,0,8,Northwestern University,University of Michigan,5,3,3
3,817,"Keenan, R. VS Stanton, D.",Northwestern University vs University of Michigan,,,00:00:04.9,,"Keenan, R.","Stanton, D.",B8,5,15,-,1,0,1,Strike Swinging,Changeup,81,"","",,B,0,8,Northwestern University,University of Michigan,5,3,3
3,818,"Keenan, R. VS Stanton, D.",Northwestern University vs University of Michigan,,,00:00:04.8,,"Keenan, R.","Stanton, D.",B8,5,15,-,1,0,2,Ball,Changeup,81,"","",,B,0,8,Northwestern University,University of Michigan,5,3,3
