outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,92,"Keenan, R. VS Orr, J.",University of Maryland-College Park vs Georgetown University,,,00:00:01.8,,"Keenan, R.","Orr, J.",T5,8,1,-,0,0,0,Ball,Fastball,84,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,1,1
1,93,"Keenan, R. VS Orr, J.",University of Maryland-College Park vs Georgetown University,,,00:00:02.0,,"Keenan, R.","Orr, J.",T5,8,1,-,0,1,0,Strike Taken,Fastball,84,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,1,1
1,94,"Keenan, R. VS Orr, J.",University of Maryland-College Park vs Georgetown University,,,00:00:09.2,,"Keenan, R.","Orr, J.",T5,8,1,-,0,1,1,BIP,Fastball,84,Line Drive,Single,,T,1,5,University of Maryland-College Park,Georgetown University,1,1,1
1,95,"Keenan, R. VS Calarco, A.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Keenan, R.","Calarco, A.",T5,8,1,1B,0,0,0,Ball,Fastball,83,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,2,2
1,96,"Keenan, R. VS Calarco, A.",University of Maryland-College Park vs Georgetown University,,,00:00:02.7,,"Keenan, R.","Calarco, A.",T5,8,1,1B,0,1,0,Strike Swinging,Changeup,78,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,2,2
1,97,"Keenan, R. VS Calarco, A.",University of Maryland-College Park vs Georgetown University,,,00:00:02.9,,"Keenan, R.","Calarco, A.",T5,8,1,1B,0,1,1,Strike Swinging,Changeup,77,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,2,2
1,98,"Keenan, R. VS Calarco, A.",University of Maryland-College Park vs Georgetown University,,,00:00:07.5,,"Keenan, R.","Calarco, A.",T5,8,1,1B,0,1,2,BIP,Changeup,77,Ground Ball,Groundout,,T,1,5,University of Maryland-College Park,Georgetown University,1,2,2
1,99,"Keenan, R. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:02.7,,"Keenan, R.","Russell, D.",T5,8,1,2B,1,0,0,Strike Taken,Curveball,71,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,3,3
1,100,"Keenan, R. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:02.3,,"Keenan, R.","Russell, D.",T5,8,1,2B,1,0,1,Strike Taken,Changeup,78,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,3,3
1,101,"Keenan, R. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:03.4,,"Keenan, R.","Russell, D.",T5,8,1,2B,1,0,2,Foul,Changeup,77,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,3,3
