outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,2005,"Keenan, R. VS Young, B.",George Washington University vs Georgetown University,,,00:00:05.1,,"Keenan, R.","Young, B.",T7,1,13,-,0,0,0,Ball,Fastball,85,"","",,T,1,7,George Washington University,Georgetown University,13,1,1
1,2006,"Keenan, R. VS Young, B.",George Washington University vs Georgetown University,,,00:00:04.8,,"Keenan, R.","Young, B.",T7,1,13,-,0,1,0,Strike Taken,Fastball,87,"","",,T,1,7,George Washington University,Georgetown University,13,1,1
1,2007,"Keenan, R. VS Young, B.",George Washington University vs Georgetown University,,,00:00:04.4,,"Keenan, R.","Young, B.",T7,1,13,-,0,1,1,Ball,Fastball,86,"","",,T,1,7,George Washington University,Georgetown University,13,1,1
1,2008,"Keenan, R. VS Young, B.",George Washington University vs Georgetown University,,,00:00:05.3,,"Keenan, R.","Young, B.",T7,1,13,-,0,2,1,Ball,Changeup,80,"","",,T,1,7,George Washington University,Georgetown University,13,1,1
1,2009,"Keenan, R. VS Young, B.",George Washington University vs Georgetown University,,,00:00:04.8,,"Keenan, R.","Young, B.",T7,1,13,-,0,3,1,Ball,Fastball,85,"","",Walk,T,1,7,George Washington University,Georgetown University,13,1,1
1,2010,"Keenan, R. VS Lavey, R.",George Washington University vs Georgetown University,,,00:00:04.9,,"Keenan, R.","Lavey, R.",T7,1,13,1B,0,0,0,Strike Taken,Curveball,74,"","",,T,1,7,George Washington University,Georgetown University,13,2,2
1,2011,"Keenan, R. VS Lavey, R.",George Washington University vs Georgetown University,,,00:00:11.9,,"Keenan, R.","Lavey, R.",T7,1,13,1B,0,0,1,BIP,Fastball,87,Line Drive,Single,,T,1,7,George Washington University,Georgetown University,13,2,2
1,2012,"Keenan, R. VS Nicholson, T.",George Washington University vs Georgetown University,,,00:00:15.7,,"Keenan, R.","Nicholson, T.",T7,1,13,1B-2B,0,0,0,BIP,Curveball,73,Fly Ball,Home Run,,T,1,7,George Washington University,Georgetown University,13,3,3
1,2013,"Keenan, R. VS Schwartz, E.",George Washington University vs Georgetown University,,,00:00:04.8,,"Keenan, R.","Schwartz, E.",T7,4,13,-,0,0,0,Strike Taken,Curveball,76,"","",,T,1,7,George Washington University,Georgetown University,13,4,4
1,2014,"Keenan, R. VS Schwartz, E.",George Washington University vs Georgetown University,,,00:00:12.9,,"Keenan, R.","Schwartz, E.",T7,4,13,-,0,0,1,BIP,Fastball,87,Fly Ball,Home Run,,T,1,7,George Washington University,Georgetown University,13,4,4
2,3224,"Keenan, R. VS Lambros, E.",University of Maryland-College Park vs Georgetown University,,,00:00:05.6,,"Keenan, R.","Lambros, E.",T6,6,4,-,0,0,0,Ball,Curveball,74,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,1,1
2,3225,"Keenan, R. VS Lambros, E.",University of Maryland-College Park vs Georgetown University,,,00:00:05.4,,"Keenan, R.","Lambros, E.",T6,6,4,-,0,1,0,Ball,Changeup,78,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,1,1
2,3226,"Keenan, R. VS Lambros, E.",University of Maryland-College Park vs Georgetown University,,,00:00:05.5,,"Keenan, R.","Lambros, E.",T6,6,4,-,0,2,0,Strike Taken,Fastball,86,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,1,1
2,3227,"Keenan, R. VS Lambros, E.",University of Maryland-College Park vs Georgetown University,,,00:00:11.7,,"Keenan, R.","Lambros, E.",T6,6,4,-,0,2,1,BIP,Changeup,79,Ground Ball,Groundout,,T,1,6,University of Maryland-College Park,Georgetown University,4,1,1
2,3228,"Keenan, R. VS Martin, B.",University of Maryland-College Park vs Georgetown University,,,00:00:04.7,,"Keenan, R.","Martin, B.",T6,6,4,-,1,0,0,Strike Swinging,Fastball,87,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,2,2
2,3229,"Keenan, R. VS Martin, B.",University of Maryland-College Park vs Georgetown University,,,00:00:06.5,,"Keenan, R.","Martin, B.",T6,6,4,-,1,0,1,Ball,Fastball,87,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,2,2
2,3230,"Keenan, R. VS Martin, B.",University of Maryland-College Park vs Georgetown University,,,00:00:04.9,,"Keenan, R.","Martin, B.",T6,6,4,-,1,1,1,Ball,Curveball,73,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,2,2
2,3231,"Keenan, R. VS Martin, B.",University of Maryland-College Park vs Georgetown University,,,00:00:14.6,,"Keenan, R.","Martin, B.",T6,6,4,-,1,2,1,BIP,Fastball,86,Line Drive,Double,,T,1,6,University of Maryland-College Park,Georgetown University,4,2,2
2,3232,"Keenan, R. VS Hacopian, C.",University of Maryland-College Park vs Georgetown University,,,00:00:05.1,,"Keenan, R.","Hacopian, C.",T6,6,4,2B,1,0,0,Strike Taken,Fastball,86,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,3,3
2,3233,"Keenan, R. VS Hacopian, C.",University of Maryland-College Park vs Georgetown University,,,00:00:05.8,,"Keenan, R.","Hacopian, C.",T6,6,4,2B,1,0,1,Ball,Curveball,73,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,3,3
2,3234,"Keenan, R. VS Hacopian, C.",University of Maryland-College Park vs Georgetown University,,,00:00:04.5,,"Keenan, R.","Hacopian, C.",T6,6,4,2B,1,1,1,Ball,Curveball,72,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,3,3
2,3235,"Keenan, R. VS Hacopian, C.",University of Maryland-College Park vs Georgetown University,,,00:00:04.6,,"Keenan, R.","Hacopian, C.",T6,6,4,2B,1,2,1,Ball,Changeup,79,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,3,3
2,3236,"Keenan, R. VS Hacopian, C.",University of Maryland-College Park vs Georgetown University,,,00:00:11.4,,"Keenan, R.","Hacopian, C.",T6,6,4,2B,1,3,1,BIP,Fastball,85,Line Drive,Lineout,,T,1,6,University of Maryland-College Park,Georgetown University,4,3,3
2,3237,"Keenan, R. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:04.4,,"Keenan, R.","Hacopian, E.",T6,6,4,2B,2,0,0,Ball,Curveball,73,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,4,4
2,3238,"Keenan, R. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:05.4,,"Keenan, R.","Hacopian, E.",T6,6,4,2B,2,1,0,Strike Swinging,Changeup,79,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,4,4
2,3239,"Keenan, R. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:04.5,,"Keenan, R.","Hacopian, E.",T6,6,4,2B,2,1,1,Ball,Curveball,72,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,4,4
2,3240,"Keenan, R. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:05.0,,"Keenan, R.","Hacopian, E.",T6,6,4,2B,2,2,1,Ball,Changeup,79,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,4,4
2,3241,"Keenan, R. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:04.6,,"Keenan, R.","Hacopian, E.",T6,6,4,2B,2,3,1,Ball,Changeup,79,"","",Walk,T,1,6,University of Maryland-College Park,Georgetown University,4,4,4
2,3242,"Keenan, R. VS Hojnar, S.",University of Maryland-College Park vs Georgetown University,,,00:00:04.8,,"Keenan, R.","Hojnar, S.",T6,6,4,1B-2B,2,0,0,Ball,Curveball,72,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,5,5
2,3243,"Keenan, R. VS Hojnar, S.",University of Maryland-College Park vs Georgetown University,,,00:00:04.3,,"Keenan, R.","Hojnar, S.",T6,6,4,1B-2B,2,1,0,Strike Swinging,Fastball,85,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,5,5
2,3244,"Keenan, R. VS Hojnar, S.",University of Maryland-College Park vs Georgetown University,,,00:00:05.9,,"Keenan, R.","Hojnar, S.",T6,6,4,1B-2B,2,1,1,Ball,Curveball,74,"","",,T,1,6,University of Maryland-College Park,Georgetown University,4,5,5
2,3245,"Keenan, R. VS Hojnar, S.",University of Maryland-College Park vs Georgetown University,,,00:00:13.4,,"Keenan, R.","Hojnar, S.",T6,6,4,1B-2B,2,2,1,BIP,Fastball,84,Fly Ball,Home Run,,T,1,6,University of Maryland-College Park,Georgetown University,4,5,5
2,3246,"Keenan, R. VS Keister, K.",University of Maryland-College Park vs Georgetown University,,,00:00:12.5,,"Keenan, R.","Keister, K.",T6,9,4,-,2,0,0,BIP,Changeup,80,Ground Ball,Groundout,,T,1,6,University of Maryland-College Park,Georgetown University,4,6,6
3,4192,"Keenan, R. VS Orr, J.",University of Maryland-College Park vs Georgetown University,,,00:00:04.8,,"Keenan, R.","Orr, J.",T5,8,1,-,0,0,0,Ball,Fastball,84,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,1,1
3,4193,"Keenan, R. VS Orr, J.",University of Maryland-College Park vs Georgetown University,,,00:00:05.0,,"Keenan, R.","Orr, J.",T5,8,1,-,0,1,0,Strike Taken,Fastball,84,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,1,1
3,4194,"Keenan, R. VS Orr, J.",University of Maryland-College Park vs Georgetown University,,,00:00:12.2,,"Keenan, R.","Orr, J.",T5,8,1,-,0,1,1,BIP,Fastball,84,Line Drive,Single,,T,1,5,University of Maryland-College Park,Georgetown University,1,1,1
3,4195,"Keenan, R. VS Calarco, A.",University of Maryland-College Park vs Georgetown University,,,00:00:05.2,,"Keenan, R.","Calarco, A.",T5,8,1,1B,0,0,0,Ball,Fastball,83,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,2,2
3,4196,"Keenan, R. VS Calarco, A.",University of Maryland-College Park vs Georgetown University,,,00:00:05.7,,"Keenan, R.","Calarco, A.",T5,8,1,1B,0,1,0,Strike Swinging,Changeup,78,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,2,2
3,4197,"Keenan, R. VS Calarco, A.",University of Maryland-College Park vs Georgetown University,,,00:00:05.9,,"Keenan, R.","Calarco, A.",T5,8,1,1B,0,1,1,Strike Swinging,Changeup,77,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,2,2
3,4198,"Keenan, R. VS Calarco, A.",University of Maryland-College Park vs Georgetown University,,,00:00:10.5,,"Keenan, R.","Calarco, A.",T5,8,1,1B,0,1,2,BIP,Changeup,77,Ground Ball,Groundout,,T,1,5,University of Maryland-College Park,Georgetown University,1,2,2
3,4199,"Keenan, R. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:05.7,,"Keenan, R.","Russell, D.",T5,8,1,2B,1,0,0,Strike Taken,Curveball,71,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,3,3
3,4200,"Keenan, R. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:05.3,,"Keenan, R.","Russell, D.",T5,8,1,2B,1,0,1,Strike Taken,Changeup,78,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,3,3
3,4201,"Keenan, R. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:06.4,,"Keenan, R.","Russell, D.",T5,8,1,2B,1,0,2,Foul,Changeup,77,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,3,3
3,4202,"Keenan, R. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:05.5,,"Keenan, R.","Russell, D.",T5,8,1,2B,1,0,2,Ball,Changeup,77,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,3,3
3,4203,"Keenan, R. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:05.2,,"Keenan, R.","Russell, D.",T5,8,1,2B,1,1,2,Ball,Curveball,71,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,3,3
3,4204,"Keenan, R. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:05.9,,"Keenan, R.","Russell, D.",T5,8,1,2B,1,2,2,Ball,Changeup,77,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,3,3
3,4205,"Keenan, R. VS Russell, D.",University of Maryland-College Park vs Georgetown University,,,00:00:06.2,,"Keenan, R.","Russell, D.",T5,8,1,2B,1,3,2,Strike Swinging,Fastball,84,"","",Strikeout,T,1,5,University of Maryland-College Park,Georgetown University,1,3,3
3,4206,"Keenan, R. VS Lambros, E.",University of Maryland-College Park vs Georgetown University,,,00:00:05.5,,"Keenan, R.","Lambros, E.",T5,8,1,2B,2,0,0,Strike Taken,Curveball,72,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,4,4
3,4207,"Keenan, R. VS Lambros, E.",University of Maryland-College Park vs Georgetown University,,,00:00:05.3,,"Keenan, R.","Lambros, E.",T5,8,1,2B,2,0,1,Ball,Curveball,72,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,4,4
3,4208,"Keenan, R. VS Lambros, E.",University of Maryland-College Park vs Georgetown University,,,00:00:05.7,,"Keenan, R.","Lambros, E.",T5,8,1,2B,2,1,1,Ball,Changeup,77,"","",,T,1,5,University of Maryland-College Park,Georgetown University,1,4,4
3,4209,"Keenan, R. VS Lambros, E.",University of Maryland-College Park vs Georgetown University,,,00:00:09.5,,"Keenan, R.","Lambros, E.",T5,8,1,2B,2,2,1,BIP,Changeup,78,Ground Ball,Groundout,,T,1,5,University of Maryland-College Park,Georgetown University,1,4,4
4,6854,"Keenan, R. VS Calarco, A.",Georgetown University vs University of Maryland-College Park,,,00:00:05.9,,"Keenan, R.","Calarco, A.",B8,5,13,-,0,0,0,Ball,Fastball,84,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,1,1
4,6855,"Keenan, R. VS Calarco, A.",Georgetown University vs University of Maryland-College Park,,,00:00:16.1,,"Keenan, R.","Calarco, A.",B8,5,13,-,0,1,0,BIP,Fastball,85,Fly Ball,Home Run,,B,0,8,Georgetown University,University of Maryland-College Park,5,1,1
4,6856,"Keenan, R. VS Orr, J.",Georgetown University vs University of Maryland-College Park,,,00:00:04.7,,"Keenan, R.","Orr, J.",B8,5,14,-,0,0,0,Ball,Fastball,84,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,2,2
4,6857,"Keenan, R. VS Orr, J.",Georgetown University vs University of Maryland-College Park,,,00:00:05.1,,"Keenan, R.","Orr, J.",B8,5,14,-,0,1,0,Ball,Fastball,85,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,2,2
4,6858,"Keenan, R. VS Orr, J.",Georgetown University vs University of Maryland-College Park,,,00:00:13.1,,"Keenan, R.","Orr, J.",B8,5,14,-,0,2,0,BIP,Fastball,83,Fly Ball,Flyout,,B,0,8,Georgetown University,University of Maryland-College Park,5,2,2
4,6859,"Keenan, R. VS Russell, D.",Georgetown University vs University of Maryland-College Park,,,00:00:05.2,,"Keenan, R.","Russell, D.",B8,5,14,-,1,0,0,Strike Taken,Curveball,71,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,3,3
4,6860,"Keenan, R. VS Russell, D.",Georgetown University vs University of Maryland-College Park,,,00:00:05.3,,"Keenan, R.","Russell, D.",B8,5,14,-,1,0,1,Ball,Curveball,71,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,3,3
4,6861,"Keenan, R. VS Russell, D.",Georgetown University vs University of Maryland-College Park,,,00:00:05.4,,"Keenan, R.","Russell, D.",B8,5,14,-,1,1,1,Strike Swinging,Changeup,76,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,3,3
4,6862,"Keenan, R. VS Russell, D.",Georgetown University vs University of Maryland-College Park,,,00:00:05.5,,"Keenan, R.","Russell, D.",B8,5,14,-,1,1,2,Ball,Changeup,78,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,3,3
4,6863,"Keenan, R. VS Russell, D.",Georgetown University vs University of Maryland-College Park,,,00:00:06.1,,"Keenan, R.","Russell, D.",B8,5,14,-,1,2,2,Strike Swinging,Changeup,77,"","",Strikeout,B,0,8,Georgetown University,University of Maryland-College Park,5,3,3
4,6864,"Keenan, R. VS Lambros, E.",Georgetown University vs University of Maryland-College Park,,,00:00:07.4,,"Keenan, R.","Lambros, E.",B8,5,14,-,2,0,0,Foul,Changeup,78,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,4,4
4,6865,"Keenan, R. VS Lambros, E.",Georgetown University vs University of Maryland-College Park,,,00:00:05.7,,"Keenan, R.","Lambros, E.",B8,5,14,-,2,0,1,Ball,Curveball,72,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,4,4
4,6866,"Keenan, R. VS Lambros, E.",Georgetown University vs University of Maryland-College Park,,,00:00:05.4,,"Keenan, R.","Lambros, E.",B8,5,14,-,2,1,1,Strike Taken,Curveball,71,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,4,4
4,6867,"Keenan, R. VS Lambros, E.",Georgetown University vs University of Maryland-College Park,,,00:00:19.2,,"Keenan, R.","Lambros, E.",B8,5,14,-,2,1,2,BIP,Changeup,78,Fly Ball,Triple,,B,0,8,Georgetown University,University of Maryland-College Park,5,4,4
4,6868,"Keenan, R. VS Carlo, R.",Georgetown University vs University of Maryland-College Park,,,00:00:05.7,,"Keenan, R.","Carlo, R.",B8,5,14,3B,2,0,0,Ball,Curveball,70,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,5,5
4,6869,"Keenan, R. VS Carlo, R.",Georgetown University vs University of Maryland-College Park,,,00:00:06.2,,"Keenan, R.","Carlo, R.",B8,5,14,3B,2,1,0,Ball,Fastball,83,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,5,5
4,6870,"Keenan, R. VS Carlo, R.",Georgetown University vs University of Maryland-College Park,,,00:00:05.1,,"Keenan, R.","Carlo, R.",B8,5,14,3B,2,2,0,Ball,Fastball,84,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,5,5
4,6871,"Keenan, R. VS Carlo, R.",Georgetown University vs University of Maryland-College Park,,,00:00:05.5,,"Keenan, R.","Carlo, R.",B8,5,14,3B,2,3,0,Strike Swinging,Fastball,85,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,5,5
4,6872,"Keenan, R. VS Carlo, R.",Georgetown University vs University of Maryland-College Park,,,00:00:07.2,,"Keenan, R.","Carlo, R.",B8,5,14,3B,2,3,1,Foul,Fastball,85,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,5,5
4,6873,"Keenan, R. VS Carlo, R.",Georgetown University vs University of Maryland-College Park,,,00:00:07.2,,"Keenan, R.","Carlo, R.",B8,5,14,3B,2,3,2,Foul,Changeup,78,"","",,B,0,8,Georgetown University,University of Maryland-College Park,5,5,5
4,6874,"Keenan, R. VS Carlo, R.",Georgetown University vs University of Maryland-College Park,,,00:00:05.9,,"Keenan, R.","Carlo, R.",B8,5,14,3B,2,3,2,Strike Swinging,Changeup,78,"","",Strikeout,B,0,8,Georgetown University,University of Maryland-College Park,5,5,5
