outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,252,"Keough, G. VS Stephenson, G.",Georgetown University vs Xavier University,,,00:00:05.4,,"Keough, G.","Stephenson, G.",B7,11,2,1B-2B-3B,2,0,0,Ball,Slider,79,"","",,B,0,7,Georgetown University,Xavier University,11,1,1
1,253,"Keough, G. VS Stephenson, G.",Georgetown University vs Xavier University,,,00:00:05.9,,"Keough, G.","Stephenson, G.",B7,11,2,1B-2B-3B,2,1,0,Ball,Slider,80,"","",,B,0,7,Georgetown University,Xavier University,11,1,1
1,254,"Keough, G. VS Stephenson, G.",Georgetown University vs Xavier University,,,00:00:15.9,,"Keough, G.","Stephenson, G.",B7,11,2,1B-2B-3B,2,2,0,BIP,Fastball,89,Line Drive,Double,,B,0,7,Georgetown University,Xavier University,11,1,1
1,255,"Keough, G. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:05.1,,"Keough, G.","Housinger, J.",B7,11,5,2B,2,0,0,Ball,Fastball,91,"","",,B,0,7,Georgetown University,Xavier University,11,2,2
1,256,"Keough, G. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:09.3,,"Keough, G.","Housinger, J.",B7,11,5,2B,2,1,0,BIP,Fastball,91,Popup,Popout,,B,0,7,Georgetown University,Xavier University,11,2,2
2,827,"Keough, G. VS Defries, J.",Butler University vs Georgetown University,,,00:00:05.3,,"Keough, G.","Defries, J.",T5,17,4,1B-2B,2,0,0,Foul,Fastball,87,"","",,T,1,5,Butler University,Georgetown University,4,1,1
2,828,"Keough, G. VS Defries, J.",Butler University vs Georgetown University,,,00:00:12.4,,"Keough, G.","Defries, J.",T5,17,4,1B-2B,2,0,1,BIP,Slider,78,Ground Ball,Groundout,,T,1,5,Butler University,Georgetown University,4,1,1
2,829,"Keough, G. VS Urban, J.",Butler University vs Georgetown University,,,00:00:12.2,,"Keough, G.","Urban, J.",T6,17,5,-,0,0,0,BIP,Slider,79,Line Drive,Single,,T,1,6,Butler University,Georgetown University,5,2,2
2,830,"Keough, G. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:05.6,,"Keough, G.","Dorighi, C.",T6,17,5,1B,0,0,0,Strike Taken,Fastball,88,"","",,T,1,6,Butler University,Georgetown University,5,3,3
2,831,"Keough, G. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:09.5,,"Keough, G.","Dorighi, C.",T6,17,5,1B,0,0,1,BIP,Slider,81,Ground Ball,Grounded Into Double Play,,T,1,6,Butler University,Georgetown University,5,3,3
2,832,"Keough, G. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.5,,"Keough, G.","Carter, X.",T6,17,5,-,2,0,0,Ball,Slider,80,"","",,T,1,6,Butler University,Georgetown University,5,4,4
2,833,"Keough, G. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.7,,"Keough, G.","Carter, X.",T6,17,5,-,2,1,0,Ball,Fastball,88,"","",,T,1,6,Butler University,Georgetown University,5,4,4
2,834,"Keough, G. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.7,,"Keough, G.","Carter, X.",T6,17,5,-,2,2,0,Ball,Fastball,87,"","",,T,1,6,Butler University,Georgetown University,5,4,4
2,835,"Keough, G. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.6,,"Keough, G.","Carter, X.",T6,17,5,-,2,3,0,Ball,Slider,81,"","",Walk,T,1,6,Butler University,Georgetown University,5,4,4
2,836,"Keough, G. VS Jones, S.",Butler University vs Georgetown University,,,00:00:06.1,,"Keough, G.","Jones, S.",T6,17,5,1B,2,0,0,Strike Swinging,Slider,81,"","",,T,1,6,Butler University,Georgetown University,5,5,5
2,837,"Keough, G. VS Jones, S.",Butler University vs Georgetown University,,,00:00:06.3,,"Keough, G.","Jones, S.",T6,17,5,1B,2,0,1,Strike Swinging,Slider,82,"","",,T,1,6,Butler University,Georgetown University,5,5,5
