outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id
1,1,"Keough, G. VS Piacentino, J.",Georgetown University vs Penn State University,,,00:00:05.1,,"Keough, G.","Piacentino, J.",B7,1,5, - ,0,0,0,Strike Taken,Fastball,88,"","",,,B,0,7,Georgetown University,Penn State University,1,1
1,2,"Keough, G. VS Piacentino, J.",Georgetown University vs Penn State University,,,00:00:05.2,,"Keough, G.","Piacentino, J.",B7,1,5, - ,0,0,1,Ball,Changeup,82,"","",,,B,0,7,Georgetown University,Penn State University,1,1
1,3,"Keough, G. VS Piacentino, J.",Georgetown University vs Penn State University,,,00:00:05.3,,"Keough, G.","Piacentino, J.",B7,1,5, - ,0,1,1,Ball,Slider,81,"","",,,B,0,7,Georgetown University,Penn State University,1,1
1,4,"Keough, G. VS Piacentino, J.",Georgetown University vs Penn State University,,,00:00:05.2,,"Keough, G.","Piacentino, J.",B7,1,5, - ,0,2,1,Strike Taken,Fastball,87,"","",,,B,0,7,Georgetown University,Penn State University,1,1
1,5,"Keough, G. VS Piacentino, J.",Georgetown University vs Penn State University,,,00:00:05.3,,"Keough, G.","Piacentino, J.",B7,1,5, - ,0,2,2,Strike Swinging,Slider,80,"","",Strikeout,,B,0,7,Georgetown University,Penn State University,1,1
1,6,"Keough, G. VS Marsh, B.",Georgetown University vs Penn State University,,,00:00:05.4,,"Keough, G.","Marsh, B.",B7,1,5, - ,1,0,0,Ball,Fastball,90,"","",,,B,0,7,Georgetown University,Penn State University,1,2
1,7,"Keough, G. VS Marsh, B.",Georgetown University vs Penn State University,,,00:00:05.3,,"Keough, G.","Marsh, B.",B7,1,5, - ,1,1,0,Strike Swinging,Slider,81,"","",,,B,0,7,Georgetown University,Penn State University,1,2
1,8,"Keough, G. VS Marsh, B.",Georgetown University vs Penn State University,,,00:00:05.2,,"Keough, G.","Marsh, B.",B7,1,5, - ,1,1,1,Strike Swinging,Changeup,86,"","",,,B,0,7,Georgetown University,Penn State University,1,2
1,9,"Keough, G. VS Marsh, B.",Georgetown University vs Penn State University,,,00:00:05.3,,"Keough, G.","Marsh, B.",B7,1,5, - ,1,1,2,Ball,Changeup,86,"","",,,B,0,7,Georgetown University,Penn State University,1,2
1,10,"Keough, G. VS Marsh, B.",Georgetown University vs Penn State University,,,00:00:09.9,,"Keough, G.","Marsh, B.",B7,1,5, - ,1,2,2,BIP,Slider,81,Fly Ball,Single,,,B,0,7,Georgetown University,Penn State University,1,2
1,11,"Keough, G. VS Gerlott, B.",Georgetown University vs Penn State University,,,00:00:06.3,,"Keough, G.","Gerlott, B.",B7,1,5,1B,1,0,0,Foul,Fastball,88,"","",,,B,0,7,Georgetown University,Penn State University,1,3
1,12,"Keough, G. VS Gerlott, B.",Georgetown University vs Penn State University,,,00:00:05.2,,"Keough, G.","Gerlott, B.",B7,1,5,1B,1,0,1,Strike Taken,Slider,79,"","",,,B,0,7,Georgetown University,Penn State University,1,3
1,13,"Keough, G. VS Gerlott, B.",Georgetown University vs Penn State University,,,00:00:06.5,,"Keough, G.","Gerlott, B.",B7,1,5,1B,1,0,2,Ball,Slider,81,"","",,,B,0,7,Georgetown University,Penn State University,1,3
1,14,"Keough, G. VS Gerlott, B.",Georgetown University vs Penn State University,,,00:00:05.4,,"Keough, G.","Gerlott, B.",B7,1,5,1B,1,1,2,Ball,Slider,80,"","",,,B,0,7,Georgetown University,Penn State University,1,3
1,15,"Keough, G. VS Gerlott, B.",Georgetown University vs Penn State University,,,00:00:05.6,,"Keough, G.","Gerlott, B.",B7,1,5,1B,1,2,2,Strike Swinging,Slider,79,"","",Strikeout,,B,0,7,Georgetown University,Penn State University,1,3
