outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,343,"Keough, G. VS Defries, J.",Butler University vs Georgetown University,,,00:00:05.3,,"Keough, G.","Defries, J.",T5,17,4,1B-2B,2,0,0,Foul,Fastball,87,"","",,T,1,5,Butler University,Georgetown University,4,1,1
1,344,"Keough, G. VS Defries, J.",Butler University vs Georgetown University,,,00:00:12.4,,"Keough, G.","Defries, J.",T5,17,4,1B-2B,2,0,1,BIP,Slider,78,Ground Ball,Groundout,,T,1,5,Butler University,Georgetown University,4,1,1
1,345,"Keough, G. VS Urban, J.",Butler University vs Georgetown University,,,00:00:12.2,,"Keough, G.","Urban, J.",T6,17,5,-,0,0,0,BIP,Slider,79,Line Drive,Single,,T,1,6,Butler University,Georgetown University,5,2,2
1,346,"Keough, G. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:05.6,,"Keough, G.","Dorighi, C.",T6,17,5,1B,0,0,0,Strike Taken,Fastball,88,"","",,T,1,6,Butler University,Georgetown University,5,3,3
1,347,"Keough, G. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:09.5,,"Keough, G.","Dorighi, C.",T6,17,5,1B,0,0,1,BIP,Slider,81,Ground Ball,Grounded Into Double Play,,T,1,6,Butler University,Georgetown University,5,3,3
1,348,"Keough, G. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.5,,"Keough, G.","Carter, X.",T6,17,5,-,2,0,0,Ball,Slider,80,"","",,T,1,6,Butler University,Georgetown University,5,4,4
1,349,"Keough, G. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.7,,"Keough, G.","Carter, X.",T6,17,5,-,2,1,0,Ball,Fastball,88,"","",,T,1,6,Butler University,Georgetown University,5,4,4
1,350,"Keough, G. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.7,,"Keough, G.","Carter, X.",T6,17,5,-,2,2,0,Ball,Fastball,87,"","",,T,1,6,Butler University,Georgetown University,5,4,4
1,351,"Keough, G. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.6,,"Keough, G.","Carter, X.",T6,17,5,-,2,3,0,Ball,Slider,81,"","",Walk,T,1,6,Butler University,Georgetown University,5,4,4
1,352,"Keough, G. VS Jones, S.",Butler University vs Georgetown University,,,00:00:06.1,,"Keough, G.","Jones, S.",T6,17,5,1B,2,0,0,Strike Swinging,Slider,81,"","",,T,1,6,Butler University,Georgetown University,5,5,5
1,353,"Keough, G. VS Jones, S.",Butler University vs Georgetown University,,,00:00:06.3,,"Keough, G.","Jones, S.",T6,17,5,1B,2,0,1,Strike Swinging,Slider,82,"","",,T,1,6,Butler University,Georgetown University,5,5,5
1,354,"Keough, G. VS Jones, S.",Butler University vs Georgetown University,,,00:00:05.8,,"Keough, G.","Jones, S.",T6,17,5,1B,2,0,2,Ball,Fastball,89,"","",,T,1,6,Butler University,Georgetown University,5,5,5
1,355,"Keough, G. VS Jones, S.",Butler University vs Georgetown University,,,00:00:05.5,,"Keough, G.","Jones, S.",T6,17,5,1B,2,1,2,Ball,Slider,75,"","",,T,1,6,Butler University,Georgetown University,5,5,5
1,356,"Keough, G. VS Jones, S.",Butler University vs Georgetown University,,,00:00:05.8,,"Keough, G.","Jones, S.",T6,17,5,1B,2,2,2,Ball,Slider,78,"","",,T,1,6,Butler University,Georgetown University,5,5,5
1,357,"Keough, G. VS Jones, S.",Butler University vs Georgetown University,,,00:00:05.7,,"Keough, G.","Jones, S.",T6,17,5,1B,2,3,2,Ball,Curveball,74,"","",Walk,T,1,6,Butler University,Georgetown University,5,5,5
1,358,"Keough, G. VS All, K.",Butler University vs Georgetown University,,,00:00:05.7,,"Keough, G.","All, K.",T6,17,5,1B-2B,2,0,0,Strike Taken,Fastball,88,"","",,T,1,6,Butler University,Georgetown University,5,6,6
1,359,"Keough, G. VS All, K.",Butler University vs Georgetown University,,,00:00:06.3,,"Keough, G.","All, K.",T6,17,5,1B-2B,2,0,1,Strike Swinging,Slider,78,"","",,T,1,6,Butler University,Georgetown University,5,6,6
1,360,"Keough, G. VS All, K.",Butler University vs Georgetown University,,,00:00:05.4,,"Keough, G.","All, K.",T6,17,5,1B-2B,2,0,2,Ball,Fastball,90,"","",,T,1,6,Butler University,Georgetown University,5,6,6
1,361,"Keough, G. VS All, K.",Butler University vs Georgetown University,,,00:00:16.4,,"Keough, G.","All, K.",T6,17,5,1B-2B,2,1,2,BIP,Slider,84,Fly Ball,Double,,T,1,6,Butler University,Georgetown University,5,6,6
1,362,"Keough, G. VS Gray, G.",Butler University vs Georgetown University,,,00:00:05.9,,"Keough, G.","Gray, G.",T6,19,5,2B,2,0,0,Ball,Fastball,88,"","",,T,1,6,Butler University,Georgetown University,5,7,7
1,363,"Keough, G. VS Gray, G.",Butler University vs Georgetown University,,,00:00:05.7,,"Keough, G.","Gray, G.",T6,19,5,2B,2,1,0,Strike Taken,Fastball,88,"","",,T,1,6,Butler University,Georgetown University,5,7,7
1,364,"Keough, G. VS Gray, G.",Butler University vs Georgetown University,,,00:00:05.7,,"Keough, G.","Gray, G.",T6,19,5,2B,2,1,1,Strike Taken,Slider,80,"","",,T,1,6,Butler University,Georgetown University,5,7,7
1,365,"Keough, G. VS Gray, G.",Butler University vs Georgetown University,,,00:00:06.8,,"Keough, G.","Gray, G.",T6,19,5,2B,2,1,2,Strike Swinging,Changeup,85,"","",Strikeout,T,1,6,Butler University,Georgetown University,5,7,7
2,970,"Keough, G. VS Jeremiah, J.",St. John's University (NY) vs Georgetown University,,,00:00:05.4,,"Keough, G.","Jeremiah, J.",T8,7,4,-,0,0,0,Foul,Fastball,0,"","",,T,1,8,St. John's University (NY),Georgetown University,4,1,1
2,971,"Keough, G. VS Jeremiah, J.",St. John's University (NY) vs Georgetown University,,,00:00:05.1,,"Keough, G.","Jeremiah, J.",T8,7,4,-,0,0,1,Ball,Slider,79,"","",,T,1,8,St. John's University (NY),Georgetown University,4,1,1
2,972,"Keough, G. VS Jeremiah, J.",St. John's University (NY) vs Georgetown University,,,00:00:04.9,,"Keough, G.","Jeremiah, J.",T8,7,4,-,0,1,1,Ball,Slider,77,"","",,T,1,8,St. John's University (NY),Georgetown University,4,1,1
2,973,"Keough, G. VS Jeremiah, J.",St. John's University (NY) vs Georgetown University,,,00:00:04.9,,"Keough, G.","Jeremiah, J.",T8,7,4,-,0,2,1,Strike Taken,Fastball,88,"","",,T,1,8,St. John's University (NY),Georgetown University,4,1,1
2,974,"Keough, G. VS Jeremiah, J.",St. John's University (NY) vs Georgetown University,,,00:00:05.4,,"Keough, G.","Jeremiah, J.",T8,7,4,-,0,2,2,Strike Swinging,Slider,82,"","",Strikeout,T,1,8,St. John's University (NY),Georgetown University,4,1,1
2,975,"Keough, G. VS Brienza, A.",St. John's University (NY) vs Georgetown University,,,00:00:04.9,,"Keough, G.","Brienza, A.",T8,7,4,-,1,0,0,Ball,Slider,80,"","",,T,1,8,St. John's University (NY),Georgetown University,4,2,2
