outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,128,"Leckszas, K. VS Freeberger, D.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Leckszas, K.","Freeberger, D.",B8,1,8,-,0,0,0,Strike Taken,Slider,0,"","",,B,0,8,Georgetown University,University of Connecticut,1,1,1
1,129,"Leckszas, K. VS Freeberger, D.",Georgetown University vs University of Connecticut,,,00:00:07.5,,"Leckszas, K.","Freeberger, D.",B8,1,8,-,0,0,1,BIP,Slider,0,Ground Ball,Field Error,,B,0,8,Georgetown University,University of Connecticut,1,1,1
1,130,"Leckszas, K. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Leckszas, K.","Huber, B.",B8,1,8,1B,0,0,0,Ball,Slider,0,"","",,B,0,8,Georgetown University,University of Connecticut,1,2,2
1,131,"Leckszas, K. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:02.4,,"Leckszas, K.","Huber, B.",B8,1,8,1B,0,1,0,Ball,Changeup,0,"","",,B,0,8,Georgetown University,University of Connecticut,1,2,2
1,132,"Leckszas, K. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Leckszas, K.","Huber, B.",B8,1,8,1B,0,2,0,Ball,Fastball,0,"","",,B,0,8,Georgetown University,University of Connecticut,1,2,2
1,133,"Leckszas, K. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Leckszas, K.","Huber, B.",B8,1,8,1B,0,3,0,Strike Taken,Fastball,0,"","",,B,0,8,Georgetown University,University of Connecticut,1,2,2
1,134,"Leckszas, K. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:02.4,,"Leckszas, K.","Huber, B.",B8,1,8,1B,0,3,1,Ball,Fastball,0,"","",Walk,B,0,8,Georgetown University,University of Connecticut,1,2,2
1,135,"Leckszas, K. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:06.8,,"Leckszas, K.","Studley, J.",B8,1,8,1B-2B,0,0,0,Foul,Slider,0,"","",,B,0,8,Georgetown University,University of Connecticut,1,3,3
1,136,"Leckszas, K. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:02.6,,"Leckszas, K.","Studley, J.",B8,1,8,1B-2B,0,0,1,Ball,Changeup,0,"","",,B,0,8,Georgetown University,University of Connecticut,1,3,3
1,137,"Leckszas, K. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:02.1,,"Leckszas, K.","Studley, J.",B8,1,8,1B-2B,0,1,1,Strike Taken,Fastball,0,"","",,B,0,8,Georgetown University,University of Connecticut,1,3,3
