outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,109,"Leckszas, K. VS Cushing, J.",Georgetown University vs Xavier University,,,00:00:13.0,,"Leckszas, K.","Cushing, J.",B7,6,5,-,0,0,0,BIP,Fastball,87,Popup,Popout,,B,0,7,Georgetown University,Xavier University,6,1,1
1,110,"Leckszas, K. VS Mccormick, M.",Georgetown University vs Xavier University,,,00:00:04.4,,"Leckszas, K.","Mccormick, M.",B7,6,5,-,1,0,0,Strike Swinging,Fastball,89,"","",,B,0,7,Georgetown University,Xavier University,6,2,2
1,111,"Leckszas, K. VS Mccormick, M.",Georgetown University vs Xavier University,,,00:00:04.4,,"Leckszas, K.","Mccormick, M.",B7,6,5,-,1,0,1,Strike Swinging,Fastball,91,"","",,B,0,7,Georgetown University,Xavier University,6,2,2
1,112,"Leckszas, K. VS Mccormick, M.",Georgetown University vs Xavier University,,,00:00:08.5,,"Leckszas, K.","Mccormick, M.",B7,6,5,-,1,0,2,Foul,Fastball,91,"","",,B,0,7,Georgetown University,Xavier University,6,2,2
1,113,"Leckszas, K. VS Mccormick, M.",Georgetown University vs Xavier University,,,00:00:04.5,,"Leckszas, K.","Mccormick, M.",B7,6,5,-,1,0,2,Foul,Changeup,84,"","",,B,0,7,Georgetown University,Xavier University,6,2,2
1,114,"Leckszas, K. VS Mccormick, M.",Georgetown University vs Xavier University,,,00:00:04.6,,"Leckszas, K.","Mccormick, M.",B7,6,5,-,1,0,2,Ball,Slider,80,"","",,B,0,7,Georgetown University,Xavier University,6,2,2
1,115,"Leckszas, K. VS Mccormick, M.",Georgetown University vs Xavier University,,,00:00:04.4,,"Leckszas, K.","Mccormick, M.",B7,6,5,-,1,1,2,Strike Taken,Changeup,85,"","",Strikeout,B,0,7,Georgetown University,Xavier University,6,2,2
1,116,"Leckszas, K. VS Schultz, G.",Georgetown University vs Xavier University,,,00:00:04.6,,"Leckszas, K.","Schultz, G.",B7,6,5,-,2,0,0,Strike Swinging,Fastball,90,"","",,B,0,7,Georgetown University,Xavier University,6,3,3
1,117,"Leckszas, K. VS Schultz, G.",Georgetown University vs Xavier University,,,00:00:04.4,,"Leckszas, K.","Schultz, G.",B7,6,5,-,2,0,1,Strike Taken,Fastball,91,"","",,B,0,7,Georgetown University,Xavier University,6,3,3
1,118,"Leckszas, K. VS Schultz, G.",Georgetown University vs Xavier University,,,00:00:05.1,,"Leckszas, K.","Schultz, G.",B7,6,5,-,2,0,2,Ball,Fastball,93,"","",,B,0,7,Georgetown University,Xavier University,6,3,3
1,119,"Leckszas, K. VS Schultz, G.",Georgetown University vs Xavier University,,,00:00:07.1,,"Leckszas, K.","Schultz, G.",B7,6,5,-,2,1,2,Foul,Slider,80,"","",,B,0,7,Georgetown University,Xavier University,6,3,3
1,120,"Leckszas, K. VS Schultz, G.",Georgetown University vs Xavier University,,,00:00:11.3,,"Leckszas, K.","Schultz, G.",B7,6,5,-,2,1,2,BIP,Fastball,91,Fly Ball,Flyout,,B,0,7,Georgetown University,Xavier University,6,3,3
1,121,"Leckszas, K. VS Helmin, A.",Georgetown University vs Xavier University,,,00:00:04.3,,"Leckszas, K.","Helmin, A.",B8,6,5,-,0,0,0,Strike Taken,Slider,81,"","",,B,0,8,Georgetown University,Xavier University,6,4,4
1,122,"Leckszas, K. VS Helmin, A.",Georgetown University vs Xavier University,,,00:00:04.4,,"Leckszas, K.","Helmin, A.",B8,6,5,-,0,0,1,Strike Swinging,Slider,80,"","",,B,0,8,Georgetown University,Xavier University,6,4,4
1,123,"Leckszas, K. VS Helmin, A.",Georgetown University vs Xavier University,,,00:00:11.3,,"Leckszas, K.","Helmin, A.",B8,6,5,-,0,0,2,BIP,Slider,81,Fly Ball,Flyout,,B,0,8,Georgetown University,Xavier University,6,4,4
1,124,"Leckszas, K. VS Deters, T.",Georgetown University vs Xavier University,,,00:00:04.2,,"Leckszas, K.","Deters, T.",B8,6,5,-,1,0,0,Strike Taken,Slider,82,"","",,B,0,8,Georgetown University,Xavier University,6,5,5
1,125,"Leckszas, K. VS Deters, T.",Georgetown University vs Xavier University,,,00:00:04.8,,"Leckszas, K.","Deters, T.",B8,6,5,-,1,0,1,Ball,Slider,81,"","",,B,0,8,Georgetown University,Xavier University,6,5,5
1,126,"Leckszas, K. VS Deters, T.",Georgetown University vs Xavier University,,,00:00:04.4,,"Leckszas, K.","Deters, T.",B8,6,5,-,1,1,1,Strike Swinging,Slider,81,"","",,B,0,8,Georgetown University,Xavier University,6,5,5
1,127,"Leckszas, K. VS Deters, T.",Georgetown University vs Xavier University,,,00:00:04.5,,"Leckszas, K.","Deters, T.",B8,6,5,-,1,1,2,Ball,Fastball,87,"","",,B,0,8,Georgetown University,Xavier University,6,5,5
1,128,"Leckszas, K. VS Deters, T.",Georgetown University vs Xavier University,,,00:00:04.8,,"Leckszas, K.","Deters, T.",B8,6,5,-,1,2,2,Foul,Slider,80,"","",,B,0,8,Georgetown University,Xavier University,6,5,5
1,129,"Leckszas, K. VS Deters, T.",Georgetown University vs Xavier University,,,00:00:07.0,,"Leckszas, K.","Deters, T.",B8,6,5,-,1,2,2,Foul,Fastball,90,"","",,B,0,8,Georgetown University,Xavier University,6,5,5
1,130,"Leckszas, K. VS Deters, T.",Georgetown University vs Xavier University,,,00:00:09.1,,"Leckszas, K.","Deters, T.",B8,6,5,-,1,2,2,BIP,Fastball,88,Ground Ball,Single,,B,0,8,Georgetown University,Xavier University,6,5,5
