outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,158,"Leckszas, K. VS Calarco, A.",University of Maryland-College Park vs Georgetown University,,,00:00:02.1,,"Leckszas, K.","Calarco, A.",T9,11,4,-,0,0,0,Strike Taken,Fastball,89,"","",,T,1,9,University of Maryland-College Park,Georgetown University,4,1,1
1,159,"Leckszas, K. VS Calarco, A.",University of Maryland-College Park vs Georgetown University,,,00:00:07.3,,"Leckszas, K.","Calarco, A.",T9,11,4,-,0,0,1,BIP,Slider,80,Popup,Popout,,T,1,9,University of Maryland-College Park,Georgetown University,4,1,1
1,160,"Leckszas, K. VS Glennon, C.",University of Maryland-College Park vs Georgetown University,,,00:00:01.8,,"Leckszas, K.","Glennon, C.",T9,11,4,-,1,0,0,Ball,Fastball,90,"","",,T,1,9,University of Maryland-College Park,Georgetown University,4,2,2
1,161,"Leckszas, K. VS Glennon, C.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Leckszas, K.","Glennon, C.",T9,11,4,-,1,1,0,Foul,Fastball,87,"","",,T,1,9,University of Maryland-College Park,Georgetown University,4,2,2
1,162,"Leckszas, K. VS Glennon, C.",University of Maryland-College Park vs Georgetown University,,,00:00:02.9,,"Leckszas, K.","Glennon, C.",T9,11,4,-,1,1,1,Strike Swinging,Slider,79,"","",,T,1,9,University of Maryland-College Park,Georgetown University,4,2,2
1,163,"Leckszas, K. VS Glennon, C.",University of Maryland-College Park vs Georgetown University,,,00:00:02.1,,"Leckszas, K.","Glennon, C.",T9,11,4,-,1,1,2,Ball,Slider,81,"","",,T,1,9,University of Maryland-College Park,Georgetown University,4,2,2
1,164,"Leckszas, K. VS Glennon, C.",University of Maryland-College Park vs Georgetown University,,,00:00:02.9,,"Leckszas, K.","Glennon, C.",T9,11,4,-,1,2,2,Strike Swinging,Changeup,83,"","",Strikeout,T,1,9,University of Maryland-College Park,Georgetown University,4,2,2
1,165,"Leckszas, K. VS Lambros, E.",University of Maryland-College Park vs Georgetown University,,,00:00:06.3,,"Leckszas, K.","Lambros, E.",T9,11,4,-,2,0,0,BIP,Slider,80,Ground Ball,Groundout,,T,1,9,University of Maryland-College Park,Georgetown University,4,3,3
2,324,"Leckszas, K. VS Okuley, M.",Georgetown University vs Ohio State University,,,00:00:02.3,,"Leckszas, K.","Okuley, M.",B10,4,2,1B-2B,2,0,0,Strike Taken,Fastball,88,"","",,B,0,10,Georgetown University,Ohio State University,4,1,1
2,325,"Leckszas, K. VS Okuley, M.",Georgetown University vs Ohio State University,,,00:00:02.6,,"Leckszas, K.","Okuley, M.",B10,4,2,1B-2B,2,0,1,Strike Taken,Changeup,83,"","",,B,0,10,Georgetown University,Ohio State University,4,1,1
2,326,"Leckszas, K. VS Okuley, M.",Georgetown University vs Ohio State University,,,00:00:03.7,,"Leckszas, K.","Okuley, M.",B10,4,2,1B-2B,2,0,2,Ball,Changeup,83,"","",,B,0,10,Georgetown University,Ohio State University,4,1,1
2,327,"Leckszas, K. VS Okuley, M.",Georgetown University vs Ohio State University,,,00:00:05.8,,"Leckszas, K.","Okuley, M.",B10,4,2,1B-2B,2,1,2,BIP,Fastball,90,Line Drive,Lineout,,B,0,10,Georgetown University,Ohio State University,4,1,1
3,760,"Leckszas, K. VS O'ferrall, G.",Georgetown University vs University of Virginia,,,00:00:03.3,,"Leckszas, K.","O'ferrall, G.",B4,5,6,2B,1,0,0,Ball,Slider,81,"","",,B,0,4,Georgetown University,University of Virginia,5,1,1
3,761,"Leckszas, K. VS O'ferrall, G.",Georgetown University vs University of Virginia,,,00:00:02.3,,"Leckszas, K.","O'ferrall, G.",B4,5,6,2B,1,1,0,Strike Taken,Slider,81,"","",,B,0,4,Georgetown University,University of Virginia,5,1,1
3,762,"Leckszas, K. VS O'ferrall, G.",Georgetown University vs University of Virginia,,,00:00:02.5,,"Leckszas, K.","O'ferrall, G.",B4,5,6,2B,1,1,1,Ball,Changeup,84,"","",,B,0,4,Georgetown University,University of Virginia,5,1,1
3,763,"Leckszas, K. VS O'ferrall, G.",Georgetown University vs University of Virginia,,,00:00:14.9,,"Leckszas, K.","O'ferrall, G.",B4,5,6,2B,1,2,1,BIP,Slider,80,Fly Ball,Flyout,,B,0,4,Georgetown University,University of Virginia,5,1,1
3,764,"Leckszas, K. VS Whalen, B.",Georgetown University vs University of Virginia,,,00:00:02.2,,"Leckszas, K.","Whalen, B.",B4,5,6,2B,2,0,0,Strike Taken,Fastball,88,"","",,B,0,4,Georgetown University,University of Virginia,5,2,2
3,765,"Leckszas, K. VS Whalen, B.",Georgetown University vs University of Virginia,,,00:00:03.1,,"Leckszas, K.","Whalen, B.",B4,5,6,2B,2,0,1,Ball,Slider,82,"","",,B,0,4,Georgetown University,University of Virginia,5,2,2
3,766,"Leckszas, K. VS Whalen, B.",Georgetown University vs University of Virginia,,,00:00:02.4,,"Leckszas, K.","Whalen, B.",B4,5,6,2B,2,1,1,Ball,Slider,81,"","",,B,0,4,Georgetown University,University of Virginia,5,2,2
3,767,"Leckszas, K. VS Whalen, B.",Georgetown University vs University of Virginia,,,00:00:03.5,,"Leckszas, K.","Whalen, B.",B4,5,6,2B,2,2,1,Foul,Slider,81,"","",,B,0,4,Georgetown University,University of Virginia,5,2,2
3,768,"Leckszas, K. VS Whalen, B.",Georgetown University vs University of Virginia,,,00:00:10.0,,"Leckszas, K.","Whalen, B.",B4,5,6,2B,2,2,2,BIP,Changeup,84,Fly Ball,Flyout,,B,0,4,Georgetown University,University of Virginia,5,2,2
3,769,"Leckszas, K. VS Saucke, C.",Georgetown University vs University of Virginia,,,00:00:02.7,,"Leckszas, K.","Saucke, C.",B5,6,6,-,0,0,0,Foul,Slider,80,"","",,B,0,5,Georgetown University,University of Virginia,6,3,3
3,770,"Leckszas, K. VS Saucke, C.",Georgetown University vs University of Virginia,,,00:00:02.0,,"Leckszas, K.","Saucke, C.",B5,6,6,-,0,0,1,Strike Swinging,Slider,81,"","",,B,0,5,Georgetown University,University of Virginia,6,3,3
3,771,"Leckszas, K. VS Saucke, C.",Georgetown University vs University of Virginia,,,00:00:03.0,,"Leckszas, K.","Saucke, C.",B5,6,6,-,0,0,2,Ball,Slider,81,"","",,B,0,5,Georgetown University,University of Virginia,6,3,3
3,772,"Leckszas, K. VS Saucke, C.",Georgetown University vs University of Virginia,,,00:00:02.9,,"Leckszas, K.","Saucke, C.",B5,6,6,-,0,1,2,Foul,Fastball,89,"","",,B,0,5,Georgetown University,University of Virginia,6,3,3
3,773,"Leckszas, K. VS Saucke, C.",Georgetown University vs University of Virginia,,,00:00:02.8,,"Leckszas, K.","Saucke, C.",B5,6,6,-,0,1,2,Ball,Slider,79,"","",,B,0,5,Georgetown University,University of Virginia,6,3,3
3,774,"Leckszas, K. VS Saucke, C.",Georgetown University vs University of Virginia,,,00:00:03.2,,"Leckszas, K.","Saucke, C.",B5,6,6,-,0,2,2,Foul,Slider,80,"","",,B,0,5,Georgetown University,University of Virginia,6,3,3
3,775,"Leckszas, K. VS Saucke, C.",Georgetown University vs University of Virginia,,,00:00:13.8,,"Leckszas, K.","Saucke, C.",B5,6,6,-,0,2,2,BIP,Fastball,89,Ground Ball,Double,,B,0,5,Georgetown University,University of Virginia,6,3,3
3,776,"Leckszas, K. VS Ford, H.",Georgetown University vs University of Virginia,,,00:00:02.3,,"Leckszas, K.","Ford, H.",B5,6,6,2B,0,0,0,Ball,Changeup,83,"","",,B,0,5,Georgetown University,University of Virginia,6,4,4
3,777,"Leckszas, K. VS Ford, H.",Georgetown University vs University of Virginia,,,00:00:03.4,,"Leckszas, K.","Ford, H.",B5,6,6,2B,0,1,0,Foul,Slider,79,"","",,B,0,5,Georgetown University,University of Virginia,6,4,4
3,778,"Leckszas, K. VS Ford, H.",Georgetown University vs University of Virginia,,,00:00:16.6,,"Leckszas, K.","Ford, H.",B5,6,6,2B,0,1,1,BIP,Slider,80,Line Drive,Double,,B,0,5,Georgetown University,University of Virginia,6,4,4
3,779,"Leckszas, K. VS Didawick, H.",Georgetown University vs University of Virginia,,,00:00:02.9,,"Leckszas, K.","Didawick, H.",B5,6,7,2B,0,0,0,Strike Swinging,Fastball,89,"","",,B,0,5,Georgetown University,University of Virginia,6,5,5
3,780,"Leckszas, K. VS Didawick, H.",Georgetown University vs University of Virginia,,,00:00:03.5,,"Leckszas, K.","Didawick, H.",B5,6,7,2B,0,0,1,Ball,Fastball,85,"","",,B,0,5,Georgetown University,University of Virginia,6,5,5
3,781,"Leckszas, K. VS Didawick, H.",Georgetown University vs University of Virginia,,,00:00:02.2,,"Leckszas, K.","Didawick, H.",B5,6,7,2B,0,1,1,Strike Taken,Changeup,85,"","",,B,0,5,Georgetown University,University of Virginia,6,5,5
3,782,"Leckszas, K. VS Didawick, H.",Georgetown University vs University of Virginia,,,00:00:16.5,,"Leckszas, K.","Didawick, H.",B5,6,7,2B,0,1,2,BIP,Slider,79,Fly Ball,Double,,B,0,5,Georgetown University,University of Virginia,6,5,5
3,783,"Leckszas, K. VS Godbout, H.",Georgetown University vs University of Virginia,,,00:00:03.5,,"Leckszas, K.","Godbout, H.",B5,6,8,2B,0,0,0,Strike Swinging,Changeup,84,"","",,B,0,5,Georgetown University,University of Virginia,6,6,6
