outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,525,"Leckszas, K. VS Defries, J.",Butler University vs Georgetown University,,,00:00:05.3,,"Leckszas, K.","Defries, J.",T8,5,1,2B,2,0,0,Foul,Fastball,0,"","",,T,1,8,Butler University,Georgetown University,1,1,1
1,526,"Leckszas, K. VS Defries, J.",Butler University vs Georgetown University,,,00:00:05.5,,"Leckszas, K.","Defries, J.",T8,5,1,2B,2,0,1,Ball,Changeup,0,"","",,T,1,8,Butler University,Georgetown University,1,1,1
1,527,"Leckszas, K. VS Defries, J.",Butler University vs Georgetown University,,,00:00:05.4,,"Leckszas, K.","Defries, J.",T8,5,1,2B,2,1,1,Foul,Slider,0,"","",,T,1,8,Butler University,Georgetown University,1,1,1
1,528,"Leckszas, K. VS Defries, J.",Butler University vs Georgetown University,,,00:00:11.8,,"Leckszas, K.","Defries, J.",T8,5,1,2B,2,1,2,BIP,Fastball,0,Ground Ball,Groundout,,T,1,8,Butler University,Georgetown University,1,1,1
1,529,"Leckszas, K. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.0,,"Leckszas, K.","Urban, J.",T9,5,1,-,0,0,0,Ball,Slider,0,"","",,T,1,9,Butler University,Georgetown University,1,2,2
1,530,"Leckszas, K. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.3,,"Leckszas, K.","Urban, J.",T9,5,1,-,0,1,0,Ball,Fastball,0,"","",,T,1,9,Butler University,Georgetown University,1,2,2
1,531,"Leckszas, K. VS Urban, J.",Butler University vs Georgetown University,,,00:00:04.9,,"Leckszas, K.","Urban, J.",T9,5,1,-,0,2,0,Strike Taken,Fastball,0,"","",,T,1,9,Butler University,Georgetown University,1,2,2
1,532,"Leckszas, K. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.1,,"Leckszas, K.","Urban, J.",T9,5,1,-,0,2,1,Ball,Fastball,0,"","",,T,1,9,Butler University,Georgetown University,1,2,2
1,533,"Leckszas, K. VS Urban, J.",Butler University vs Georgetown University,,,00:00:05.3,,"Leckszas, K.","Urban, J.",T9,5,1,-,0,3,1,Ball,Fastball,0,"","",Walk,T,1,9,Butler University,Georgetown University,1,2,2
1,534,"Leckszas, K. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:05.2,,"Leckszas, K.","Dorighi, C.",T9,5,1,1B,0,0,0,Strike Taken,Fastball,0,"","",,T,1,9,Butler University,Georgetown University,1,3,3
1,535,"Leckszas, K. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:06.9,,"Leckszas, K.","Dorighi, C.",T9,5,1,1B,0,0,1,Foul Bunt,Fastball,0,"","",,T,1,9,Butler University,Georgetown University,1,3,3
1,536,"Leckszas, K. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:05.2,,"Leckszas, K.","Dorighi, C.",T9,5,1,1B,0,0,2,Foul,Changeup,0,"","",,T,1,9,Butler University,Georgetown University,1,3,3
1,537,"Leckszas, K. VS Dorighi, C.",Butler University vs Georgetown University,,,00:00:12.1,,"Leckszas, K.","Dorighi, C.",T9,5,1,1B,0,0,2,BIP,Slider,0,Ground Ball,Grounded Into Double Play,,T,1,9,Butler University,Georgetown University,1,3,3
1,538,"Leckszas, K. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.0,,"Leckszas, K.","Carter, X.",T9,5,1,-,2,0,0,Strike Taken,Fastball,0,"","",,T,1,9,Butler University,Georgetown University,1,4,4
1,539,"Leckszas, K. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.3,,"Leckszas, K.","Carter, X.",T9,5,1,-,2,0,1,Foul,Changeup,0,"","",,T,1,9,Butler University,Georgetown University,1,4,4
1,540,"Leckszas, K. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.2,,"Leckszas, K.","Carter, X.",T9,5,1,-,2,0,2,Foul,Fastball,0,"","",,T,1,9,Butler University,Georgetown University,1,4,4
1,541,"Leckszas, K. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.2,,"Leckszas, K.","Carter, X.",T9,5,1,-,2,0,2,Ball,Changeup,0,"","",,T,1,9,Butler University,Georgetown University,1,4,4
1,542,"Leckszas, K. VS Carter, X.",Butler University vs Georgetown University,,,00:00:05.4,,"Leckszas, K.","Carter, X.",T9,5,1,-,2,1,2,Strike Swinging,Slider,0,"","",Strikeout,T,1,9,Butler University,Georgetown University,1,4,4
2,726,"Leckszas, K. VS Moses, J.",Georgetown University vs Towson University,,,00:00:10.3,,"Leckszas, K.","Moses, J.",B3,1,5,1B-2B,2,0,0,BIP,Fastball,86,Fly Ball,Flyout,,B,0,3,Georgetown University,Towson University,1,1,1
2,727,"Leckszas, K. VS Bishop, C.",Georgetown University vs Towson University,,,00:00:04.8,,"Leckszas, K.","Bishop, C.",B4,1,5,-,0,0,0,Strike Taken,Fastball,86,"","",,B,0,4,Georgetown University,Towson University,1,2,2
2,728,"Leckszas, K. VS Bishop, C.",Georgetown University vs Towson University,,,00:00:04.9,,"Leckszas, K.","Bishop, C.",B4,1,5,-,0,0,1,Strike Taken,Fastball,88,"","",,B,0,4,Georgetown University,Towson University,1,2,2
2,729,"Leckszas, K. VS Bishop, C.",Georgetown University vs Towson University,,,00:00:05.7,,"Leckszas, K.","Bishop, C.",B4,1,5,-,0,0,2,Strike Swinging,Slider,75,"","",Strikeout,B,0,4,Georgetown University,Towson University,1,2,2
2,730,"Leckszas, K. VS Curnane, R.",Georgetown University vs Towson University,,,00:00:05.0,,"Leckszas, K.","Curnane, R.",B4,1,5,-,1,0,0,Strike Swinging,Fastball,88,"","",,B,0,4,Georgetown University,Towson University,1,3,3
2,731,"Leckszas, K. VS Curnane, R.",Georgetown University vs Towson University,,,00:00:04.9,,"Leckszas, K.","Curnane, R.",B4,1,5,-,1,0,1,Ball,Fastball,88,"","",,B,0,4,Georgetown University,Towson University,1,3,3
2,732,"Leckszas, K. VS Curnane, R.",Georgetown University vs Towson University,,,00:00:04.9,,"Leckszas, K.","Curnane, R.",B4,1,5,-,1,1,1,Ball,Changeup,82,"","",,B,0,4,Georgetown University,Towson University,1,3,3
2,733,"Leckszas, K. VS Curnane, R.",Georgetown University vs Towson University,,,00:00:05.4,,"Leckszas, K.","Curnane, R.",B4,1,5,-,1,2,1,Foul,Fastball,86,"","",,B,0,4,Georgetown University,Towson University,1,3,3
2,734,"Leckszas, K. VS Curnane, R.",Georgetown University vs Towson University,,,00:00:10.7,,"Leckszas, K.","Curnane, R.",B4,1,5,-,1,2,2,BIP,Fastball,88,Line Drive,Single,,B,0,4,Georgetown University,Towson University,1,3,3
2,735,"Leckszas, K. VS Frederick, B.",Georgetown University vs Towson University,,,00:00:05.7,,"Leckszas, K.","Frederick, B.",B4,1,5,1B,1,0,0,Ball,Fastball,86,"","",,B,0,4,Georgetown University,Towson University,1,4,4
2,736,"Leckszas, K. VS Frederick, B.",Georgetown University vs Towson University,,,00:00:04.8,,"Leckszas, K.","Frederick, B.",B4,1,5,1B,1,1,0,Strike Taken,Fastball,85,"","",,B,0,4,Georgetown University,Towson University,1,4,4
2,737,"Leckszas, K. VS Frederick, B.",Georgetown University vs Towson University,,,00:00:04.9,,"Leckszas, K.","Frederick, B.",B4,1,5,1B,1,1,1,Strike Taken,Fastball,86,"","",,B,0,4,Georgetown University,Towson University,1,4,4
