outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,422,"Leckszas, K. VS Diaz, I.",Georgetown University vs University of Maryland - Baltimore County,,,00:00:05.2,,"Leckszas, K.","Diaz, I.",B1,4,0, - ,0,0,0,Ball,Fastball,86,"","",,B,0,1,Georgetown University,University of Maryland - Baltimore County,4,1,1
1,423,"Leckszas, K. VS Diaz, I.",Georgetown University vs University of Maryland - Baltimore County,,,00:00:05.2,,"Leckszas, K.","Diaz, I.",B1,4,0, - ,0,1,0,Strike Taken,Fastball,87,"","",,B,0,1,Georgetown University,University of Maryland - Baltimore County,4,1,1
1,424,"Leckszas, K. VS Diaz, I.",Georgetown University vs University of Maryland - Baltimore County,,,00:00:04.9,,"Leckszas, K.","Diaz, I.",B1,4,0, - ,0,1,1,Strike Taken,Fastball,86,"","",,B,0,1,Georgetown University,University of Maryland - Baltimore County,4,1,1
1,425,"Leckszas, K. VS Diaz, I.",Georgetown University vs University of Maryland - Baltimore County,,,00:00:11.5,,"Leckszas, K.","Diaz, I.",B1,4,0, - ,0,1,2,BIP,Fastball,84,Line Drive,Single,,B,0,1,Georgetown University,University of Maryland - Baltimore County,4,1,1
1,426,"Leckszas, K. VS Easley, C.",Georgetown University vs University of Maryland - Baltimore County,,,00:00:05.1,,"Leckszas, K.","Easley, C.",B1,4,0,1B,0,0,0,Ball,Fastball,87,"","",,B,0,1,Georgetown University,University of Maryland - Baltimore County,4,2,2
1,427,"Leckszas, K. VS Easley, C.",Georgetown University vs University of Maryland - Baltimore County,,,00:00:05.0,,"Leckszas, K.","Easley, C.",B1,4,0,1B,0,1,0,Ball,Fastball,85,"","",,B,0,1,Georgetown University,University of Maryland - Baltimore County,4,2,2
1,428,"Leckszas, K. VS Easley, C.",Georgetown University vs University of Maryland - Baltimore County,,,00:00:05.0,,"Leckszas, K.","Easley, C.",B1,4,0,1B,0,2,0,Strike Taken,Fastball,85,"","",,B,0,1,Georgetown University,University of Maryland - Baltimore County,4,2,2
1,429,"Leckszas, K. VS Easley, C.",Georgetown University vs University of Maryland - Baltimore County,,,00:00:12.4,,"Leckszas, K.","Easley, C.",B1,4,0,1B,0,2,1,BIP,Fastball,0,Ground Ball,Single,,B,0,1,Georgetown University,University of Maryland - Baltimore County,4,2,2
1,430,"Leckszas, K. VS Molessa, L.",Georgetown University vs University of Maryland - Baltimore County,,,00:00:05.1,,"Leckszas, K.","Molessa, L.",B1,4,0,1B-2B,0,0,0,Strike Swinging,Slider,76,"","",,B,0,1,Georgetown University,University of Maryland - Baltimore County,4,3,3
1,431,"Leckszas, K. VS Molessa, L.",Georgetown University vs University of Maryland - Baltimore County,,,00:00:05.6,,"Leckszas, K.","Molessa, L.",B1,4,0,1B-2B,0,0,1,Ball,Changeup,82,"","",,B,0,1,Georgetown University,University of Maryland - Baltimore County,4,3,3
1,432,"Leckszas, K. VS Molessa, L.",Georgetown University vs University of Maryland - Baltimore County,,,00:00:09.6,,"Leckszas, K.","Molessa, L.",B1,4,0,1B-2B,0,1,1,BIP,Fastball,87,Ground Ball,Grounded Into Double Play,,B,0,1,Georgetown University,University of Maryland - Baltimore County,4,3,3
1,433,"Leckszas, K. VS Trythall, L.",Georgetown University vs University of Maryland - Baltimore County,,,00:00:05.0,,"Leckszas, K.","Trythall, L.",B1,4,0,3B,2,0,0,Strike Taken,Fastball,84,"","",,B,0,1,Georgetown University,University of Maryland - Baltimore County,4,4,4
1,434,"Leckszas, K. VS Trythall, L.",Georgetown University vs University of Maryland - Baltimore County,,,00:00:05.2,,"Leckszas, K.","Trythall, L.",B1,4,0,3B,2,0,1,Ball,Slider,78,"","",,B,0,1,Georgetown University,University of Maryland - Baltimore County,4,4,4
1,435,"Leckszas, K. VS Trythall, L.",Georgetown University vs University of Maryland - Baltimore County,,,00:00:05.3,,"Leckszas, K.","Trythall, L.",B1,4,0,3B,2,1,1,Strike Swinging,Fastball,89,"","",,B,0,1,Georgetown University,University of Maryland - Baltimore County,4,4,4
1,436,"Leckszas, K. VS Trythall, L.",Georgetown University vs University of Maryland - Baltimore County,,,00:00:05.4,,"Leckszas, K.","Trythall, L.",B1,4,0,3B,2,1,2,Strike Swinging,Fastball,89,"","",Strikeout,B,0,1,Georgetown University,University of Maryland - Baltimore County,4,4,4
