outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,518,"Mastroianni, M. VS Lipsey, T.",Georgetown University vs Ohio State University,,,00:00:03.2,,"Mastroianni, M.","Lipsey, T.",B1,2,0,-,0,0,0,Ball,Fastball,86,"","",,B,0,1,Georgetown University,Ohio State University,2,1,1
1,519,"Mastroianni, M. VS Lipsey, T.",Georgetown University vs Ohio State University,,,00:00:03.3,,"Mastroianni, M.","Lipsey, T.",B1,2,0,-,0,1,0,Ball,Fastball,86,"","",,B,0,1,Georgetown University,Ohio State University,2,1,1
1,520,"Mastroianni, M. VS Lipsey, T.",Georgetown University vs Ohio State University,,,00:00:02.1,,"Mastroianni, M.","Lipsey, T.",B1,2,0,-,0,2,0,Strike Taken,Fastball,84,"","",,B,0,1,Georgetown University,Ohio State University,2,1,1
1,521,"Mastroianni, M. VS Lipsey, T.",Georgetown University vs Ohio State University,,,00:00:02.6,,"Mastroianni, M.","Lipsey, T.",B1,2,0,-,0,2,1,Ball,Fastball,86,"","",,B,0,1,Georgetown University,Ohio State University,2,1,1
1,522,"Mastroianni, M. VS Lipsey, T.",Georgetown University vs Ohio State University,,,00:00:03.4,,"Mastroianni, M.","Lipsey, T.",B1,2,0,-,0,3,1,Foul,Fastball,85,"","",,B,0,1,Georgetown University,Ohio State University,2,1,1
1,523,"Mastroianni, M. VS Lipsey, T.",Georgetown University vs Ohio State University,,,00:00:02.6,,"Mastroianni, M.","Lipsey, T.",B1,2,0,-,0,3,2,Ball,Fastball,87,"","",Walk,B,0,1,Georgetown University,Ohio State University,2,1,1
1,524,"Mastroianni, M. VS Kaczmar, H.",Georgetown University vs Ohio State University,,,00:00:01.8,,"Mastroianni, M.","Kaczmar, H.",B1,2,0,1B,0,0,0,Strike Taken,Fastball,84,"","",,B,0,1,Georgetown University,Ohio State University,2,2,2
1,525,"Mastroianni, M. VS Kaczmar, H.",Georgetown University vs Ohio State University,,,00:00:03.3,,"Mastroianni, M.","Kaczmar, H.",B1,2,0,1B,0,0,1,Ball,Slider,69,"","",,B,0,1,Georgetown University,Ohio State University,2,2,2
1,526,"Mastroianni, M. VS Kaczmar, H.",Georgetown University vs Ohio State University,,,00:00:03.7,,"Mastroianni, M.","Kaczmar, H.",B1,2,0,1B,0,1,1,Ball,Fastball,84,"","",Hit By Pitch,B,0,1,Georgetown University,Ohio State University,2,2,2
1,527,"Mastroianni, M. VS Graveline, M.",Georgetown University vs Ohio State University,,,00:00:01.8,,"Mastroianni, M.","Graveline, M.",B1,2,0,1B-2B,0,0,0,Strike Taken,Changeup,77,"","",,B,0,1,Georgetown University,Ohio State University,2,3,3
1,528,"Mastroianni, M. VS Graveline, M.",Georgetown University vs Ohio State University,,,00:00:02.3,,"Mastroianni, M.","Graveline, M.",B1,2,0,1B-2B,0,0,1,Foul,Slider,69,"","",,B,0,1,Georgetown University,Ohio State University,2,3,3
1,529,"Mastroianni, M. VS Graveline, M.",Georgetown University vs Ohio State University,,,00:00:03.8,,"Mastroianni, M.","Graveline, M.",B1,2,0,1B-2B,0,0,2,Foul,Fastball,85,"","",,B,0,1,Georgetown University,Ohio State University,2,3,3
