outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id
1,1,"Mead, T. VS Santa anna, T.",Azusa Pacific University vs Biola University,,,00:00:02.4,,"Mead, T.","Santa anna, T.",T9,16,15, - ,0,0,0,Ball,Curveball,71,"","",,,T,1,9,Azusa Pacific University,Biola University,15,1
1,2,"Mead, T. VS Santa anna, T.",Azusa Pacific University vs Biola University,,,00:00:02.8,,"Mead, T.","Santa anna, T.",T9,16,15, - ,0,1,0,Strike Taken,Curveball,73,"","",,,T,1,9,Azusa Pacific University,Biola University,15,1
1,3,"Mead, T. VS Santa anna, T.",Azusa Pacific University vs Biola University,,,00:00:02.8,,"Mead, T.","Santa anna, T.",T9,16,15, - ,0,1,1,Foul,Fastball,89,"","",,,T,1,9,Azusa Pacific University,Biola University,15,1
1,4,"Mead, T. VS Santa anna, T.",Azusa Pacific University vs Biola University,,,00:00:02.8,,"Mead, T.","Santa anna, T.",T9,16,15, - ,0,1,2,Ball,Curveball,0,"","",,,T,1,9,Azusa Pacific University,Biola University,15,1
1,5,"Mead, T. VS Santa anna, T.",Azusa Pacific University vs Biola University,,,00:00:02.9,,"Mead, T.","Santa anna, T.",T9,16,15, - ,0,2,2,Strike Swinging,Curveball,71,"","",Strikeout,,T,1,9,Azusa Pacific University,Biola University,15,1
1,6,"Mead, T. VS Soria, B.",Azusa Pacific University vs Biola University,,,00:00:06.5,,"Mead, T.","Soria, B.",T9,16,15, - ,1,0,0,BIP,Fastball,91,Ground Ball,Single,,,T,1,9,Azusa Pacific University,Biola University,15,2
1,7,"Mead, T. VS Christison, G.",Azusa Pacific University vs Biola University,,,00:00:02.7,,"Mead, T.","Christison, G.",T9,16,15,1B,1,0,0,Strike Taken,Curveball,70,"","",,,T,1,9,Azusa Pacific University,Biola University,15,3
1,8,"Mead, T. VS Christison, G.",Azusa Pacific University vs Biola University,,,00:00:03.2,,"Mead, T.","Christison, G.",T9,16,15,1B,1,0,1,Strike Swinging,Curveball,71,"","",,,T,1,9,Azusa Pacific University,Biola University,15,3
1,9,"Mead, T. VS Christison, G.",Azusa Pacific University vs Biola University,,,00:00:02.9,,"Mead, T.","Christison, G.",T9,16,15,1B,1,0,2,Foul,Curveball,70,"","",,,T,1,9,Azusa Pacific University,Biola University,15,3
1,10,"Mead, T. VS Christison, G.",Azusa Pacific University vs Biola University,,,00:00:08.4,,"Mead, T.","Christison, G.",T9,16,15,1B,1,0,2,BIP,Curveball,71,Ground Ball,Single,,,T,1,9,Azusa Pacific University,Biola University,15,3
