outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,64,"Mead, T. VS Deprey, M.",Georgetown University vs Xavier University,,,00:00:04.3,,"Mead, T.","Deprey, M.",B4,2,3,1B-2B-3B,1,0,0,Ball,Fastball,91,"","",,B,0,4,Georgetown University,Xavier University,2,1,1
1,65,"Mead, T. VS Deprey, M.",Georgetown University vs Xavier University,,,00:00:04.6,,"Mead, T.","Deprey, M.",B4,2,3,1B-2B-3B,1,1,0,Foul,Fastball,91,"","",,B,0,4,Georgetown University,Xavier University,2,1,1
1,66,"Mead, T. VS Deprey, M.",Georgetown University vs Xavier University,,,00:00:04.9,,"Mead, T.","Deprey, M.",B4,2,3,1B-2B-3B,1,1,1,Foul,Fastball,91,"","",,B,0,4,Georgetown University,Xavier University,2,1,1
1,67,"Mead, T. VS Deprey, M.",Georgetown University vs Xavier University,,,00:00:04.6,,"Mead, T.","Deprey, M.",B4,2,3,1B-2B-3B,1,1,2,Ball,Fastball,92,"","",,B,0,4,Georgetown University,Xavier University,2,1,1
1,68,"Mead, T. VS Deprey, M.",Georgetown University vs Xavier University,,,00:00:14.2,,"Mead, T.","Deprey, M.",B4,2,3,1B-2B-3B,1,2,2,BIP,Fastball,91,Fly Ball,Sacrifice Fly,,B,0,4,Georgetown University,Xavier University,2,1,1
1,69,"Mead, T. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:04.4,,"Mead, T.","Walker, A.",B4,2,4,1B-2B,2,0,0,Ball,Curveball,72,"","",,B,0,4,Georgetown University,Xavier University,2,2,2
1,70,"Mead, T. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:04.3,,"Mead, T.","Walker, A.",B4,2,4,1B-2B,2,1,0,Ball,Curveball,69,"","",,B,0,4,Georgetown University,Xavier University,2,2,2
1,71,"Mead, T. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:04.3,,"Mead, T.","Walker, A.",B4,2,4,1B-2B,2,2,0,Ball,Fastball,90,"","",,B,0,4,Georgetown University,Xavier University,2,2,2
1,72,"Mead, T. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:04.4,,"Mead, T.","Walker, A.",B4,2,4,1B-2B,2,3,0,Strike Taken,Fastball,90,"","",,B,0,4,Georgetown University,Xavier University,2,2,2
1,73,"Mead, T. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:04.9,,"Mead, T.","Walker, A.",B4,2,4,1B-2B,2,3,1,Foul,Fastball,91,"","",,B,0,4,Georgetown University,Xavier University,2,2,2
1,74,"Mead, T. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:04.2,,"Mead, T.","Walker, A.",B4,2,4,1B-2B,2,3,2,Ball,Fastball,92,"","",Walk,B,0,4,Georgetown University,Xavier University,2,2,2
1,75,"Mead, T. VS Cushing, J.",Georgetown University vs Xavier University,,,00:00:05.0,,"Mead, T.","Cushing, J.",B4,2,4,1B-2B-3B,2,0,0,Foul,Fastball,91,"","",,B,0,4,Georgetown University,Xavier University,2,3,3
