outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id
1,1,"Mead, T. VS Kelley, T.",Georgetown University vs Penn State University,,,00:00:09.1,,"Mead, T.","Kelley, T.",B8,1,5, - ,0,0,0,BIP,Fastball,90,Ground Ball,Groundout,,,B,0,8,Georgetown University,Penn State University,1,1
1,2,"Mead, T. VS Kailher, B.",Georgetown University vs Penn State University,,,00:00:05.2,,"Mead, T.","Kailher, B.",B8,1,5, - ,1,0,0,Strike Taken,Fastball,91,"","",,,B,0,8,Georgetown University,Penn State University,1,2
1,3,"Mead, T. VS Kailher, B.",Georgetown University vs Penn State University,,,00:00:05.3,,"Mead, T.","Kailher, B.",B8,1,5, - ,1,0,1,Ball,Fastball,90,"","",,,B,0,8,Georgetown University,Penn State University,1,2
1,4,"Mead, T. VS Kailher, B.",Georgetown University vs Penn State University,,,00:00:05.1,,"Mead, T.","Kailher, B.",B8,1,5, - ,1,1,1,Strike Taken,Fastball,90,"","",,,B,0,8,Georgetown University,Penn State University,1,2
1,5,"Mead, T. VS Kailher, B.",Georgetown University vs Penn State University,,,00:00:12.3,,"Mead, T.","Kailher, B.",B8,1,5, - ,1,1,2,BIP,Curveball,71,Line Drive,Double,,,B,0,8,Georgetown University,Penn State University,1,2
1,6,"Mead, T. VS Bramley, T.",Georgetown University vs Penn State University,,,00:00:05.3,,"Mead, T.","Bramley, T.",B8,1,5,2B,1,0,0,Ball,Curveball,72,"","",,,B,0,8,Georgetown University,Penn State University,1,3
1,7,"Mead, T. VS Bramley, T.",Georgetown University vs Penn State University,,,00:00:05.1,,"Mead, T.","Bramley, T.",B8,1,5,2B,1,1,0,Ball,Fastball,90,"","",,,B,0,8,Georgetown University,Penn State University,1,3
1,8,"Mead, T. VS Bramley, T.",Georgetown University vs Penn State University,,,00:00:05.3,,"Mead, T.","Bramley, T.",B8,1,5,2B,1,2,0,Ball,Curveball,71,"","",,,B,0,8,Georgetown University,Penn State University,1,3
1,9,"Mead, T. VS Bramley, T.",Georgetown University vs Penn State University,,,00:00:05.4,,"Mead, T.","Bramley, T.",B8,1,5,2B,1,3,0,Ball,Fastball,89,"","",Walk,,B,0,8,Georgetown University,Penn State University,1,3
1,10,"Mead, T. VS Harry, J.",Georgetown University vs Penn State University,,,00:00:05.3,,"Mead, T.","Harry, J.",B8,1,5,1B-2B,1,0,0,Strike Taken,Fastball,90,"","",,,B,0,8,Georgetown University,Penn State University,1,4
1,11,"Mead, T. VS Harry, J.",Georgetown University vs Penn State University,,,00:00:05.4,,"Mead, T.","Harry, J.",B8,1,5,1B-2B,1,0,1,Strike Taken,Slider,81,"","",,,B,0,8,Georgetown University,Penn State University,1,4
1,12,"Mead, T. VS Harry, J.",Georgetown University vs Penn State University,,,00:00:07.9,,"Mead, T.","Harry, J.",B8,1,5,1B-2B,1,0,2,BIP,Changeup,81,Ground Ball,Fielder's Choice - Out,,,B,0,8,Georgetown University,Penn State University,1,4
1,13,"Mead, T. VS Hannon, K.",Georgetown University vs Penn State University,,,00:00:07.8,,"Mead, T.","Hannon, K.",B8,1,5,1B-3B,2,0,0,Strike Taken,Fastball,90,"","",,,B,0,8,Georgetown University,Penn State University,1,5
1,14,"Mead, T. VS Hannon, K.",Georgetown University vs Penn State University,,,00:00:05.3,,"Mead, T.","Hannon, K.",B8,1,5,2B-3B,2,0,1,Ball,Curveball,74,"","",,,B,0,8,Georgetown University,Penn State University,1,5
1,15,"Mead, T. VS Hannon, K.",Georgetown University vs Penn State University,,,00:00:08.2,,"Mead, T.","Hannon, K.",B8,1,5,2B-3B,2,1,1,Ball,Changeup,83,"","",,,B,0,8,Georgetown University,Penn State University,1,5
1,16,"Mead, T. VS Hannon, K.",Georgetown University vs Penn State University,,,00:00:05.3,,"Mead, T.","Hannon, K.",B8,1,6,3B,2,2,1,Ball,Curveball,72,"","",,,B,0,8,Georgetown University,Penn State University,1,5
1,17,"Mead, T. VS Hannon, K.",Georgetown University vs Penn State University,,,00:00:06.0,,"Mead, T.","Hannon, K.",B8,1,6,3B,2,3,1,Strike Swinging,Slider,83,"","",,,B,0,8,Georgetown University,Penn State University,1,5
1,18,"Mead, T. VS Hannon, K.",Georgetown University vs Penn State University,,,00:00:05.5,,"Mead, T.","Hannon, K.",B8,1,6,3B,2,3,2,Ball,Changeup,79,"","",Walk,,B,0,8,Georgetown University,Penn State University,1,5
1,19,"Mead, T. VS Piacentino, J.",Georgetown University vs Penn State University,,,00:00:15.4,,"Mead, T.","Piacentino, J.",B8,1,6,1B-3B,2,0,0,BIP,Fastball,90,Ground Ball,Field Error,,,B,0,8,Georgetown University,Penn State University,1,6
2,20,"Mead, T. VS Ciccone, J.",University of Hartford vs Georgetown University,,,00:00:05.6,,"Mead, T.","Ciccone, J.",T8,1,3, - ,0,0,0,Strike Swinging,Fastball,0,"","",,,T,1,8,University of Hartford,Georgetown University,3,1
2,21,"Mead, T. VS Ciccone, J.",University of Hartford vs Georgetown University,,,00:00:05.6,,"Mead, T.","Ciccone, J.",T8,1,3, - ,0,0,1,Strike Swinging,Fastball,0,"","",,,T,1,8,University of Hartford,Georgetown University,3,1
2,22,"Mead, T. VS Ciccone, J.",University of Hartford vs Georgetown University,,,00:00:05.8,,"Mead, T.","Ciccone, J.",T8,1,3, - ,0,0,2,Foul,Fastball,89,"","",,,T,1,8,University of Hartford,Georgetown University,3,1
2,23,"Mead, T. VS Ciccone, J.",University of Hartford vs Georgetown University,,,00:00:05.9,,"Mead, T.","Ciccone, J.",T8,1,3, - ,0,0,2,Strike Taken,Curveball,71,"","",Strikeout,,T,1,8,University of Hartford,Georgetown University,3,1
2,24,"Mead, T. VS Kellogg, D.",University of Hartford vs Georgetown University,,,00:00:10.2,,"Mead, T.","Kellogg, D.",T8,1,3, - ,1,0,0,BIP,Fastball,88,Bunt Ground Ball,Single,,,T,1,8,University of Hartford,Georgetown University,3,2
2,25,"Mead, T. VS Knight, R.",University of Hartford vs Georgetown University,,,00:00:05.5,,"Mead, T.","Knight, R.",T8,1,3,1B,1,0,0,Ball,Fastball,0,"","",,,T,1,8,University of Hartford,Georgetown University,3,3
2,26,"Mead, T. VS Knight, R.",University of Hartford vs Georgetown University,,,00:00:06.1,,"Mead, T.","Knight, R.",T8,1,3,1B,1,1,0,Ball,Fastball,88,"","",,,T,1,8,University of Hartford,Georgetown University,3,3
2,27,"Mead, T. VS Knight, R.",University of Hartford vs Georgetown University,,,00:00:04.8,,"Mead, T.","Knight, R.",T8,1,3,1B,1,2,0,Strike Taken,Fastball,88,"","",,,T,1,8,University of Hartford,Georgetown University,3,3
2,28,"Mead, T. VS Knight, R.",University of Hartford vs Georgetown University,,,00:00:09.9,,"Mead, T.","Knight, R.",T8,1,3,1B,1,2,1,BIP,Fastball,89,Line Drive,Field Error,,,T,1,8,University of Hartford,Georgetown University,3,3
2,29,"Mead, T. VS Rivera, N.",University of Hartford vs Georgetown University,,,00:00:05.4,,"Mead, T.","Rivera, N.",T8,1,3,1B-2B,1,0,0,Strike Taken,Curveball,70,"","",,,T,1,8,University of Hartford,Georgetown University,3,4
2,30,"Mead, T. VS Rivera, N.",University of Hartford vs Georgetown University,,,00:00:06.7,,"Mead, T.","Rivera, N.",T8,1,3,1B-2B,1,0,1,Ball,Curveball,0,"","",Hit By Pitch,,T,1,8,University of Hartford,Georgetown University,3,4
2,31,"Mead, T. VS Engstrom, H.",University of Hartford vs Georgetown University,,,00:00:21.4,,"Mead, T.","Engstrom, H.",T8,1,3,1B-2B-3B,1,0,0,BIP,Fastball,0,Ground Ball,Single,,,T,1,8,University of Hartford,Georgetown University,3,5
2,32,"Mead, T. VS Santiago, J.",University of Hartford vs Georgetown University,,,00:00:04.9,,"Mead, T.","Santiago, J.",T9,3,3, - ,0,0,0,Ball,Curveball,72,"","",,,T,1,9,University of Hartford,Georgetown University,3,6
2,33,"Mead, T. VS Santiago, J.",University of Hartford vs Georgetown University,,,00:00:04.8,,"Mead, T.","Santiago, J.",T9,3,3, - ,0,1,0,Strike Taken,Fastball,88,"","",,,T,1,9,University of Hartford,Georgetown University,3,6
2,34,"Mead, T. VS Santiago, J.",University of Hartford vs Georgetown University,,,00:00:06.2,,"Mead, T.","Santiago, J.",T9,3,3, - ,0,1,1,Ball,Curveball,70,"","",,,T,1,9,University of Hartford,Georgetown University,3,6
2,35,"Mead, T. VS Santiago, J.",University of Hartford vs Georgetown University,,,00:00:06.3,,"Mead, T.","Santiago, J.",T9,3,3, - ,0,2,1,Ball,Fastball,88,"","",,,T,1,9,University of Hartford,Georgetown University,3,6
2,36,"Mead, T. VS Santiago, J.",University of Hartford vs Georgetown University,,,00:00:04.7,,"Mead, T.","Santiago, J.",T9,3,3, - ,0,3,1,Strike Taken,Fastball,88,"","",,,T,1,9,University of Hartford,Georgetown University,3,6
2,37,"Mead, T. VS Santiago, J.",University of Hartford vs Georgetown University,,,00:00:06.5,,"Mead, T.","Santiago, J.",T9,3,3, - ,0,3,2,Strike Swinging,Curveball,69,"","",Strikeout,,T,1,9,University of Hartford,Georgetown University,3,6
2,38,"Mead, T. VS Benzinger, D.",University of Hartford vs Georgetown University,,,00:00:06.3,,"Mead, T.","Benzinger, D.",T9,3,3, - ,1,0,0,Ball,Fastball,89,"","",,,T,1,9,University of Hartford,Georgetown University,3,7
2,39,"Mead, T. VS Benzinger, D.",University of Hartford vs Georgetown University,,,00:00:05.5,,"Mead, T.","Benzinger, D.",T9,3,3, - ,1,1,0,Ball,Fastball,88,"","",,,T,1,9,University of Hartford,Georgetown University,3,7
