#,Title,Notes,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Cabral, A. VS Trimble, S.",George Mason University vs Northeastern University,,,00:00:02.1,,"Cabral, A.","Trimble, S.",T1,0-0,-,0,0-0,Ball,Fastball,0,,,,
2,"Cabral, A. VS Trimble, S.",George Mason University vs Northeastern University,,,00:00:10.8,,"Cabral, A.","Trimble, S.",T1,0-0,-,0,1-0,BIP,Fastball,0,Line Drive,Single,,
3,"Cabral, A. VS Wood, D.",George Mason University vs Northeastern University,,,00:00:02.2,,"Cabral, A.","Wood, D.",T1,0-0,1B,0,0-0,Strike Taken,Changeup,0,,,,
4,"Cabral, A. VS Wood, D.",George Mason University vs Northeastern University,,,00:00:02.3,,"Cabral, A.","Wood, D.",T1,0-0,1B,0,0-1,Ball,Slider,0,,,,
5,"Cabral, A. VS Wood, D.",George Mason University vs Northeastern University,,,00:00:02.5,,"Cabral, A.","Wood, D.",T1,0-0,1B,0,1-1,Foul,Fastball,0,,,,
6,"Cabral, A. VS Wood, D.",George Mason University vs Northeastern University,,,00:00:02.7,,"Cabral, A.","Wood, D.",T1,0-0,1B,0,1-2,Foul,Fastball,0,,,,
7,"Cabral, A. VS Wood, D.",George Mason University vs Northeastern University,,,00:00:05.0,,"Cabral, A.","Wood, D.",T1,0-0,1B,0,1-2,Foul,Slider,0,,,,
8,"Cabral, A. VS Wood, D.",George Mason University vs Northeastern University,,,00:00:05.5,,"Cabral, A.","Wood, D.",T1,0-0,1B,0,1-2,Ball,Slider,0,,,,
9,"Cabral, A. VS Wood, D.",George Mason University vs Northeastern University,,,00:00:02.2,,"Cabral, A.","Wood, D.",T1,0-0,2B,0,2-2,Ball,Changeup,0,,,,
10,"Cabral, A. VS Wood, D.",George Mason University vs Northeastern University,,,00:00:06.3,,"Cabral, A.","Wood, D.",T1,0-0,2B,0,3-2,BIP,Changeup,0,Ground Ball,Groundout,,
11,"Cabral, A. VS Smith, J.",George Mason University vs Northeastern University,,,00:00:02.7,,"Cabral, A.","Smith, J.",T1,0-0,3B,1,0-0,Foul,Slider,0,,,,
12,"Cabral, A. VS Smith, J.",George Mason University vs Northeastern University,,,00:00:02.7,,"Cabral, A.","Smith, J.",T1,0-0,3B,1,0-1,Foul,Changeup,0,,,,
13,"Cabral, A. VS Smith, J.",George Mason University vs Northeastern University,,,00:00:02.1,,"Cabral, A.","Smith, J.",T1,0-0,3B,1,0-2,Ball,Fastball,0,,,,
14,"Cabral, A. VS Smith, J.",George Mason University vs Northeastern University,,,00:00:06.9,,"Cabral, A.","Smith, J.",T1,0-0,3B,1,1-2,BIP,Changeup,0,Ground Ball,Groundout,,
15,"Cabral, A. VS Dykstra, C.",George Mason University vs Northeastern University,,,00:00:02.3,,"Cabral, A.","Dykstra, C.",T1,1-0,-,2,0-0,Strike Taken,Slider,0,,,,
16,"Cabral, A. VS Dykstra, C.",George Mason University vs Northeastern University,,,00:00:06.5,,"Cabral, A.","Dykstra, C.",T1,1-0,-,2,0-1,BIP,Changeup,0,Ground Ball,Groundout,,
17,"Cabral, A. VS Woody, R.",George Mason University vs Northeastern University,,,00:00:07.6,,"Cabral, A.","Woody, R.",T2,1-0,-,0,0-0,BIP,Changeup,0,Ground Ball,Groundout,,
18,"Cabral, A. VS Stallings, B.",George Mason University vs Northeastern University,,,00:00:02.1,,"Cabral, A.","Stallings, B.",T2,1-0,-,1,0-0,Strike Taken,Fastball,0,,,,
19,"Cabral, A. VS Stallings, B.",George Mason University vs Northeastern University,,,00:00:06.8,,"Cabral, A.","Stallings, B.",T2,1-0,-,1,0-1,BIP,Fastball,0,Ground Ball,Groundout,,
20,"Cabral, A. VS Knapp, A.",George Mason University vs Northeastern University,,,00:00:02.3,,"Cabral, A.","Knapp, A.",T2,1-0,-,2,0-0,Strike Taken,Unknown,0,,,,
21,"Cabral, A. VS Knapp, A.",George Mason University vs Northeastern University,,,00:00:02.4,,"Cabral, A.","Knapp, A.",T2,1-0,-,2,0-1,Strike Swinging,Slider,0,,,,
22,"Cabral, A. VS Knapp, A.",George Mason University vs Northeastern University,,,00:00:02.3,,"Cabral, A.","Knapp, A.",T2,1-0,-,2,0-2,Ball,Slider,0,,,,
23,"Cabral, A. VS Knapp, A.",George Mason University vs Northeastern University,,,00:00:02.2,,"Cabral, A.","Knapp, A.",T2,1-0,-,2,1-2,Ball,Changeup,0,,,,
24,"Cabral, A. VS Knapp, A.",George Mason University vs Northeastern University,,,00:00:03.4,,"Cabral, A.","Knapp, A.",T2,1-0,-,2,2-2,Foul,Slider,0,,,,
25,"Cabral, A. VS Knapp, A.",George Mason University vs Northeastern University,,,00:00:02.3,,"Cabral, A.","Knapp, A.",T2,1-0,-,2,2-2,Foul,Slider,0,,,,
26,"Cabral, A. VS Knapp, A.",George Mason University vs Northeastern University,,,00:00:06.4,,"Cabral, A.","Knapp, A.",T2,1-0,-,2,2-2,BIP,Changeup,0,Ground Ball,Groundout,,
27,"Cabral, A. VS Blanchard, E.",George Mason University vs Northeastern University,,,00:00:02.2,,"Cabral, A.","Blanchard, E.",T3,1-0,-,0,0-0,Ball,Slider,0,,,,
28,"Cabral, A. VS Blanchard, E.",George Mason University vs Northeastern University,,,00:00:02.2,,"Cabral, A.","Blanchard, E.",T3,1-0,-,0,1-0,Ball,Changeup,0,,,,
29,"Cabral, A. VS Blanchard, E.",George Mason University vs Northeastern University,,,00:00:02.2,,"Cabral, A.","Blanchard, E.",T3,1-0,-,0,2-0,Ball,Fastball,0,,,,
30,"Cabral, A. VS Blanchard, E.",George Mason University vs Northeastern University,,,00:00:02.2,,"Cabral, A.","Blanchard, E.",T3,1-0,-,0,3-0,Strike Taken,Fastball,0,,,,
31,"Cabral, A. VS Blanchard, E.",George Mason University vs Northeastern University,,,00:00:02.2,,"Cabral, A.","Blanchard, E.",T3,1-0,-,0,3-1,Ball,Fastball,0,,,Walk,
32,"Cabral, A. VS Pracht, C.",George Mason University vs Northeastern University,,,00:00:04.9,,"Cabral, A.","Pracht, C.",T3,1-0,1B,0,0-0,Ball,Fastball,0,,,,
33,"Cabral, A. VS Pracht, C.",George Mason University vs Northeastern University,,,00:00:06.3,,"Cabral, A.","Pracht, C.",T3,1-0,1B,0,1-0,BIP,Changeup,0,Bunt Ground Ball,Sacrifice Bunt,,
34,"Cabral, A. VS Trimble, S.",George Mason University vs Northeastern University,,,00:00:03.3,,"Cabral, A.","Trimble, S.",T3,1-0,2B,1,0-0,Foul,Slider,0,,,,
35,"Cabral, A. VS Trimble, S.",George Mason University vs Northeastern University,,,00:00:02.1,,"Cabral, A.","Trimble, S.",T3,1-0,2B,1,0-1,Ball,Fastball,0,,,,
36,"Cabral, A. VS Trimble, S.",George Mason University vs Northeastern University,,,00:00:02.4,,"Cabral, A.","Trimble, S.",T3,1-0,2B,1,1-1,Strike Swinging,Slider,0,,,,
37,"Cabral, A. VS Trimble, S.",George Mason University vs Northeastern University,,,00:00:02.5,,"Cabral, A.","Trimble, S.",T3,1-0,2B,1,1-2,Strike Swinging,Fastball,0,,,Strikeout,
38,"Cabral, A. VS Wood, D.",George Mason University vs Northeastern University,,,00:00:02.2,,"Cabral, A.","Wood, D.",T3,1-0,2B,2,0-0,Ball,Changeup,0,,,,
39,"Cabral, A. VS Wood, D.",George Mason University vs Northeastern University,,,00:00:02.3,,"Cabral, A.","Wood, D.",T3,1-0,2B,2,1-0,Foul,Slider,0,,,,
40,"Cabral, A. VS Wood, D.",George Mason University vs Northeastern University,,,00:00:02.1,,"Cabral, A.","Wood, D.",T3,1-0,2B,2,1-1,Foul,Fastball,0,,,,
41,"Cabral, A. VS Wood, D.",George Mason University vs Northeastern University,,,00:00:02.2,,"Cabral, A.","Wood, D.",T3,1-0,2B,2,1-2,Ball,Fastball,0,,,,
42,"Cabral, A. VS Wood, D.",George Mason University vs Northeastern University,,,00:00:09.3,,"Cabral, A.","Wood, D.",T3,1-0,2B,2,2-2,BIP,Slider,0,Fly Ball,Flyout,,
43,"Cabral, A. VS Smith, J.",George Mason University vs Northeastern University,,,00:00:02.1,,"Cabral, A.","Smith, J.",T4,1-1,-,0,0-0,Ball,Fastball,0,,,,
44,"Cabral, A. VS Smith, J.",George Mason University vs Northeastern University,,,00:00:08.1,,"Cabral, A.","Smith, J.",T4,1-1,-,0,1-0,BIP,Slider,0,Fly Ball,Flyout,,
45,"Cabral, A. VS Dykstra, C.",George Mason University vs Northeastern University,,,00:00:02.1,,"Cabral, A.","Dykstra, C.",T4,1-1,-,1,0-0,Ball,Fastball,0,,,,
46,"Cabral, A. VS Dykstra, C.",George Mason University vs Northeastern University,,,00:00:08.0,,"Cabral, A.","Dykstra, C.",T4,1-1,-,1,1-0,BIP,Fastball,0,Ground Ball,Single,,
47,"Cabral, A. VS Woody, R.",George Mason University vs Northeastern University,,,00:00:02.1,,"Cabral, A.","Woody, R.",T4,1-1,1B,1,0-0,Ball,Changeup,0,,,,
48,"Cabral, A. VS Woody, R.",George Mason University vs Northeastern University,,,00:00:02.3,,"Cabral, A.","Woody, R.",T4,1-1,1B,1,1-0,Strike Taken,Fastball,0,,,,
