outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id
1,1,"Salley, K. VS Steele, A.",Georgetown University vs Penn State University,,,00:00:05.3,,"Salley, K.","Steele, A.",B7,1,6, - ,1,0,0,Foul,Fastball,86,"","",,,B,0,7,Georgetown University,Penn State University,1,1
1,2,"Salley, K. VS Steele, A.",Georgetown University vs Penn State University,,,00:00:13.0,,"Salley, K.","Steele, A.",B7,1,6, - ,1,0,1,BIP,Slider,74,Fly Ball,Flyout,,,B,0,7,Georgetown University,Penn State University,1,1
1,3,"Salley, K. VS Gerlott, B.",Georgetown University vs Penn State University,,,00:00:05.5,,"Salley, K.","Gerlott, B.",B7,1,6, - ,2,0,0,Foul,Fastball,88,"","",,,B,0,7,Georgetown University,Penn State University,1,2
1,4,"Salley, K. VS Gerlott, B.",Georgetown University vs Penn State University,,,00:00:05.2,,"Salley, K.","Gerlott, B.",B7,1,6, - ,2,0,1,Ball,Fastball,87,"","",,,B,0,7,Georgetown University,Penn State University,1,2
1,5,"Salley, K. VS Gerlott, B.",Georgetown University vs Penn State University,,,00:00:05.1,,"Salley, K.","Gerlott, B.",B7,1,6, - ,2,1,1,Ball,Changeup,81,"","",,,B,0,7,Georgetown University,Penn State University,1,2
1,6,"Salley, K. VS Gerlott, B.",Georgetown University vs Penn State University,,,00:00:05.0,,"Salley, K.","Gerlott, B.",B7,1,6, - ,2,2,1,Strike Taken,Fastball,87,"","",,,B,0,7,Georgetown University,Penn State University,1,2
1,7,"Salley, K. VS Gerlott, B.",Georgetown University vs Penn State University,,,00:00:05.0,,"Salley, K.","Gerlott, B.",B7,1,6, - ,2,2,2,Ball,Fastball,83,"","",,,B,0,7,Georgetown University,Penn State University,1,2
1,8,"Salley, K. VS Gerlott, B.",Georgetown University vs Penn State University,,,00:00:05.6,,"Salley, K.","Gerlott, B.",B7,1,6, - ,2,3,2,Ball,Fastball,88,"","",Walk,,B,0,7,Georgetown University,Penn State University,1,2
1,9,"Salley, K. VS Harry, J.",Georgetown University vs Penn State University,,,00:00:05.1,,"Salley, K.","Harry, J.",B7,1,6,1B,2,0,0,Ball,Fastball,87,"","",,,B,0,7,Georgetown University,Penn State University,1,3
1,10,"Salley, K. VS Harry, J.",Georgetown University vs Penn State University,,,00:00:04.9,,"Salley, K.","Harry, J.",B7,1,6,1B,2,1,0,Ball,Fastball,88,"","",,,B,0,7,Georgetown University,Penn State University,1,3
1,11,"Salley, K. VS Harry, J.",Georgetown University vs Penn State University,,,00:00:05.4,,"Salley, K.","Harry, J.",B7,1,6,1B,2,2,0,Strike Taken,Fastball,87,"","",,,B,0,7,Georgetown University,Penn State University,1,3
1,12,"Salley, K. VS Harry, J.",Georgetown University vs Penn State University,,,00:00:05.5,,"Salley, K.","Harry, J.",B7,1,6,1B,2,2,1,Ball,Fastball,86,"","",,,B,0,7,Georgetown University,Penn State University,1,3
1,13,"Salley, K. VS Harry, J.",Georgetown University vs Penn State University,,,00:00:05.6,,"Salley, K.","Harry, J.",B7,1,6,1B,2,3,1,Strike Taken,Fastball,86,"","",,,B,0,7,Georgetown University,Penn State University,1,3
1,14,"Salley, K. VS Harry, J.",Georgetown University vs Penn State University,,,00:00:11.1,,"Salley, K.","Harry, J.",B7,1,6,1B,2,3,2,BIP,Slider,75,Ground Ball,Single,,,B,0,7,Georgetown University,Penn State University,1,3
1,15,"Salley, K. VS Bramley, T.",Georgetown University vs Penn State University,,,00:00:04.9,,"Salley, K.","Bramley, T.",B7,1,6,1B-3B,2,0,0,Ball,Slider,73,"","",,,B,0,7,Georgetown University,Penn State University,1,4
1,16,"Salley, K. VS Bramley, T.",Georgetown University vs Penn State University,,,00:00:04.9,,"Salley, K.","Bramley, T.",B7,1,6,1B-3B,2,1,0,Ball,Fastball,85,"","",,,B,0,7,Georgetown University,Penn State University,1,4
1,17,"Salley, K. VS Bramley, T.",Georgetown University vs Penn State University,,,00:00:11.2,,"Salley, K.","Bramley, T.",B7,1,6,1B-3B,2,2,0,BIP,Fastball,88,Popup,Popout,,,B,0,7,Georgetown University,Penn State University,1,4
2,18,"Salley, K. VS Smith, T.",Coppin State University vs Georgetown University,,,00:00:05.1,,"Salley, K.","Smith, T.",T8,0,10, - ,0,0,0,Strike Taken,Fastball,87,"","",,,T,1,8,Coppin State University,Georgetown University,10,1
2,19,"Salley, K. VS Smith, T.",Coppin State University vs Georgetown University,,,00:00:05.1,,"Salley, K.","Smith, T.",T8,0,10, - ,0,0,1,Ball,Fastball,86,"","",,,T,1,8,Coppin State University,Georgetown University,10,1
2,20,"Salley, K. VS Smith, T.",Coppin State University vs Georgetown University,,,00:00:08.3,,"Salley, K.","Smith, T.",T8,0,10, - ,0,1,1,BIP,Fastball,87,Ground Ball,Groundout,,,T,1,8,Coppin State University,Georgetown University,10,1
2,21,"Salley, K. VS Burdette, N.",Coppin State University vs Georgetown University,,,00:00:05.1,,"Salley, K.","Burdette, N.",T8,0,10, - ,1,0,0,Strike Taken,Fastball,87,"","",,,T,1,8,Coppin State University,Georgetown University,10,2
2,22,"Salley, K. VS Burdette, N.",Coppin State University vs Georgetown University,,,00:00:05.0,,"Salley, K.","Burdette, N.",T8,0,10, - ,1,0,1,Ball,Changeup,83,"","",,,T,1,8,Coppin State University,Georgetown University,10,2
2,23,"Salley, K. VS Burdette, N.",Coppin State University vs Georgetown University,,,00:00:05.0,,"Salley, K.","Burdette, N.",T8,0,10, - ,1,1,1,Strike Swinging,Fastball,87,"","",,,T,1,8,Coppin State University,Georgetown University,10,2
2,24,"Salley, K. VS Burdette, N.",Coppin State University vs Georgetown University,,,00:00:06.1,,"Salley, K.","Burdette, N.",T8,0,10, - ,1,1,2,Foul,Fastball,88,"","",,,T,1,8,Coppin State University,Georgetown University,10,2
2,25,"Salley, K. VS Burdette, N.",Coppin State University vs Georgetown University,,,00:00:06.1,,"Salley, K.","Burdette, N.",T8,0,10, - ,1,1,2,Foul,Changeup,82,"","",,,T,1,8,Coppin State University,Georgetown University,10,2
