outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,684,"Sapienza, M. VS O'ferrall, G.",Georgetown University vs University of Virginia,,,00:00:02.4,,"Sapienza, M.","O'ferrall, G.",B1,0,0,-,0,0,0,Foul,Fastball,89,"","",,B,0,1,Georgetown University,University of Virginia,0,1,1
1,685,"Sapienza, M. VS O'ferrall, G.",Georgetown University vs University of Virginia,,,00:00:06.1,,"Sapienza, M.","O'ferrall, G.",B1,0,0,-,0,0,1,BIP,Fastball,90,Line Drive,Lineout,,B,0,1,Georgetown University,University of Virginia,0,1,1
1,686,"Sapienza, M. VS Whalen, B.",Georgetown University vs University of Virginia,,,00:00:02.5,,"Sapienza, M.","Whalen, B.",B1,0,0,-,1,0,0,Ball,Fastball,90,"","",,B,0,1,Georgetown University,University of Virginia,0,2,2
1,687,"Sapienza, M. VS Whalen, B.",Georgetown University vs University of Virginia,,,00:00:02.3,,"Sapienza, M.","Whalen, B.",B1,0,0,-,1,1,0,Ball,Slider,79,"","",,B,0,1,Georgetown University,University of Virginia,0,2,2
1,688,"Sapienza, M. VS Whalen, B.",Georgetown University vs University of Virginia,,,00:00:02.2,,"Sapienza, M.","Whalen, B.",B1,0,0,-,1,2,0,Ball,Fastball,90,"","",,B,0,1,Georgetown University,University of Virginia,0,2,2
1,689,"Sapienza, M. VS Whalen, B.",Georgetown University vs University of Virginia,,,00:00:06.6,,"Sapienza, M.","Whalen, B.",B1,0,0,-,1,3,0,Ball,Fastball,88,"","",Walk,B,0,1,Georgetown University,University of Virginia,0,2,2
1,690,"Sapienza, M. VS Saucke, C.",Georgetown University vs University of Virginia,,,00:00:02.2,,"Sapienza, M.","Saucke, C.",B1,0,0,1B,1,0,0,Strike Taken,Slider,80,"","",,B,0,1,Georgetown University,University of Virginia,0,3,3
1,691,"Sapienza, M. VS Saucke, C.",Georgetown University vs University of Virginia,,,00:00:02.9,,"Sapienza, M.","Saucke, C.",B1,0,0,1B,1,0,1,Foul,Slider,78,"","",,B,0,1,Georgetown University,University of Virginia,0,3,3
1,692,"Sapienza, M. VS Saucke, C.",Georgetown University vs University of Virginia,,,00:00:02.8,,"Sapienza, M.","Saucke, C.",B1,0,0,1B,1,0,2,Foul,Fastball,90,"","",,B,0,1,Georgetown University,University of Virginia,0,3,3
1,693,"Sapienza, M. VS Saucke, C.",Georgetown University vs University of Virginia,,,00:00:02.6,,"Sapienza, M.","Saucke, C.",B1,0,0,1B,1,0,2,Ball,Fastball,90,"","",,B,0,1,Georgetown University,University of Virginia,0,3,3
1,694,"Sapienza, M. VS Saucke, C.",Georgetown University vs University of Virginia,,,00:00:03.3,,"Sapienza, M.","Saucke, C.",B1,0,0,1B,1,1,2,Ball,Slider,80,"","",,B,0,1,Georgetown University,University of Virginia,0,3,3
