outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,110,"Volo, J. VS Martin, B.",University of Maryland-College Park vs Georgetown University,,,00:00:02.1,,"Volo, J.","Martin, B.",T6,8,3,-,0,0,0,Ball,Curveball,74,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,1,1
1,111,"Volo, J. VS Martin, B.",University of Maryland-College Park vs Georgetown University,,,00:00:02.1,,"Volo, J.","Martin, B.",T6,8,3,-,0,1,0,Strike Taken,Fastball,86,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,1,1
1,112,"Volo, J. VS Martin, B.",University of Maryland-College Park vs Georgetown University,,,00:00:02.1,,"Volo, J.","Martin, B.",T6,8,3,-,0,1,1,Strike Taken,Slider,77,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,1,1
1,113,"Volo, J. VS Martin, B.",University of Maryland-College Park vs Georgetown University,,,00:00:07.5,,"Volo, J.","Martin, B.",T6,8,3,-,0,1,2,BIP,Changeup,80,Fly Ball,Flyout,,T,1,6,University of Maryland-College Park,Georgetown University,3,1,1
1,114,"Volo, J. VS Hacopian, C.",University of Maryland-College Park vs Georgetown University,,,00:00:02.1,,"Volo, J.","Hacopian, C.",T6,8,3,-,1,0,0,Ball,Slider,77,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,2,2
1,115,"Volo, J. VS Hacopian, C.",University of Maryland-College Park vs Georgetown University,,,00:00:06.6,,"Volo, J.","Hacopian, C.",T6,8,3,-,1,1,0,BIP,Fastball,86,Fly Ball,Flyout,,T,1,6,University of Maryland-College Park,Georgetown University,3,2,2
1,116,"Volo, J. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:02.1,,"Volo, J.","Hacopian, E.",T6,8,3,-,2,0,0,Ball,Fastball,84,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,3,3
1,117,"Volo, J. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Volo, J.","Hacopian, E.",T6,8,3,-,2,1,0,Foul,Fastball,86,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,3,3
1,118,"Volo, J. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:02.7,,"Volo, J.","Hacopian, E.",T6,8,3,-,2,1,1,Ball,Slider,78,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,3,3
1,119,"Volo, J. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:01.9,,"Volo, J.","Hacopian, E.",T6,8,3,-,2,2,1,Foul,Fastball,84,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,3,3
1,120,"Volo, J. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:06.6,,"Volo, J.","Hacopian, E.",T6,8,3,-,2,2,2,BIP,Slider,80,Ground Ball,Single,,T,1,6,University of Maryland-College Park,Georgetown University,3,3,3
1,121,"Volo, J. VS Keister, K.",University of Maryland-College Park vs Georgetown University,,,00:00:02.3,,"Volo, J.","Keister, K.",T6,8,3,1B,2,0,0,Strike Taken,Slider,76,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,4,4
1,122,"Volo, J. VS Keister, K.",University of Maryland-College Park vs Georgetown University,,,00:00:04.4,,"Volo, J.","Keister, K.",T6,8,3,1B,2,0,1,Ball,Curveball,72,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,4,4
1,123,"Volo, J. VS Keister, K.",University of Maryland-College Park vs Georgetown University,,,00:00:12.9,,"Volo, J.","Keister, K.",T6,8,3,1B,2,1,1,BIP,Fastball,85,Fly Ball,Home Run,,T,1,6,University of Maryland-College Park,Georgetown University,3,4,4
1,124,"Volo, J. VS Hojnar, S.",University of Maryland-College Park vs Georgetown University,,,00:00:02.1,,"Volo, J.","Hojnar, S.",T6,10,3,-,2,0,0,Ball,Fastball,85,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,5,5
1,125,"Volo, J. VS Hojnar, S.",University of Maryland-College Park vs Georgetown University,,,00:00:02.3,,"Volo, J.","Hojnar, S.",T6,10,3,-,2,1,0,Foul,Fastball,85,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,5,5
1,126,"Volo, J. VS Hojnar, S.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Volo, J.","Hojnar, S.",T6,10,3,-,2,1,1,Strike Taken,Curveball,73,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,5,5
1,127,"Volo, J. VS Hojnar, S.",University of Maryland-College Park vs Georgetown University,,,00:00:12.7,,"Volo, J.","Hojnar, S.",T6,10,3,-,2,1,2,BIP,Changeup,79,Fly Ball,Home Run,,T,1,6,University of Maryland-College Park,Georgetown University,3,5,5
1,128,"Volo, J. VS Orr, J.",University of Maryland-College Park vs Georgetown University,,,00:00:02.3,,"Volo, J.","Orr, J.",T6,11,3,-,2,0,0,Strike Taken,Fastball,85,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,6,6
1,129,"Volo, J. VS Orr, J.",University of Maryland-College Park vs Georgetown University,,,00:00:02.4,,"Volo, J.","Orr, J.",T6,11,3,-,2,0,1,Strike Taken,Curveball,72,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,6,6
1,130,"Volo, J. VS Orr, J.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Volo, J.","Orr, J.",T6,11,3,-,2,0,2,Ball,Slider,77,"","",,T,1,6,University of Maryland-College Park,Georgetown University,3,6,6
1,131,"Volo, J. VS Orr, J.",University of Maryland-College Park vs Georgetown University,,,00:00:07.7,,"Volo, J.","Orr, J.",T6,11,3,-,2,1,2,BIP,Slider,76,Ground Ball,Groundout,,T,1,6,University of Maryland-College Park,Georgetown University,3,6,6
2,428,"Volo, J. VS Thomas, H.",Georgetown University vs Ohio State University,,,00:00:02.6,,"Volo, J.","Thomas, H.",B5,6,4,1B-2B,2,0,0,Strike Taken,Slider,73,"","",,B,0,5,Georgetown University,Ohio State University,6,1,1
2,429,"Volo, J. VS Thomas, H.",Georgetown University vs Ohio State University,,,00:00:03.2,,"Volo, J.","Thomas, H.",B5,6,4,1B-2B,2,0,1,Ball,Curveball,72,"","",,B,0,5,Georgetown University,Ohio State University,6,1,1
2,430,"Volo, J. VS Thomas, H.",Georgetown University vs Ohio State University,,,00:00:03.9,,"Volo, J.","Thomas, H.",B5,6,4,1B-2B,2,1,1,Strike Swinging,Slider,78,"","",,B,0,5,Georgetown University,Ohio State University,6,1,1
2,431,"Volo, J. VS Thomas, H.",Georgetown University vs Ohio State University,,,00:00:05.9,,"Volo, J.","Thomas, H.",B5,6,4,1B-2B,2,1,2,Foul,Curveball,73,"","",,B,0,5,Georgetown University,Ohio State University,6,1,1
2,432,"Volo, J. VS Thomas, H.",Georgetown University vs Ohio State University,,,00:00:03.5,,"Volo, J.","Thomas, H.",B5,6,4,1B-2B,2,1,2,Ball,Fastball,85,"","",,B,0,5,Georgetown University,Ohio State University,6,1,1
2,433,"Volo, J. VS Thomas, H.",Georgetown University vs Ohio State University,,,00:00:06.3,,"Volo, J.","Thomas, H.",B5,6,4,1B-2B,2,2,2,BIP,Curveball,73,Line Drive,Lineout,,B,0,5,Georgetown University,Ohio State University,6,1,1
2,434,"Volo, J. VS Giamarusti, N.",Georgetown University vs Ohio State University,,,00:00:02.2,,"Volo, J.","Giamarusti, N.",B6,6,4,-,0,0,0,Ball,Slider,74,"","",,B,0,6,Georgetown University,Ohio State University,6,2,2
2,435,"Volo, J. VS Giamarusti, N.",Georgetown University vs Ohio State University,,,00:00:04.1,,"Volo, J.","Giamarusti, N.",B6,6,4,-,0,1,0,Ball,Fastball,84,"","",,B,0,6,Georgetown University,Ohio State University,6,2,2
2,436,"Volo, J. VS Giamarusti, N.",Georgetown University vs Ohio State University,,,00:00:02.1,,"Volo, J.","Giamarusti, N.",B6,6,4,-,0,2,0,Ball,Fastball,84,"","",,B,0,6,Georgetown University,Ohio State University,6,2,2
2,437,"Volo, J. VS Giamarusti, N.",Georgetown University vs Ohio State University,,,00:00:03.9,,"Volo, J.","Giamarusti, N.",B6,6,4,-,0,3,0,Ball,Fastball,84,"","",Walk,B,0,6,Georgetown University,Ohio State University,6,2,2
2,438,"Volo, J. VS Kaczmar, H.",Georgetown University vs Ohio State University,,,00:00:02.6,,"Volo, J.","Kaczmar, H.",B6,6,4,1B,0,0,0,Ball,Curveball,73,"","",,B,0,6,Georgetown University,Ohio State University,6,3,3
2,439,"Volo, J. VS Kaczmar, H.",Georgetown University vs Ohio State University,,,00:00:02.7,,"Volo, J.","Kaczmar, H.",B6,6,4,1B,0,1,0,Ball,Fastball,85,"","",,B,0,6,Georgetown University,Ohio State University,6,3,3
2,440,"Volo, J. VS Kaczmar, H.",Georgetown University vs Ohio State University,,,00:00:02.9,,"Volo, J.","Kaczmar, H.",B6,6,4,1B,0,2,0,Ball,Fastball,83,"","",,B,0,6,Georgetown University,Ohio State University,6,3,3
2,441,"Volo, J. VS Kaczmar, H.",Georgetown University vs Ohio State University,,,00:00:02.4,,"Volo, J.","Kaczmar, H.",B6,6,4,1B,0,3,0,Strike Taken,Fastball,85,"","",,B,0,6,Georgetown University,Ohio State University,6,3,3
2,442,"Volo, J. VS Kaczmar, H.",Georgetown University vs Ohio State University,,,00:00:03.8,,"Volo, J.","Kaczmar, H.",B6,6,4,1B,0,3,1,Ball,Fastball,84,"","",Walk,B,0,6,Georgetown University,Ohio State University,6,3,3
3,823,"Volo, J. VS Ference, J.",Georgetown University vs University of Virginia,,,00:00:02.2,,"Volo, J.","Ference, J.",B6,6,13,2B,1,0,0,Ball,Fastball,85,"","",,B,0,6,Georgetown University,University of Virginia,6,1,1
3,824,"Volo, J. VS Ference, J.",Georgetown University vs University of Virginia,,,00:00:02.2,,"Volo, J.","Ference, J.",B6,6,13,2B,1,1,0,Strike Taken,Fastball,85,"","",,B,0,6,Georgetown University,University of Virginia,6,1,1
