outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,1450,"Volo, J. VS Trimble, S.",George Mason University vs Georgetown University,,,00:00:05.2,,"Volo, J.","Trimble, S.",T9,12,2,1B-2B,0,0,0,Strike Taken,Fastball,0,"","",,T,1,9,George Mason University,Georgetown University,2,1,1
1,1451,"Volo, J. VS Trimble, S.",George Mason University vs Georgetown University,,,00:00:09.9,,"Volo, J.","Trimble, S.",T9,12,2,1B-2B,0,0,1,BIP,Slider,0,Ground Ball,Fielder's Choice - Out,,T,1,9,George Mason University,Georgetown University,2,1,1
1,1452,"Volo, J. VS Smith, J.",George Mason University vs Georgetown University,,,00:00:05.4,,"Volo, J.","Smith, J.",T9,12,2,1B-3B,1,0,0,Ball,Fastball,0,"","",,T,1,9,George Mason University,Georgetown University,2,2,2
1,1453,"Volo, J. VS Smith, J.",George Mason University vs Georgetown University,,,00:00:05.6,,"Volo, J.","Smith, J.",T9,12,2,1B-3B,1,1,0,Strike Taken,Fastball,0,"","",,T,1,9,George Mason University,Georgetown University,2,2,2
1,1454,"Volo, J. VS Smith, J.",George Mason University vs Georgetown University,,,00:00:05.6,,"Volo, J.","Smith, J.",T9,12,2,1B-3B,1,1,1,Ball,Slider,0,"","",,T,1,9,George Mason University,Georgetown University,2,2,2
1,1455,"Volo, J. VS Smith, J.",George Mason University vs Georgetown University,,,00:00:10.4,,"Volo, J.","Smith, J.",T9,12,2,1B-3B,1,2,1,BIP,Slider,0,Ground Ball,Single,,T,1,9,George Mason University,Georgetown University,2,2,2
1,1456,"Volo, J. VS Pracht, C.",George Mason University vs Georgetown University,,,00:00:05.2,,"Volo, J.","Pracht, C.",T9,13,2,1B-2B,1,0,0,Strike Taken,Slider,0,"","",,T,1,9,George Mason University,Georgetown University,2,3,3
1,1457,"Volo, J. VS Pracht, C.",George Mason University vs Georgetown University,,,00:00:05.6,,"Volo, J.","Pracht, C.",T9,13,2,1B-2B,1,0,1,Ball,Slider,0,"","",,T,1,9,George Mason University,Georgetown University,2,3,3
1,1458,"Volo, J. VS Pracht, C.",George Mason University vs Georgetown University,,,00:00:05.2,,"Volo, J.","Pracht, C.",T9,13,2,1B-2B,1,1,1,Strike Taken,Slider,0,"","",,T,1,9,George Mason University,Georgetown University,2,3,3
1,1459,"Volo, J. VS Pracht, C.",George Mason University vs Georgetown University,,,00:00:05.7,,"Volo, J.","Pracht, C.",T9,13,2,1B-2B,1,1,2,Ball,Slider,0,"","",,T,1,9,George Mason University,Georgetown University,2,3,3
1,1460,"Volo, J. VS Pracht, C.",George Mason University vs Georgetown University,,,00:00:05.3,,"Volo, J.","Pracht, C.",T9,13,2,1B-2B,1,2,2,Foul,Slider,0,"","",,T,1,9,George Mason University,Georgetown University,2,3,3
1,1461,"Volo, J. VS Pracht, C.",George Mason University vs Georgetown University,,,00:00:05.2,,"Volo, J.","Pracht, C.",T9,13,2,1B-2B,1,2,2,Foul,Slider,0,"","",,T,1,9,George Mason University,Georgetown University,2,3,3
1,1462,"Volo, J. VS Pracht, C.",George Mason University vs Georgetown University,,,00:00:08.5,,"Volo, J.","Pracht, C.",T9,13,2,1B-2B,1,2,2,BIP,Slider,0,Line Drive,Lined Into Double Play,,T,1,9,George Mason University,Georgetown University,2,3,3
2,1498,"Volo, J. VS Guerrero, J.",Georgetown University vs James Madison University,,,00:00:05.0,,"Volo, J.","Guerrero, J.",B2,0,4,-,0,0,0,Ball,Fastball,86,"","",,B,0,2,Georgetown University,James Madison University,0,1,1
2,1499,"Volo, J. VS Guerrero, J.",Georgetown University vs James Madison University,,,00:00:05.0,,"Volo, J.","Guerrero, J.",B2,0,4,-,0,1,0,Ball,Fastball,86,"","",,B,0,2,Georgetown University,James Madison University,0,1,1
2,1500,"Volo, J. VS Guerrero, J.",Georgetown University vs James Madison University,,,00:00:04.9,,"Volo, J.","Guerrero, J.",B2,0,4,-,0,2,0,Strike Taken,Fastball,85,"","",,B,0,2,Georgetown University,James Madison University,0,1,1
2,1501,"Volo, J. VS Guerrero, J.",Georgetown University vs James Madison University,,,00:00:05.5,,"Volo, J.","Guerrero, J.",B2,0,4,-,0,2,1,Foul,Fastball,87,"","",,B,0,2,Georgetown University,James Madison University,0,1,1
2,1502,"Volo, J. VS Guerrero, J.",Georgetown University vs James Madison University,,,00:00:05.2,,"Volo, J.","Guerrero, J.",B2,0,4,-,0,2,2,Ball,Changeup,79,"","",,B,0,2,Georgetown University,James Madison University,0,1,1
2,1503,"Volo, J. VS Guerrero, J.",Georgetown University vs James Madison University,,,00:00:05.4,,"Volo, J.","Guerrero, J.",B2,0,4,-,0,3,2,Foul,Fastball,85,"","",,B,0,2,Georgetown University,James Madison University,0,1,1
2,1504,"Volo, J. VS Guerrero, J.",Georgetown University vs James Madison University,,,00:00:06.1,,"Volo, J.","Guerrero, J.",B2,0,4,-,0,3,2,Ball,Fastball,85,"","",Walk,B,0,2,Georgetown University,James Madison University,0,1,1
2,1505,"Volo, J. VS Langley, K.",Georgetown University vs James Madison University,,,00:00:10.8,,"Volo, J.","Langley, K.",B2,0,4,1B,0,0,0,BIP,Changeup,78,Bunt Ground Ball,Single,,B,0,2,Georgetown University,James Madison University,0,2,2
2,1506,"Volo, J. VS Dooley, R.",Georgetown University vs James Madison University,,,00:00:07.2,,"Volo, J.","Dooley, R.",B2,0,4,1B-2B,0,0,0,Ball,Slider,76,"","",Hit By Pitch,B,0,2,Georgetown University,James Madison University,0,3,3
2,1507,"Volo, J. VS Trimble, F.",Georgetown University vs James Madison University,,,00:00:05.4,,"Volo, J.","Trimble, F.",B2,0,4,1B-2B-3B,0,0,0,Ball,Slider,73,"","",,B,0,2,Georgetown University,James Madison University,0,4,4
2,1508,"Volo, J. VS Trimble, F.",Georgetown University vs James Madison University,,,00:00:05.5,,"Volo, J.","Trimble, F.",B2,0,4,1B-2B-3B,0,1,0,Strike Taken,Fastball,85,"","",,B,0,2,Georgetown University,James Madison University,0,4,4
2,1509,"Volo, J. VS Trimble, F.",Georgetown University vs James Madison University,,,00:00:14.2,,"Volo, J.","Trimble, F.",B2,0,4,1B-2B-3B,0,1,1,BIP,Slider,78,Ground Ball,Fielder's Choice - Out,,B,0,2,Georgetown University,James Madison University,0,4,4
2,1510,"Volo, J. VS Mancini, M.",Georgetown University vs James Madison University,,,00:00:05.2,,"Volo, J.","Mancini, M.",B2,0,6,1B,1,0,0,Ball,Slider,73,"","",,B,0,2,Georgetown University,James Madison University,0,5,5
2,1511,"Volo, J. VS Mancini, M.",Georgetown University vs James Madison University,,,00:00:05.2,,"Volo, J.","Mancini, M.",B2,0,6,1B,1,1,0,Strike Taken,Fastball,86,"","",,B,0,2,Georgetown University,James Madison University,0,5,5
2,1512,"Volo, J. VS Mancini, M.",Georgetown University vs James Madison University,,,00:00:09.3,,"Volo, J.","Mancini, M.",B2,0,6,1B,1,1,1,BIP,Changeup,77,Ground Ball,Groundout,,B,0,2,Georgetown University,James Madison University,0,5,5
2,1513,"Volo, J. VS Schiavone, J.",Georgetown University vs James Madison University,,,00:00:05.1,,"Volo, J.","Schiavone, J.",B2,0,6,2B,2,0,0,Strike Taken,Slider,75,"","",,B,0,2,Georgetown University,James Madison University,0,6,6
2,1514,"Volo, J. VS Schiavone, J.",Georgetown University vs James Madison University,,,00:00:05.6,,"Volo, J.","Schiavone, J.",B2,0,6,2B,2,0,1,Foul,Fastball,86,"","",,B,0,2,Georgetown University,James Madison University,0,6,6
2,1515,"Volo, J. VS Schiavone, J.",Georgetown University vs James Madison University,,,00:00:06.6,,"Volo, J.","Schiavone, J.",B2,0,6,2B,2,0,2,Strike Swinging,Slider,78,"","",Strikeout,B,0,2,Georgetown University,James Madison University,0,6,6
2,1516,"Volo, J. VS Peifer, W.",Georgetown University vs James Madison University,,,00:00:04.9,,"Volo, J.","Peifer, W.",B3,4,6,-,0,0,0,Ball,Fastball,85,"","",,B,0,3,Georgetown University,James Madison University,4,7,7
2,1517,"Volo, J. VS Peifer, W.",Georgetown University vs James Madison University,,,00:00:05.6,,"Volo, J.","Peifer, W.",B3,4,6,-,0,1,0,Ball,Changeup,79,"","",,B,0,3,Georgetown University,James Madison University,4,7,7
2,1518,"Volo, J. VS Peifer, W.",Georgetown University vs James Madison University,,,00:00:14.7,,"Volo, J.","Peifer, W.",B3,4,6,-,0,2,0,BIP,Fastball,84,Line Drive,Double,,B,0,3,Georgetown University,James Madison University,4,7,7
2,1519,"Volo, J. VS Calabrese, C.",Georgetown University vs James Madison University,,,00:00:05.6,,"Volo, J.","Calabrese, C.",B3,4,6,2B,0,0,0,Foul,Fastball,84,"","",,B,0,3,Georgetown University,James Madison University,4,8,8
2,1520,"Volo, J. VS Calabrese, C.",Georgetown University vs James Madison University,,,00:00:05.9,,"Volo, J.","Calabrese, C.",B3,4,6,2B,0,0,1,Ball,Slider,77,"","",,B,0,3,Georgetown University,James Madison University,4,8,8
