outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id
1,1,"Williams, A. VS Nippolt, B.",Georgetown University vs Virginia Commonwealth University,,,00:00:04.8,,"Williams, A.","Nippolt, B.",B7,3,3, - ,0,0,0,Ball,Fastball,85,"","",,,B,0,7,Georgetown University,Virginia Commonwealth University,3,1
1,2,"Williams, A. VS Nippolt, B.",Georgetown University vs Virginia Commonwealth University,,,00:00:05.2,,"Williams, A.","Nippolt, B.",B7,3,3, - ,0,1,0,Ball,Fastball,85,"","",,,B,0,7,Georgetown University,Virginia Commonwealth University,3,1
1,3,"Williams, A. VS Nippolt, B.",Georgetown University vs Virginia Commonwealth University,,,00:00:11.0,,"Williams, A.","Nippolt, B.",B7,3,3, - ,0,2,0,BIP,Fastball,84,Fly Ball,Flyout,,,B,0,7,Georgetown University,Virginia Commonwealth University,3,1
1,4,"Williams, A. VS Locklear, T.",Georgetown University vs Virginia Commonwealth University,,,00:00:05.4,,"Williams, A.","Locklear, T.",B7,3,3, - ,1,0,0,Ball,Fastball,86,"","",,,B,0,7,Georgetown University,Virginia Commonwealth University,3,2
1,5,"Williams, A. VS Locklear, T.",Georgetown University vs Virginia Commonwealth University,,,00:00:04.9,,"Williams, A.","Locklear, T.",B7,3,3, - ,1,1,0,Ball,Changeup,78,"","",,,B,0,7,Georgetown University,Virginia Commonwealth University,3,2
1,6,"Williams, A. VS Locklear, T.",Georgetown University vs Virginia Commonwealth University,,,00:00:05.2,,"Williams, A.","Locklear, T.",B7,3,3, - ,1,2,0,Ball,Fastball,84,"","",,,B,0,7,Georgetown University,Virginia Commonwealth University,3,2
1,7,"Williams, A. VS Locklear, T.",Georgetown University vs Virginia Commonwealth University,,,00:00:11.4,,"Williams, A.","Locklear, T.",B7,3,3, - ,1,3,0,BIP,Fastball,84,Popup,Popout,,,B,0,7,Georgetown University,Virginia Commonwealth University,3,2
1,8,"Williams, A. VS Amiss, L.",Georgetown University vs Virginia Commonwealth University,,,00:00:05.3,,"Williams, A.","Amiss, L.",B7,3,3, - ,2,0,0,Strike Taken,Fastball,85,"","",,,B,0,7,Georgetown University,Virginia Commonwealth University,3,3
1,9,"Williams, A. VS Amiss, L.",Georgetown University vs Virginia Commonwealth University,,,00:00:05.2,,"Williams, A.","Amiss, L.",B7,3,3, - ,2,0,1,Ball,Curveball,71,"","",,,B,0,7,Georgetown University,Virginia Commonwealth University,3,3
1,10,"Williams, A. VS Amiss, L.",Georgetown University vs Virginia Commonwealth University,,,00:00:05.3,,"Williams, A.","Amiss, L.",B7,3,3, - ,2,1,1,Strike Taken,Curveball,71,"","",,,B,0,7,Georgetown University,Virginia Commonwealth University,3,3
1,11,"Williams, A. VS Amiss, L.",Georgetown University vs Virginia Commonwealth University,,,00:00:05.4,,"Williams, A.","Amiss, L.",B7,3,3, - ,2,1,2,Foul,Fastball,87,"","",,,B,0,7,Georgetown University,Virginia Commonwealth University,3,3
1,12,"Williams, A. VS Amiss, L.",Georgetown University vs Virginia Commonwealth University,,,00:00:10.3,,"Williams, A.","Amiss, L.",B7,3,3, - ,2,1,2,BIP,Changeup,77,Fly Ball,Flyout,,,B,0,7,Georgetown University,Virginia Commonwealth University,3,3
2,13,"Williams, A. VS Steele, A.",Penn State University vs Georgetown University,,,00:00:05.1,,"Williams, A.","Steele, A.",T5,0,9, - ,0,0,0,Ball,Fastball,85,"","",,,T,1,5,Penn State University,Georgetown University,9,1
