outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,328,"Williams, A. VS Giamarusti, N.",Georgetown University vs Ohio State University,,,00:00:02.3,,"Williams, A.","Giamarusti, N.",B1,0,0,-,0,0,0,Strike Taken,Fastball,87,"","",,B,0,1,Georgetown University,Ohio State University,0,1,1
1,329,"Williams, A. VS Giamarusti, N.",Georgetown University vs Ohio State University,,,00:00:02.2,,"Williams, A.","Giamarusti, N.",B1,0,0,-,0,0,1,Ball,Fastball,88,"","",,B,0,1,Georgetown University,Ohio State University,0,1,1
1,330,"Williams, A. VS Giamarusti, N.",Georgetown University vs Ohio State University,,,00:00:06.9,,"Williams, A.","Giamarusti, N.",B1,0,0,-,0,1,1,BIP,Fastball,88,Fly Ball,Flyout,,B,0,1,Georgetown University,Ohio State University,0,1,1
1,331,"Williams, A. VS Kaczmar, H.",Georgetown University vs Ohio State University,,,00:00:02.4,,"Williams, A.","Kaczmar, H.",B1,0,0,-,1,0,0,Ball,Fastball,88,"","",,B,0,1,Georgetown University,Ohio State University,0,2,2
1,332,"Williams, A. VS Kaczmar, H.",Georgetown University vs Ohio State University,,,00:00:03.6,,"Williams, A.","Kaczmar, H.",B1,0,0,-,1,1,0,Strike Swinging,Fastball,87,"","",,B,0,1,Georgetown University,Ohio State University,0,2,2
1,333,"Williams, A. VS Kaczmar, H.",Georgetown University vs Ohio State University,,,00:00:02.4,,"Williams, A.","Kaczmar, H.",B1,0,0,-,1,1,1,Ball,Slider,77,"","",,B,0,1,Georgetown University,Ohio State University,0,2,2
1,334,"Williams, A. VS Kaczmar, H.",Georgetown University vs Ohio State University,,,00:00:05.7,,"Williams, A.","Kaczmar, H.",B1,0,0,-,1,2,1,Foul,Fastball,87,"","",,B,0,1,Georgetown University,Ohio State University,0,2,2
1,335,"Williams, A. VS Kaczmar, H.",Georgetown University vs Ohio State University,,,00:00:04.2,,"Williams, A.","Kaczmar, H.",B1,0,0,-,1,2,2,Ball,Slider,75,"","",Hit By Pitch,B,0,1,Georgetown University,Ohio State University,0,2,2
1,336,"Williams, A. VS Graveline, M.",Georgetown University vs Ohio State University,,,00:00:02.3,,"Williams, A.","Graveline, M.",B1,0,0,1B,1,0,0,Ball,Changeup,81,"","",,B,0,1,Georgetown University,Ohio State University,0,3,3
1,337,"Williams, A. VS Graveline, M.",Georgetown University vs Ohio State University,,,00:00:12.3,,"Williams, A.","Graveline, M.",B1,0,0,1B,1,1,0,BIP,Fastball,86,Fly Ball,Double,,B,0,1,Georgetown University,Ohio State University,0,3,3
1,338,"Williams, A. VS Pettorini, T.",Georgetown University vs Ohio State University,,,00:00:02.6,,"Williams, A.","Pettorini, T.",B1,0,0,2B-3B,1,0,0,Strike Taken,Slider,77,"","",,B,0,1,Georgetown University,Ohio State University,0,4,4
1,339,"Williams, A. VS Pettorini, T.",Georgetown University vs Ohio State University,,,00:00:03.3,,"Williams, A.","Pettorini, T.",B1,0,0,2B-3B,1,0,1,Strike Swinging,Slider,77,"","",,B,0,1,Georgetown University,Ohio State University,0,4,4
1,340,"Williams, A. VS Pettorini, T.",Georgetown University vs Ohio State University,,,00:00:09.7,,"Williams, A.","Pettorini, T.",B1,0,0,2B-3B,1,0,2,BIP,Slider,77,Ground Ball,Single,,B,0,1,Georgetown University,Ohio State University,0,4,4
1,341,"Williams, A. VS Mershon, J.",Georgetown University vs Ohio State University,,,00:00:08.4,,"Williams, A.","Mershon, J.",B1,0,1,1B-3B,1,0,0,BIP,Changeup,81,Bunt Ground Ball,Field Error,,B,0,1,Georgetown University,Ohio State University,0,5,5
1,342,"Williams, A. VS Okuley, M.",Georgetown University vs Ohio State University,,,00:00:02.6,,"Williams, A.","Okuley, M.",B1,0,2,1B-2B,1,0,0,Strike Taken,Slider,75,"","",,B,0,1,Georgetown University,Ohio State University,0,6,6
1,343,"Williams, A. VS Okuley, M.",Georgetown University vs Ohio State University,,,00:00:04.2,,"Williams, A.","Okuley, M.",B1,0,2,1B-2B,1,0,1,Strike Swinging,Changeup,82,"","",,B,0,1,Georgetown University,Ohio State University,0,6,6
1,344,"Williams, A. VS Okuley, M.",Georgetown University vs Ohio State University,,,00:00:04.2,,"Williams, A.","Okuley, M.",B1,0,2,1B-2B,1,0,2,Strike Swinging,Slider,76,"","",Strikeout,B,0,1,Georgetown University,Ohio State University,0,6,6
1,345,"Williams, A. VS Richard, C.",Georgetown University vs Ohio State University,,,00:00:02.4,,"Williams, A.","Richard, C.",B1,0,2,1B-2B,2,0,0,Strike Taken,Fastball,87,"","",,B,0,1,Georgetown University,Ohio State University,0,7,7
1,346,"Williams, A. VS Richard, C.",Georgetown University vs Ohio State University,,,00:00:03.2,,"Williams, A.","Richard, C.",B1,0,2,1B-2B,2,0,1,Ball,Changeup,81,"","",,B,0,1,Georgetown University,Ohio State University,0,7,7
1,347,"Williams, A. VS Richard, C.",Georgetown University vs Ohio State University,,,00:00:03.8,,"Williams, A.","Richard, C.",B1,0,2,1B-2B,2,1,1,Foul,Changeup,81,"","",,B,0,1,Georgetown University,Ohio State University,0,7,7
1,348,"Williams, A. VS Richard, C.",Georgetown University vs Ohio State University,,,00:00:06.7,,"Williams, A.","Richard, C.",B1,0,2,1B-2B,2,1,2,BIP,Fastball,87,Ground Ball,Fielder's Choice - Out,,B,0,1,Georgetown University,Ohio State University,0,7,7
1,349,"Williams, A. VS Lipsey, T.",Georgetown University vs Ohio State University,,,00:00:02.4,,"Williams, A.","Lipsey, T.",B2,0,2,-,0,0,0,Ball,Fastball,87,"","",,B,0,2,Georgetown University,Ohio State University,0,8,8
