outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,140,"Williams, A. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:06.1,,"Williams, A.","Scavelli, G.",B1,0,0,-,0,0,0,Foul,Fastball,87,"","",,B,0,1,Georgetown University,St. John's University (NY),0,1,1
1,141,"Williams, A. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:06.2,,"Williams, A.","Scavelli, G.",B1,0,0,-,0,0,1,Ball,Fastball,87,"","",,B,0,1,Georgetown University,St. John's University (NY),0,1,1
1,142,"Williams, A. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:05.8,,"Williams, A.","Scavelli, G.",B1,0,0,-,0,1,1,Ball,Slider,75,"","",,B,0,1,Georgetown University,St. John's University (NY),0,1,1
1,143,"Williams, A. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:11.9,,"Williams, A.","Scavelli, G.",B1,0,0,-,0,2,1,BIP,Fastball,86,Fly Ball,Flyout,,B,0,1,Georgetown University,St. John's University (NY),0,1,1
1,144,"Williams, A. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:06.5,,"Williams, A.","Beauchamp, B.",B1,0,0,-,1,0,0,Foul,Fastball,87,"","",,B,0,1,Georgetown University,St. John's University (NY),0,2,2
1,145,"Williams, A. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:05.6,,"Williams, A.","Beauchamp, B.",B1,0,0,-,1,0,1,Strike Taken,Slider,78,"","",,B,0,1,Georgetown University,St. John's University (NY),0,2,2
1,146,"Williams, A. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:05.9,,"Williams, A.","Beauchamp, B.",B1,0,0,-,1,0,2,Ball,Slider,76,"","",,B,0,1,Georgetown University,St. John's University (NY),0,2,2
1,147,"Williams, A. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:11.7,,"Williams, A.","Beauchamp, B.",B1,0,0,-,1,1,2,BIP,Changeup,81,Fly Ball,Flyout,,B,0,1,Georgetown University,St. John's University (NY),0,2,2
1,148,"Williams, A. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:05.4,,"Williams, A.","Mayberry, B.",B1,0,0,-,2,0,0,Strike Taken,Slider,77,"","",,B,0,1,Georgetown University,St. John's University (NY),0,3,3
1,149,"Williams, A. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:08.3,,"Williams, A.","Mayberry, B.",B1,0,0,-,2,0,1,Ball,Curveball,74,"","",,B,0,1,Georgetown University,St. John's University (NY),0,3,3
1,150,"Williams, A. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:10.4,,"Williams, A.","Mayberry, B.",B1,0,0,-,2,1,1,BIP,Curveball,74,Ground Ball,Groundout,,B,0,1,Georgetown University,St. John's University (NY),0,3,3
1,151,"Williams, A. VS Keenan, J.",Georgetown University vs St. John's University (NY),,,00:00:12.5,,"Williams, A.","Keenan, J.",B2,0,0,-,0,0,0,BIP,Curveball,75,Line Drive,Single,,B,0,2,Georgetown University,St. John's University (NY),0,4,4
1,152,"Williams, A. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:06.8,,"Williams, A.","Higgins, M.",B2,0,0,1B,0,0,0,Ball,Changeup,78,"","",,B,0,2,Georgetown University,St. John's University (NY),0,5,5
1,153,"Williams, A. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:05.7,,"Williams, A.","Higgins, M.",B2,0,0,1B,0,1,0,Foul,Changeup,79,"","",,B,0,2,Georgetown University,St. John's University (NY),0,5,5
1,154,"Williams, A. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:05.9,,"Williams, A.","Higgins, M.",B2,0,0,1B,0,1,1,Ball,Curveball,74,"","",,B,0,2,Georgetown University,St. John's University (NY),0,5,5
1,155,"Williams, A. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:05.8,,"Williams, A.","Higgins, M.",B2,0,0,1B,0,2,1,Foul,Fastball,86,"","",,B,0,2,Georgetown University,St. John's University (NY),0,5,5
1,156,"Williams, A. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:10.7,,"Williams, A.","Higgins, M.",B2,0,0,1B,0,2,2,BIP,Changeup,80,Ground Ball,Grounded Into Double Play,,B,0,2,Georgetown University,St. John's University (NY),0,5,5
1,157,"Williams, A. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:05.5,,"Williams, A.","Tucker, J.",B2,0,0,-,2,0,0,Strike Taken,Fastball,86,"","",,B,0,2,Georgetown University,St. John's University (NY),0,6,6
1,158,"Williams, A. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:05.4,,"Williams, A.","Tucker, J.",B2,0,0,-,2,0,1,Foul,Fastball,88,"","",,B,0,2,Georgetown University,St. John's University (NY),0,6,6
1,159,"Williams, A. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:06.4,,"Williams, A.","Tucker, J.",B2,0,0,-,2,0,2,Ball,Fastball,86,"","",,B,0,2,Georgetown University,St. John's University (NY),0,6,6
1,160,"Williams, A. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:05.9,,"Williams, A.","Tucker, J.",B2,0,0,-,2,1,2,Ball,Slider,76,"","",,B,0,2,Georgetown University,St. John's University (NY),0,6,6
1,161,"Williams, A. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:05.6,,"Williams, A.","Tucker, J.",B2,0,0,-,2,2,2,Ball,Slider,77,"","",,B,0,2,Georgetown University,St. John's University (NY),0,6,6
1,162,"Williams, A. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:06.6,,"Williams, A.","Tucker, J.",B2,0,0,-,2,3,2,Ball,Fastball,88,"","",Walk,B,0,2,Georgetown University,St. John's University (NY),0,6,6
1,163,"Williams, A. VS Orbon, P.",Georgetown University vs St. John's University (NY),,,00:00:12.1,,"Williams, A.","Orbon, P.",B2,0,0,1B,2,0,0,BIP,Fastball,86,Popup,Popout,,B,0,2,Georgetown University,St. John's University (NY),0,7,7
1,164,"Williams, A. VS Orbon, L.",Georgetown University vs St. John's University (NY),,,00:00:10.1,,"Williams, A.","Orbon, L.",B3,2,0,-,0,0,0,BIP,Fastball,85,Fly Ball,Flyout,,B,0,3,Georgetown University,St. John's University (NY),2,8,8
1,165,"Williams, A. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:05.4,,"Williams, A.","Brienza, A.",B3,2,0,-,1,0,0,Strike Taken,Fastball,85,"","",,B,0,3,Georgetown University,St. John's University (NY),2,9,9
1,166,"Williams, A. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:06.7,,"Williams, A.","Brienza, A.",B3,2,0,-,1,0,1,Foul,Fastball,87,"","",,B,0,3,Georgetown University,St. John's University (NY),2,9,9
1,167,"Williams, A. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:12.8,,"Williams, A.","Brienza, A.",B3,2,0,-,1,0,2,BIP,Fastball,88,Ground Ball,Single,,B,0,3,Georgetown University,St. John's University (NY),2,9,9
1,168,"Williams, A. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:14.5,,"Williams, A.","Scavelli, G.",B3,2,0,1B,1,0,0,BIP,Fastball,86,Bunt Ground Ball,Single,,B,0,3,Georgetown University,St. John's University (NY),2,10,1
1,169,"Williams, A. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:05.5,,"Williams, A.","Beauchamp, B.",B3,2,0,2B-3B,1,0,0,Foul Bunt,Curveball,74,"","",,B,0,3,Georgetown University,St. John's University (NY),2,11,2
1,170,"Williams, A. VS Beauchamp, B.",Georgetown University vs St. John's University (NY),,,00:00:08.3,,"Williams, A.","Beauchamp, B.",B3,2,0,2B-3B,1,0,1,Ball,Slider,76,"","",Hit By Pitch,B,0,3,Georgetown University,St. John's University (NY),2,11,2
1,171,"Williams, A. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:07.1,,"Williams, A.","Mayberry, B.",B3,2,0,1B-2B-3B,1,0,0,Foul,Changeup,79,"","",,B,0,3,Georgetown University,St. John's University (NY),2,12,3
1,172,"Williams, A. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:06.2,,"Williams, A.","Mayberry, B.",B3,2,0,1B-2B-3B,1,0,1,Ball,Changeup,79,"","",,B,0,3,Georgetown University,St. John's University (NY),2,12,3
1,173,"Williams, A. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:05.9,,"Williams, A.","Mayberry, B.",B3,2,0,1B-2B-3B,1,1,1,Ball,Slider,76,"","",,B,0,3,Georgetown University,St. John's University (NY),2,12,3
1,174,"Williams, A. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:06.5,,"Williams, A.","Mayberry, B.",B3,2,0,1B-2B-3B,1,2,1,Foul,Changeup,80,"","",,B,0,3,Georgetown University,St. John's University (NY),2,12,3
1,175,"Williams, A. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:14.7,,"Williams, A.","Mayberry, B.",B3,2,0,1B-2B-3B,1,2,2,BIP,Fastball,87,Ground Ball,Fielder's Choice - Safe,,B,0,3,Georgetown University,St. John's University (NY),2,12,3
1,176,"Williams, A. VS Keenan, J.",Georgetown University vs St. John's University (NY),,,00:00:06.2,,"Williams, A.","Keenan, J.",B3,2,2,1B-2B,1,0,0,Ball,Fastball,86,"","",,B,0,3,Georgetown University,St. John's University (NY),2,13,4
1,177,"Williams, A. VS Keenan, J.",Georgetown University vs St. John's University (NY),,,00:00:12.1,,"Williams, A.","Keenan, J.",B3,2,2,1B-2B,1,1,0,BIP,Changeup,79,Popup,Popout,,B,0,3,Georgetown University,St. John's University (NY),2,13,4
1,178,"Williams, A. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:06.1,,"Williams, A.","Higgins, M.",B3,2,2,1B-2B,2,0,0,Ball,Slider,77,"","",,B,0,3,Georgetown University,St. John's University (NY),2,14,5
1,179,"Williams, A. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:10.1,,"Williams, A.","Higgins, M.",B3,2,2,1B-2B,2,1,0,Foul,Changeup,78,"","",,B,0,3,Georgetown University,St. John's University (NY),2,14,5
1,180,"Williams, A. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:05.3,,"Williams, A.","Higgins, M.",B3,2,2,1B-2B,2,1,1,Strike Taken,Curveball,75,"","",,B,0,3,Georgetown University,St. John's University (NY),2,14,5
1,181,"Williams, A. VS Higgins, M.",Georgetown University vs St. John's University (NY),,,00:00:09.9,,"Williams, A.","Higgins, M.",B3,2,2,1B-2B,2,1,2,BIP,Changeup,79,Ground Ball,Fielder's Choice - Out,,B,0,3,Georgetown University,St. John's University (NY),2,14,5
1,182,"Williams, A. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:05.1,,"Williams, A.","Tucker, J.",B4,2,2,-,0,0,0,Strike Taken,Fastball,85,"","",,B,0,4,Georgetown University,St. John's University (NY),2,15,6
1,183,"Williams, A. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:11.5,,"Williams, A.","Tucker, J.",B4,2,2,-,0,0,1,BIP,Slider,75,Line Drive,Lineout,,B,0,4,Georgetown University,St. John's University (NY),2,15,6
1,184,"Williams, A. VS Orbon, P.",Georgetown University vs St. John's University (NY),,,00:00:05.2,,"Williams, A.","Orbon, P.",B4,2,2,-,1,0,0,Strike Taken,Fastball,86,"","",,B,0,4,Georgetown University,St. John's University (NY),2,16,7
1,185,"Williams, A. VS Orbon, P.",Georgetown University vs St. John's University (NY),,,00:00:15.1,,"Williams, A.","Orbon, P.",B4,2,2,-,1,0,1,BIP,Fastball,87,Fly Ball,Double,,B,0,4,Georgetown University,St. John's University (NY),2,16,7
