outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,45,"Yoder, J. VS Broadhurst, L.",Georgetown University vs University of Connecticut,,,00:00:02.5,,"Yoder, J.","Broadhurst, L.",B3,1,4,1B,1,0,0,Ball,Fastball,0,"","",,B,0,3,Georgetown University,University of Connecticut,1,1,1
1,46,"Yoder, J. VS Broadhurst, L.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Yoder, J.","Broadhurst, L.",B3,1,4,1B,1,1,0,Strike Taken,Fastball,0,"","",,B,0,3,Georgetown University,University of Connecticut,1,1,1
1,47,"Yoder, J. VS Broadhurst, L.",Georgetown University vs University of Connecticut,,,00:00:03.0,,"Yoder, J.","Broadhurst, L.",B3,1,4,1B,1,1,1,Foul,Fastball,0,"","",,B,0,3,Georgetown University,University of Connecticut,1,1,1
1,48,"Yoder, J. VS Broadhurst, L.",Georgetown University vs University of Connecticut,,,00:00:10.8,,"Yoder, J.","Broadhurst, L.",B3,1,4,1B,1,1,2,Ball,Slider,0,"","",,B,0,3,Georgetown University,University of Connecticut,1,1,1
1,49,"Yoder, J. VS Broadhurst, L.",Georgetown University vs University of Connecticut,,,00:00:15.3,,"Yoder, J.","Broadhurst, L.",B3,1,4,3B,1,2,2,BIP,Slider,0,Fly Ball,Field Error,,B,0,3,Georgetown University,University of Connecticut,1,1,1
1,50,"Yoder, J. VS Padilla, B.",Georgetown University vs University of Connecticut,,,00:00:02.6,,"Yoder, J.","Padilla, B.",B3,1,5,2B,1,0,0,Strike Swinging,Slider,0,"","",,B,0,3,Georgetown University,University of Connecticut,1,2,2
1,51,"Yoder, J. VS Padilla, B.",Georgetown University vs University of Connecticut,,,00:00:02.8,,"Yoder, J.","Padilla, B.",B3,1,5,2B,1,0,1,Strike Swinging,Slider,0,"","",,B,0,3,Georgetown University,University of Connecticut,1,2,2
1,52,"Yoder, J. VS Padilla, B.",Georgetown University vs University of Connecticut,,,00:00:03.5,,"Yoder, J.","Padilla, B.",B3,1,5,2B,1,0,2,Foul,Slider,0,"","",,B,0,3,Georgetown University,University of Connecticut,1,2,2
1,53,"Yoder, J. VS Padilla, B.",Georgetown University vs University of Connecticut,,,00:00:02.3,,"Yoder, J.","Padilla, B.",B3,1,5,2B,1,0,2,Ball,Fastball,0,"","",,B,0,3,Georgetown University,University of Connecticut,1,2,2
1,54,"Yoder, J. VS Padilla, B.",Georgetown University vs University of Connecticut,,,00:00:08.1,,"Yoder, J.","Padilla, B.",B3,1,5,2B,1,1,2,BIP,Slider,0,Popup,Popout,,B,0,3,Georgetown University,University of Connecticut,1,2,2
1,55,"Yoder, J. VS Hyde, R.",Georgetown University vs University of Connecticut,,,00:00:03.2,,"Yoder, J.","Hyde, R.",B3,1,5,2B,2,0,0,Foul,Fastball,0,"","",,B,0,3,Georgetown University,University of Connecticut,1,3,3
1,56,"Yoder, J. VS Hyde, R.",Georgetown University vs University of Connecticut,,,00:00:02.4,,"Yoder, J.","Hyde, R.",B3,1,5,2B,2,0,1,Strike Taken,Fastball,0,"","",,B,0,3,Georgetown University,University of Connecticut,1,3,3
